"OutputArea2001Code","NRSoldOutputArea2001Code"
"S00000085","60QA000085"
"S00000086","60QA000086"
"S00000087","60QA000087"
"S00000088","60QA000088"
"S00000089","60QA000089"
"S00000090","60QA000090"
"S00000091","60QA000091"
"S00000092","60QA000092"
"S00000093","60QA000093"
"S00000094","60QA000094"
"S00000095","60QA000095"
"S00000096","60QA000096"
"S00000097","60QA000097"
"S00000098","60QA000098"
"S00000099","60QA000099"
"S00000100","60QA000100"
"S00000101","60QA000101"
"S00000102","60QA000102"
"S00000103","60QA000103"
"S00000104","60QA000104"
"S00000105","60QA000105"
"S00000106","60QA000106"
"S00000107","60QA000107"
"S00000108","60QA000108"
"S00000109","60QA000109"
"S00000110","60QA000110"
"S00000111","60QA000111"
"S00000112","60QA000112"
"S00000113","60QA000113"
"S00000114","60QA000114"
"S00000115","60QA000115"
"S00000116","60QA000116"
"S00000117","60QA000117"
"S00000118","60QA000118"
"S00000119","60QA000119"
"S00000120","60QA000120"
"S00000121","60QA000121"
"S00000122","60QA000122"
"S00000123","60QA000123"
"S00000124","60QA000124"
"S00000125","60QA000125"
"S00000126","60QA000126"
"S00000127","60QA000127"
"S00000128","60QA000128"
"S00000129","60QA000129"
"S00000130","60QA000130"
"S00000131","60QA000131"
"S00000132","60QA000132"
"S00000133","60QA000133"
"S00000134","60QA000134"
"S00000135","60QA000135"
"S00000136","60QA000136"
"S00000137","60QA000137"
"S00000138","60QA000138"
"S00000139","60QA000139"
"S00000140","60QA000140"
"S00000141","60QA000141"
"S00000142","60QA000142"
"S00000143","60QA000143"
"S00000144","60QA000144"
"S00000145","60QA000145"
"S00000146","60QA000146"
"S00000147","60QA000147"
"S00000148","60QA000148"
"S00000149","60QA000149"
"S00000150","60QA000150"
"S00000151","60QA000151"
"S00000152","60QA000152"
"S00000153","60QA000153"
"S00000154","60QA000154"
"S00000155","60QA000155"
"S00000156","60QA000156"
"S00000157","60QA000157"
"S00000158","60QA000158"
"S00000159","60QA000159"
"S00000160","60QA000160"
"S00000161","60QA000161"
"S00000162","60QA000162"
"S00000163","60QA000163"
"S00000164","60QA000164"
"S00000165","60QA000165"
"S00000166","60QA000166"
"S00000167","60QA000167"
"S00000168","60QA000168"
"S00000169","60QA000169"
"S00000170","60QA000170"
"S00000171","60QA000171"
"S00000172","60QA000172"
"S00000173","60QA000173"
"S00000174","60QA000174"
"S00000175","60QA000175"
"S00000176","60QA000176"
"S00000177","60QA000177"
"S00000178","60QA000178"
"S00000179","60QA000179"
"S00000180","60QA000180"
"S00000181","60QA000181"
"S00000182","60QA000182"
"S00000183","60QA000183"
"S00000184","60QA000184"
"S00000185","60QA000185"
"S00000186","60QA000186"
"S00000187","60QA000187"
"S00000188","60QA000188"
"S00000189","60QA000189"
"S00000190","60QA000190"
"S00000191","60QA000191"
"S00000192","60QA000192"
"S00000193","60QA000193"
"S00000194","60QA000194"
"S00000195","60QA000195"
"S00000196","60QA000196"
"S00000197","60QA000197"
"S00000198","60QA000198"
"S00000199","60QA000199"
"S00000200","60QA000200"
"S00000201","60QA000201"
"S00000202","60QA000202"
"S00000203","60QA000203"
"S00000204","60QA000204"
"S00000205","60QA000205"
"S00000206","60QA000206"
"S00000207","60QA000207"
"S00000208","60QA000208"
"S00000209","60QA000209"
"S00000210","60QA000210"
"S00000211","60QA000211"
"S00000212","60QA000212"
"S00000213","60QA000213"
"S00000214","60QA000214"
"S00000215","60QA000215"
"S00000216","60QA000216"
"S00000217","60QA000217"
"S00000218","60QA000218"
"S00000219","60QA000219"
"S00000220","60QA000220"
"S00000221","60QA000221"
"S00000222","60QA000222"
"S00000223","60QA000223"
"S00000224","60QA000224"
"S00000225","60QA000225"
"S00000226","60QA000226"
"S00000227","60QA000227"
"S00000228","60QA000228"
"S00000229","60QA000229"
"S00000230","60QA000230"
"S00000231","60QA000231"
"S00000232","60QA000232"
"S00000233","60QA000233"
"S00000234","60QA000234"
"S00000235","60QA000235"
"S00000236","60QA000236"
"S00000237","60QA000237"
"S00000238","60QA000238"
"S00000239","60QA000239"
"S00000240","60QA000240"
"S00000241","60QA000241"
"S00000242","60QA000242"
"S00000243","60QA000243"
"S00000244","60QA000244"
"S00000245","60QA000245"
"S00000246","60QA000246"
"S00000247","60QA000247"
"S00000248","60QA000248"
"S00000249","60QA000249"
"S00000250","60QA000250"
"S00000251","60QA000251"
"S00000252","60QA000252"
"S00000253","60QA000253"
"S00000254","60QA000254"
"S00000255","60QA000255"
"S00000256","60QA000256"
"S00000257","60QA000257"
"S00000258","60QA000258"
"S00000259","60QA000259"
"S00000260","60QA000260"
"S00000261","60QA000261"
"S00000262","60QA000262"
"S00000263","60QA000263"
"S00000264","60QA000264"
"S00000265","60QA000265"
"S00000266","60QA000266"
"S00000267","60QA000267"
"S00000268","60QA000268"
"S00000269","60QA000269"
"S00000270","60QA000270"
"S00000271","60QA000271"
"S00000272","60QA000272"
"S00000273","60QA000273"
"S00000274","60QA000274"
"S00000275","60QA000275"
"S00000276","60QA000276"
"S00000277","60QA000277"
"S00000278","60QA000278"
"S00000279","60QA000279"
"S00000280","60QA000280"
"S00000281","60QA000281"
"S00000282","60QA000282"
"S00000283","60QA000283"
"S00000284","60QA000284"
"S00000285","60QA000285"
"S00000286","60QA000286"
"S00000287","60QA000287"
"S00000288","60QA000288"
"S00000289","60QA000289"
"S00000290","60QA000290"
"S00000291","60QA000291"
"S00000292","60QA000292"
"S00000293","60QA000293"
"S00000294","60QA000294"
"S00000295","60QA000295"
"S00000296","60QA000296"
"S00000297","60QA000297"
"S00000298","60QA000298"
"S00000299","60QA000299"
"S00000300","60QA000300"
"S00000301","60QA000301"
"S00000302","60QA000302"
"S00000303","60QA000303"
"S00000304","60QA000304"
"S00000305","60QA000305"
"S00000306","60QA000306"
"S00000307","60QA000307"
"S00000308","60QA000308"
"S00000309","60QA000309"
"S00000310","60QA000310"
"S00000311","60QA000311"
"S00000312","60QA000312"
"S00000313","60QA000313"
"S00000314","60QA000314"
"S00000315","60QA000315"
"S00000316","60QA000316"
"S00000317","60QA000317"
"S00000318","60QA000318"
"S00000319","60QA000319"
"S00000320","60QA000320"
"S00000321","60QA000321"
"S00000322","60QA000322"
"S00000323","60QA000323"
"S00000324","60QA000324"
"S00000325","60QA000325"
"S00000326","60QA000326"
"S00000327","60QA000327"
"S00000328","60QA000328"
"S00000329","60QA000329"
"S00000330","60QA000330"
"S00000331","60QA000331"
"S00000332","60QA000332"
"S00000333","60QA000333"
"S00000334","60QA000334"
"S00000335","60QA000335"
"S00000336","60QA000336"
"S00000337","60QA000337"
"S00000338","60QA000338"
"S00000339","60QA000339"
"S00000340","60QA000340"
"S00000341","60QA000341"
"S00000342","60QA000342"
"S00000343","60QA000343"
"S00000344","60QA000344"
"S00000345","60QA000345"
"S00000346","60QA000346"
"S00000347","60QA000347"
"S00000348","60QA000348"
"S00000349","60QA000349"
"S00000350","60QA000350"
"S00000351","60QA000351"
"S00000352","60QA000352"
"S00000353","60QA000353"
"S00000354","60QA000354"
"S00000355","60QA000355"
"S00000356","60QA000356"
"S00000357","60QA000357"
"S00000358","60QA000358"
"S00000359","60QA000359"
"S00000360","60QA000360"
"S00000361","60QA000361"
"S00000362","60QA000362"
"S00000363","60QA000363"
"S00000364","60QA000364"
"S00000365","60QA000365"
"S00000366","60QA000366"
"S00000367","60QA000367"
"S00000368","60QA000368"
"S00000369","60QA000369"
"S00000370","60QA000370"
"S00000371","60QA000371"
"S00000372","60QA000372"
"S00000373","60QA000373"
"S00000374","60QA000374"
"S00000375","60QA000375"
"S00000376","60QA000376"
"S00000377","60QA000377"
"S00000378","60QA000378"
"S00000379","60QA000379"
"S00000380","60QA000380"
"S00000381","60QA000381"
"S00000382","60QA000382"
"S00000383","60QA000383"
"S00000384","60QA000384"
"S00000385","60QA000385"
"S00000386","60QA000386"
"S00000387","60QA000387"
"S00000388","60QA000388"
"S00000389","60QA000389"
"S00000390","60QA000390"
"S00000391","60QA000391"
"S00000392","60QA000392"
"S00000393","60QA000393"
"S00000394","60QA000394"
"S00000395","60QA000395"
"S00000396","60QA000396"
"S00000397","60QA000397"
"S00000398","60QA000398"
"S00000399","60QA000399"
"S00000400","60QA000400"
"S00000401","60QA000401"
"S00000402","60QA000402"
"S00000403","60QA000403"
"S00000404","60QA000404"
"S00000405","60QA000405"
"S00000406","60QA000406"
"S00000407","60QA000407"
"S00000408","60QA000408"
"S00000409","60QA000409"
"S00000410","60QA000410"
"S00000411","60QA000411"
"S00000412","60QA000412"
"S00000413","60QA000413"
"S00000414","60QA000414"
"S00000415","60QA000415"
"S00000416","60QA000416"
"S00000417","60QA000417"
"S00000418","60QA000418"
"S00000419","60QA000419"
"S00000420","60QA000420"
"S00000421","60QA000421"
"S00000422","60QA000422"
"S00000423","60QA000423"
"S00000424","60QA000424"
"S00000425","60QA000425"
"S00000426","60QA000426"
"S00000427","60QA000427"
"S00000428","60QA000428"
"S00000429","60QA000429"
"S00000430","60QA000430"
"S00000431","60QA000431"
"S00000432","60QA000432"
"S00000433","60QA000433"
"S00000434","60QA000434"
"S00000435","60QA000435"
"S00000436","60QA000436"
"S00000437","60QA000437"
"S00000438","60QA000438"
"S00000439","60QA000439"
"S00000440","60QA000440"
"S00000441","60QA000441"
"S00000442","60QA000442"
"S00000443","60QA000443"
"S00000444","60QA000444"
"S00000445","60QA000445"
"S00000446","60QA000446"
"S00000447","60QA000447"
"S00000448","60QA000448"
"S00000449","60QA000449"
"S00000450","60QA000450"
"S00000451","60QA000451"
"S00000452","60QA000452"
"S00000453","60QA000453"
"S00000454","60QA000454"
"S00000455","60QA000455"
"S00000456","60QA000456"
"S00000457","60QA000457"
"S00000458","60QA000458"
"S00000459","60QA000459"
"S00000460","60QA000460"
"S00000461","60QA000461"
"S00000462","60QA000462"
"S00000463","60QA000463"
"S00000464","60QA000464"
"S00000465","60QA000465"
"S00000466","60QA000466"
"S00000467","60QA000467"
"S00000468","60QA000468"
"S00000469","60QA000469"
"S00000470","60QA000470"
"S00000471","60QA000471"
"S00000472","60QA000472"
"S00000473","60QA000473"
"S00000474","60QA000474"
"S00000475","60QA000475"
"S00000476","60QA000476"
"S00000477","60QA000477"
"S00000478","60QA000478"
"S00000479","60QA000479"
"S00000480","60QA000480"
"S00000481","60QA000481"
"S00000482","60QA000482"
"S00000483","60QA000483"
"S00000484","60QA000484"
"S00000485","60QA000485"
"S00000486","60QA000486"
"S00000487","60QA000487"
"S00000488","60QA000488"
"S00000489","60QA000489"
"S00000490","60QA000490"
"S00000491","60QA000491"
"S00000492","60QA000492"
"S00000493","60QA000493"
"S00000494","60QA000494"
"S00000495","60QA000495"
"S00000496","60QA000496"
"S00000497","60QA000497"
"S00000498","60QA000498"
"S00000499","60QA000499"
"S00000500","60QA000500"
"S00000501","60QA000501"
"S00000502","60QA000502"
"S00000503","60QA000503"
"S00000504","60QA000504"
"S00000505","60QA000505"
"S00000506","60QA000506"
"S00000507","60QA000507"
"S00000508","60QA000508"
"S00000509","60QA000509"
"S00000510","60QA000510"
"S00000511","60QA000511"
"S00000512","60QA000512"
"S00000513","60QA000513"
"S00000514","60QA000514"
"S00000515","60QA000515"
"S00000516","60QA000516"
"S00000517","60QA000517"
"S00000518","60QA000518"
"S00000519","60QA000519"
"S00000520","60QA000520"
"S00000521","60QA000521"
"S00000522","60QA000522"
"S00000523","60QA000523"
"S00000524","60QA000524"
"S00000525","60QA000525"
"S00000526","60QA000526"
"S00000527","60QA000527"
"S00000528","60QA000528"
"S00000529","60QA000529"
"S00000530","60QA000530"
"S00000531","60QA000531"
"S00000532","60QA000532"
"S00000533","60QA000533"
"S00000534","60QA000534"
"S00000535","60QA000535"
"S00000536","60QA000536"
"S00000537","60QA000537"
"S00000538","60QA000538"
"S00000539","60QA000539"
"S00000540","60QA000540"
"S00000541","60QA000541"
"S00000542","60QA000542"
"S00000543","60QA000543"
"S00000544","60QA000544"
"S00000545","60QA000545"
"S00000546","60QA000546"
"S00000547","60QA000547"
"S00000548","60QA000548"
"S00000549","60QA000549"
"S00000550","60QA000550"
"S00000551","60QA000551"
"S00000552","60QA000552"
"S00000553","60QA000553"
"S00000554","60QA000554"
"S00000555","60QA000555"
"S00000556","60QA000556"
"S00000557","60QA000557"
"S00000558","60QA000558"
"S00000559","60QA000559"
"S00000560","60QA000560"
"S00000561","60QA000561"
"S00000562","60QA000562"
"S00000563","60QA000563"
"S00000564","60QA000564"
"S00000565","60QA000565"
"S00000566","60QA000566"
"S00000567","60QA000567"
"S00000568","60QA000568"
"S00000569","60QA000569"
"S00000570","60QA000570"
"S00000571","60QA000571"
"S00000572","60QA000572"
"S00000573","60QA000573"
"S00000574","60QA000574"
"S00000575","60QA000575"
"S00000576","60QA000576"
"S00000577","60QA000577"
"S00000578","60QA000578"
"S00000579","60QA000579"
"S00000580","60QA000580"
"S00000581","60QA000581"
"S00000582","60QA000582"
"S00000583","60QA000583"
"S00000584","60QA000584"
"S00000585","60QA000585"
"S00000586","60QA000586"
"S00000587","60QA000587"
"S00000588","60QA000588"
"S00000589","60QA000589"
"S00000590","60QA000590"
"S00000591","60QA000591"
"S00000592","60QA000592"
"S00000593","60QA000593"
"S00000594","60QA000594"
"S00000595","60QA000595"
"S00000596","60QA000596"
"S00000597","60QA000597"
"S00000598","60QA000598"
"S00000599","60QA000599"
"S00000600","60QA000600"
"S00000601","60QA000601"
"S00000602","60QA000602"
"S00000603","60QA000603"
"S00000604","60QA000604"
"S00000605","60QA000605"
"S00000606","60QA000606"
"S00000607","60QA000607"
"S00000608","60QA000608"
"S00000609","60QA000609"
"S00000610","60QA000610"
"S00000611","60QA000611"
"S00000612","60QA000612"
"S00000613","60QA000613"
"S00000614","60QA000614"
"S00000615","60QA000615"
"S00000616","60QA000616"
"S00000617","60QA000617"
"S00000618","60QA000618"
"S00000619","60QA000619"
"S00000620","60QA000620"
"S00000621","60QA000621"
"S00000622","60QA000622"
"S00000623","60QA000623"
"S00000624","60QA000624"
"S00000625","60QA000625"
"S00000626","60QA000626"
"S00000627","60QA000627"
"S00000628","60QA000628"
"S00000629","60QA000629"
"S00000630","60QA000630"
"S00000631","60QA000631"
"S00000632","60QA000632"
"S00000633","60QA000633"
"S00000634","60QA000634"
"S00000635","60QA000635"
"S00000636","60QA000636"
"S00000637","60QA000637"
"S00000638","60QA000638"
"S00000639","60QA000639"
"S00000640","60QA000640"
"S00000641","60QA000641"
"S00000642","60QA000642"
"S00000643","60QA000643"
"S00000644","60QA000644"
"S00000645","60QA000645"
"S00000646","60QA000646"
"S00000647","60QA000647"
"S00000648","60QA000648"
"S00000649","60QA000649"
"S00000650","60QA000650"
"S00000651","60QA000651"
"S00000652","60QA000652"
"S00000653","60QA000653"
"S00000654","60QA000654"
"S00000655","60QA000655"
"S00000656","60QA000656"
"S00000657","60QA000657"
"S00000658","60QA000658"
"S00000659","60QA000659"
"S00000660","60QA000660"
"S00000661","60QA000661"
"S00000662","60QA000662"
"S00000663","60QA000663"
"S00000664","60QA000664"
"S00000665","60QA000665"
"S00000666","60QA000666"
"S00000667","60QA000667"
"S00000668","60QA000668"
"S00000669","60QA000669"
"S00000670","60QA000670"
"S00000671","60QA000671"
"S00000672","60QA000672"
"S00000673","60QA000673"
"S00000674","60QA000674"
"S00000675","60QA000675"
"S00000676","60QA000676"
"S00000677","60QA000677"
"S00000678","60QA000678"
"S00000679","60QA000679"
"S00000680","60QA000680"
"S00000681","60QA000681"
"S00000682","60QA000682"
"S00000683","60QA000683"
"S00000684","60QA000684"
"S00000685","60QA000685"
"S00000686","60QA000686"
"S00000687","60QA000687"
"S00000688","60QA000688"
"S00000689","60QA000689"
"S00000690","60QA000690"
"S00000691","60QA000691"
"S00000692","60QA000692"
"S00000693","60QA000693"
"S00000694","60QA000694"
"S00000695","60QA000695"
"S00000696","60QA000696"
"S00000697","60QA000697"
"S00000698","60QA000698"
"S00000699","60QA000699"
"S00000700","60QA000700"
"S00000701","60QA000701"
"S00000702","60QA000702"
"S00000703","60QA000703"
"S00000704","60QA000704"
"S00000705","60QA000705"
"S00000706","60QA000706"
"S00000707","60QA000707"
"S00000708","60QA000708"
"S00000709","60QA000709"
"S00000710","60QA000710"
"S00000711","60QA000711"
"S00000712","60QA000712"
"S00000713","60QA000713"
"S00000714","60QA000714"
"S00000715","60QA000715"
"S00000716","60QA000716"
"S00000717","60QA000717"
"S00000718","60QA000718"
"S00000719","60QA000719"
"S00000720","60QA000720"
"S00000721","60QA000721"
"S00000722","60QA000722"
"S00000723","60QA000723"
"S00000724","60QA000724"
"S00000725","60QA000725"
"S00000726","60QA000726"
"S00000727","60QA000727"
"S00000728","60QA000728"
"S00000729","60QA000729"
"S00000730","60QA000730"
"S00000731","60QA000731"
"S00000732","60QA000732"
"S00000733","60QA000733"
"S00000734","60QA000734"
"S00000735","60QA000735"
"S00000736","60QA000736"
"S00000737","60QA000737"
"S00000738","60QA000738"
"S00000739","60QA000739"
"S00000740","60QA000740"
"S00000741","60QA000741"
"S00000742","60QA000742"
"S00000743","60QA000743"
"S00000744","60QA000744"
"S00000745","60QA000745"
"S00000746","60QA000746"
"S00000747","60QA000747"
"S00000748","60QA000748"
"S00000749","60QA000749"
"S00000750","60QA000750"
"S00000751","60QA000751"
"S00000752","60QA000752"
"S00000753","60QA000753"
"S00000754","60QA000754"
"S00000755","60QA000755"
"S00000756","60QA000756"
"S00000757","60QA000757"
"S00000758","60QA000758"
"S00000759","60QA000759"
"S00000760","60QA000760"
"S00000761","60QA000761"
"S00000762","60QA000762"
"S00000763","60QA000763"
"S00000764","60QA000764"
"S00000765","60QA000765"
"S00000766","60QA000766"
"S00000767","60QA000767"
"S00000768","60QA000768"
"S00000769","60QA000769"
"S00000770","60QA000770"
"S00000771","60QA000771"
"S00000772","60QA000772"
"S00000773","60QA000773"
"S00000774","60QA000774"
"S00000775","60QA000775"
"S00000776","60QA000776"
"S00000777","60QA000777"
"S00000778","60QA000778"
"S00000779","60QA000779"
"S00000780","60QA000780"
"S00000781","60QA000781"
"S00000782","60QA000782"
"S00000783","60QA000783"
"S00000784","60QA000784"
"S00000785","60QA000785"
"S00000786","60QA000786"
"S00000787","60QA000787"
"S00000788","60QA000788"
"S00000789","60QA000789"
"S00000790","60QA000790"
"S00000791","60QA000791"
"S00000792","60QA000792"
"S00000793","60QA000793"
"S00000794","60QA000794"
"S00000795","60QA000795"
"S00000796","60QA000796"
"S00000797","60QA000797"
"S00000798","60QA000798"
"S00000799","60QA000799"
"S00000800","60QA000800"
"S00000801","60QA000801"
"S00000802","60QA000802"
"S00000803","60QA000803"
"S00000804","60QA000804"
"S00000805","60QA000805"
"S00000806","60QA000806"
"S00000807","60QA000807"
"S00000808","60QA000808"
"S00000809","60QA000809"
"S00000810","60QA000810"
"S00000811","60QA000811"
"S00000812","60QA000812"
"S00000813","60QA000813"
"S00000814","60QA000814"
"S00000815","60QA000815"
"S00000816","60QA000816"
"S00000817","60QA000817"
"S00000818","60QA000818"
"S00000819","60QA000819"
"S00000820","60QA000820"
"S00000821","60QA000821"
"S00000822","60QA000822"
"S00000823","60QA000823"
"S00000824","60QA000824"
"S00000825","60QA000825"
"S00000826","60QA000826"
"S00000827","60QA000827"
"S00000828","60QA000828"
"S00000829","60QA000829"
"S00000830","60QA000830"
"S00000831","60QA000831"
"S00000832","60QA000832"
"S00000833","60QA000833"
"S00000834","60QA000834"
"S00000835","60QA000835"
"S00000836","60QA000836"
"S00000837","60QA000837"
"S00000838","60QA000838"
"S00000839","60QA000839"
"S00000840","60QA000840"
"S00000841","60QA000841"
"S00000842","60QA000842"
"S00000843","60QA000843"
"S00000844","60QA000844"
"S00000845","60QA000845"
"S00000846","60QA000846"
"S00000847","60QA000847"
"S00000848","60QA000848"
"S00000849","60QA000849"
"S00000850","60QA000850"
"S00000851","60QA000851"
"S00000852","60QA000852"
"S00000853","60QA000853"
"S00000854","60QA000854"
"S00000855","60QA000855"
"S00000856","60QA000856"
"S00000857","60QA000857"
"S00000858","60QA000858"
"S00000859","60QA000859"
"S00000860","60QA000860"
"S00000861","60QA000861"
"S00000862","60QA000862"
"S00000863","60QA000863"
"S00000864","60QA000864"
"S00000865","60QA000865"
"S00000866","60QA000866"
"S00000867","60QA000867"
"S00000868","60QA000868"
"S00000869","60QA000869"
"S00000870","60QA000870"
"S00000871","60QA000871"
"S00000872","60QA000872"
"S00000873","60QA000873"
"S00000874","60QA000874"
"S00000875","60QA000875"
"S00000876","60QA000876"
"S00000877","60QA000877"
"S00000878","60QA000878"
"S00000879","60QA000879"
"S00000880","60QA000880"
"S00000881","60QA000881"
"S00000882","60QA000882"
"S00000883","60QA000883"
"S00000884","60QA000884"
"S00000885","60QA000885"
"S00000886","60QA000886"
"S00000887","60QA000887"
"S00000888","60QA000888"
"S00000889","60QA000889"
"S00000890","60QA000890"
"S00000891","60QA000891"
"S00000892","60QA000892"
"S00000893","60QA000893"
"S00000894","60QA000894"
"S00000895","60QA000895"
"S00000896","60QA000896"
"S00000897","60QA000897"
"S00000898","60QA000898"
"S00000899","60QA000899"
"S00000900","60QA000900"
"S00000901","60QA000901"
"S00000902","60QA000902"
"S00000903","60QA000903"
"S00000904","60QA000904"
"S00000905","60QA000905"
"S00000906","60QA000906"
"S00000907","60QA000907"
"S00000908","60QA000908"
"S00000909","60QA000909"
"S00000910","60QA000910"
"S00000911","60QA000911"
"S00000912","60QA000912"
"S00000913","60QA000913"
"S00000914","60QA000914"
"S00000915","60QA000915"
"S00000916","60QA000916"
"S00000917","60QA000917"
"S00000918","60QA000918"
"S00000919","60QA000919"
"S00000920","60QA000920"
"S00000921","60QA000921"
"S00000922","60QA000922"
"S00000923","60QA000923"
"S00000924","60QA000924"
"S00000925","60QA000925"
"S00000926","60QA000926"
"S00000927","60QA000927"
"S00000928","60QA000928"
"S00000929","60QA000929"
"S00000930","60QA000930"
"S00000931","60QA000931"
"S00000932","60QA000932"
"S00000933","60QA000933"
"S00000934","60QA000934"
"S00000935","60QA000935"
"S00000936","60QA000936"
"S00000937","60QA000937"
"S00000938","60QA000938"
"S00000939","60QA000939"
"S00000940","60QA000940"
"S00000941","60QA000941"
"S00000942","60QA000942"
"S00000943","60QA000943"
"S00000944","60QA000944"
"S00000945","60QA000945"
"S00000946","60QA000946"
"S00000947","60QA000947"
"S00000948","60QA000948"
"S00000949","60QA000949"
"S00000950","60QA000950"
"S00000951","60QA000951"
"S00000952","60QA000952"
"S00000953","60QA000953"
"S00000954","60QA000954"
"S00000955","60QA000955"
"S00000956","60QA000956"
"S00000957","60QA000957"
"S00000958","60QA000958"
"S00000959","60QA000959"
"S00000960","60QA000960"
"S00000961","60QA000961"
"S00000962","60QA000962"
"S00000963","60QA000963"
"S00000964","60QA000964"
"S00000965","60QA000965"
"S00000966","60QA000966"
"S00000967","60QA000967"
"S00000968","60QA000968"
"S00000969","60QA000969"
"S00000970","60QA000970"
"S00000971","60QA000971"
"S00000972","60QA000972"
"S00000973","60QA000973"
"S00000974","60QA000974"
"S00000975","60QA000975"
"S00000976","60QA000976"
"S00000977","60QA000977"
"S00000978","60QA000978"
"S00000979","60QA000979"
"S00000980","60QA000980"
"S00000981","60QA000981"
"S00000982","60QA000982"
"S00000983","60QA000983"
"S00000984","60QA000984"
"S00000985","60QA000985"
"S00000986","60QA000986"
"S00000987","60QA000987"
"S00000988","60QA000988"
"S00000989","60QA000989"
"S00000990","60QA000990"
"S00000991","60QA000991"
"S00000992","60QA000992"
"S00000993","60QA000993"
"S00000994","60QA000994"
"S00000995","60QA000995"
"S00000996","60QA000996"
"S00000997","60QA000997"
"S00000998","60QA000998"
"S00000999","60QA000999"
"S00001000","60QA001000"
"S00001001","60QA001001"
"S00001002","60QA001002"
"S00001003","60QA001003"
"S00001004","60QA001004"
"S00001005","60QA001005"
"S00001006","60QA001006"
"S00001007","60QA001007"
"S00001008","60QA001008"
"S00001009","60QA001009"
"S00001010","60QA001010"
"S00001011","60QA001011"
"S00001012","60QA001012"
"S00001013","60QA001013"
"S00001014","60QA001014"
"S00001015","60QA001015"
"S00001016","60QA001016"
"S00001017","60QA001017"
"S00001018","60QA001018"
"S00001019","60QA001019"
"S00001020","60QA001020"
"S00001021","60QA001021"
"S00001022","60QA001022"
"S00001023","60QA001023"
"S00001024","60QA001024"
"S00001025","60QA001025"
"S00001026","60QA001026"
"S00001027","60QA001027"
"S00001028","60QA001028"
"S00001029","60QA001029"
"S00001030","60QA001030"
"S00001031","60QA001031"
"S00001032","60QA001032"
"S00001033","60QA001033"
"S00001034","60QA001034"
"S00001035","60QA001035"
"S00001036","60QA001036"
"S00001037","60QA001037"
"S00001038","60QA001038"
"S00001039","60QA001039"
"S00001040","60QA001040"
"S00001041","60QA001041"
"S00001042","60QA001042"
"S00001043","60QA001043"
"S00001044","60QA001044"
"S00001045","60QA001045"
"S00001046","60QA001046"
"S00001047","60QA001047"
"S00001048","60QA001048"
"S00001049","60QA001049"
"S00001050","60QA001050"
"S00001051","60QA001051"
"S00001052","60QA001052"
"S00001053","60QA001053"
"S00001054","60QA001054"
"S00001055","60QA001055"
"S00001056","60QA001056"
"S00001057","60QA001057"
"S00001058","60QA001058"
"S00001059","60QA001059"
"S00001060","60QA001060"
"S00001061","60QA001061"
"S00001062","60QA001062"
"S00001063","60QA001063"
"S00001064","60QA001064"
"S00001065","60QA001065"
"S00001066","60QA001066"
"S00001067","60QA001067"
"S00001068","60QA001068"
"S00001069","60QA001069"
"S00001070","60QA001070"
"S00001071","60QA001071"
"S00001072","60QA001072"
