name01	label01	datazone	name	add	add_source	gctwt
60QS004681	60QS004681	S01010049	Parkhead West and Barrowfield - 01	1	80	.0125
60QS004681	60QS004681	S01010052	Parkhead West and Barrowfield - 04	79	80	.9875
60QS004682	60QS004682	S01010049	Parkhead West and Barrowfield - 01	1	94	.0106382978723404
60QS004682	60QS004682	S01010052	Parkhead West and Barrowfield - 04	93	94	.98936170212766
60QS004683	60QS004683	S01010146	Tollcross - 05	1	7	.142857142857143
60QS004683	60QS004683	S01010149	Old Shettleston and Parkhead North - 03	6	7	.857142857142857
60QS004684	60QS004684	S01010150	Old Shettleston and Parkhead North - 04	69	69	1
60QS004685	60QS004685	S01010155	Carntyne - 04	53	53	1
60QS004686	60QS004686	S01010150	Old Shettleston and Parkhead North - 04	1	12	.0833333333333333
60QS004686	60QS004686	S01010155	Carntyne - 04	11	12	.916666666666667
60QS004687	60QS004687	S01010158	Cranhill, Lightburn and Queenslie South - 03	49	49	1
60QS004688	60QS004688	S01010158	Cranhill, Lightburn and Queenslie South - 03	46	46	1
60QS004689	60QS004689	S01010133	Greenfield - 03	29	29	1
60QS004690	60QS004690	S01010132	Greenfield - 02	75	75	1
60QS004691	60QS004691	S01010062	Braidfauld - 02	1	67	.0149253731343284
60QS004691	60QS004691	S01010063	Braidfauld - 03	26	67	.388059701492537
60QS004691	60QS004691	S01010144	Tollcross - 03	40	67	.597014925373134
60QS004692	60QS004692	S01010063	Braidfauld - 03	75	75	1
60QS004693	60QS004693	S01010141	Shettleston North - 05	59	59	1
60QS004694	60QS004694	S01010139	Shettleston North - 03	72	72	1
60QS004695	60QS004695	S01010141	Shettleston North - 05	85	85	1
60QS004696	60QS004696	S01010139	Shettleston North - 03	83	84	.988095238095238
60QS004696	60QS004696	S01010141	Shettleston North - 05	1	84	.0119047619047619
60QS004697	60QS004697	S01010141	Shettleston North - 05	71	71	1
60QS004698	60QS004698	S01010141	Shettleston North - 05	57	57	1
60QS004699	60QS004699	S01010139	Shettleston North - 03	1	16	.0625
60QS004699	60QS004699	S01010140	Shettleston North - 04	15	16	.9375
60QS004700	60QS004700	S01010132	Greenfield - 02	1	1	1
60QS004701	60QS004701	S01010147	Old Shettleston and Parkhead North - 01	117	117	1
60QS004702	60QS004702	S01010147	Old Shettleston and Parkhead North - 01	51	51	1
60QS004703	60QS004703	S01010147	Old Shettleston and Parkhead North - 01	84	84	1
60QS004704	60QS004704	S01010146	Tollcross - 05	52	52	1
60QS004705	60QS004705	S01010146	Tollcross - 05	1	38	.0263157894736842
60QS004705	60QS004705	S01010147	Old Shettleston and Parkhead North - 01	37	38	.973684210526316
60QS004706	60QS004706	S01010145	Tollcross - 04	52	52	1
60QS004707	60QS004707	S01010142	Tollcross - 01	84	84	1
60QS004708	60QS004708	S01010059	Parkhead East and Braidfauld North - 04	10	10	1
60QS004709	60QS004709	S01010064	Braidfauld - 04	56	56	1
60QS004710	60QS004710	S01010064	Braidfauld - 04	55	55	1
60QS004711	60QS004711	S01010064	Braidfauld - 04	45	45	1
60QS004712	60QS004712	S01010071	Shettleston South - 03	1	1	1
60QS004713	60QS004713	S01010071	Shettleston South - 03	56	56	1
60QS004714	60QS004714	S01010072	Shettleston South - 04	1	47	.0212765957446809
60QS004714	60QS004714	S01010073	Shettleston South - 05	46	47	.978723404255319
60QS004715	60QS004715	S01010073	Shettleston South - 05	58	58	1
60QS004716	60QS004716	S01010139	Shettleston North - 03	60	60	1
60QS004717	60QS004717	S01010139	Shettleston North - 03	45	45	1
60QS004718	60QS004718	S01010137	Shettleston North - 01	53	53	1
60QS004719	60QS004719	S01010137	Shettleston North - 01	43	43	1
60QS004720	60QS004720	S01010137	Shettleston North - 01	58	58	1
60QS004721	60QS004721	S01010137	Shettleston North - 01	38	38	1
60QS004722	60QS004722	S01010137	Shettleston North - 01	30	31	.967741935483871
60QS004722	60QS004722	S01010138	Shettleston North - 02	1	31	.032258064516129
60QS004723	60QS004723	S01010138	Shettleston North - 02	137	137	1
60QS004724	60QS004724	S01010138	Shettleston North - 02	1	1	1
60QS004725	60QS004725	S01010081	Mount Vernon North and Sandyhills - 04	54	54	1
60QS004726	60QS004726	S01010079	Mount Vernon North and Sandyhills - 02	23	23	1
60QS004727	60QS004727	S01010082	Mount Vernon North and Sandyhills - 05	51	51	1
60QS004728	60QS004728	S01010078	Mount Vernon North and Sandyhills - 01	1	20	.05
60QS004728	60QS004728	S01010082	Mount Vernon North and Sandyhills - 05	19	20	.95
60QS004729	60QS004729	S01010134	Greenfield - 04	68	68	1
60QS004730	60QS004730	S01010134	Greenfield - 04	37	37	1
60QS004731	60QS004731	S01010126	Barlanark - 04	50	50	1
60QS004732	60QS004732	S01010126	Barlanark - 04	1	1	1
60QS004733	60QS004733	S01010131	Greenfield - 01	67	67	1
60QS004734	60QS004734	S01010131	Greenfield - 01	7	8	.875
60QS004734	60QS004734	S01010137	Shettleston North - 01	1	8	.125
60QS004735	60QS004735	S01010079	Mount Vernon North and Sandyhills - 02	55	55	1
60QS004736	60QS004736	S01010079	Mount Vernon North and Sandyhills - 02	42	42	1
60QS004737	60QS004737	S01010097	Garrowhill West - 04	68	68	1
60QS004738	60QS004738	S01010081	Mount Vernon North and Sandyhills - 04	60	60	1
60QS004739	60QS004739	S01010179	Blackhill and Barmulloch East - 01	1	61	.0163934426229508
60QS004739	60QS004739	S01010181	Blackhill and Barmulloch East - 03	60	61	.983606557377049
60QS004740	60QS004740	S01010181	Blackhill and Barmulloch East - 03	30	30	1
60QS004741	60QS004741	S01010193	Robroyston and Millerston - 08	39	39	1
60QS004742	60QS004742	S01010188	Robroyston and Millerston - 03	55	56	.982142857142857
60QS004742	60QS004742	S01010193	Robroyston and Millerston - 08	1	56	.0178571428571429
60QS004743	60QS004743	S01010172	Riddrie and Hogganfield - 01	45	45	1
60QS004744	60QS004744	S01010172	Riddrie and Hogganfield - 01	45	45	1
60QS004745	60QS004745	S01010173	Riddrie and Hogganfield - 02	42	43	.976744186046512
60QS004745	60QS004745	S01010176	Riddrie and Hogganfield - 05	1	43	.0232558139534884
60QS004746	60QS004746	S01010173	Riddrie and Hogganfield - 02	68	68	1
60QS004747	60QS004747	S01010178	Riddrie and Hogganfield - 07	25	25	1
60QS004748	60QS004748	S01010163	Cranhill, Lightburn and Queenslie South - 08	14	71	.197183098591549
60QS004748	60QS004748	S01010178	Riddrie and Hogganfield - 07	57	71	.802816901408451
60QS004749	60QS004749	S01010156	Cranhill, Lightburn and Queenslie South - 01	53	53	1
60QS004750	60QS004750	S01010156	Cranhill, Lightburn and Queenslie South - 01	38	38	1
60QS004751	60QS004751	S01010153	Carntyne - 02	48	49	.979591836734694
60QS004751	60QS004751	S01010156	Cranhill, Lightburn and Queenslie South - 01	1	49	.0204081632653061
60QS004752	60QS004752	S01010156	Cranhill, Lightburn and Queenslie South - 01	56	56	1
60QS004753	60QS004753	S01010157	Cranhill, Lightburn and Queenslie South - 02	9	10	.9
60QS004753	60QS004753	S01010161	Cranhill, Lightburn and Queenslie South - 06	1	10	.1
60QS004754	60QS004754	S01010157	Cranhill, Lightburn and Queenslie South - 02	1	28	.0357142857142857
60QS004754	60QS004754	S01010161	Cranhill, Lightburn and Queenslie South - 06	27	28	.964285714285714
60QS004755	60QS004755	S01010161	Cranhill, Lightburn and Queenslie South - 06	2	2	1
60QS004756	60QS004756	S01010169	Craigend and Ruchazie - 05	45	45	1
60QS004757	60QS004757	S01010169	Craigend and Ruchazie - 05	1	1	1
60QS004758	60QS004758	S01010160	Cranhill, Lightburn and Queenslie South - 05	78	78	1
60QS004759	60QS004759	S01010160	Cranhill, Lightburn and Queenslie South - 05	109	109	1
60QS004760	60QS004760	S01010123	Barlanark - 01	64	64	1
60QS004761	60QS004761	S01010123	Barlanark - 01	53	53	1
60QS004762	60QS004762	S01010118	North Barlanark and Easterhouse South - 01	38	39	.974358974358974
60QS004762	60QS004762	S01010129	Barlanark - 07	1	39	.0256410256410256
60QS004763	60QS004763	S01010118	North Barlanark and Easterhouse South - 01	58	59	.983050847457627
60QS004763	60QS004763	S01010125	Barlanark - 03	1	59	.0169491525423729
60QS004764	60QS004764	S01010126	Barlanark - 04	1	1	1
60QS004765	60QS004765	S01010126	Barlanark - 04	1	1	1
60QS004766	60QS004766	S01010128	Barlanark - 06	54	54	1
60QS004767	60QS004767	S01010128	Barlanark - 06	34	34	1
60QS004768	60QS004768	S01010128	Barlanark - 06	1	1	1
60QS004769	60QS004769	S01010116	Garthamlock, Auchinlea and Gartloch - 04	78	78	1
60QS004770	60QS004770	S01010116	Garthamlock, Auchinlea and Gartloch - 04	46	46	1
60QS004771	60QS004771	S01010116	Garthamlock, Auchinlea and Gartloch - 04	38	38	1
60QS004772	60QS004772	S01010119	North Barlanark and Easterhouse South - 02	188	188	1
60QS004773	60QS004773	S01010107	Easterhouse East - 03	1	52	.0192307692307692
60QS004773	60QS004773	S01010109	Easterhouse East - 05	51	52	.980769230769231
60QS004774	60QS004774	S01010107	Easterhouse East - 03	1	39	.0256410256410256
60QS004774	60QS004774	S01010109	Easterhouse East - 05	38	39	.974358974358974
60QS004775	60QS004775	S01010106	Easterhouse East - 02	1	44	.0227272727272727
60QS004775	60QS004775	S01010108	Easterhouse East - 04	43	44	.977272727272727
60QS004776	60QS004776	S01010108	Easterhouse East - 04	40	40	1
60QS004777	60QS004777	S01010111	Central Easterhouse - 02	36	36	1
60QS004778	60QS004778	S01010111	Central Easterhouse - 02	67	67	1
60QS004779	60QS004779	S01010043	Bridgeton - 02	100	100	1
60QS004780	60QS004780	S01010043	Bridgeton - 02	1	32	.03125
60QS004780	60QS004780	S01010055	Parkhead West and Barrowfield - 07	31	32	.96875
60QS004781	60QS004781	S01010042	Bridgeton - 01	58	58	1
60QS004782	60QS004782	S01010043	Bridgeton - 02	77	77	1
60QS004783	60QS004783	S01010042	Bridgeton - 01	30	30	1
60QS004784	60QS004784	S01010055	Parkhead West and Barrowfield - 07	45	45	1
60QS004785	60QS004785	S01010055	Parkhead West and Barrowfield - 07	65	65	1
60QS004786	60QS004786	S01010042	Bridgeton - 01	1	42	.0238095238095238
60QS004786	60QS004786	S01010055	Parkhead West and Barrowfield - 07	41	42	.976190476190476
60QS004787	60QS004787	S01010055	Parkhead West and Barrowfield - 07	89	89	1
60QS004788	60QS004788	S01010043	Bridgeton - 02	1	49	.0204081632653061
60QS004788	60QS004788	S01010055	Parkhead West and Barrowfield - 07	48	49	.979591836734694
60QS004789	60QS004789	S01010053	Parkhead West and Barrowfield - 05	51	51	1
60QS004790	60QS004790	S01010053	Parkhead West and Barrowfield - 05	61	61	1
60QS004791	60QS004791	S01010045	Bridgeton - 04	89	90	.988888888888889
60QS004791	60QS004791	S01010047	Dalmarnock - 02	1	90	.0111111111111111
60QS004792	60QS004792	S01010045	Bridgeton - 04	75	76	.986842105263158
60QS004792	60QS004792	S01010046	Dalmarnock - 01	1	76	.0131578947368421
60QS004793	60QS004793	S01010044	Bridgeton - 03	54	55	.981818181818182
60QS004793	60QS004793	S01010045	Bridgeton - 04	1	55	.0181818181818182
60QS004794	60QS004794	S01010045	Bridgeton - 04	68	68	1
60QS004795	60QS004795	S01010046	Dalmarnock - 01	44	44	1
60QS004796	60QS004796	S01010047	Dalmarnock - 02	1	1	1
60QS004797	60QS004797	S01010046	Dalmarnock - 01	2	3	.666666666666667
60QS004797	60QS004797	S01010047	Dalmarnock - 02	1	3	.333333333333333
60QS004798	60QS004798	S01010045	Bridgeton - 04	42	42	1
60QS004799	60QS004799	S01010048	Dalmarnock - 03	13	13	1
60QS004800	60QS004800	S01010048	Dalmarnock - 03	136	136	1
60QS004801	60QS004801	S01010048	Dalmarnock - 03	164	164	1
60QS004802	60QS004802	S01010048	Dalmarnock - 03	137	137	1
60QS004803	60QS004803	S01010033	Laurieston and Tradeston - 03	77	78	.987179487179487
60QS004803	60QS004803	S01010034	Laurieston and Tradeston - 04	1	78	.0128205128205128
60QS004804	60QS004804	S01010034	Laurieston and Tradeston - 04	36	36	1
60QS004805	60QS004805	S01009867	Kinning Park and Festival Park - 02	93	161	.577639751552795
60QS004805	60QS004805	S01009868	Kinning Park and Festival Park - 03	1	161	.0062111801242236
60QS004805	60QS004805	S01009871	Kingston West and Dumbreck - 01	67	161	.416149068322981
60QS004806	60QS004806	S01009868	Kinning Park and Festival Park - 03	1	1	1
60QS004807	60QS004807	S01009868	Kinning Park and Festival Park - 03	57	57	1
60QS004808	60QS004808	S01009868	Kinning Park and Festival Park - 03	51	51	1
60QS004809	60QS004809	S01009882	Pollokshields East - 02	85	86	.988372093023256
60QS004809	60QS004809	S01009883	Pollokshields East - 03	1	86	.0116279069767442
60QS004810	60QS004810	S01009882	Pollokshields East - 02	81	82	.98780487804878
60QS004810	60QS004810	S01009907	Strathbungo - 03	1	82	.0121951219512195
60QS004811	60QS004811	S01009881	Pollokshields East - 01	66	66	1
60QS004812	60QS004812	S01009875	Pollokshields West - 01	47	47	1
60QS004813	60QS004813	S01009878	Pollokshields West - 04	50	50	1
60QS004814	60QS004814	S01009878	Pollokshields West - 04	45	45	1
60QS004815	60QS004815	S01009886	Pollokshields East - 06	102	102	1
60QS004816	60QS004816	S01009886	Pollokshields East - 06	33	33	1
60QS004817	60QS004817	S01009886	Pollokshields East - 06	24	24	1
60QS004818	60QS004818	S01009883	Pollokshields East - 03	56	56	1
60QS004819	60QS004819	S01009883	Pollokshields East - 03	36	36	1
60QS004820	60QS004820	S01009925	Shawlands East - 03	98	98	1
60QS004821	60QS004821	S01009909	Strathbungo - 05	12	53	.226415094339623
60QS004821	60QS004821	S01009921	Shawlands West - 03	1	53	.0188679245283019
60QS004821	60QS004821	S01009924	Shawlands East - 02	40	53	.754716981132076
60QS004822	60QS004822	S01009924	Shawlands East - 02	33	33	1
60QS004823	60QS004823	S01009926	Shawlands East - 04	61	61	1
60QS004824	60QS004824	S01009926	Shawlands East - 04	43	43	1
60QS004825	60QS004825	S01009919	Shawlands West - 01	43	44	.977272727272727
60QS004825	60QS004825	S01009922	Shawlands West - 04	1	44	.0227272727272727
60QS004826	60QS004826	S01009922	Shawlands West - 04	60	60	1
60QS004827	60QS004827	S01009936	Pollokshaws - 04	93	93	1
60QS004828	60QS004828	S01009914	Maxwell Park - 03	56	56	1
60QS004829	60QS004829	S01009914	Maxwell Park - 03	60	60	1
60QS004830	60QS004830	S01009871	Kingston West and Dumbreck - 01	101	101	1
60QS004831	60QS004831	S01009871	Kingston West and Dumbreck - 01	96	97	.989690721649485
60QS004831	60QS004831	S01009876	Pollokshields West - 02	1	97	.0103092783505155
60QS004832	60QS004832	S01009892	Govanhill West - 06	1	71	.0140845070422535
60QS004832	60QS004832	S01010033	Laurieston and Tradeston - 03	70	71	.985915492957747
60QS004833	60QS004833	S01009892	Govanhill West - 06	1	59	.0169491525423729
60QS004833	60QS004833	S01009896	Govanhill East and Aikenhead - 03	58	59	.983050847457627
60QS004834	60QS004834	S01010033	Laurieston and Tradeston - 03	72	72	1
60QS004835	60QS004835	S01009892	Govanhill West - 06	1	42	.0238095238095238
60QS004835	60QS004835	S01010033	Laurieston and Tradeston - 03	41	42	.976190476190476
60QS004836	60QS004836	S01009897	Govanhill East and Aikenhead - 04	36	36	1
60QS004837	60QS004837	S01009894	Govanhill East and Aikenhead - 01	62	63	.984126984126984
60QS004837	60QS004837	S01009897	Govanhill East and Aikenhead - 04	1	63	.0158730158730159
60QS004838	60QS004838	S01009907	Strathbungo - 03	44	44	1
60QS004839	60QS004839	S01009907	Strathbungo - 03	82	82	1
60QS004840	60QS004840	S01009930	Langside - 04	30	30	1
60QS004841	60QS004841	S01009958	Merrylee and Millbrae - 04	56	56	1
60QS004842	60QS004842	S01009930	Langside - 04	35	35	1
60QS004843	60QS004843	S01009930	Langside - 04	69	69	1
60QS004844	60QS004844	S01009899	Battlefield - 01	110	110	1
60QS004845	60QS004845	S01009900	Battlefield - 02	120	121	.991735537190083
60QS004845	60QS004845	S01010006	Cathcart - 02	1	121	.00826446280991736
60QS004846	60QS004846	S01009901	Battlefield - 03	80	80	1
60QS004847	60QS004847	S01009901	Battlefield - 03	39	39	1
60QS004848	60QS004848	S01009929	Langside - 03	44	44	1
60QS004849	60QS004849	S01009929	Langside - 03	35	35	1
60QS004850	60QS004850	S01009929	Langside - 03	78	78	1
60QS004851	60QS004851	S01009928	Langside - 02	1	49	.0204081632653061
60QS004851	60QS004851	S01009929	Langside - 03	48	49	.979591836734694
60QS004852	60QS004852	S01010013	Mount Florida - 03	1	109	.00917431192660551
60QS004852	60QS004852	S01010014	Mount Florida - 04	108	109	.990825688073395
60QS004853	60QS004853	S01010011	Mount Florida - 01	38	38	1
60QS004854	60QS004854	S01010017	Toryglen and Oatlands - 02	73	73	1
60QS004855	60QS004855	S01010017	Toryglen and Oatlands - 02	28	28	1
60QS004856	60QS004856	S01010019	Toryglen and Oatlands - 04	61	61	1
60QS004857	60QS004857	S01010019	Toryglen and Oatlands - 04	34	34	1
60QS004858	60QS004858	S01010018	Toryglen and Oatlands - 03	96	97	.989690721649485
60QS004858	60QS004858	S01010019	Toryglen and Oatlands - 04	1	97	.0103092783505155
60QS004859	60QS004859	S01010021	Toryglen and Oatlands - 06	38	38	1
60QS004860	60QS004860	S01010021	Toryglen and Oatlands - 06	5	5	1
60QS004861	60QS004861	S01010021	Toryglen and Oatlands - 06	1	1	1
60QS004862	60QS004862	S01010021	Toryglen and Oatlands - 06	211	211	1
60QS004863	60QS004863	S01010021	Toryglen and Oatlands - 06	2	2	1
60QS004864	60QS004864	S01010021	Toryglen and Oatlands - 06	1	1	1
60QS004865	60QS004865	S01010021	Toryglen and Oatlands - 06	142	142	1
60QS004866	60QS004866	S01009945	Carnwadric East - 02	30	31	.967741935483871
60QS004866	60QS004866	S01009947	Carnwadric East - 04	1	31	.032258064516129
60QS004867	60QS004867	S01009945	Carnwadric East - 02	71	71	1
60QS004868	60QS004868	S01009938	Pollokshaws - 06	40	40	1
60QS004869	60QS004869	S01009938	Pollokshaws - 06	37	37	1
60QS004870	60QS004870	S01009945	Carnwadric East - 02	38	55	.690909090909091
60QS004870	60QS004870	S01009946	Carnwadric East - 03	17	55	.309090909090909
60QS004871	60QS004871	S01009946	Carnwadric East - 03	41	41	1
60QS004872	60QS004872	S01009937	Pollokshaws - 05	36	36	1
60QS004873	60QS004873	S01009937	Pollokshaws - 05	81	81	1
60QS004874	60QS004874	S01009935	Pollokshaws - 03	1	1	1
60QS004875	60QS004875	S01009935	Pollokshaws - 03	21	21	1
60QS004876	60QS004876	S01009935	Pollokshaws - 03	29	29	1
60QS004877	60QS004877	S01009935	Pollokshaws - 03	20	20	1
60QS004878	60QS004878	S01009933	Pollokshaws - 01	124	124	1
60QS004879	60QS004879	S01009933	Pollokshaws - 01	2	2	1
60QS004880	60QS004880	S01009933	Pollokshaws - 01	1	20	.05
60QS004880	60QS004880	S01009936	Pollokshaws - 04	19	20	.95
60QS004881	60QS004881	S01009933	Pollokshaws - 01	1	125	.008
60QS004881	60QS004881	S01009936	Pollokshaws - 04	124	125	.992
60QS004882	60QS004882	S01009948	Newlands - 01	1	48	.0208333333333333
60QS004882	60QS004882	S01009954	Newlands - 07	47	48	.979166666666667
60QS004883	60QS004883	S01009953	Newlands - 06	55	55	1
60QS004884	60QS004884	S01009948	Newlands - 01	33	33	1
60QS004885	60QS004885	S01009948	Newlands - 01	65	65	1
60QS004886	60QS004886	S01009948	Newlands - 01	91	91	1
60QS004887	60QS004887	S01009932	Langside - 06	1	119	.00840336134453781
60QS004887	60QS004887	S01009934	Pollokshaws - 02	118	119	.991596638655462
60QS004888	60QS004888	S01009932	Langside - 06	1	34	.0294117647058824
60QS004888	60QS004888	S01009957	Merrylee and Millbrae - 03	33	34	.970588235294118
60QS004889	60QS004889	S01009950	Newlands - 03	2	2	1
60QS004890	60QS004890	S01009950	Newlands - 03	44	44	1
60QS004891	60QS004891	S01009960	Muirend and Old Cathcart - 02	47	47	1
60QS004892	60QS004892	S01009960	Muirend and Old Cathcart - 02	58	58	1
60QS004893	60QS004893	S01009960	Muirend and Old Cathcart - 02	57	57	1
60QS004894	60QS004894	S01009960	Muirend and Old Cathcart - 02	79	79	1
60QS004895	60QS004895	S01009962	Muirend and Old Cathcart - 04	52	52	1
60QS004896	60QS004896	S01009962	Muirend and Old Cathcart - 04	1	19	.0526315789473684
60QS004896	60QS004896	S01009963	Muirend and Old Cathcart - 05	18	19	.947368421052632
60QS004897	60QS004897	S01009962	Muirend and Old Cathcart - 04	1	1	1
60QS004898	60QS004898	S01009960	Muirend and Old Cathcart - 02	16	130	.123076923076923
60QS004898	60QS004898	S01009962	Muirend and Old Cathcart - 04	114	130	.876923076923077
60QS004899	60QS004899	S01009962	Muirend and Old Cathcart - 04	67	67	1
60QS004900	60QS004900	S01010008	Cathcart - 04	103	103	1
60QS004901	60QS004901	S01010008	Cathcart - 04	95	95	1
60QS004902	60QS004902	S01010005	Cathcart - 01	93	93	1
60QS004903	60QS004903	S01010007	Cathcart - 03	95	95	1
60QS004904	60QS004904	S01010007	Cathcart - 03	97	97	1
60QS004905	60QS004905	S01010004	Kingspark North - 06	74	74	1
60QS004906	60QS004906	S01010007	Cathcart - 03	35	35	1
60QS004907	60QS004907	S01010002	Kingspark North - 04	55	55	1
60QS004908	60QS004908	S01010002	Kingspark North - 04	39	39	1
60QS004909	60QS004909	S01010000	Kingspark North - 02	31	31	1
60QS004910	60QS004910	S01010000	Kingspark North - 02	1	61	.0163934426229508
60QS004910	60QS004910	S01010001	Kingspark North - 03	60	61	.983606557377049
60QS004911	60QS004911	S01009966	Carmunnock North - 02	78	78	1
60QS004912	60QS004912	S01009966	Carmunnock North - 02	29	29	1
60QS004913	60QS004913	S01009995	Kingspark South - 03	31	31	1
60QS004914	60QS004914	S01009995	Kingspark South - 03	62	62	1
60QS004915	60QS004915	S01009995	Kingspark South - 03	60	60	1
60QS004916	60QS004916	S01009996	Kingspark South - 04	30	31	.967741935483871
60QS004916	60QS004916	S01009997	Kingspark South - 05	1	31	.032258064516129
60QS004917	60QS004917	S01009974	Glenwood South - 02	41	41	1
60QS004918	60QS004918	S01009973	Glenwood South - 01	43	43	1
60QS004919	60QS004919	S01009976	Glenwood South - 04	61	61	1
60QS004920	60QS004920	S01009976	Glenwood South - 04	45	45	1
60QS004921	60QS004921	S01009975	Glenwood South - 03	14	80	.175
60QS004921	60QS004921	S01009976	Glenwood South - 04	40	80	.5
60QS004921	60QS004921	S01009977	Glenwood South - 05	26	80	.325
60QS004922	60QS004922	S01009976	Glenwood South - 04	45	45	1
60QS004923	60QS004923	S01009976	Glenwood South - 04	63	63	1
60QS004924	60QS004924	S01009987	Castlemilk - 02	71	71	1
60QS004925	60QS004925	S01009974	Glenwood South - 02	1	40	.025
60QS004925	60QS004925	S01009987	Castlemilk - 02	39	40	.975
60QS004926	60QS004926	S01009988	Castlemilk - 03	1	63	.0158730158730159
60QS004926	60QS004926	S01009989	Castlemilk - 04	62	63	.984126984126984
60QS004927	60QS004927	S01009989	Castlemilk - 04	31	32	.96875
60QS004927	60QS004927	S01009990	Castlemilk - 05	1	32	.03125
60QS004928	60QS004928	S01009986	Castlemilk - 01	73	73	1
60QS004929	60QS004929	S01009986	Castlemilk - 01	35	35	1
60QS004930	60QS004930	S01009979	Glenwood South - 07	121	121	1
60QS004931	60QS004931	S01009979	Glenwood South - 07	1	1	1
60QS004932	60QS004932	S01009979	Glenwood South - 07	120	120	1
60QS004933	60QS004933	S01009979	Glenwood South - 07	1	1	1
60QS004934	60QS004934	S01009978	Glenwood South - 06	120	120	1
60QS004935	60QS004935	S01009978	Glenwood South - 06	1	1	1
60QS004936	60QS004936	S01009978	Glenwood South - 06	1	1	1
60QS004937	60QS004937	S01009985	Glenwood North - 06	35	35	1
60QS004938	60QS004938	S01009983	Glenwood North - 04	1	32	.03125
60QS004938	60QS004938	S01009984	Glenwood North - 05	31	32	.96875
