"dz_2001","la_name","year","total","none"
"S01000087","Aberdeen City",2001,451,52
"S01000088","Aberdeen City",2001,443,111
"S01000089","Aberdeen City",2001,390,25
"S01000090","Aberdeen City",2001,507,95
"S01000091","Aberdeen City",2001,608,247
"S01000092","Aberdeen City",2001,565,223
"S01000093","Aberdeen City",2001,259,99
"S01000094","Aberdeen City",2001,390,143
"S01000095","Aberdeen City",2001,405,118
"S01000096","Aberdeen City",2001,412,212
"S01000097","Aberdeen City",2001,531,70
"S01000098","Aberdeen City",2001,871,454
"S01000099","Aberdeen City",2001,408,38
"S01000100","Aberdeen City",2001,428,150
"S01000101","Aberdeen City",2001,455,105
"S01000102","Aberdeen City",2001,530,297
"S01000103","Aberdeen City",2001,365,127
"S01000104","Aberdeen City",2001,387,22
"S01000105","Aberdeen City",2001,476,42
"S01000106","Aberdeen City",2001,278,34
"S01000107","Aberdeen City",2001,645,329
"S01000108","Aberdeen City",2001,408,225
"S01000109","Aberdeen City",2001,628,366
"S01000110","Aberdeen City",2001,478,121
"S01000111","Aberdeen City",2001,369,71
"S01000112","Aberdeen City",2001,664,368
"S01000113","Aberdeen City",2001,287,56
"S01000114","Aberdeen City",2001,365,157
"S01000115","Aberdeen City",2001,412,176
"S01000116","Aberdeen City",2001,613,231
"S01000117","Aberdeen City",2001,424,89
"S01000118","Aberdeen City",2001,344,99
"S01000119","Aberdeen City",2001,614,346
"S01000120","Aberdeen City",2001,401,144
"S01000121","Aberdeen City",2001,346,97
"S01000122","Aberdeen City",2001,345,170
"S01000123","Aberdeen City",2001,330,36
"S01000124","Aberdeen City",2001,678,362
"S01000125","Aberdeen City",2001,450,254
"S01000126","Aberdeen City",2001,569,376
"S01000127","Aberdeen City",2001,320,31
"S01000128","Aberdeen City",2001,680,416
"S01000129","Aberdeen City",2001,277,117
"S01000130","Aberdeen City",2001,751,408
"S01000131","Aberdeen City",2001,352,111
"S01000132","Aberdeen City",2001,432,137
"S01000133","Aberdeen City",2001,347,101
"S01000134","Aberdeen City",2001,331,161
"S01000135","Aberdeen City",2001,421,292
"S01000136","Aberdeen City",2001,307,135
"S01000137","Aberdeen City",2001,690,276
"S01000138","Aberdeen City",2001,540,286
"S01000139","Aberdeen City",2001,369,143
"S01000140","Aberdeen City",2001,410,135
"S01000141","Aberdeen City",2001,381,82
"S01000142","Aberdeen City",2001,338,166
"S01000143","Aberdeen City",2001,241,7
"S01000144","Aberdeen City",2001,392,214
"S01000145","Aberdeen City",2001,463,225
"S01000146","Aberdeen City",2001,924,535
"S01000147","Aberdeen City",2001,756,385
"S01000148","Aberdeen City",2001,303,164
"S01000149","Aberdeen City",2001,669,355
"S01000150","Aberdeen City",2001,278,119
"S01000151","Aberdeen City",2001,481,264
"S01000152","Aberdeen City",2001,572,163
"S01000153","Aberdeen City",2001,533,251
"S01000154","Aberdeen City",2001,250,84
"S01000155","Aberdeen City",2001,365,167
"S01000156","Aberdeen City",2001,509,299
"S01000157","Aberdeen City",2001,403,232
"S01000158","Aberdeen City",2001,454,202
"S01000159","Aberdeen City",2001,344,9
"S01000160","Aberdeen City",2001,337,109
"S01000161","Aberdeen City",2001,488,164
"S01000162","Aberdeen City",2001,433,178
"S01000163","Aberdeen City",2001,477,179
"S01000164","Aberdeen City",2001,344,204
"S01000165","Aberdeen City",2001,483,266
"S01000166","Aberdeen City",2001,634,254
"S01000167","Aberdeen City",2001,316,122
"S01000168","Aberdeen City",2001,433,151
"S01000169","Aberdeen City",2001,345,132
"S01000170","Aberdeen City",2001,662,243
"S01000171","Aberdeen City",2001,387,11
"S01000172","Aberdeen City",2001,213,67
"S01000173","Aberdeen City",2001,362,182
"S01000174","Aberdeen City",2001,286,4
"S01000175","Aberdeen City",2001,297,134
"S01000176","Aberdeen City",2001,384,156
"S01000177","Aberdeen City",2001,269,71
"S01000178","Aberdeen City",2001,308,121
"S01000179","Aberdeen City",2001,457,332
"S01000180","Aberdeen City",2001,351,107
"S01000181","Aberdeen City",2001,236,85
"S01000182","Aberdeen City",2001,334,115
"S01000183","Aberdeen City",2001,549,350
"S01000184","Aberdeen City",2001,371,114
"S01000185","Aberdeen City",2001,474,309
"S01000186","Aberdeen City",2001,499,227
"S01000187","Aberdeen City",2001,246,81
"S01000188","Aberdeen City",2001,533,321
"S01000189","Aberdeen City",2001,215,95
"S01000190","Aberdeen City",2001,363,146
"S01000191","Aberdeen City",2001,586,162
"S01000192","Aberdeen City",2001,369,195
"S01000193","Aberdeen City",2001,332,121
"S01000194","Aberdeen City",2001,365,208
"S01000195","Aberdeen City",2001,400,247
"S01000196","Aberdeen City",2001,317,160
"S01000197","Aberdeen City",2001,235,71
"S01000198","Aberdeen City",2001,334,166
"S01000199","Aberdeen City",2001,349,252
"S01000200","Aberdeen City",2001,486,240
"S01000201","Aberdeen City",2001,312,132
"S01000202","Aberdeen City",2001,461,173
"S01000203","Aberdeen City",2001,270,190
"S01000204","Aberdeen City",2001,250,97
"S01000205","Aberdeen City",2001,423,220
"S01000206","Aberdeen City",2001,360,105
"S01000207","Aberdeen City",2001,591,368
"S01000208","Aberdeen City",2001,481,307
"S01000209","Aberdeen City",2001,508,301
"S01000210","Aberdeen City",2001,415,255
"S01000211","Aberdeen City",2001,437,289
"S01000212","Aberdeen City",2001,331,122
"S01000213","Aberdeen City",2001,393,221
"S01000214","Aberdeen City",2001,231,85
"S01000215","Aberdeen City",2001,430,14
"S01000215","Aberdeenshire",2001,31,0
"S01000216","Aberdeen City",2001,290,87
"S01000217","Aberdeen City",2001,405,227
"S01000218","Aberdeen City",2001,336,113
"S01000219","Aberdeen City",2001,351,230
"S01000220","Aberdeen City",2001,307,121
"S01000221","Aberdeen City",2001,461,202
"S01000222","Aberdeen City",2001,330,97
"S01000223","Aberdeen City",2001,293,64
"S01000224","Aberdeen City",2001,385,105
"S01000225","Aberdeen City",2001,252,58
"S01000226","Aberdeen City",2001,279,41
"S01000227","Aberdeen City",2001,559,32
"S01000228","Aberdeen City",2001,401,100
"S01000229","Aberdeen City",2001,395,140
"S01000230","Aberdeen City",2001,394,89
"S01000231","Aberdeen City",2001,283,15
"S01000232","Aberdeen City",2001,296,117
"S01000233","Aberdeen City",2001,275,117
"S01000234","Aberdeen City",2001,328,28
"S01000235","Aberdeen City",2001,345,34
"S01000236","Aberdeen City",2001,295,52
"S01000237","Aberdeen City",2001,452,37
"S01000238","Aberdeen City",2001,229,12
"S01000239","Aberdeen City",2001,294,34
"S01000240","Aberdeen City",2001,280,46
"S01000241","Aberdeen City",2001,347,9
"S01000242","Aberdeen City",2001,300,76
"S01000243","Aberdeen City",2001,257,11
"S01000244","Aberdeen City",2001,565,155
"S01000245","Aberdeen City",2001,369,57
"S01000246","Aberdeen City",2001,284,52
"S01000247","Aberdeen City",2001,272,16
"S01000248","Aberdeen City",2001,345,29
"S01000249","Aberdeen City",2001,292,31
"S01000250","Aberdeen City",2001,275,16
"S01000251","Aberdeen City",2001,150,2
"S01000252","Aberdeen City",2001,344,21
"S01000253","Aberdeen City",2001,222,2
"S01000254","Aberdeen City",2001,316,18
"S01000255","Aberdeen City",2001,259,19
"S01000256","Aberdeen City",2001,418,103
"S01000257","Aberdeen City",2001,417,62
"S01000258","Aberdeen City",2001,239,7
"S01000259","Aberdeen City",2001,297,3
"S01000260","Aberdeen City",2001,330,13
"S01000261","Aberdeen City",2001,399,27
"S01000262","Aberdeen City",2001,405,66
"S01000263","Aberdeen City",2001,323,32
"S01000264","Aberdeen City",2001,484,104
"S01000265","Aberdeen City",2001,413,129
"S01000266","Aberdeen City",2001,586,99
"S01000267","Aberdeen City",2001,289,60
"S01000268","Aberdeenshire",2001,399,90
"S01000269","Aberdeenshire",2001,306,15
"S01000270","Aberdeenshire",2001,388,33
"S01000271","Aberdeenshire",2001,365,82
"S01000272","Aberdeenshire",2001,406,56
"S01000273","Aberdeenshire",2001,196,8
"S01000274","Aberdeenshire",2001,256,72
"S01000275","Aberdeenshire",2001,619,143
"S01000276","Aberdeenshire",2001,319,16
"S01000277","Aberdeenshire",2001,275,54
"S01000278","Aberdeenshire",2001,248,97
"S01000279","Aberdeenshire",2001,423,25
"S01000280","Aberdeenshire",2001,275,31
"S01000281","Aberdeenshire",2001,297,51
"S01000282","Aberdeenshire",2001,257,18
"S01000283","Aberdeenshire",2001,425,61
"S01000284","Aberdeenshire",2001,467,37
"S01000285","Aberdeenshire",2001,303,17
"S01000286","Aberdeenshire",2001,476,132
"S01000287","Aberdeenshire",2001,280,24
"S01000288","Aberdeenshire",2001,329,42
"S01000289","Aberdeenshire",2001,494,176
"S01000290","Aberdeenshire",2001,401,150
"S01000291","Aberdeenshire",2001,417,58
"S01000292","Aberdeenshire",2001,417,44
"S01000293","Aberdeenshire",2001,506,207
"S01000294","Aberdeenshire",2001,243,34
"S01000295","Aberdeenshire",2001,220,16
"S01000296","Aberdeenshire",2001,309,66
"S01000297","Aberdeenshire",2001,285,33
"S01000298","Aberdeenshire",2001,317,52
"S01000299","Aberdeenshire",2001,412,32
"S01000300","Aberdeenshire",2001,342,13
"S01000301","Aberdeenshire",2001,274,64
"S01000302","Aberdeenshire",2001,275,25
"S01000303","Aberdeenshire",2001,281,26
"S01000304","Aberdeenshire",2001,261,6
"S01000305","Aberdeenshire",2001,554,101
"S01000306","Aberdeenshire",2001,279,8
"S01000307","Aberdeenshire",2001,336,7
"S01000308","Aberdeenshire",2001,610,24
"S01000309","Aberdeenshire",2001,406,8
"S01000310","Aberdeenshire",2001,341,18
"S01000311","Aberdeenshire",2001,552,103
"S01000312","Aberdeenshire",2001,363,85
"S01000313","Aberdeenshire",2001,303,52
"S01000314","Aberdeenshire",2001,242,26
"S01000315","Aberdeenshire",2001,247,32
"S01000316","Aberdeenshire",2001,456,129
"S01000317","Aberdeenshire",2001,259,82
"S01000318","Aberdeenshire",2001,212,11
"S01000319","Aberdeenshire",2001,297,17
"S01000320","Aberdeenshire",2001,325,38
"S01000321","Aberdeenshire",2001,267,14
"S01000322","Aberdeenshire",2001,377,17
"S01000323","Aberdeenshire",2001,342,73
"S01000324","Aberdeenshire",2001,312,13
"S01000325","Aberdeenshire",2001,457,79
"S01000326","Aberdeenshire",2001,372,77
"S01000327","Aberdeenshire",2001,308,13
"S01000328","Aberdeenshire",2001,278,38
"S01000329","Aberdeenshire",2001,220,21
"S01000330","Aberdeenshire",2001,450,23
"S01000331","Aberdeenshire",2001,376,82
"S01000332","Aberdeenshire",2001,432,57
"S01000333","Aberdeenshire",2001,451,14
"S01000334","Aberdeenshire",2001,488,150
"S01000335","Aberdeenshire",2001,332,38
"S01000336","Aberdeenshire",2001,623,61
"S01000337","Aberdeenshire",2001,347,30
"S01000338","Aberdeenshire",2001,191,19
"S01000339","Aberdeenshire",2001,419,45
"S01000340","Aberdeenshire",2001,382,26
"S01000341","Aberdeenshire",2001,456,22
"S01000342","Aberdeenshire",2001,193,40
"S01000343","Aberdeenshire",2001,222,7
"S01000344","Aberdeenshire",2001,413,36
"S01000345","Aberdeenshire",2001,248,28
"S01000346","Aberdeenshire",2001,266,22
"S01000347","Aberdeenshire",2001,346,33
"S01000348","Aberdeenshire",2001,322,21
"S01000349","Aberdeenshire",2001,263,49
"S01000350","Aberdeenshire",2001,355,21
"S01000351","Aberdeenshire",2001,364,29
"S01000352","Aberdeenshire",2001,300,21
"S01000353","Aberdeenshire",2001,248,9
"S01000354","Aberdeenshire",2001,371,8
"S01000355","Aberdeenshire",2001,238,4
"S01000356","Aberdeenshire",2001,299,3
"S01000357","Aberdeenshire",2001,220,5
"S01000358","Aberdeenshire",2001,432,13
"S01000359","Aberdeenshire",2001,249,1
"S01000360","Aberdeenshire",2001,226,28
"S01000361","Aberdeenshire",2001,235,11
"S01000362","Aberdeenshire",2001,423,31
"S01000363","Aberdeenshire",2001,479,14
"S01000364","Aberdeenshire",2001,408,9
"S01000365","Aberdeenshire",2001,438,24
"S01000366","Aberdeenshire",2001,638,38
"S01000367","Aberdeenshire",2001,370,40
"S01000368","Aberdeenshire",2001,533,59
"S01000369","Aberdeenshire",2001,444,35
"S01000370","Aberdeenshire",2001,496,19
"S01000371","Aberdeenshire",2001,418,96
"S01000372","Aberdeenshire",2001,576,120
"S01000373","Aberdeenshire",2001,265,14
"S01000374","Aberdeenshire",2001,244,31
"S01000375","Aberdeenshire",2001,271,66
"S01000376","Aberdeenshire",2001,425,74
"S01000377","Aberdeenshire",2001,421,33
"S01000378","Aberdeenshire",2001,195,35
"S01000379","Aberdeenshire",2001,212,8
"S01000380","Aberdeenshire",2001,486,26
"S01000381","Aberdeenshire",2001,578,68
"S01000382","Aberdeenshire",2001,299,33
"S01000383","Aberdeenshire",2001,355,44
"S01000384","Aberdeenshire",2001,313,43
"S01000385","Aberdeenshire",2001,243,45
"S01000386","Aberdeenshire",2001,494,67
"S01000387","Aberdeenshire",2001,424,58
"S01000388","Aberdeenshire",2001,401,27
"S01000389","Aberdeenshire",2001,240,9
"S01000390","Aberdeenshire",2001,444,114
"S01000391","Aberdeenshire",2001,291,42
"S01000392","Aberdeenshire",2001,335,14
"S01000393","Aberdeenshire",2001,437,98
"S01000394","Aberdeenshire",2001,282,53
"S01000395","Aberdeenshire",2001,278,12
"S01000396","Aberdeenshire",2001,461,191
"S01000397","Aberdeenshire",2001,519,116
"S01000398","Aberdeenshire",2001,891,34
"S01000399","Aberdeenshire",2001,294,72
"S01000400","Aberdeenshire",2001,461,161
"S01000401","Aberdeenshire",2001,381,19
"S01000402","Aberdeenshire",2001,440,60
"S01000403","Aberdeenshire",2001,423,88
"S01000404","Aberdeenshire",2001,284,31
"S01000405","Aberdeenshire",2001,173,3
"S01000406","Aberdeenshire",2001,265,51
"S01000407","Aberdeenshire",2001,269,75
"S01000408","Aberdeenshire",2001,348,23
"S01000409","Aberdeenshire",2001,233,13
"S01000410","Aberdeenshire",2001,242,9
"S01000411","Aberdeenshire",2001,235,14
"S01000412","Aberdeenshire",2001,291,16
"S01000413","Aberdeenshire",2001,389,52
"S01000414","Aberdeenshire",2001,245,11
"S01000415","Aberdeenshire",2001,388,77
"S01000416","Aberdeenshire",2001,310,36
"S01000417","Aberdeenshire",2001,452,65
"S01000418","Aberdeenshire",2001,273,16
"S01000419","Aberdeenshire",2001,492,13
"S01000420","Aberdeenshire",2001,492,96
"S01000421","Aberdeenshire",2001,305,14
"S01000422","Aberdeenshire",2001,330,46
"S01000423","Aberdeenshire",2001,380,15
"S01000424","Aberdeenshire",2001,484,24
"S01000425","Aberdeenshire",2001,298,40
"S01000426","Aberdeenshire",2001,277,18
"S01000427","Aberdeenshire",2001,326,41
"S01000428","Aberdeenshire",2001,276,17
"S01000429","Aberdeenshire",2001,403,60
"S01000430","Aberdeenshire",2001,214,21
"S01000431","Aberdeenshire",2001,528,184
"S01000432","Aberdeenshire",2001,422,52
"S01000433","Aberdeenshire",2001,236,54
"S01000434","Aberdeenshire",2001,245,54
"S01000435","Aberdeenshire",2001,224,29
"S01000436","Aberdeenshire",2001,232,10
"S01000437","Aberdeenshire",2001,605,80
"S01000438","Aberdeenshire",2001,230,5
"S01000439","Aberdeenshire",2001,268,14
"S01000440","Aberdeenshire",2001,432,32
"S01000441","Aberdeenshire",2001,357,63
"S01000442","Aberdeenshire",2001,356,18
"S01000443","Aberdeenshire",2001,289,16
"S01000444","Aberdeenshire",2001,650,27
"S01000445","Aberdeenshire",2001,496,62
"S01000446","Aberdeenshire",2001,439,31
"S01000447","Aberdeenshire",2001,291,25
"S01000448","Aberdeenshire",2001,360,18
"S01000449","Aberdeenshire",2001,305,66
"S01000450","Aberdeenshire",2001,350,30
"S01000451","Aberdeenshire",2001,416,45
"S01000452","Aberdeenshire",2001,208,13
"S01000453","Aberdeenshire",2001,255,9
"S01000454","Aberdeenshire",2001,220,62
"S01000455","Aberdeenshire",2001,346,41
"S01000456","Aberdeenshire",2001,423,36
"S01000457","Aberdeenshire",2001,397,101
"S01000458","Aberdeenshire",2001,384,11
"S01000459","Aberdeenshire",2001,494,153
"S01000460","Aberdeenshire",2001,321,139
"S01000461","Aberdeenshire",2001,444,199
"S01000462","Aberdeenshire",2001,435,146
"S01000463","Aberdeenshire",2001,325,64
"S01000464","Aberdeenshire",2001,367,19
"S01000465","Aberdeenshire",2001,238,9
"S01000466","Aberdeenshire",2001,359,22
"S01000467","Aberdeenshire",2001,362,103
"S01000468","Aberdeenshire",2001,183,6
"S01000469","Aberdeenshire",2001,234,17
"S01000470","Aberdeenshire",2001,344,24
"S01000471","Aberdeenshire",2001,289,36
"S01000472","Aberdeenshire",2001,285,55
"S01000473","Aberdeenshire",2001,453,128
"S01000474","Aberdeenshire",2001,233,10
"S01000475","Aberdeenshire",2001,337,108
"S01000476","Aberdeenshire",2001,266,34
"S01000477","Aberdeenshire",2001,312,70
"S01000478","Aberdeenshire",2001,385,160
"S01000479","Aberdeenshire",2001,395,131
"S01000480","Aberdeenshire",2001,256,42
"S01000481","Aberdeenshire",2001,759,46
"S01000482","Aberdeenshire",2001,440,228
"S01000483","Aberdeenshire",2001,535,232
"S01000484","Aberdeenshire",2001,383,150
"S01000485","Aberdeenshire",2001,559,58
"S01000486","Aberdeenshire",2001,630,390
"S01000487","Aberdeenshire",2001,334,105
"S01000488","Aberdeenshire",2001,308,112
"S01000489","Aberdeenshire",2001,438,227
"S01000490","Aberdeenshire",2001,235,29
"S01000491","Aberdeenshire",2001,249,140
"S01000492","Aberdeenshire",2001,367,146
"S01000493","Aberdeenshire",2001,315,59
"S01000494","Aberdeenshire",2001,222,86
"S01000495","Aberdeenshire",2001,338,39
"S01000496","Aberdeenshire",2001,217,7
"S01000497","Aberdeenshire",2001,340,64
"S01000498","Aberdeenshire",2001,236,33
"S01000499","Aberdeenshire",2001,421,59
"S01000500","Aberdeenshire",2001,241,69
"S01000501","Aberdeenshire",2001,278,84
"S01000502","Aberdeenshire",2001,260,17
"S01000503","Aberdeenshire",2001,186,8
"S01000504","Aberdeenshire",2001,454,166
"S01000505","Aberdeenshire",2001,289,34
"S01000506","Aberdeenshire",2001,320,17
"S01000507","Aberdeenshire",2001,549,182
"S01000508","Aberdeenshire",2001,338,22
"S01000509","Aberdeenshire",2001,571,135
"S01000510","Aberdeenshire",2001,372,92
"S01000511","Aberdeenshire",2001,208,28
"S01000512","Aberdeenshire",2001,459,79
"S01000513","Aberdeenshire",2001,372,101
"S01000514","Aberdeenshire",2001,395,33
"S01000515","Aberdeenshire",2001,250,18
"S01000516","Aberdeenshire",2001,312,43
"S01000517","Aberdeenshire",2001,444,104
"S01000518","Aberdeenshire",2001,1059,266
"S01000519","Aberdeenshire",2001,181,7
"S01000520","Aberdeenshire",2001,518,55
"S01000521","Aberdeenshire",2001,500,151
"S01000522","Aberdeenshire",2001,239,19
"S01000523","Aberdeenshire",2001,322,84
"S01000524","Aberdeenshire",2001,234,13
"S01000525","Aberdeenshire",2001,378,36
"S01000526","Aberdeenshire",2001,402,17
"S01000527","Aberdeenshire",2001,275,13
"S01000528","Aberdeenshire",2001,359,16
"S01000529","Aberdeenshire",2001,426,17
"S01000530","Aberdeenshire",2001,182,10
"S01000531","Aberdeenshire",2001,300,58
"S01000532","Aberdeenshire",2001,356,113
"S01000533","Aberdeenshire",2001,317,87
"S01000534","Aberdeenshire",2001,437,168
"S01000535","Aberdeenshire",2001,520,135
"S01000536","Aberdeenshire",2001,210,29
"S01000537","Aberdeenshire",2001,520,27
"S01000538","Aberdeenshire",2001,336,106
"S01000539","Aberdeenshire",2001,597,223
"S01000540","Aberdeenshire",2001,413,104
"S01000541","Aberdeenshire",2001,248,95
"S01000542","Aberdeenshire",2001,290,98
"S01000543","Aberdeenshire",2001,402,77
"S01000544","Aberdeenshire",2001,304,57
"S01000545","Aberdeenshire",2001,323,105
"S01000546","Aberdeenshire",2001,315,90
"S01000547","Aberdeenshire",2001,236,66
"S01000548","Aberdeenshire",2001,553,121
"S01000549","Aberdeenshire",2001,407,22
"S01000550","Aberdeenshire",2001,179,3
"S01000551","Aberdeenshire",2001,416,119
"S01000552","Aberdeenshire",2001,204,17
"S01000553","Aberdeenshire",2001,619,144
"S01000554","Aberdeenshire",2001,378,113
"S01000555","Aberdeenshire",2001,387,126
"S01000556","Aberdeenshire",2001,392,113
"S01000557","Aberdeenshire",2001,455,139
"S01000558","Aberdeenshire",2001,221,36
"S01000559","Aberdeenshire",2001,315,128
"S01000560","Aberdeenshire",2001,440,162
"S01000561","Aberdeenshire",2001,545,266
"S01000562","Aberdeenshire",2001,493,240
"S01000563","Aberdeenshire",2001,464,242
"S01000564","Aberdeenshire",2001,381,197
"S01000565","Aberdeenshire",2001,365,105
"S01000566","Aberdeenshire",2001,319,107
"S01000567","Aberdeenshire",2001,336,133
"S01000568","Aberdeenshire",2001,318,72
"S01000569","Angus",2001,329,69
"S01000570","Angus",2001,414,99
"S01000571","Angus",2001,438,180
"S01000572","Angus",2001,305,25
"S01000573","Angus",2001,206,5
"S01000574","Angus",2001,351,57
"S01000575","Angus",2001,282,85
"S01000576","Angus",2001,255,14
"S01000577","Angus",2001,227,33
"S01000578","Angus",2001,287,61
"S01000579","Angus",2001,310,27
"S01000580","Angus",2001,317,23
"S01000581","Angus",2001,520,64
"S01000582","Angus",2001,283,64
"S01000583","Angus",2001,425,74
"S01000584","Angus",2001,424,158
"S01000585","Angus",2001,483,161
"S01000586","Angus",2001,309,44
"S01000587","Angus",2001,304,114
"S01000588","Angus",2001,260,57
"S01000589","Angus",2001,300,64
"S01000590","Angus",2001,315,48
"S01000591","Angus",2001,394,55
"S01000592","Angus",2001,379,75
"S01000593","Angus",2001,584,25
"S01000594","Angus",2001,329,29
"S01000595","Angus",2001,325,59
"S01000596","Angus",2001,335,24
"S01000597","Angus",2001,401,34
"S01000598","Angus",2001,508,46
"S01000599","Angus",2001,458,50
"S01000600","Angus",2001,306,33
"S01000601","Angus",2001,408,20
"S01000602","Angus",2001,286,37
"S01000603","Angus",2001,359,16
"S01000604","Angus",2001,361,24
"S01000605","Angus",2001,311,63
"S01000606","Angus",2001,464,242
"S01000607","Angus",2001,348,73
"S01000608","Angus",2001,653,360
"S01000609","Angus",2001,483,243
"S01000610","Angus",2001,443,249
"S01000611","Angus",2001,296,129
"S01000612","Angus",2001,545,252
"S01000613","Angus",2001,560,183
"S01000614","Angus",2001,301,62
"S01000615","Angus",2001,547,327
"S01000616","Angus",2001,650,81
"S01000617","Angus",2001,279,65
"S01000618","Angus",2001,343,95
"S01000619","Angus",2001,285,56
"S01000620","Angus",2001,418,232
"S01000621","Angus",2001,672,283
"S01000622","Angus",2001,258,126
"S01000623","Angus",2001,286,108
"S01000624","Angus",2001,333,130
"S01000625","Angus",2001,323,166
"S01000626","Angus",2001,308,162
"S01000627","Angus",2001,399,133
"S01000628","Angus",2001,243,104
"S01000629","Angus",2001,236,26
"S01000630","Angus",2001,570,202
"S01000631","Angus",2001,362,156
"S01000632","Angus",2001,232,13
"S01000633","Angus",2001,221,18
"S01000634","Angus",2001,422,176
"S01000635","Angus",2001,248,50
"S01000636","Angus",2001,236,15
"S01000637","Angus",2001,303,19
"S01000638","Angus",2001,282,6
"S01000639","Angus",2001,271,30
"S01000640","Angus",2001,566,55
"S01000641","Angus",2001,319,36
"S01000642","Angus",2001,331,44
"S01000643","Angus",2001,395,45
"S01000644","Angus",2001,767,75
"S01000645","Angus",2001,440,46
"S01000646","Angus",2001,356,65
"S01000647","Angus",2001,366,93
"S01000648","Angus",2001,481,193
"S01000649","Angus",2001,237,13
"S01000650","Angus",2001,298,101
"S01000651","Angus",2001,418,125
"S01000652","Angus",2001,422,95
"S01000653","Angus",2001,446,187
"S01000654","Angus",2001,382,131
"S01000655","Angus",2001,370,131
"S01000656","Angus",2001,374,127
"S01000657","Angus",2001,369,143
"S01000658","Angus",2001,284,128
"S01000659","Angus",2001,641,158
"S01000660","Angus",2001,396,46
"S01000661","Angus",2001,512,154
"S01000662","Angus",2001,283,35
"S01000663","Angus",2001,291,58
"S01000664","Angus",2001,367,58
"S01000665","Angus",2001,305,48
"S01000666","Angus",2001,280,26
"S01000667","Angus",2001,441,88
"S01000668","Angus",2001,417,162
