"output_area","ALL PEOPLE","In an unshared dwelling","House or bungalow","     Detached","     Semi-detached","     Terraced (including end-terrace)","  Flat, maisonette or apartment","     In a purpose-built block of flats","     Part of a converted or shared house","     In a commercial building","  Caravan or other mobile or temporary structure","In a shared dwelling"
"60QA000242",117,117,2,2,0,0,115,99,10,6,0,0
"60QA000243",65,65,0,0,0,0,65,64,1,0,0,0
"60QA000244",75,75,0,0,0,0,75,73,2,0,0,0
"60QA000245",67,67,0,0,0,0,67,52,15,0,0,0
"60QA000246",103,103,4,0,0,4,99,93,5,1,0,0
"60QA000247",68,68,0,0,0,0,68,64,4,0,0,0
"60QA000248",105,105,19,7,1,11,86,78,8,0,0,0
"60QA000249",63,63,4,2,2,0,59,57,2,0,0,0
"60QA000250",71,70,1,0,0,1,69,63,5,1,0,1
"60QA000251",57,57,0,0,0,0,57,57,0,0,0,0
"60QA000252",84,84,21,2,4,15,63,50,13,0,0,0
"60QA000253",92,92,0,0,0,0,92,88,4,0,0,0
"60QA000254",142,142,92,10,8,74,50,48,2,0,0,0
"60QA000255",113,113,5,2,0,3,108,99,9,0,0,0
"60QA000256",112,112,2,0,2,0,110,99,11,0,0,0
"60QA000257",89,89,39,0,17,22,50,34,14,2,0,0
"60QA000258",91,91,38,2,3,33,53,33,20,0,0,0
"60QA000259",96,96,36,3,4,29,60,27,33,0,0,0
"60QA000260",69,69,3,0,2,1,66,65,1,0,0,0
"60QA000261",210,210,135,22,39,74,74,45,24,5,1,0
"60QA000262",98,98,32,0,6,26,66,45,21,0,0,0
"60QA000263",87,87,3,0,0,3,84,79,5,0,0,0
"60QA000264",86,86,6,2,0,4,80,79,1,0,0,0
"60QA000265",145,145,130,2,16,112,15,9,6,0,0,0
"60QA000266",131,131,105,23,42,40,26,19,7,0,0,0
"60QA000267",115,115,108,0,24,84,7,5,0,2,0,0
"60QA000268",178,178,153,20,113,20,25,14,11,0,0,0
"60QA000269",179,179,164,43,90,31,15,7,8,0,0,0
"60QA000270",144,144,144,46,98,0,0,0,0,0,0,0
"60QA000271",121,121,118,13,101,4,3,3,0,0,0,0
"60QA000272",82,82,70,15,25,30,12,12,0,0,0,0
