"output_area","ALL PEOPLE","Good Health","Fairly Good Health","Not Good Health"
"60QA000425",93,65,22,6
"60QA000426",115,103,6,6
"60QA000427",160,144,13,3
"60QA000428",118,70,35,13
"60QA000429",113,89,19,5
"60QA000430",112,85,21,6
"60QA000431",143,135,7,1
"60QA000432",98,93,5,0
"60QA000433",209,179,25,5
"60QA000434",181,147,31,3
"60QA000435",72,48,17,7
"60QA000436",104,73,27,4
"60QA000437",161,133,26,2
"60QA000438",143,114,24,5
"60QA000439",148,121,23,4
"60QA000440",106,77,19,10
"60QA000441",140,110,24,6
"60QA000442",160,139,18,3
"60QA000443",102,69,28,5
"60QA000444",169,145,16,8
"60QA000445",132,110,17,5
"60QA000446",182,117,38,27
"60QA000447",125,104,19,2
"60QA000448",163,113,36,14
"60QA000449",104,83,12,9
"60QA000450",133,63,51,19
"60QA000451",65,47,16,2
"60QA000452",60,40,11,9
"60QA000453",94,68,18,8
"60QA000454",139,117,17,5
"60QA000455",128,105,18,5
"60QA000456",135,119,14,2
"60QA000457",153,126,15,12
"60QA000458",116,100,13,3
"60QA000459",68,58,7,3
"60QA000460",97,56,25,16
"60QA000461",131,86,30,15
"60QA000462",70,55,11,4
"60QA000463",94,60,27,7
"60QA000464",107,67,28,12
"60QA000465",89,42,23,24
"60QA000466",51,26,16,9
"60QA000467",59,24,24,11
"60QA000468",91,57,23,11
"60QA000469",68,28,21,19
"60QA000470",79,31,30,18
"60QA000471",122,69,29,24
"60QA000472",78,48,22,8
"60QA000473",59,45,10,4
"60QA000474",77,58,15,4
"60QA000475",96,29,36,31
"60QA000476",106,59,29,18
"60QA000477",72,40,24,8
"60QA000478",105,72,19,14
"60QA000479",146,104,31,11
"60QA000480",71,61,8,2
"60QA000481",178,98,27,53
"60QA000482",64,53,7,4
"60QA000483",122,67,34,21
"60QA000484",115,65,24,26
"60QA000485",61,40,13,8
"60QA000486",68,43,15,10
"60QA000487",90,57,22,11
"60QA000488",94,77,13,4
"60QA000489",70,48,15,7
"60QA000490",62,45,15,2
"60QA000491",73,56,15,2
"60QA000492",90,72,17,1
"60QA000493",67,32,22,13
"60QA000494",61,38,16,7
"60QA000495",103,21,43,39
"60QA000496",83,29,29,25
"60QA000497",112,65,28,19
"60QA000498",181,142,32,7
"60QA000499",129,90,23,16
"60QA000500",113,90,19,4
"60QA000501",67,16,23,28
"60QA000502",63,20,23,20
"60QA000503",77,18,30,29
"60QA000504",58,26,16,16
"60QA000505",65,23,22,20
"60QA000506",187,146,29,12
"60QA000507",132,82,36,14
"60QA000508",82,44,22,16
"60QA000509",98,56,30,12
"60QA000510",141,85,40,16
"60QA000511",129,84,33,12
"60QA000512",65,22,22,21
"60QA000513",64,20,20,24
"60QA000514",64,17,30,17
"60QA000515",99,64,19,16
"60QA000516",86,55,17,14
"60QA000517",113,76,25,12
"60QA000518",108,69,20,19
"60QA000519",123,78,37,8
"60QA000520",124,79,27,18
"60QA000521",75,46,21,8
"60QA000522",168,132,33,3
"60QA000523",329,243,63,23
"60QA000524",64,33,16,15
"60QA000525",162,80,67,15
"60QA000526",126,98,21,7
"60QA000527",91,60,21,10
"60QA000528",119,76,32,11
"60QA000529",126,101,21,4
"60QA000530",98,64,22,12
"60QA000531",108,57,34,17
"60QA000532",72,37,30,5
"60QA000533",105,29,45,31
"60QA000534",112,41,43,28
"60QA000535",107,59,35,13
"60QA000536",114,59,35,20
"60QA000537",150,95,37,18
"60QA000538",119,74,32,13
"60QA000539",67,39,18,10
"60QA000540",138,77,44,17
"60QA000541",91,54,29,8
"60QA000542",121,68,38,15
"60QA000543",79,36,27,16
"60QA000544",78,49,22,7
"60QA000545",91,51,29,11
"60QA000546",83,52,24,7
"60QA000547",87,44,29,14
"60QA000548",116,91,21,4
"60QA000549",94,44,30,20
"60QA000550",67,34,21,12
"60QA000551",65,19,27,19
"60QA000552",103,64,26,13
"60QA000553",150,80,42,28
"60QA000554",119,76,24,19
"60QA000555",95,48,34,13
"60QA000556",98,61,21,16
"60QA000557",83,28,35,20
"60QA000558",53,42,9,2
"60QA000559",106,54,33,19
"60QA000560",55,35,8,12
"60QA000561",128,88,26,14
"60QA000562",80,48,22,10
"60QA000563",118,76,27,15
"60QA000564",75,61,9,5
"60QA000565",137,85,42,10
"60QA000566",107,71,27,9
"60QA000567",87,52,26,9
"60QA000568",104,60,31,13
"60QA000569",75,43,21,11
"60QA000570",83,55,19,9
"60QA000571",157,103,38,16
"60QA000572",153,102,35,16
"60QA000573",129,85,36,8
"60QA000574",169,116,41,12
"60QA000575",112,46,33,33
"60QA000576",134,73,36,25
"60QA000577",128,97,24,7
"60QA000578",88,62,17,9
"60QA000579",96,69,20,7
"60QA000580",70,43,19,8
"60QA000581",84,62,14,8
"60QA000582",113,81,21,11
"60QA000583",113,75,25,13
"60QA000584",67,42,21,4
"60QA000585",84,60,17,7
"60QA000586",66,48,13,5
"60QA000587",66,41,18,7
"60QA000588",99,61,25,13
"60QA000589",73,39,23,11
"60QA000590",78,46,16,16
"60QA000591",79,60,11,8
"60QA000592",118,66,37,15
"60QA000593",110,78,22,10
"60QA000594",94,58,28,8
"60QA000595",108,77,22,9
"60QA000596",103,62,23,18
"60QA000597",77,46,23,8
"60QA000598",136,88,30,18
"60QA000599",208,135,50,23
"60QA000600",100,71,24,5
"60QA000601",68,42,17,9
"60QA000602",67,34,23,10
"60QA000603",64,42,15,7
"60QA000604",58,29,20,9
"60QA000605",52,36,14,2
"60QA000606",82,49,21,12
"60QA000607",78,50,20,8
"60QA000608",72,35,27,10
"60QA000609",69,39,18,12
"60QA000610",58,35,12,11
"60QA000611",191,110,51,30
"60QA000612",139,80,38,21
"60QA000613",118,92,19,7
"60QA000614",179,75,45,59
"60QA000615",85,49,20,16
"60QA000616",93,45,34,14
"60QA000617",76,46,20,10
"60QA000618",67,37,18,12
"60QA000619",157,81,56,20
"60QA000620",106,60,39,7
"60QA000621",109,69,31,9
"60QA000622",82,56,16,10
"60QA000623",100,56,35,9
"60QA000624",88,56,19,13
"60QA000625",63,38,16,9
"60QA000626",68,26,26,16
"60QA000627",97,49,35,13
"60QA000628",109,63,35,11
"60QA000629",194,141,47,6
"60QA000630",189,148,36,5
"60QA000631",58,44,11,3
"60QA000632",92,66,12,14
"60QA000633",112,75,25,12
"60QA000634",180,125,41,14
"60QA000635",87,52,26,9
"60QA000636",221,142,48,31
"60QA000637",160,124,26,10
"60QA000638",138,101,24,13
"60QA000639",141,106,24,11
"60QA000640",89,71,16,2
"60QA000641",120,89,22,9
"60QA000642",70,52,15,3
"60QA000643",57,35,16,6
"60QA000644",118,89,20,9
"60QA000645",144,101,30,13
"60QA000646",148,101,29,18
"60QA000647",127,58,48,21
"60QA000648",99,81,13,5
"60QA000649",98,74,18,6
"60QA000650",101,59,28,14
"60QA000651",126,98,24,4
"60QA000652",456,366,79,11
"60QA000653",126,92,25,9
"60QA000654",72,58,11,3
"60QA000655",89,69,18,2
"60QA000656",127,105,16,6
"60QA000657",81,59,18,4
"60QA000658",123,82,28,13
"60QA000659",178,135,40,3
"60QA000660",146,119,20,7
"60QA000661",107,68,24,15
"60QA000662",101,68,25,8
"60QA000663",117,82,24,11
"60QA000664",71,38,20,13
"60QA000665",100,83,15,2
"60QA000666",65,39,18,8
"60QA000667",102,76,18,8
"60QA000668",91,52,25,14
"60QA000669",102,69,26,7
"60QA000670",79,49,25,5
"60QA000671",118,52,41,25
"60QA000672",129,59,46,24
"60QA000673",75,43,23,9
"60QA000674",62,40,11,11
"60QA000675",63,44,16,3
"60QA000676",55,43,10,2
"60QA000677",86,57,24,5
"60QA000678",103,59,27,17
"60QA000679",130,90,34,6
"60QA000680",52,37,12,3
"60QA000681",74,61,8,5
"60QA000682",64,44,18,2
"60QA000683",114,93,18,3
"60QA000684",67,55,11,1
"60QA000685",57,42,9,6
"60QA000686",90,60,23,7
"60QA000687",77,47,20,10
"60QA000688",165,109,44,12
"60QA000689",123,60,40,23
"60QA000690",69,54,12,3
"60QA000691",74,60,12,2
"60QA000692",298,232,58,8
"60QA000693",113,80,25,8
"60QA000694",90,71,15,4
"60QA000695",125,99,22,4
"60QA000696",97,70,20,7
"60QA000697",64,50,11,3
"60QA000698",145,108,26,11
"60QA000699",103,80,16,7
"60QA000700",112,83,21,8
"60QA000701",129,107,15,7
"60QA000702",116,68,22,26
"60QA000703",67,29,27,11
"60QA000704",114,95,16,3
"60QA000705",136,81,31,24
"60QA000706",133,80,38,15
"60QA000707",117,91,19,7
"60QA000708",131,111,18,2
"60QA000709",160,139,14,7
"60QA000710",106,82,19,5
"60QA000711",133,42,77,14
"60QA000712",101,76,19,6
"60QA000713",169,138,20,11
"60QA000714",189,159,26,4
"60QA000715",182,155,23,4
"60QA000716",175,140,28,7
"60QA000717",101,88,8,5
"60QA000718",93,73,15,5
"60QA000719",94,79,9,6
"60QA000720",118,104,13,1
"60QA000721",103,81,15,7
"60QA000722",103,77,21,5
"60QA000723",166,131,28,7
"60QA000724",80,64,16,0
"60QA000725",131,112,16,3
"60QA000726",169,119,34,16
"60QA000727",95,70,15,10
"60QA000728",92,63,22,7
"60QA000729",67,54,10,3
"60QA000730",87,64,18,5
"60QA000731",104,74,22,8
"60QA000732",154,130,19,5
"60QA000733",152,116,28,8
"60QA000734",146,107,33,6
"60QA000735",161,143,14,4
"60QA000736",102,91,10,1
"60QA000737",156,142,7,7
"60QA000738",177,150,21,6
"60QA000739",104,82,19,3
"60QA000740",108,96,12,0
"60QA000741",126,103,20,3
"60QA000742",103,85,13,5
"60QA000743",109,91,11,7
"60QA000744",137,114,18,5
"60QA000745",116,97,14,5
"60QA000746",77,62,8,7
"60QA000747",69,62,5,2
"60QA000748",97,79,15,3
"60QA000749",106,77,21,8
"60QA000750",194,146,41,7
"60QA000751",87,62,21,4
"60QA000752",68,64,2,2
"60QA000753",103,84,15,4
"60QA000754",113,89,17,7
"60QA000755",129,108,16,5
"60QA000756",152,127,18,7
"60QA000757",86,58,19,9
"60QA000758",75,55,18,2
"60QA000759",67,58,8,1
"60QA000760",50,45,4,1
"60QA000761",108,89,16,3
"60QA000762",81,62,16,3
"60QA000763",90,67,20,3
"60QA000764",117,83,23,11
"60QA000765",66,58,8,0
"60QA000766",80,66,10,4
"60QA000767",97,66,19,12
"60QA000768",75,62,9,4
"60QA000769",136,91,28,17
"60QA000770",56,24,25,7
"60QA000771",62,48,8,6
"60QA000772",84,64,16,4
"60QA000773",89,71,12,6
"60QA000774",78,24,38,16
"60QA000775",83,70,7,6
"60QA000776",144,90,38,16
"60QA000777",108,70,32,6
"60QA000778",81,64,12,5
"60QA000779",73,60,10,3
"60QA000780",105,81,18,6
"60QA000781",257,195,42,20
"60QA000782",59,33,16,10
"60QA000783",60,40,8,12
"60QA000784",143,104,34,5
"60QA000785",120,100,17,3
"60QA000786",111,87,19,5
"60QA000787",107,85,18,4
"60QA000788",91,74,12,5
"60QA000789",156,116,30,10
"60QA000790",119,95,22,2
"60QA000791",89,35,36,18
"60QA000792",172,111,41,20
"60QA000793",74,47,20,7
"60QA000794",144,91,39,14
"60QA000795",87,54,24,9
"60QA000796",118,85,23,10
"60QA000797",100,65,28,7
"60QA000798",94,69,22,3
"60QA000799",115,73,25,17
"60QA000800",76,42,26,8
"60QA000801",99,65,26,8
"60QA000802",113,77,24,12
"60QA000803",142,103,28,11
"60QA000804",75,27,31,17
"60QA000805",102,59,30,13
"60QA000806",121,72,37,12
"60QA000807",140,89,40,11
"60QA000808",90,62,23,5
"60QA000809",169,91,51,27
"60QA000810",125,90,27,8
"60QA000811",133,84,27,22
"60QA000812",120,80,30,10
"60QA000813",79,47,18,14
"60QA000814",170,116,35,19
"60QA000815",166,100,46,20
"60QA000816",122,67,38,17
"60QA000817",124,93,27,4
"60QA000818",106,63,25,18
"60QA000819",119,71,33,15
"60QA000820",134,92,28,14
"60QA000821",96,57,30,9
"60QA000822",136,85,35,16
"60QA000823",100,63,25,12
"60QA000824",94,48,34,12
"60QA000825",161,90,50,21
"60QA000826",160,94,44,22
"60QA000827",148,94,28,26
"60QA000828",87,57,19,11
"60QA000829",89,64,19,6
"60QA000830",109,58,34,17
"60QA000831",92,61,27,4
"60QA000832",127,84,29,14
"60QA000833",117,72,35,10
"60QA000834",163,116,36,11
"60QA000835",83,51,23,9
"60QA000836",207,139,54,14
"60QA000837",146,103,29,14
"60QA000838",146,90,42,14
"60QA000839",96,64,20,12
"60QA000840",102,33,51,18
"60QA000841",118,54,38,26
"60QA000842",98,27,44,27
"60QA000843",140,73,49,18
"60QA000844",165,114,33,18
"60QA000845",119,71,30,18
"60QA000846",103,81,20,2
"60QA000847",118,61,39,18
"60QA000848",90,62,20,8
"60QA000849",72,34,27,11
"60QA000850",114,67,26,21
"60QA000851",143,105,31,7
"60QA000852",170,117,38,15
"60QA000853",144,98,35,11
"60QA000854",84,51,25,8
"60QA000855",111,57,41,13
"60QA000856",74,43,23,8
"60QA000857",106,86,16,4
"60QA000858",57,40,12,5
"60QA000859",133,101,24,8
"60QA000860",124,63,41,20
"60QA000861",151,99,37,15
"60QA000862",174,106,50,18
"60QA000863",167,111,45,11
"60QA000864",145,86,39,20
"60QA000865",113,84,18,11
"60QA000866",109,67,28,14
"60QA000867",113,57,31,25
"60QA000868",154,115,28,11
"60QA000869",148,107,32,9
"60QA000870",177,136,31,10
"60QA000871",121,101,17,3
"60QA000872",88,61,18,9
"60QA000873",222,177,28,17
"60QA000874",122,67,39,16
"60QA000875",111,57,31,23
"60QA000876",99,56,32,11
"60QA000877",87,60,17,10
"60QA000878",65,25,19,21
"60QA000879",358,95,83,180
"60QA000880",111,44,44,23
"60QA000881",103,79,20,4
"60QA000882",72,55,15,2
"60QA000883",86,53,25,8
"60QA000884",116,64,31,21
"60QA000885",138,77,37,24
"60QA000886",127,107,18,2
"60QA000887",115,91,21,3
"60QA000888",101,85,13,3
"60QA000889",161,121,27,13
"60QA000890",152,123,22,7
"60QA000891",109,78,24,7
"60QA000892",127,91,25,11
"60QA000893",90,56,24,10
"60QA000894",106,71,30,5
"60QA000895",66,36,26,4
"60QA000896",166,98,46,22
"60QA000897",170,108,42,20
"60QA000898",167,105,45,17
"60QA000899",91,58,24,9
"60QA000900",92,57,27,8
"60QA000901",111,66,34,11
"60QA000902",119,62,31,26
"60QA000903",115,90,18,7
"60QA000904",84,60,16,8
"60QA000905",159,104,41,14
"60QA000906",98,54,27,17
"60QA000907",88,57,22,9
"60QA000908",98,57,32,9
"60QA000909",87,64,17,6
"60QA000910",101,58,32,11
"60QA000911",123,89,26,8
"60QA000912",98,67,19,12
"60QA000913",126,82,29,15
"60QA000914",117,81,25,11
"60QA000915",101,62,26,13
"60QA000916",103,65,23,15
"60QA000917",138,85,33,20
"60QA000918",102,63,26,13
"60QA000919",88,61,21,6
"60QA000920",144,90,41,13
"60QA000921",73,39,21,13
"60QA000922",79,45,27,7
"60QA000923",105,62,28,15
"60QA000924",144,92,34,18
"60QA000925",117,73,30,14
"60QA000926",114,88,19,7
"60QA000927",65,35,20,10
"60QA000928",99,61,25,13
