"output_area","All people","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"
"S00115438",109,13,14,82
"S00115439",110,18,10,82
"S00115440",147,18,19,110
"S00115441",154,16,26,112
"S00115442",92,16,7,69
"S00115443",172,21,15,136
"S00115444",89,9,7,73
"S00115445",103,22,11,70
"S00115446",111,19,19,73
"S00115447",111,19,11,81
"S00115448",99,12,11,76
"S00115449",82,16,6,60
"S00115450",140,19,19,102
"S00115451",103,15,5,83
"S00115452",122,30,10,82
"S00115453",101,15,13,73
"S00115454",139,15,23,101
"S00115455",94,11,13,70
"S00115456",107,15,22,70
"S00115457",105,21,25,59
"S00115458",88,18,10,60
"S00115459",73,18,11,44
"S00115460",126,24,17,85
"S00115461",98,27,12,59
"S00115462",120,24,24,72
"S00115463",93,24,19,50
"S00115464",108,9,9,90
"S00115465",67,13,11,43
"S00115466",84,16,16,52
"S00115467",82,16,18,48
"S00115468",53,11,6,36
"S00115469",87,33,12,42
"S00115470",82,28,15,39
"S00115471",112,15,15,82
"S00115472",117,26,9,82
"S00115473",96,14,16,66
"S00115474",128,25,11,92
"S00115475",100,22,13,65
"S00115476",103,16,20,67
"S00115477",73,19,15,39
"S00115478",91,12,4,75
"S00115479",113,23,14,76
"S00115480",134,15,18,101
"S00115481",71,4,9,58
"S00115482",84,19,7,58
"S00115483",95,11,4,80
"S00115484",91,25,17,49
"S00115485",88,17,23,48
"S00115486",220,37,27,156
"S00115487",194,36,24,134
"S00115488",188,36,22,130
"S00115489",198,31,18,149
"S00115490",84,12,12,60
"S00115491",116,14,10,92
"S00115492",112,12,16,84
"S00115493",82,18,12,52
"S00115494",59,14,16,29
"S00115495",70,15,11,44
"S00115496",82,21,16,45
"S00115497",102,26,17,59
"S00115498",181,11,18,152
"S00115499",105,9,18,78
"S00115500",141,19,12,110
"S00115501",108,3,9,96
"S00115502",143,5,6,132
"S00115503",126,8,8,110
"S00115504",94,10,15,69
"S00115505",115,9,7,99
"S00115506",68,7,5,56
"S00115507",108,5,4,99
"S00115508",108,7,7,94
"S00115509",123,5,9,109
"S00115510",78,5,6,67
"S00115511",104,11,6,87
"S00115512",95,9,9,77
"S00115513",77,14,12,51
"S00115514",64,20,12,32
"S00115515",87,23,13,51
"S00115516",124,9,14,101
"S00115517",109,10,15,84
"S00115518",121,18,13,90
"S00115519",87,11,9,67
"S00115520",122,16,13,93
"S00115521",86,13,8,65
"S00115522",133,22,13,98
"S00115523",106,14,8,84
"S00115524",79,21,11,47
"S00115525",128,18,13,97
"S00115526",115,19,11,85
"S00115527",142,13,10,119
"S00115528",62,5,6,51
"S00115529",184,12,16,156
"S00115530",175,8,14,153
"S00115531",94,6,9,79
"S00115532",129,11,12,106
"S00115533",84,8,10,66
"S00115534",89,27,17,45
"S00115535",132,7,13,112
"S00115536",111,16,12,83
"S00115537",126,11,10,105
"S00115538",123,11,22,90
"S00115539",140,15,18,107
"S00115540",94,7,8,79
"S00115541",152,16,10,126
"S00115542",135,18,7,110
"S00115543",58,3,7,48
"S00115544",157,12,20,125
"S00115545",99,11,8,80
"S00115546",105,11,11,83
"S00115547",152,17,17,118
"S00115548",81,19,10,52
"S00115549",100,12,12,76
"S00115550",91,16,17,58
"S00115551",107,16,16,75
"S00115552",106,18,11,77
"S00115553",148,23,19,106
"S00115554",144,37,25,82
"S00115555",86,19,15,52
"S00115556",112,17,14,81
"S00115557",94,31,11,52
"S00115558",73,19,13,41
"S00115559",70,11,8,51
"S00115560",114,15,14,85
"S00115561",67,17,3,47
"S00115562",72,11,11,50
"S00115563",186,17,11,158
"S00115564",183,18,23,142
"S00115565",99,22,15,62
"S00115566",127,17,13,97
"S00115567",95,32,28,35
"S00115568",62,6,11,45
"S00115569",85,10,7,68
"S00115570",157,23,14,120
"S00115571",165,14,20,131
"S00115572",168,17,23,128
"S00115573",136,3,19,114
"S00115574",80,9,13,58
"S00115575",129,24,14,91
"S00115576",65,14,16,35
"S00115577",110,14,15,81
"S00115578",178,12,13,153
"S00115579",97,14,10,73
"S00115580",121,22,14,85
"S00115581",165,26,20,119
"S00115582",154,34,25,95
"S00115583",72,20,7,45
"S00115584",93,8,9,76
"S00115585",134,6,15,113
"S00115586",113,22,17,74
"S00115587",114,17,11,86
"S00115588",160,6,8,146
"S00115589",169,12,11,146
"S00115590",93,7,15,71
"S00115591",142,13,15,114
"S00115592",149,13,15,121
"S00115593",77,17,11,49
"S00115594",122,7,10,105
"S00115595",88,4,9,75
"S00115596",125,14,8,103
"S00115597",124,16,15,93
"S00115598",87,5,10,72
"S00115599",135,9,13,113
"S00115600",121,23,19,79
"S00115601",73,19,8,46
"S00115602",166,83,31,52
"S00115603",90,8,6,76
"S00115604",90,5,7,78
"S00115605",93,11,5,77
"S00115606",102,9,7,86
"S00115607",55,5,9,41
"S00115608",147,12,12,123
"S00115609",72,11,3,58
"S00115610",102,38,6,58
"S00115611",128,6,11,111
"S00115612",192,11,13,168
"S00115613",153,10,10,133
"S00115614",97,7,11,79
"S00115615",82,12,13,57
"S00115616",126,11,11,104
"S00115617",94,14,9,71
"S00115618",99,9,7,83
"S00115619",86,23,10,53
"S00115620",75,8,11,56
"S00115621",129,7,7,115
"S00115622",103,11,15,77
"S00115623",117,26,7,84
"S00115624",120,19,9,92
"S00115625",154,30,16,108
"S00115626",142,20,14,108
"S00115627",127,27,13,87
"S00115628",127,11,6,110
"S00115629",91,12,19,60
"S00115630",136,25,16,95
"S00115631",167,22,20,125
"S00115632",147,27,19,101
"S00115633",122,13,9,100
"S00115634",178,46,39,93
"S00115635",135,24,12,99
"S00115636",102,18,11,73
"S00115637",98,19,16,63
"S00115638",127,17,20,90
"S00115639",164,3,4,157
"S00115640",160,3,3,154
"S00115641",108,9,5,94
"S00115642",131,26,21,84
"S00115643",117,24,18,75
"S00115644",111,22,20,69
"S00115645",72,9,8,55
"S00115646",99,10,6,83
"S00115647",114,18,22,74
"S00115648",128,16,16,96
"S00115649",108,6,18,84
"S00115650",59,13,5,41
"S00115651",124,26,17,81
"S00115652",85,13,10,62
"S00115653",133,7,14,112
"S00115654",75,9,11,55
"S00115655",129,21,14,94
"S00115656",121,16,8,97
"S00115657",166,46,6,114
"S00115658",161,14,18,129
"S00115659",111,11,9,91
"S00115660",134,19,12,103
"S00115661",118,17,18,83
"S00115662",118,18,16,84
"S00115663",89,9,10,70
"S00115664",137,23,17,97
"S00115665",163,24,16,123
"S00115666",106,6,7,93
"S00115667",66,12,7,47
"S00115668",60,34,10,16
"S00115669",101,10,4,87
"S00115670",164,17,19,128
"S00115671",141,24,19,98
"S00115672",232,27,22,183
"S00115673",164,31,23,110
"S00115674",143,17,20,106
"S00115675",74,2,1,71
"S00115676",137,5,13,119
"S00115677",143,16,16,111
"S00115678",116,13,15,88
"S00115679",181,11,22,148
"S00115680",118,18,17,83
"S00115681",148,11,9,128
"S00115682",162,25,18,119
"S00115683",145,17,17,111
"S00115684",138,4,19,115
"S00115685",90,15,9,66
"S00115686",166,28,19,119
"S00115687",124,9,15,100
"S00115688",94,12,9,73
"S00115689",137,25,15,97
"S00115690",111,19,7,85
"S00115691",105,35,17,53
"S00115692",206,22,15,169
"S00115693",168,21,16,131
"S00115694",142,18,17,107
"S00115695",127,15,20,92
"S00115696",102,18,13,71
"S00115697",119,25,20,74
"S00115698",124,16,18,90
"S00115699",91,14,14,63
"S00115700",159,30,20,109
"S00115701",148,25,22,101
"S00115702",117,20,15,82
"S00115703",107,22,19,66
"S00115704",102,14,19,69
"S00115705",64,12,7,45
"S00115706",87,21,12,54
"S00115707",96,16,18,62
"S00115708",107,23,13,71
"S00115709",132,21,13,98
"S00115710",131,17,14,100
"S00115711",117,25,11,81
"S00115712",98,16,10,72
"S00115713",120,20,15,85
"S00115714",78,16,16,46
"S00115715",122,22,16,84
"S00115716",65,14,12,39
"S00115717",88,27,13,48
"S00115718",149,35,25,89
"S00115719",108,19,20,69
"S00115720",68,16,4,48
"S00115721",99,17,16,66
"S00115722",70,23,8,39
"S00115723",67,11,6,50
"S00115724",102,14,6,82
"S00115725",101,18,13,70
"S00115726",82,13,6,63
"S00115727",102,11,21,70
"S00115728",94,22,18,54
"S00115729",196,33,23,140
"S00115730",172,34,19,119
"S00115731",125,11,10,104
"S00115732",195,36,28,131
"S00115733",151,28,13,110
"S00115734",138,22,8,108
"S00115735",153,35,22,96
"S00115736",93,27,12,54
"S00115737",104,14,25,65
"S00115738",80,17,13,50
"S00115739",106,24,22,60
"S00115740",161,32,20,109
"S00115741",72,21,11,40
"S00115742",109,30,17,62
"S00115743",114,11,10,93
"S00115744",124,21,21,82
"S00115745",67,12,6,49
"S00115746",63,8,8,47
"S00115747",91,7,10,74
"S00115748",108,11,17,80
"S00115749",163,30,18,115
"S00115750",99,16,8,75
"S00115751",54,19,3,32
"S00115752",123,12,9,102
"S00115753",160,8,17,135
"S00115754",177,23,12,142
"S00115755",100,15,11,74
"S00115756",202,21,16,165
"S00115757",194,7,14,173
"S00115758",209,31,16,162
"S00115759",60,5,7,48
"S00115760",240,11,10,219
"S00115761",176,6,11,159
"S00115762",135,25,11,99
"S00115763",111,12,11,88
"S00115764",103,7,9,87
"S00115765",156,7,13,136
"S00115766",161,13,11,137
"S00115767",221,85,23,113
"S00115768",138,3,10,125
"S00115769",98,5,7,86
"S00115770",118,9,10,99
"S00115771",67,18,10,39
"S00115772",113,14,8,91
"S00115773",187,9,7,171
"S00115774",110,13,6,91
"S00115775",90,20,11,59
"S00115776",177,49,16,112
"S00115777",164,5,12,147
"S00115778",106,8,9,89
"S00115779",133,14,10,109
"S00115780",103,9,8,86
"S00115781",130,19,14,97
"S00115782",101,13,13,75
"S00115783",133,22,21,90
"S00115784",139,18,16,105
"S00115785",132,19,9,104
"S00115786",132,25,19,88
"S00115787",140,11,13,116
"S00115788",123,5,13,105
"S00115789",99,13,10,76
"S00115790",113,7,9,97
"S00115791",123,18,13,92
"S00115792",128,1,4,123
"S00115793",246,13,12,221
"S00115794",109,17,17,75
"S00115795",108,11,10,87
"S00115796",89,14,10,65
"S00115797",213,17,14,182
"S00115798",58,3,4,51
"S00115799",147,8,9,130
"S00115800",180,16,11,153
"S00115801",169,14,7,148
"S00115802",193,11,15,167
"S00115803",91,5,12,74
"S00115804",146,14,13,119
"S00115805",114,4,10,100
"S00115806",100,6,8,86
"S00115807",85,13,12,60
"S00115808",126,3,11,112
"S00115809",110,16,9,85
"S00115810",125,16,9,100
"S00115811",116,17,8,91
"S00115812",109,10,11,88
"S00115813",140,5,17,118
"S00115814",104,10,11,83
"S00115815",142,14,20,108
"S00115816",123,7,12,104
"S00115817",101,13,8,80
"S00115818",105,10,16,79
"S00115819",126,8,13,105
"S00115820",102,6,11,85
"S00115821",101,5,10,86
"S00115822",106,18,15,73
"S00115823",153,16,17,120
"S00115824",152,11,17,124
"S00115825",101,15,16,70
"S00115826",138,16,10,112
"S00115827",111,4,12,95
"S00115828",134,5,14,115
"S00115829",111,9,12,90
"S00115830",161,15,21,125
"S00115831",89,8,9,72
"S00115832",124,12,6,106
"S00115833",135,13,13,109
"S00115834",118,12,13,93
"S00115835",153,5,14,134
"S00115836",108,8,8,92
"S00115837",104,7,10,87
"S00115838",99,21,11,67
"S00115839",104,22,10,72
"S00115840",139,7,12,120
"S00115841",70,7,15,48
"S00115842",137,30,19,88
"S00115843",99,9,6,84
"S00115844",115,10,9,96
"S00115845",133,30,18,85
"S00115846",149,31,8,110
"S00115847",161,36,21,104
"S00115848",94,18,11,65
"S00115849",172,10,16,146
"S00115850",115,11,13,91
"S00115851",113,13,7,93
"S00115852",109,17,10,82
"S00115853",122,7,2,113
"S00115854",143,16,19,108
"S00115855",128,9,11,108
"S00115856",139,16,15,108
"S00115857",88,12,11,65
"S00115858",113,10,16,87
"S00115859",190,7,15,168
"S00115860",90,6,10,74
"S00115861",131,32,18,81
"S00115862",138,23,16,99
"S00115863",92,16,15,61
"S00115864",109,13,6,90
"S00115865",88,23,9,56
"S00115866",119,21,16,82
"S00115867",79,18,10,51
"S00115868",94,26,16,52
"S00115869",79,13,10,56
"S00115870",129,32,26,71
"S00115871",83,15,14,54
"S00115872",127,17,17,93
"S00115873",117,11,11,95
"S00115874",115,5,15,95
"S00115875",147,23,28,96
"S00115876",86,14,10,62
"S00115877",79,19,14,46
"S00115878",115,18,23,74
"S00115879",123,23,20,80
"S00115880",83,8,9,66
"S00115881",103,19,10,74
"S00115882",97,20,22,55
"S00115883",86,16,8,62
"S00115884",93,20,7,66
"S00115885",101,26,15,60
"S00115886",118,28,13,77
"S00115887",115,13,14,88
"S00115888",96,26,19,51
"S00115889",99,22,10,67
"S00115890",112,23,15,74
"S00115891",145,41,19,85
"S00115892",78,22,16,40
"S00115893",163,10,13,140
"S00115894",92,17,14,61
"S00115895",76,16,8,52
"S00115896",184,10,9,165
"S00115897",83,15,9,59
"S00115898",98,6,9,83
"S00115899",65,5,2,58
"S00115900",228,36,7,185
"S00115901",80,26,8,46
"S00115902",175,19,21,135
"S00115903",169,14,8,147
"S00115904",91,25,12,54
"S00115905",70,19,5,46
"S00115906",82,17,9,56
"S00115907",68,16,6,46
"S00115908",148,30,18,100
"S00115909",110,14,11,85
"S00115910",107,12,4,91
"S00115911",103,6,6,91
"S00115912",185,15,13,157
"S00115913",130,11,6,113
"S00115914",140,9,10,121
"S00115915",154,7,15,132
"S00115916",218,10,17,191
"S00115917",139,10,15,114
"S00115918",97,11,13,73
"S00115919",147,8,14,125
"S00115920",81,22,15,44
"S00115921",109,16,11,82
"S00115922",131,16,16,99
"S00115923",160,6,6,148
"S00115924",86,3,1,82
"S00115925",55,0,5,50
"S00115926",156,1,2,153
"S00115927",88,6,3,79
"S00115928",60,2,2,56
"S00115929",76,0,2,74
"S00115930",96,11,11,74
"S00115931",127,18,17,92
"S00115932",89,23,10,56
"S00115933",111,19,20,72
"S00115934",129,5,12,112
"S00115935",113,8,14,91
"S00115936",149,28,18,103
"S00115937",111,14,6,91
"S00115938",98,5,13,80
"S00115939",59,7,5,47
"S00115940",87,2,7,78
"S00115941",105,46,24,35
"S00115942",114,14,15,85
"S00115943",85,14,9,62
"S00115944",84,15,14,55
"S00115945",159,24,19,116
"S00115946",117,17,12,88
"S00115947",145,13,11,121
"S00115948",125,26,14,85
"S00115949",107,24,10,73
"S00115950",93,14,14,65
"S00115951",99,7,6,86
"S00115952",76,10,8,58
"S00115953",83,14,14,55
"S00115954",72,5,7,60
"S00115955",70,38,12,20
"S00115956",142,32,28,82
"S00115957",54,12,6,36
"S00115958",141,28,16,97
"S00115959",79,10,6,63
"S00115960",94,15,11,68
"S00115961",177,31,9,137
"S00115962",196,9,6,181
"S00115963",93,7,9,77
"S00115964",91,11,8,72
"S00115965",122,15,11,96
"S00115966",145,29,8,108
"S00115967",110,4,4,102
"S00115968",187,27,19,141
"S00115969",78,15,12,51
"S00115970",150,30,20,100
"S00115971",184,37,27,120
"S00115972",58,0,7,51
"S00115973",98,2,6,90
"S00115974",68,9,12,47
"S00115975",114,10,9,95
"S00115976",76,9,4,63
"S00115977",115,1,3,111
"S00115978",70,1,2,67
"S00115979",78,2,1,75
"S00115980",56,14,6,36
"S00115981",198,4,8,186
"S00115982",197,3,13,181
"S00115983",165,4,9,152
"S00115984",137,24,20,93
"S00115985",180,5,5,170
"S00115986",55,6,7,42
"S00115987",89,19,16,54
"S00115988",129,6,6,117
"S00115989",96,13,15,68
"S00115990",85,24,11,50
"S00115991",119,25,11,83
"S00115992",158,14,3,141
"S00115993",60,13,10,37
"S00115994",120,57,16,47
"S00115995",146,10,14,122
"S00115996",60,8,6,46
"S00115997",58,6,5,47
"S00115998",75,12,5,58
"S00115999",70,12,9,49
"S00116000",91,4,9,78
"S00116001",80,13,5,62
"S00116002",77,15,8,54
"S00116003",82,16,11,55
"S00116004",68,17,6,45
"S00116005",133,31,14,88
"S00116006",78,11,13,54
"S00116007",113,21,12,80
"S00116008",64,5,7,52
"S00116009",103,22,14,67
"S00116010",132,19,15,98
"S00116011",57,8,6,43
"S00116012",131,44,30,57
"S00116013",62,19,3,40
"S00116014",100,28,10,62
"S00116015",86,11,5,70
"S00116016",138,25,15,98
"S00116017",69,10,4,55
"S00116018",63,13,8,42
"S00116019",97,17,8,72
"S00116020",62,5,7,50
"S00116021",105,17,10,78
"S00116022",81,19,11,51
"S00116023",88,13,9,66
"S00116024",83,16,14,53
"S00116025",66,7,6,53
"S00116026",74,9,11,54
"S00116027",99,23,11,65
"S00116028",77,4,2,71
"S00116029",119,8,15,96
"S00116030",60,11,8,41
"S00116031",103,9,10,84
"S00116032",112,3,6,103
"S00116033",64,4,7,53
"S00116034",83,21,5,57
"S00116035",131,3,4,124
"S00116036",224,70,36,118
"S00116037",125,0,3,122
"S00116038",134,4,8,122
"S00116039",137,2,5,130
"S00116040",133,1,4,128
"S00116041",92,6,8,78
"S00116042",68,3,2,63
"S00116043",51,16,5,30
"S00116044",74,17,5,52
"S00116045",139,4,10,125
"S00116046",96,18,10,68
"S00116047",95,22,12,61
"S00116048",78,5,11,62
"S00116049",64,13,5,46
"S00116050",54,5,6,43
"S00116051",106,33,9,64
"S00116052",156,26,15,115
"S00116053",118,7,14,97
"S00116054",142,50,17,75
"S00116055",101,42,17,42
"S00116056",59,18,12,29
"S00116057",153,15,11,127
"S00116058",118,22,14,82
"S00116059",162,8,6,148
"S00116060",77,40,16,21
"S00116061",57,10,7,40
"S00116062",124,14,11,99
"S00116063",144,16,12,116
"S00116064",87,19,18,50
"S00116065",75,3,6,66
"S00116066",88,19,17,52
"S00116067",128,33,20,75
"S00116068",78,24,10,44
"S00116069",59,17,6,36
"S00116070",91,8,2,81
"S00116071",88,14,7,67
"S00116072",78,2,7,69
"S00116073",105,25,16,64
"S00116074",71,7,3,61
"S00116075",87,11,10,66
"S00116076",106,7,7,92
"S00116077",929,6,35,888
"S00116078",106,17,16,73
"S00116079",99,22,14,63
"S00116080",72,18,8,46
"S00116081",122,11,9,102
"S00116082",70,7,13,50
"S00116083",86,32,15,39
"S00116084",139,35,18,86
"S00116085",87,12,4,71
"S00116086",78,20,21,37
"S00116087",104,13,8,83
"S00116088",62,5,8,49
"S00116089",81,26,11,44
"S00116090",134,28,14,92
"S00116091",83,19,7,57
"S00116092",87,13,9,65
"S00116093",175,80,24,71
"S00116094",165,20,23,122
"S00116095",111,28,9,74
"S00116096",115,23,17,75
"S00116097",70,3,1,66
"S00116098",95,17,9,69
"S00116099",155,22,11,122
"S00116100",105,14,13,78
"S00116101",83,25,10,48
"S00116102",105,15,12,78
"S00116103",93,11,9,73
"S00116104",98,22,15,61
"S00116105",120,34,28,58
"S00116106",75,22,12,41
"S00116107",75,6,9,60
"S00116108",102,11,16,75
"S00116109",113,28,18,67
"S00116110",166,3,4,159
"S00116111",124,1,8,115
"S00116112",174,10,8,156
"S00116113",119,8,6,105
"S00116114",126,3,7,116
"S00116115",213,9,8,196
"S00116116",237,10,4,223
"S00116117",205,6,13,186
"S00116118",81,3,2,76
"S00116119",87,3,4,80
"S00116120",73,7,10,56
"S00116121",107,6,7,94
"S00116122",64,11,9,44
"S00116123",97,11,9,77
"S00116124",122,22,16,84
"S00116125",73,27,10,36
"S00116126",115,19,10,86
"S00116127",73,8,10,55
"S00116128",79,12,11,56
"S00116129",79,0,2,77
"S00116130",64,21,4,39
"S00116131",111,22,10,79
"S00116132",118,23,18,77
"S00116133",83,16,16,51
"S00116134",77,14,3,60
"S00116135",89,18,10,61
"S00116136",72,14,7,51
"S00116137",177,32,21,124
"S00116138",119,33,21,65
"S00116139",56,2,4,50
"S00116140",88,2,5,81
"S00116141",135,8,11,116
"S00116142",103,2,1,100
"S00116143",98,28,15,55
"S00116144",66,23,7,36
"S00116145",80,22,8,50
"S00116146",83,11,4,68
"S00116147",84,24,12,48
"S00116148",104,13,6,85
"S00116149",71,19,4,48
"S00116150",98,21,12,65
"S00116151",127,36,25,66
"S00116152",63,16,9,38
"S00116153",53,15,5,33
"S00116154",180,43,12,125
"S00116155",67,22,11,34
"S00116156",95,14,13,68
"S00116157",126,28,11,87
"S00116158",99,25,14,60
"S00116159",73,15,12,46
"S00116160",94,25,13,56
"S00116161",189,36,22,131
"S00116162",87,1,1,85
"S00116163",76,6,3,67
"S00116164",63,1,2,60
"S00116165",75,3,3,69
"S00116166",104,2,7,95
"S00116167",55,5,6,44
"S00116168",59,4,3,52
"S00116169",58,1,1,56
"S00116170",78,6,10,62
"S00116171",116,27,21,68
"S00116172",150,22,15,113
"S00116173",109,24,16,69
"S00116174",138,22,20,96
"S00116175",87,11,6,70
"S00116176",79,13,13,53
"S00116177",71,20,7,44
"S00116178",103,27,16,60
"S00116179",74,11,2,61
"S00116180",151,9,14,128
"S00116181",180,23,14,143
"S00116182",191,4,10,177
"S00116183",138,7,7,124
"S00116184",137,5,4,128
"S00116185",155,5,12,138
"S00116186",124,8,4,112
"S00116187",280,12,10,258
"S00116188",132,9,8,115
"S00116189",66,17,12,37
"S00116190",53,10,2,41
"S00116191",54,10,5,39
"S00116192",86,24,12,50
"S00116193",101,25,14,62
"S00116194",75,20,12,43
"S00116195",145,9,12,124
"S00116196",73,6,4,63
"S00116197",65,7,5,53
"S00116198",93,2,5,86
"S00116199",60,20,9,31
"S00116200",79,3,4,72
"S00116201",138,24,25,89
"S00116202",137,6,13,118
"S00116203",95,7,5,83
"S00116204",86,3,7,76
"S00116205",60,4,4,52
"S00116206",104,3,4,97
"S00116207",77,7,9,61
"S00116208",61,20,15,26
"S00116209",106,19,10,77
"S00116210",91,20,12,59
"S00116211",66,5,4,57
"S00116212",159,21,13,125
"S00116213",118,2,6,110
"S00116214",68,2,7,59
"S00116215",67,3,3,61
"S00116216",65,7,3,55
"S00116217",103,11,13,79
"S00116218",123,13,10,100
"S00116219",58,8,6,44
"S00116220",63,26,11,26
"S00116221",88,12,8,68
"S00116222",86,18,6,62
"S00116223",160,9,4,147
"S00116224",175,15,13,147
"S00116225",90,14,15,61
"S00116226",85,27,10,48
"S00116227",67,2,5,60
"S00116228",97,28,17,52
"S00116229",61,17,7,37
"S00116230",59,16,9,34
"S00116231",103,18,18,67
"S00116232",97,33,22,42
"S00116233",59,8,3,48
"S00116234",147,24,20,103
"S00116235",143,28,12,103
"S00116236",101,25,12,64
"S00116237",68,11,12,45
"S00116238",117,18,11,88
"S00116239",89,16,15,58
"S00116240",183,18,14,151
"S00116241",70,8,13,49
"S00116242",164,34,12,118
"S00116243",94,6,8,80
"S00116244",114,10,9,95
"S00116245",86,13,5,68
"S00116246",95,15,10,70
"S00116247",175,10,14,151
"S00116248",69,1,4,64
"S00116249",71,7,12,52
"S00116250",52,9,4,39
"S00116251",77,10,8,59
"S00116252",120,40,18,62
"S00116253",155,4,10,141
"S00116254",116,13,12,91
"S00116255",63,4,7,52
"S00116256",114,22,20,72
"S00116257",56,10,3,43
"S00116258",117,14,10,93
"S00116259",119,38,15,66
"S00116260",109,15,18,76
"S00116261",80,8,4,68
"S00116262",62,7,8,47
"S00116263",135,6,11,118
"S00116264",83,15,8,60
"S00116265",148,23,21,104
"S00116266",75,8,10,57
"S00116267",115,23,13,79
"S00116268",102,27,11,64
"S00116269",60,6,4,50
"S00116270",58,4,3,51
"S00116271",50,7,3,40
"S00116272",103,13,6,84
"S00116273",101,13,19,69
"S00116274",63,5,7,51
"S00116275",81,10,13,58
"S00116276",94,20,8,66
"S00116277",142,13,16,113
"S00116278",68,2,4,62
"S00116279",87,8,10,69
"S00116280",78,22,13,43
"S00116281",77,2,2,73
"S00116282",91,12,5,74
"S00116283",107,21,10,76
"S00116284",88,3,8,77
"S00116285",57,14,9,34
"S00116286",113,39,12,62
"S00116287",83,16,9,58
"S00116288",98,15,7,76
"S00116289",90,19,13,58
"S00116290",96,17,9,70
"S00116291",121,24,12,85
"S00116292",121,22,14,85
"S00116293",122,14,16,92
"S00116294",126,23,30,73
"S00116295",64,8,9,47
"S00116296",96,2,7,87
"S00116297",102,5,4,93
"S00116298",55,1,1,53
"S00116299",75,1,6,68
"S00116300",99,3,1,95
"S00116301",97,2,3,92
"S00116302",119,5,9,105
"S00116303",72,1,3,68
"S00116304",160,5,11,144
"S00116305",90,5,13,72
"S00116306",111,3,7,101
"S00116307",83,5,5,73
"S00116308",104,16,23,65
"S00116309",110,24,11,75
"S00116310",147,53,29,65
"S00116311",66,6,4,56
"S00116312",122,13,22,87
"S00116313",90,13,9,68
"S00116314",113,15,11,87
"S00116315",197,7,10,180
"S00116316",61,5,4,52
"S00116317",215,12,8,195
"S00116318",218,2,8,208
"S00116319",205,94,29,82
"S00116320",114,2,8,104
"S00116321",50,1,1,48
"S00116322",133,1,2,130
"S00116323",124,5,4,115
"S00116324",285,5,15,265
"S00116325",62,2,4,56
"S00116326",111,14,8,89
"S00116327",223,11,10,202
"S00116328",107,20,14,73
"S00116329",107,19,19,69
"S00116330",151,12,13,126
"S00116331",126,8,6,112
"S00116332",123,11,8,104
"S00116333",73,5,8,60
"S00116334",134,12,7,115
"S00116335",180,13,14,153
"S00116336",136,9,17,110
"S00116337",59,5,7,47
"S00116338",68,17,14,37
"S00116339",102,8,3,91
"S00116340",64,9,11,44
"S00116341",155,21,14,120
"S00116342",115,21,16,78
"S00116343",69,12,8,49
"S00116344",89,0,2,87
"S00116345",92,4,8,80
"S00116346",61,7,14,40
"S00116347",73,1,1,71
"S00116348",95,1,5,89
"S00116349",886,3,37,846
"S00116350",114,2,3,109
"S00116351",108,4,4,100
"S00116352",102,5,8,89
"S00116353",54,2,5,47
"S00116354",78,2,2,74
"S00116355",66,4,7,55
"S00116356",50,0,3,47
"S00116357",59,3,6,50
"S00116358",76,8,15,53
"S00116359",52,7,1,44
"S00116360",93,2,5,86
"S00116361",61,10,11,40
"S00116362",57,9,7,41
"S00116363",84,0,1,83
"S00116364",112,3,6,103
"S00116365",111,10,11,90
"S00116366",82,2,2,78
"S00116367",110,1,2,107
"S00116368",64,1,1,62
"S00116369",107,2,5,100
"S00116370",103,2,2,99
"S00116371",91,2,4,85
"S00116372",95,11,5,79
"S00116373",142,9,13,120
"S00116374",154,12,7,135
"S00116375",199,10,9,180
"S00116376",117,6,2,109
"S00116377",189,4,4,181
"S00116378",75,1,3,71
"S00116379",109,18,11,80
"S00116380",78,0,4,74
"S00116381",109,0,5,104
"S00116382",104,7,7,90
"S00116383",66,2,0,64
"S00116384",79,4,4,71
"S00116385",102,1,5,96
"S00116386",62,2,5,55
"S00116387",66,7,7,52
"S00116388",158,4,9,145
"S00116389",101,0,2,99
"S00116390",74,0,1,73
"S00116391",83,9,5,69
"S00116392",138,14,17,107
"S00116393",86,0,3,83
"S00116394",129,16,16,97
"S00116395",93,0,3,90
"S00116396",92,14,9,69
"S00116397",103,24,14,65
"S00116398",123,31,17,75
"S00116399",130,14,11,105
"S00116400",90,12,17,61
"S00116401",88,3,4,81
"S00116402",79,5,13,61
"S00116403",81,12,5,64
"S00116404",55,5,9,41
"S00116405",68,19,10,39
"S00116406",83,28,10,45
"S00116407",95,6,5,84
"S00116408",66,9,2,55
"S00116409",83,6,7,70
"S00116410",79,2,3,74
"S00116411",83,12,4,67
"S00116412",64,11,4,49
"S00116413",80,10,11,59
"S00116414",77,14,13,50
"S00116415",55,19,10,26
"S00116416",59,14,6,39
"S00116417",87,20,14,53
"S00116418",105,16,15,74
"S00116419",63,6,9,48
"S00116420",101,2,11,88
"S00116421",158,0,5,153
"S00116422",104,15,8,81
"S00116423",132,12,9,111
"S00116424",87,15,11,61
"S00116425",126,25,16,85
"S00116426",75,14,11,50
"S00116427",101,14,13,74
"S00116428",96,19,12,65
"S00116429",82,16,12,54
"S00116430",78,20,7,51
"S00116431",76,14,7,55
"S00116432",107,16,16,75
"S00116433",91,16,7,68
