"output_area","All people","Day-to-day activities limited a lot","Day-to-day activities limited a little","Day-to-day activities not limited"
"S00089370",107,22,22,63
"S00089371",123,12,20,91
"S00089372",63,7,7,49
"S00089373",97,7,4,86
"S00089374",97,41,4,52
"S00089375",137,13,19,105
"S00089376",135,7,11,117
"S00089377",82,5,6,71
"S00089378",103,4,13,86
"S00089379",169,4,17,148
"S00089380",156,3,11,142
"S00089381",108,3,15,90
"S00089382",126,6,18,102
"S00089383",108,5,10,93
"S00089384",106,5,8,93
"S00089385",189,42,36,111
"S00089386",208,33,29,146
"S00089387",158,10,22,126
"S00089388",159,1,16,142
"S00089389",98,6,12,80
"S00089390",93,7,9,77
"S00089391",101,12,20,69
"S00089392",85,15,8,62
"S00089393",86,8,12,66
"S00089394",68,14,12,42
"S00089395",111,9,15,87
"S00089396",72,18,13,41
"S00089397",101,11,11,79
"S00089398",96,9,6,81
"S00089399",51,24,13,14
"S00089400",98,4,8,86
"S00089401",73,10,10,53
"S00089402",84,12,10,62
"S00089403",98,3,12,83
"S00089404",95,3,14,78
"S00089405",112,0,10,102
"S00089406",145,1,13,131
"S00089407",128,7,11,110
"S00089408",104,5,8,91
"S00089409",117,3,14,100
"S00089410",121,1,9,111
"S00089411",98,0,7,91
"S00089412",190,9,23,158
"S00089413",188,4,18,166
"S00089414",63,9,8,46
"S00089415",97,10,6,81
"S00089416",151,1,12,138
"S00089417",133,6,13,114
"S00089418",149,7,18,124
"S00089419",118,5,12,101
"S00089420",142,6,11,125
"S00089421",171,4,9,158
"S00089422",88,6,14,68
"S00089423",163,4,10,149
"S00089424",144,3,6,135
"S00089425",183,1,8,174
"S00089426",189,1,2,186
"S00089427",79,3,7,69
"S00089428",83,4,3,76
"S00089429",135,10,13,112
"S00089430",126,15,23,88
"S00089431",138,50,18,70
"S00089432",61,4,5,52
"S00089433",74,5,8,61
"S00089434",80,3,6,71
"S00089435",120,3,10,107
"S00089436",117,3,6,108
"S00089437",142,2,9,131
"S00089438",154,10,13,131
"S00089439",112,1,12,99
"S00089440",59,4,3,52
"S00089441",83,5,10,68
"S00089442",106,4,19,83
"S00089443",63,3,5,55
"S00089444",132,1,3,128
"S00089445",145,2,3,140
"S00089446",109,2,1,106
"S00089447",92,1,2,89
"S00089448",104,3,4,97
"S00089449",141,3,8,130
"S00089450",94,6,7,81
"S00089451",91,29,11,51
"S00089452",99,17,22,60
"S00089453",110,10,9,91
"S00089454",76,18,5,53
"S00089455",93,17,19,57
"S00089456",128,13,18,97
"S00089457",85,4,6,75
"S00089458",79,2,2,75
"S00089459",61,0,9,52
"S00089460",84,26,31,27
"S00089461",104,17,10,77
"S00089462",87,10,6,71
"S00089463",132,7,9,116
"S00089464",133,2,9,122
"S00089465",84,3,2,79
"S00089466",98,32,12,54
"S00089467",82,3,5,74
"S00089468",68,3,4,61
"S00089469",114,1,6,107
"S00089470",72,1,4,67
"S00089471",73,3,3,67
"S00089472",83,8,12,63
"S00089473",94,6,9,79
"S00089474",129,10,8,111
"S00089475",70,0,5,65
