"dz_2001","la_name","year","total","not_good"
"S01000190","Aberdeen City",2001,887,90
"S01000191","Aberdeen City",2001,1951,100
"S01000192","Aberdeen City",2001,767,89
"S01000193","Aberdeen City",2001,920,111
"S01000194","Aberdeen City",2001,745,65
"S01000195","Aberdeen City",2001,697,99
"S01000196","Aberdeen City",2001,924,81
"S01000197","Aberdeen City",2001,610,56
"S01000198","Aberdeen City",2001,746,97
"S01000199","Aberdeen City",2001,716,102
"S01000200","Aberdeen City",2001,996,122
"S01000201","Aberdeen City",2001,654,102
"S01000202","Aberdeen City",2001,888,82
"S01000203","Aberdeen City",2001,536,64
"S01000204","Aberdeen City",2001,622,77
"S01000205","Aberdeen City",2001,1186,102
"S01000206","Aberdeen City",2001,926,96
"S01000207","Aberdeen City",2001,1006,120
"S01000208","Aberdeen City",2001,1200,221
"S01000209","Aberdeen City",2001,1291,142
"S01000210","Aberdeen City",2001,696,108
"S01000211","Aberdeen City",2001,892,197
"S01000212","Aberdeen City",2001,788,79
"S01000213","Aberdeen City",2001,672,113
"S01000214","Aberdeen City",2001,507,45
"S01000215","Aberdeen City",2001,1375,64
"S01000215","Aberdeenshire",2001,84,3
"S01000216","Aberdeen City",2001,619,54
"S01000217","Aberdeen City",2001,906,97
"S01000218","Aberdeen City",2001,718,80
"S01000219","Aberdeen City",2001,698,93
"S01000220","Aberdeen City",2001,1399,84
"S01000221","Aberdeen City",2001,897,173
"S01000222","Aberdeen City",2001,758,74
"S01000223","Aberdeen City",2001,622,49
"S01000224","Aberdeen City",2001,966,77
"S01000225","Aberdeen City",2001,595,40
"S01000226","Aberdeen City",2001,618,34
"S01000227","Aberdeen City",2001,1476,75
"S01000228","Aberdeen City",2001,763,44
"S01000229","Aberdeen City",2001,795,105
"S01000230","Aberdeen City",2001,881,72
"S01000231","Aberdeen City",2001,710,27
"S01000232","Aberdeen City",2001,669,60
"S01000233","Aberdeen City",2001,567,77
"S01000234","Aberdeen City",2001,762,43
"S01000235","Aberdeen City",2001,888,56
"S01000236","Aberdeen City",2001,680,47
"S01000237","Aberdeen City",2001,1110,57
"S01000238","Aberdeen City",2001,516,21
"S01000239","Aberdeen City",2001,733,43
"S01000240","Aberdeen City",2001,721,44
"S01000241","Aberdeen City",2001,1138,25
"S01000242","Aberdeen City",2001,690,37
"S01000243","Aberdeen City",2001,739,22
"S01000244","Aberdeen City",2001,1192,105
"S01000245","Aberdeen City",2001,953,69
"S01000246","Aberdeen City",2001,750,48
"S01000247","Aberdeen City",2001,767,27
"S01000248","Aberdeen City",2001,868,42
"S01000249","Aberdeen City",2001,738,49
"S01000250","Aberdeen City",2001,805,27
"S01000251","Aberdeen City",2001,501,17
"S01000252","Aberdeen City",2001,867,23
"S01000253","Aberdeen City",2001,745,12
"S01000254","Aberdeen City",2001,808,26
"S01000255","Aberdeen City",2001,632,23
"S01000256","Aberdeen City",2001,919,86
"S01000257","Aberdeen City",2001,1020,68
"S01000258","Aberdeen City",2001,666,13
"S01000259","Aberdeen City",2001,863,39
"S01000260","Aberdeen City",2001,890,14
"S01000261","Aberdeen City",2001,1007,57
"S01000262","Aberdeen City",2001,946,71
"S01000263","Aberdeen City",2001,794,33
"S01000264","Aberdeen City",2001,1232,105
"S01000265","Aberdeen City",2001,942,94
"S01000266","Aberdeen City",2001,1459,85
"S01000267","Aberdeen City",2001,691,69
"S01000268","Aberdeenshire",2001,979,64
"S01000269","Aberdeenshire",2001,830,43
"S01000270","Aberdeenshire",2001,964,57
"S01000271","Aberdeenshire",2001,906,85
"S01000272","Aberdeenshire",2001,1020,60
"S01000273","Aberdeenshire",2001,524,22
"S01000274","Aberdeenshire",2001,594,46
"S01000275","Aberdeenshire",2001,1434,94
"S01000276","Aberdeenshire",2001,972,31
"S01000277","Aberdeenshire",2001,674,28
"S01000278","Aberdeenshire",2001,537,55
"S01000279","Aberdeenshire",2001,1203,89
"S01000280","Aberdeenshire",2001,695,35
"S01000281","Aberdeenshire",2001,679,41
"S01000282","Aberdeenshire",2001,663,33
"S01000283","Aberdeenshire",2001,1044,60
"S01000284","Aberdeenshire",2001,1311,58
"S01000285","Aberdeenshire",2001,846,31
"S01000286","Aberdeenshire",2001,880,47
"S01000287","Aberdeenshire",2001,724,61
"S01000288","Aberdeenshire",2001,897,37
"S01000289","Aberdeenshire",2001,1003,80
"S01000290","Aberdeenshire",2001,955,60
"S01000291","Aberdeenshire",2001,1277,79
"S01000292","Aberdeenshire",2001,1118,51
"S01000293","Aberdeenshire",2001,890,94
"S01000294","Aberdeenshire",2001,699,38
"S01000295","Aberdeenshire",2001,607,30
"S01000296","Aberdeenshire",2001,685,35
"S01000297","Aberdeenshire",2001,736,37
"S01000298","Aberdeenshire",2001,882,34
"S01000299","Aberdeenshire",2001,1149,87
"S01000300","Aberdeenshire",2001,917,29
"S01000301","Aberdeenshire",2001,579,37
"S01000302","Aberdeenshire",2001,748,37
"S01000303","Aberdeenshire",2001,626,37
"S01000304","Aberdeenshire",2001,791,19
"S01000305","Aberdeenshire",2001,1423,78
"S01000306","Aberdeenshire",2001,746,22
"S01000307","Aberdeenshire",2001,991,31
"S01000308","Aberdeenshire",2001,1567,73
"S01000309","Aberdeenshire",2001,1064,32
"S01000310","Aberdeenshire",2001,899,27
"S01000311","Aberdeenshire",2001,1210,70
"S01000312","Aberdeenshire",2001,854,80
"S01000313","Aberdeenshire",2001,709,45
"S01000314","Aberdeenshire",2001,572,32
"S01000315","Aberdeenshire",2001,661,35
"S01000316","Aberdeenshire",2001,975,59
"S01000317","Aberdeenshire",2001,551,60
"S01000318","Aberdeenshire",2001,577,20
"S01000319","Aberdeenshire",2001,956,69
"S01000320","Aberdeenshire",2001,722,40
"S01000321","Aberdeenshire",2001,729,28
"S01000322","Aberdeenshire",2001,1083,24
"S01000323","Aberdeenshire",2001,888,49
"S01000324","Aberdeenshire",2001,870,31
"S01000325","Aberdeenshire",2001,1070,60
"S01000326","Aberdeenshire",2001,989,69
"S01000327","Aberdeenshire",2001,898,41
"S01000328","Aberdeenshire",2001,822,41
"S01000329","Aberdeenshire",2001,628,31
"S01000330","Aberdeenshire",2001,1255,57
"S01000331","Aberdeenshire",2001,819,75
"S01000332","Aberdeenshire",2001,1000,50
"S01000333","Aberdeenshire",2001,1242,52
"S01000334","Aberdeenshire",2001,1126,107
"S01000335","Aberdeenshire",2001,775,43
"S01000336","Aberdeenshire",2001,1664,112
"S01000337","Aberdeenshire",2001,846,56
"S01000338","Aberdeenshire",2001,508,50
"S01000339","Aberdeenshire",2001,1094,57
"S01000340","Aberdeenshire",2001,971,47
"S01000341","Aberdeenshire",2001,1220,72
"S01000342","Aberdeenshire",2001,387,37
"S01000343","Aberdeenshire",2001,644,59
"S01000344","Aberdeenshire",2001,1055,57
"S01000345","Aberdeenshire",2001,646,33
"S01000346","Aberdeenshire",2001,683,26
"S01000347","Aberdeenshire",2001,913,49
"S01000348","Aberdeenshire",2001,816,33
"S01000349","Aberdeenshire",2001,592,23
"S01000350","Aberdeenshire",2001,1002,36
"S01000351","Aberdeenshire",2001,1023,31
"S01000352","Aberdeenshire",2001,798,23
"S01000353","Aberdeenshire",2001,663,18
"S01000354","Aberdeenshire",2001,1194,102
"S01000355","Aberdeenshire",2001,707,23
"S01000356","Aberdeenshire",2001,818,24
"S01000357","Aberdeenshire",2001,682,16
"S01000358","Aberdeenshire",2001,1249,37
"S01000359","Aberdeenshire",2001,856,16
"S01000360","Aberdeenshire",2001,514,25
"S01000361","Aberdeenshire",2001,614,28
"S01000362","Aberdeenshire",2001,1140,41
"S01000363","Aberdeenshire",2001,1323,47
"S01000364","Aberdeenshire",2001,1118,63
"S01000365","Aberdeenshire",2001,1189,62
"S01000366","Aberdeenshire",2001,1665,53
"S01000367","Aberdeenshire",2001,938,51
"S01000368","Aberdeenshire",2001,1298,66
"S01000369","Aberdeenshire",2001,1075,59
"S01000370","Aberdeenshire",2001,1356,79
"S01000371","Aberdeenshire",2001,931,69
"S01000372","Aberdeenshire",2001,1514,98
"S01000373","Aberdeenshire",2001,695,29
"S01000374","Aberdeenshire",2001,611,32
"S01000375","Aberdeenshire",2001,646,51
"S01000376","Aberdeenshire",2001,1112,79
"S01000377","Aberdeenshire",2001,1054,40
"S01000378","Aberdeenshire",2001,581,24
"S01000379","Aberdeenshire",2001,574,17
"S01000380","Aberdeenshire",2001,1364,51
"S01000381","Aberdeenshire",2001,1537,82
"S01000382","Aberdeenshire",2001,755,33
"S01000383","Aberdeenshire",2001,871,42
"S01000384","Aberdeenshire",2001,731,62
"S01000385","Aberdeenshire",2001,574,39
"S01000386","Aberdeenshire",2001,1125,70
"S01000387","Aberdeenshire",2001,1067,55
"S01000388","Aberdeenshire",2001,1114,56
"S01000389","Aberdeenshire",2001,667,18
"S01000390","Aberdeenshire",2001,1073,76
"S01000391","Aberdeenshire",2001,773,94
"S01000392","Aberdeenshire",2001,885,32
"S01000393","Aberdeenshire",2001,1031,111
"S01000394","Aberdeenshire",2001,688,30
"S01000395","Aberdeenshire",2001,694,35
"S01000396","Aberdeenshire",2001,940,106
"S01000397","Aberdeenshire",2001,1165,70
"S01000398","Aberdeenshire",2001,2463,70
"S01000399","Aberdeenshire",2001,577,38
"S01000400","Aberdeenshire",2001,939,82
"S01000401","Aberdeenshire",2001,1029,36
"S01000402","Aberdeenshire",2001,1021,62
"S01000403","Aberdeenshire",2001,939,51
"S01000404","Aberdeenshire",2001,756,38
"S01000405","Aberdeenshire",2001,474,17
"S01000406","Aberdeenshire",2001,629,54
"S01000407","Aberdeenshire",2001,658,38
"S01000408","Aberdeenshire",2001,907,33
"S01000409","Aberdeenshire",2001,666,21
"S01000410","Aberdeenshire",2001,664,27
"S01000411","Aberdeenshire",2001,631,22
"S01000412","Aberdeenshire",2001,787,31
"S01000413","Aberdeenshire",2001,961,44
"S01000414","Aberdeenshire",2001,721,24
"S01000415","Aberdeenshire",2001,913,67
"S01000416","Aberdeenshire",2001,776,23
"S01000417","Aberdeenshire",2001,1148,65
"S01000418","Aberdeenshire",2001,723,40
"S01000419","Aberdeenshire",2001,1392,42
"S01000420","Aberdeenshire",2001,1226,63
"S01000421","Aberdeenshire",2001,804,28
"S01000422","Aberdeenshire",2001,844,90
"S01000423","Aberdeenshire",2001,1082,30
"S01000424","Aberdeenshire",2001,1443,65
"S01000425","Aberdeenshire",2001,780,36
"S01000426","Aberdeenshire",2001,797,25
"S01000427","Aberdeenshire",2001,785,26
"S01000428","Aberdeenshire",2001,777,23
"S01000429","Aberdeenshire",2001,927,48
"S01000430","Aberdeenshire",2001,570,26
"S01000431","Aberdeenshire",2001,1187,113
"S01000432","Aberdeenshire",2001,973,52
"S01000433","Aberdeenshire",2001,578,27
"S01000434","Aberdeenshire",2001,680,45
"S01000435","Aberdeenshire",2001,555,31
"S01000436","Aberdeenshire",2001,695,20
"S01000437","Aberdeenshire",2001,1539,102
"S01000438","Aberdeenshire",2001,698,20
"S01000439","Aberdeenshire",2001,700,28
"S01000440","Aberdeenshire",2001,1124,53
"S01000441","Aberdeenshire",2001,871,80
"S01000442","Aberdeenshire",2001,962,45
"S01000443","Aberdeenshire",2001,773,46
"S01000444","Aberdeenshire",2001,1953,75
"S01000445","Aberdeenshire",2001,1225,86
"S01000446","Aberdeenshire",2001,1159,58
"S01000447","Aberdeenshire",2001,743,32
"S01000448","Aberdeenshire",2001,985,40
"S01000449","Aberdeenshire",2001,784,93
"S01000450","Aberdeenshire",2001,896,29
"S01000451","Aberdeenshire",2001,1062,64
"S01000452","Aberdeenshire",2001,561,24
"S01000453","Aberdeenshire",2001,774,73
"S01000454","Aberdeenshire",2001,493,41
"S01000455","Aberdeenshire",2001,870,73
"S01000456","Aberdeenshire",2001,992,62
"S01000457","Aberdeenshire",2001,872,67
"S01000458","Aberdeenshire",2001,1068,54
"S01000459","Aberdeenshire",2001,1037,68
"S01000460","Aberdeenshire",2001,769,73
"S01000461","Aberdeenshire",2001,863,83
"S01000462","Aberdeenshire",2001,1035,95
"S01000463","Aberdeenshire",2001,1119,61
"S01000464","Aberdeenshire",2001,906,60
"S01000465","Aberdeenshire",2001,629,44
"S01000466","Aberdeenshire",2001,983,40
"S01000467","Aberdeenshire",2001,805,99
"S01000468","Aberdeenshire",2001,520,28
"S01000469","Aberdeenshire",2001,689,23
"S01000470","Aberdeenshire",2001,1263,105
"S01000471","Aberdeenshire",2001,745,34
"S01000472","Aberdeenshire",2001,836,46
"S01000473","Aberdeenshire",2001,1173,77
"S01000474","Aberdeenshire",2001,648,30
"S01000475","Aberdeenshire",2001,887,74
"S01000476","Aberdeenshire",2001,730,51
"S01000477","Aberdeenshire",2001,777,45
"S01000478","Aberdeenshire",2001,869,106
"S01000479","Aberdeenshire",2001,967,110
"S01000480","Aberdeenshire",2001,665,39
"S01000481","Aberdeenshire",2001,1909,109
"S01000482","Aberdeenshire",2001,934,192
"S01000483","Aberdeenshire",2001,1073,112
"S01000484","Aberdeenshire",2001,806,54
"S01000485","Aberdeenshire",2001,1410,65
"S01000486","Aberdeenshire",2001,980,138
"S01000487","Aberdeenshire",2001,796,109
"S01000488","Aberdeenshire",2001,703,88
"S01000489","Aberdeenshire",2001,904,138
"S01000490","Aberdeenshire",2001,541,23
"S01000491","Aberdeenshire",2001,593,77
"S01000492","Aberdeenshire",2001,954,94
"S01000493","Aberdeenshire",2001,729,54
"S01000494","Aberdeenshire",2001,566,52
"S01000495","Aberdeenshire",2001,935,71
"S01000496","Aberdeenshire",2001,587,22
"S01000497","Aberdeenshire",2001,766,62
"S01000498","Aberdeenshire",2001,548,41
"S01000499","Aberdeenshire",2001,1081,67
"S01000500","Aberdeenshire",2001,675,53
"S01000501","Aberdeenshire",2001,621,56
"S01000502","Aberdeenshire",2001,772,58
"S01000503","Aberdeenshire",2001,533,66
"S01000504","Aberdeenshire",2001,845,78
"S01000505","Aberdeenshire",2001,757,42
"S01000506","Aberdeenshire",2001,858,81
"S01000507","Aberdeenshire",2001,1190,106
"S01000508","Aberdeenshire",2001,877,53
"S01000509","Aberdeenshire",2001,1349,95
"S01000510","Aberdeenshire",2001,805,48
"S01000511","Aberdeenshire",2001,556,45
"S01000512","Aberdeenshire",2001,1044,63
"S01000513","Aberdeenshire",2001,862,70
"S01000514","Aberdeenshire",2001,939,34
"S01000515","Aberdeenshire",2001,687,49
"S01000516","Aberdeenshire",2001,807,56
"S01000517","Aberdeenshire",2001,993,75
"S01000518","Aberdeenshire",2001,2385,185
"S01000519","Aberdeenshire",2001,476,32
"S01000520","Aberdeenshire",2001,1363,90
"S01000521","Aberdeenshire",2001,1154,137
"S01000522","Aberdeenshire",2001,612,60
"S01000523","Aberdeenshire",2001,793,73
"S01000524","Aberdeenshire",2001,647,54
"S01000525","Aberdeenshire",2001,987,103
"S01000526","Aberdeenshire",2001,1157,82
"S01000527","Aberdeenshire",2001,716,50
"S01000528","Aberdeenshire",2001,1061,71
"S01000529","Aberdeenshire",2001,1138,92
"S01000530","Aberdeenshire",2001,477,30
"S01000531","Aberdeenshire",2001,701,62
"S01000532","Aberdeenshire",2001,809,105
"S01000533","Aberdeenshire",2001,760,82
"S01000534","Aberdeenshire",2001,995,77
"S01000535","Aberdeenshire",2001,1156,81
"S01000536","Aberdeenshire",2001,519,36
"S01000537","Aberdeenshire",2001,1415,124
"S01000538","Aberdeenshire",2001,789,55
"S01000539","Aberdeenshire",2001,1181,122
"S01000540","Aberdeenshire",2001,977,102
"S01000541","Aberdeenshire",2001,552,50
"S01000542","Aberdeenshire",2001,672,65
"S01000543","Aberdeenshire",2001,1059,87
"S01000544","Aberdeenshire",2001,733,66
"S01000545","Aberdeenshire",2001,717,60
"S01000546","Aberdeenshire",2001,723,54
"S01000547","Aberdeenshire",2001,544,63
"S01000548","Aberdeenshire",2001,1227,146
"S01000549","Aberdeenshire",2001,1258,87
"S01000550","Aberdeenshire",2001,557,16
"S01000551","Aberdeenshire",2001,955,71
"S01000552","Aberdeenshire",2001,554,33
"S01000553","Aberdeenshire",2001,1577,114
"S01000554","Aberdeenshire",2001,998,87
"S01000555","Aberdeenshire",2001,904,89
"S01000556","Aberdeenshire",2001,1069,101
"S01000557","Aberdeenshire",2001,1063,102
"S01000558","Aberdeenshire",2001,564,69
"S01000559","Aberdeenshire",2001,707,90
"S01000560","Aberdeenshire",2001,1044,116
"S01000561","Aberdeenshire",2001,1034,132
"S01000562","Aberdeenshire",2001,1032,139
"S01000563","Aberdeenshire",2001,842,100
"S01000564","Aberdeenshire",2001,860,111
"S01000565","Aberdeenshire",2001,860,81
"S01000566","Aberdeenshire",2001,759,81
"S01000567","Aberdeenshire",2001,769,92
"S01000568","Aberdeenshire",2001,799,62
"S01000569","Angus",2001,742,51
"S01000570","Angus",2001,939,76
"S01000571","Angus",2001,780,90
"S01000572","Angus",2001,800,61
"S01000573","Angus",2001,600,22
"S01000574","Angus",2001,814,53
"S01000575","Angus",2001,608,57
"S01000576","Angus",2001,654,42
"S01000577","Angus",2001,595,31
"S01000578","Angus",2001,706,59
"S01000579","Angus",2001,1038,186
"S01000580","Angus",2001,774,43
"S01000581","Angus",2001,1285,87
"S01000582","Angus",2001,728,41
"S01000583","Angus",2001,1032,73
"S01000584","Angus",2001,890,92
"S01000585","Angus",2001,1017,108
"S01000586","Angus",2001,775,60
"S01000587","Angus",2001,702,68
"S01000588","Angus",2001,627,50
"S01000589","Angus",2001,645,51
"S01000590","Angus",2001,773,58
"S01000591","Angus",2001,922,82
"S01000592","Angus",2001,924,68
"S01000593","Angus",2001,1440,105
"S01000594","Angus",2001,1151,169
"S01000595","Angus",2001,839,47
"S01000596","Angus",2001,945,36
"S01000597","Angus",2001,1065,69
"S01000598","Angus",2001,1216,84
"S01000599","Angus",2001,1159,91
"S01000600","Angus",2001,742,51
"S01000601","Angus",2001,1072,82
"S01000602","Angus",2001,679,48
"S01000603","Angus",2001,933,68
"S01000604","Angus",2001,1000,55
"S01000605","Angus",2001,871,61
"S01000606","Angus",2001,1022,110
"S01000607","Angus",2001,784,61
"S01000608","Angus",2001,1181,130
"S01000609","Angus",2001,1009,98
"S01000610","Angus",2001,773,119
"S01000611","Angus",2001,624,48
"S01000612","Angus",2001,995,90
"S01000613","Angus",2001,1166,99
"S01000614","Angus",2001,722,63
"S01000615","Angus",2001,876,153
"S01000616","Angus",2001,2133,89
"S01000617","Angus",2001,634,50
"S01000618","Angus",2001,827,70
"S01000619","Angus",2001,714,50
"S01000620","Angus",2001,899,103
"S01000621","Angus",2001,1280,108
"S01000622","Angus",2001,653,54
"S01000623","Angus",2001,780,77
"S01000624","Angus",2001,746,72
"S01000625","Angus",2001,751,60
"S01000626","Angus",2001,822,82
"S01000627","Angus",2001,931,83
"S01000628","Angus",2001,559,62
"S01000629","Angus",2001,765,72
"S01000630","Angus",2001,1265,76
"S01000631","Angus",2001,802,77
"S01000632","Angus",2001,589,44
"S01000633","Angus",2001,632,34
"S01000634","Angus",2001,1004,86
"S01000635","Angus",2001,678,41
"S01000636","Angus",2001,609,55
"S01000637","Angus",2001,795,67
"S01000638","Angus",2001,713,39
"S01000639","Angus",2001,606,40
"S01000640","Angus",2001,1376,103
"S01000641","Angus",2001,785,62
"S01000642","Angus",2001,807,58
"S01000643","Angus",2001,994,73
"S01000644","Angus",2001,1828,145
"S01000645","Angus",2001,1070,65
"S01000646","Angus",2001,826,44
"S01000647","Angus",2001,877,73
"S01000648","Angus",2001,1066,101
"S01000649","Angus",2001,582,45
"S01000650","Angus",2001,737,74
"S01000651","Angus",2001,990,85
"S01000652","Angus",2001,1045,124
"S01000653","Angus",2001,909,100
"S01000654","Angus",2001,943,77
"S01000655","Angus",2001,797,81
"S01000656","Angus",2001,779,64
"S01000657","Angus",2001,760,90
