"output_area","All people aged 16 - 74","Number of people aged 16 - 74 Economically active Employees Part-time","Number of people aged 16 - 74 Economically active Employees Full-time","Number of people aged 16 - 74 Economically active Self employed","Number of people aged 16 - 74 Economically active Unemployed","Number of people aged 16 - 74 Economically active Full-time student","Number of people aged 16 - 74 Economically inactive Retired","Number of people aged 16 - 74 Economically inactive Student","Number of people aged 16 - 74 Economically inactive Looking after home/family","Number of people aged 16 - 74 Economically inactive Permanently sick/disabled","Number of people aged 16 - 74 Economically inactive Other","Number of unemployed people aged 16-74: Aged 16-24 years","Number of unemployed people aged 16-74: Aged 50 years and over","Number of unemployed people aged 16-74 who have never worked","Number of unemployed people aged 16-74 who are long-term unemployed"
"60QL000486",108,17,37,5,0,5,30,6,4,3,1,0,0,0,0
"60QL000487",49,7,13,2,4,1,9,1,4,4,4,37,0,0,24
"60QL000488",50,3,22,0,1,1,11,1,3,5,3,50,0,0,0
"60QL000489",56,7,15,3,1,2,13,3,4,4,4,0,0,0,56
"60QL000490",98,10,42,2,4,2,13,4,5,13,3,74,0,0,24
"60QL000491",69,6,33,4,1,1,8,1,6,7,2,69,0,0,0
"60QL000492",68,5,20,5,1,3,16,3,1,12,2,0,68,0,0
"60QL000493",65,12,22,5,5,1,5,0,0,12,3,0,13,0,39
"60QL000494",68,4,26,2,2,2,18,2,6,4,2,0,34,0,0
"60QL000495",56,8,32,0,0,2,6,1,0,4,3,0,0,0,0
"60QL000496",86,8,36,4,6,3,14,0,2,10,3,29,57,14,14
"60QL000497",66,2,37,1,7,2,9,1,1,4,2,0,9,0,28
"60QL000498",105,16,58,6,1,5,7,4,2,2,4,0,0,0,0
"60QL000499",66,2,34,3,5,3,11,0,0,7,1,0,13,0,26
"60QL000500",107,11,52,8,2,5,7,4,3,10,5,0,54,0,0
"60QL000501",98,4,49,4,0,5,9,11,3,10,3,0,0,0,0
"60QL000502",80,6,29,2,2,2,19,2,5,9,4,0,40,0,40
"60QL000503",135,21,57,8,2,7,15,4,7,6,8,0,135,0,135
"60QL000504",92,12,33,10,4,3,11,4,4,6,5,23,0,0,23
"60QL000505",42,3,16,1,0,1,14,0,1,2,4,0,0,0,0
"60QL000506",94,11,49,7,0,2,12,3,5,5,0,0,0,0,0
"60QL000507",107,12,54,7,2,7,15,4,3,3,0,0,54,0,54
"60QL000508",115,14,50,5,1,2,27,5,2,4,5,115,0,115,0
"60QL000509",135,19,47,11,2,8,25,8,7,5,3,68,68,0,0
"60QL000510",145,10,74,8,2,7,23,4,4,8,5,72,0,72,0
"60QL000511",117,16,44,7,2,3,31,2,7,5,0,0,117,0,58
"60QL000512",139,14,76,3,1,10,22,3,5,3,2,139,0,0,0
"60QL000513",93,10,31,3,7,4,19,2,8,5,4,27,40,0,40
"60QL000514",122,15,52,6,1,3,29,3,5,6,2,0,0,0,122
"60QL000515",87,7,37,2,3,1,15,4,1,12,5,29,0,0,29
"60QL000516",84,10,37,9,2,2,14,1,1,6,2,84,0,0,0
"60QL000517",115,11,51,0,4,3,12,1,1,26,6,29,29,0,29
"60QL000518",121,15,79,3,2,7,3,3,2,4,3,60,0,60,0
"60QL000519",151,11,83,14,5,4,10,7,10,3,4,0,91,0,30
"60QL000520",149,31,70,7,5,7,14,4,7,3,1,60,60,0,89
"60QL000521",100,15,45,10,1,5,12,5,3,3,1,100,0,0,0
"60QL000522",153,23,80,8,1,9,16,3,6,6,1,0,0,0,0
"60QL000523",170,28,83,7,1,6,17,12,8,7,1,0,0,0,170
"60QL000524",124,21,52,11,3,6,11,9,2,8,1,83,41,0,0
"60QL000525",112,16,50,10,2,8,14,4,2,3,3,56,0,0,56
"60QL000526",126,17,47,2,8,1,29,2,5,9,6,16,16,16,32
"60QL000527",108,21,45,9,2,3,12,5,4,5,2,0,54,0,0
"60QL000528",91,6,35,2,8,1,17,0,1,16,5,46,23,0,11
"60QL000529",79,12,35,6,6,2,5,1,4,4,4,13,13,0,53
"60QL000530",75,5,37,2,5,0,9,2,5,9,1,30,0,15,0
"60QL000531",70,5,21,1,3,2,14,3,10,7,4,0,0,0,23
"60QL000532",65,7,22,3,5,0,12,3,2,6,5,13,13,0,13
"60QL000533",91,12,42,3,8,3,9,2,2,8,2,23,11,0,23
"60QL000534",107,11,50,7,4,3,12,1,7,12,0,27,27,0,54
"60QL000535",129,11,48,4,10,2,16,7,9,15,7,26,13,0,39
"60QL000536",156,19,60,6,11,3,28,7,8,11,3,85,14,14,28
"60QL000537",109,12,50,5,1,9,15,5,2,5,5,109,0,0,0
"60QL000538",138,22,73,5,3,7,9,8,6,5,0,46,46,0,46
"60QL000539",115,10,54,8,3,8,14,5,7,4,2,77,38,38,0
"60QL000540",100,18,51,7,1,6,3,3,7,3,1,0,0,0,0
"60QL000541",105,10,65,5,3,6,3,2,5,4,2,35,0,0,0
"60QL000542",97,14,50,7,1,3,9,5,3,4,1,0,0,97,0
"60QL000543",128,24,61,3,0,13,8,5,7,7,0,0,0,0,0
"60QL000544",95,20,51,3,2,3,7,3,3,2,1,0,48,0,0
"60QL000545",131,19,57,18,1,7,13,6,7,1,2,131,0,131,0
"60QL000546",52,9,20,4,3,0,12,2,1,0,1,0,17,0,0
"60QL000547",93,11,44,4,3,2,15,5,6,2,1,31,62,0,0
"60QL000548",100,11,41,6,1,2,27,2,3,7,0,0,0,0,0
"60QL000549",87,6,29,4,2,1,24,4,5,12,0,44,0,0,87
"60QL000550",97,9,26,7,3,4,33,2,2,7,4,0,32,0,32
"60QL000551",82,7,33,4,1,1,25,2,1,6,2,0,0,0,82
"60QL000552",72,9,20,4,1,1,23,3,2,7,2,0,0,0,72
"60QL000553",89,6,42,4,4,2,18,4,0,8,1,44,22,0,22
"60QL000554",80,9,39,4,2,4,10,3,1,8,0,40,40,0,0
"60QL000555",52,6,17,1,0,2,10,2,5,8,1,0,0,0,0
"60QL000556",126,16,33,15,3,5,35,6,8,1,4,0,42,42,42
"60QL000557",58,5,24,5,1,1,15,1,2,4,0,0,58,0,58
"60QL000558",120,17,52,9,0,3,20,8,4,5,2,0,0,0,0
"60QL000559",127,24,34,16,2,4,32,5,3,3,4,0,64,0,64
"60QL000560",100,11,43,14,4,2,7,11,6,0,2,25,25,25,50
"60QL000561",95,12,40,11,1,3,9,8,6,2,3,0,95,0,0
"60QL000562",150,18,63,21,4,7,21,9,5,2,0,75,0,38,38
"60QL000563",136,14,61,7,2,6,25,6,9,2,4,68,68,0,68
"60QL000564",92,8,36,3,2,4,33,2,2,1,1,46,0,0,46
"60QL000565",106,9,33,15,0,3,24,7,8,5,2,0,0,0,0
"60QL000566",96,8,46,6,0,7,12,6,2,5,4,0,0,0,0
"60QL000567",151,24,53,16,3,6,28,6,7,6,2,101,50,0,50
"60QL000568",125,22,47,19,0,2,20,9,4,2,0,0,0,0,0
"60QL000569",114,11,40,18,2,3,19,6,9,3,3,57,0,0,57
"60QL000570",151,15,53,30,3,5,15,11,11,3,5,50,101,0,50
"60QL000571",39,7,11,4,0,1,10,3,0,3,0,0,0,0,0
"60QL000572",147,20,66,9,0,6,27,5,8,3,3,0,0,0,0
"60QL000573",141,23,42,19,2,9,28,9,5,2,2,141,0,0,141
"60QL000574",107,8,44,10,1,3,28,5,3,2,3,0,0,0,107
"60QL000575",110,11,56,9,2,7,17,1,2,3,2,110,0,0,0
"60QL000576",113,19,62,5,6,3,6,7,2,3,0,38,19,0,0
"60QL000577",72,10,26,6,1,3,19,1,4,2,0,72,0,72,0
"60QL000578",134,19,63,9,0,7,12,13,4,3,4,0,0,0,0
"60QL000579",136,22,65,2,2,6,21,10,3,3,2,0,136,0,0
"60QL000580",122,22,45,8,9,4,23,4,1,3,3,27,41,0,27
"60QL000581",111,19,57,7,3,5,11,4,1,4,0,37,37,0,37
"60QL000582",143,24,78,7,2,8,3,9,8,2,2,72,72,0,0
"60QL000583",95,14,47,7,1,2,8,8,3,5,0,95,0,0,0
"60QL000584",143,25,71,5,1,8,9,13,6,4,1,143,0,143,0
"60QL000585",101,16,58,4,4,7,3,3,2,2,2,25,0,0,0
"60QL000586",117,13,62,9,0,8,9,4,5,5,2,0,0,0,0
"60QL000587",90,10,46,9,2,2,10,3,1,4,3,0,45,0,45
"60QL000588",152,25,55,12,0,10,24,7,7,5,7,0,0,0,0
"60QL000589",148,25,87,6,2,9,3,9,4,2,1,0,0,0,148
"60QL000590",48,3,33,5,0,1,3,0,2,1,0,0,0,0,0
"60QL000591",129,16,61,8,8,9,6,7,11,2,1,16,48,0,64
"60QL000592",146,24,77,6,5,7,7,10,5,1,4,58,29,29,0
"60QL000593",115,13,48,12,3,6,15,7,7,2,2,0,38,0,38
"60QL000594",103,16,54,4,0,5,12,4,3,5,0,0,0,0,0
"60QL000595",109,16,35,4,2,2,21,4,7,11,7,0,54,0,54
"60QL000596",62,7,26,3,2,2,6,4,3,6,3,31,31,31,31
"60QL000597",135,17,55,13,6,7,17,7,10,1,2,68,0,23,0
"60QL000598",109,19,36,10,1,4,23,9,2,4,1,0,109,0,109
"60QL000599",75,6,29,4,5,1,10,3,7,9,1,45,15,0,15
"60QL000600",114,9,52,16,2,9,19,2,3,0,2,0,57,0,57
"60QL000601",116,9,61,15,3,5,5,7,6,4,1,39,0,0,39
"60QL000602",95,13,44,14,2,6,9,1,3,1,2,48,48,48,0
"60QL000603",100,9,55,6,2,5,11,1,2,7,2,50,50,0,0
"60QL000604",81,7,30,5,5,1,17,0,5,6,5,16,0,0,32
"60QL000605",79,7,29,1,5,0,12,2,3,18,2,32,32,16,16
"60QL000606",86,12,36,3,1,2,17,1,3,6,5,0,86,0,86
"60QL000607",107,8,36,1,6,3,15,4,9,19,6,36,36,0,71
"60QL000608",56,7,19,1,1,1,15,1,0,9,2,0,0,0,56
"60QL000609",105,6,33,5,8,1,13,2,14,11,12,52,13,0,26
"60QL000610",64,2,17,2,10,1,3,0,8,14,7,32,0,13,0
"60QL000611",57,2,28,1,2,0,4,0,2,10,8,0,28,0,28
"60QL000612",152,29,72,12,4,9,9,5,5,3,4,38,0,0,0
"60QL000613",145,14,73,11,2,5,15,9,4,10,2,0,145,0,72
"60QL000614",133,16,65,13,2,5,21,7,2,1,1,133,0,0,0
"60QL000615",88,11,35,6,3,8,16,5,3,1,0,29,0,0,0
"60QL000616",176,28,83,9,1,14,7,7,9,10,8,176,0,176,0
"60QL000617",112,18,65,5,0,5,8,5,2,0,4,0,0,0,0
"60QL000618",134,12,64,10,2,12,17,6,7,2,2,0,67,0,67
"60QL000619",125,11,57,7,3,11,14,7,3,5,7,42,0,0,42
"60QL000620",73,8,32,4,1,5,17,3,3,0,0,73,0,73,0
"60QL000621",124,21,65,4,1,5,14,7,4,1,2,0,0,0,124
"60QL000622",77,11,33,3,1,1,8,4,3,7,6,0,0,0,77
"60QL000623",93,12,37,2,4,5,16,6,2,6,3,23,23,23,46
"60QL000624",94,11,39,11,0,0,16,2,9,5,1,0,0,0,0
"60QL000625",41,4,13,1,1,0,13,0,2,4,3,41,0,0,0
"60QL000626",97,11,40,2,0,4,23,6,6,5,0,0,0,0,0
"60QL000627",109,11,41,4,10,1,9,3,8,13,9,33,0,22,54
"60QL000628",109,10,35,7,5,0,18,4,11,12,7,22,44,22,44
"60QL000629",87,11,52,3,3,1,5,3,1,8,0,0,29,0,29
"60QL000630",96,9,50,3,4,6,4,6,6,6,2,48,0,24,24
"60QL000631",145,14,56,13,9,6,21,3,9,12,2,64,0,32,48
"60QL000632",128,14,45,5,7,2,26,5,5,10,9,37,18,0,18
"60QL000633",121,6,54,1,4,4,22,1,8,12,9,30,30,0,30
"60QL000634",65,5,28,3,2,2,15,1,2,5,2,0,32,0,32
"60QL000635",122,18,43,8,5,5,18,4,4,12,5,0,73,0,49
"60QL000636",154,21,97,8,2,7,6,4,3,2,4,0,0,0,154
"60QL000637",73,7,23,8,2,2,13,0,5,10,3,0,0,0,36
"60QL000638",78,6,26,5,3,4,12,4,1,14,3,52,26,26,26
"60QL000639",82,8,26,2,13,3,1,6,12,7,4,38,0,13,38
"60QL000640",92,8,42,4,1,1,11,4,8,7,6,0,0,0,0
"60QL000641",57,7,22,1,4,0,7,0,6,5,5,0,14,0,28
"60QL000642",70,5,31,6,2,0,11,3,5,5,2,0,0,0,0
"60QL000643",128,16,48,9,8,7,8,9,4,13,6,16,32,16,96
"60QL000644",124,9,58,4,10,5,12,2,10,8,6,25,25,25,50
"60QL000645",81,6,24,0,2,0,23,0,5,19,2,0,0,0,40
"60QL000646",160,15,54,6,14,5,14,5,11,21,15,91,23,46,69
"60QL000647",138,19,55,3,5,6,21,2,8,17,2,55,28,28,83
"60QL000648",165,22,89,11,1,12,13,6,8,2,1,0,0,0,165
"60QL000649",124,11,76,5,3,4,14,2,2,6,1,41,0,0,0
"60QL000650",99,13,61,5,0,1,7,3,4,4,1,0,0,0,0
"60QL000651",175,22,95,14,5,9,10,15,3,2,0,105,0,0,0
"60QL000652",114,13,52,11,4,6,9,9,4,2,4,0,28,0,0
"60QL000653",85,7,36,7,2,0,20,4,8,1,0,0,42,0,42
"60QL000654",51,6,31,2,2,1,6,0,1,2,0,0,26,0,0
"60QL000655",104,12,47,7,2,8,18,6,1,3,0,0,0,0,0
"60QL000656",63,9,24,6,3,1,10,2,2,4,2,21,0,0,63
"60QL000657",119,11,42,19,1,8,21,6,10,1,0,0,0,0,0
"60QL000658",82,12,21,9,2,3,19,2,4,3,7,0,82,0,0
"60QL000659",122,14,41,11,1,7,30,7,6,2,3,0,0,0,0
"60QL000660",49,9,13,4,1,1,11,5,5,0,0,0,49,0,0
"60QL000661",57,6,18,9,0,0,20,0,2,1,1,0,0,0,0
"60QL000662",65,9,19,6,2,3,13,3,6,3,1,0,32,0,0
"60QL000663",119,14,50,12,1,3,25,5,5,4,0,0,119,0,0
"60QL000664",119,14,37,26,3,4,9,6,6,8,6,0,79,0,40
"60QL000665",100,15,45,14,3,7,0,7,4,3,2,33,0,33,33
"60QL000666",14,0,3,0,0,0,10,0,0,1,0,0,0,0,0
"60QL000667",120,12,32,7,4,4,26,19,6,3,7,30,0,0,30
"60QL000668",65,9,29,7,0,0,11,2,2,4,1,0,0,0,0
"60QL000669",49,1,10,3,2,1,12,0,4,7,9,24,0,0,0
"60QL000670",70,6,26,8,0,5,10,6,4,5,0,0,0,0,0
"60QL000671",80,10,44,1,2,2,5,3,4,2,7,40,0,0,0
"60QL000672",61,3,22,6,1,3,12,5,2,5,2,0,0,0,0
"60QL000673",42,3,12,6,1,1,8,4,3,2,2,0,0,0,42
"60QL000674",76,13,35,4,0,4,13,3,1,2,1,0,0,0,0
"60QL000675",50,7,19,3,3,0,14,2,2,0,0,17,17,0,0
"60QL000676",93,7,29,24,0,3,15,4,5,6,0,0,0,0,0
"60QL000677",80,3,37,11,2,2,12,4,6,1,2,80,0,0,0
"60QL000678",83,10,35,3,2,3,11,0,6,9,4,0,0,0,42
"60QL000679",143,27,68,13,1,4,15,6,5,2,2,0,0,143,0
"60QL000680",46,3,14,2,2,0,17,2,3,3,0,0,0,0,46
"60QL000681",68,8,27,7,2,1,8,1,3,6,5,34,0,0,0
"60QL000682",34,5,15,1,2,3,3,0,3,1,1,0,17,0,34
"60QL000683",92,8,42,8,2,1,14,2,3,10,2,46,0,0,0
"60QL000684",70,10,33,3,6,2,8,1,1,6,0,0,12,23,35
"60QL000685",270,9,54,23,4,3,13,5,7,149,3,135,135,0,68
"60QL000686",63,5,29,2,1,1,17,2,2,0,4,0,0,0,0
"60QL000687",92,12,39,16,1,2,12,5,5,0,0,92,0,0,0
"60QL000688",45,8,19,1,2,0,4,2,5,3,1,45,0,0,0
"60QL000689",104,4,60,2,3,3,20,5,2,5,0,0,0,0,0
"60QL000690",91,13,41,4,1,3,16,7,3,3,0,0,0,0,0
"60QL000691",68,4,26,1,1,3,24,1,1,5,2,0,0,0,0
"60QL000692",117,13,69,8,2,2,10,4,4,2,3,0,0,0,58
"60QL000693",43,6,10,2,1,2,7,2,3,8,2,0,43,0,43
"60QL000694",69,10,17,2,8,1,3,8,9,6,5,26,9,9,34
"60QL000695",50,4,22,2,2,3,7,0,1,5,4,0,25,0,0
"60QL000696",58,9,28,2,3,2,5,3,2,1,3,19,19,0,19
"60QL000697",73,7,27,4,3,0,17,2,3,10,0,0,24,0,24
"60QL000698",77,7,36,2,2,0,16,2,3,6,3,0,0,0,38
"60QL000699",67,5,13,0,18,0,0,0,13,10,8,19,0,0,19
"60QL000700",53,11,18,0,2,1,5,1,8,3,4,0,0,0,26
"60QL000701",79,11,38,5,0,7,3,8,2,5,0,0,0,0,0
"60QL000702",167,14,58,30,3,6,22,8,12,9,5,0,56,0,56
"60QL000703",90,13,44,4,2,3,13,1,3,6,1,0,45,0,0
"60QL000704",125,25,65,7,1,12,5,4,2,2,2,125,0,0,0
"60QL000705",111,11,38,4,10,1,23,4,4,14,2,33,22,11,44
"60QL000706",84,11,37,7,0,4,14,2,3,2,4,0,0,0,0
"60QL000707",91,7,40,7,1,2,21,5,4,4,0,0,91,0,0
"60QL000708",76,10,43,3,0,5,5,5,2,1,2,0,0,0,0
"60QL000709",63,10,34,3,1,2,2,4,4,2,1,63,0,0,0
"60QL000710",88,6,41,6,1,1,14,3,7,6,3,0,0,0,0
"60QL000711",373,11,61,22,8,10,17,4,11,20,209,140,0,47,140
"60QL000712",43,6,23,3,1,0,6,0,2,1,1,0,0,0,43
"60QL000713",76,3,33,3,3,3,16,3,1,4,7,25,25,0,25
"60QL000714",62,5,20,1,0,0,8,4,4,11,9,0,0,0,0
"60QL000715",78,8,38,10,1,6,5,3,4,2,1,0,78,0,0
"60QL000716",55,6,19,4,1,2,8,2,3,4,6,0,0,0,55
"60QL000717",52,4,22,2,1,1,12,0,2,6,2,0,52,0,52
"60QL000718",44,4,12,0,7,1,1,0,3,4,12,0,13,6,13
"60QL000719",38,9,11,0,1,0,5,2,0,5,5,0,0,0,38
"60QL000720",57,5,18,9,0,1,14,0,5,5,0,0,0,0,0
"60QL000721",42,7,14,3,1,7,8,2,0,0,0,0,42,0,42
"60QL000722",96,10,31,14,2,3,24,6,5,1,0,0,0,0,0
"60QL000723",79,11,38,7,3,1,11,4,2,2,0,26,0,0,0
"60QL000724",85,5,50,6,2,3,6,5,6,1,1,85,0,0,0
"60QL000725",158,22,60,12,1,15,26,12,8,1,1,158,0,0,0
"60QL000726",66,5,23,7,1,4,13,5,6,0,2,0,66,0,0
"60QL000727",95,14,33,6,5,2,11,3,3,18,0,19,19,0,57
"60QL000728",63,8,32,2,1,1,7,1,1,7,3,63,0,0,0
"60QL000729",58,7,32,1,0,2,4,6,0,6,0,0,0,0,0
"60QL000730",122,18,68,8,2,8,2,5,5,4,2,61,61,0,0
"60QL000731",144,17,66,26,3,7,9,3,10,1,2,0,0,0,0
"60QL000732",79,4,32,8,1,1,11,4,3,15,0,0,0,0,79
"60QL000733",75,9,26,9,2,1,16,9,1,1,1,0,0,0,38
"60QL000734",93,5,43,8,1,3,19,3,4,2,5,93,0,0,0
"60QL000735",126,13,42,28,0,5,11,11,10,2,4,0,0,0,0
"60QL000736",94,14,29,4,2,5,27,3,3,5,2,0,47,0,0
"60QL000737",52,5,23,2,3,1,14,0,2,2,0,17,17,0,17
"60QL000738",52,6,16,7,2,2,15,0,0,1,3,26,26,0,26
"60QL000739",101,10,35,12,2,4,15,9,10,3,1,0,0,50,50
"60QL000740",99,15,36,11,1,5,10,2,8,2,9,99,0,0,0
"60QL000741",82,10,30,12,2,5,14,4,5,0,0,0,41,0,0
"60QL000742",43,3,17,4,1,2,12,1,1,2,0,0,0,0,43
"60QL000743",130,20,47,7,4,7,36,4,2,0,3,0,65,0,32
"60QL000744",87,13,35,1,1,4,9,4,9,8,3,0,0,0,0
"60QL000745",101,18,32,2,7,3,11,7,8,5,8,58,14,29,29
"60QL000746",53,9,24,5,0,1,2,5,3,4,0,0,0,0,0
"60QL000747",97,14,52,6,2,3,5,2,11,2,0,48,0,48,0
"60QL000748",278,27,94,15,1,35,5,87,8,3,3,0,0,0,0
"60QL000749",127,18,61,10,4,6,15,4,3,4,2,32,0,32,32
"60QL000750",68,6,37,1,1,1,13,4,1,2,2,0,0,0,68
"60QL000751",133,22,60,9,4,4,17,4,6,4,3,66,66,0,33
"60QL000752",71,12,35,5,0,5,6,3,3,2,0,0,0,0,0
"60QL000753",138,12,66,19,3,7,2,13,8,3,5,46,92,0,46
"60QL000754",195,18,76,30,1,13,13,19,13,7,5,0,0,0,195
"60QL000755",131,15,49,17,4,14,9,7,12,1,3,66,66,33,66
"60QL000756",78,10,30,15,2,5,3,3,10,0,0,0,39,0,39
"60QL000757",113,15,45,20,3,2,11,5,6,3,3,0,75,0,38
"60QL000758",48,6,25,8,0,1,1,0,6,1,0,0,0,0,0
"60QL000759",46,7,14,2,5,0,10,2,1,5,0,9,18,9,18
"60QL000760",63,10,21,2,6,2,5,1,6,10,0,21,0,0,42
"60QL000761",62,7,24,2,6,0,8,3,1,8,3,21,41,10,31
"60QL000762",108,11,65,2,2,2,4,3,8,8,3,108,0,0,0
"60QL000763",80,9,17,5,3,1,12,1,7,15,10,27,0,0,53
"60QL000764",64,4,27,2,3,1,13,3,3,5,3,0,0,0,0
"60QL000765",130,19,51,16,6,6,14,8,3,4,3,0,22,0,65
"60QL000766",154,14,101,8,7,0,3,5,7,2,7,88,44,22,22
"60QL000767",96,9,33,22,1,6,12,5,3,4,1,0,0,0,0
"60QL000768",130,16,84,10,3,2,4,4,5,1,1,0,87,0,87
"60QL000769",154,16,67,22,1,9,15,11,8,4,1,0,154,0,154
"60QL000770",87,14,30,10,1,3,17,2,4,5,1,0,0,0,0
"60QL000771",67,13,21,8,1,3,13,3,3,2,0,0,0,0,0
"60QL000772",29,2,10,1,0,0,11,2,3,0,0,0,0,0,0
"60QL000773",96,10,36,8,6,4,8,5,11,7,1,48,16,0,16
"60QL000774",73,5,43,3,0,1,6,3,5,6,1,0,0,0,0
"60QL000775",192,24,80,22,1,9,18,9,25,0,4,0,0,0,0
"60QL000776",136,12,60,23,5,6,12,7,8,2,1,0,54,0,54
"60QL000777",50,9,16,9,1,3,2,2,6,0,2,0,0,0,0
"60QL000778",183,26,99,15,6,4,5,10,12,2,4,92,0,31,61
"60QL000779",163,25,90,12,2,6,9,7,9,2,1,0,0,0,163
"60QL000780",130,20,73,10,2,2,8,4,6,1,4,0,0,0,0
"60QL000781",140,13,79,16,4,2,5,6,12,2,1,0,35,0,35
"60QL000782",53,4,25,6,0,0,10,4,2,0,2,0,0,0,0
"60QL000783",91,7,27,10,4,4,25,5,2,4,3,0,46,0,23
"60QL000784",92,5,59,6,0,2,12,0,1,5,2,0,0,0,0
"60QL000785",54,5,25,0,2,2,10,1,2,6,1,0,0,0,0
"60QL000786",58,7,29,3,2,1,4,5,1,3,3,0,29,0,29
"60QL000787",55,8,24,2,3,1,7,1,0,4,5,0,37,0,37
"60QL000788",90,7,57,2,6,0,1,5,4,7,1,0,15,0,15
"60QL000789",53,2,37,4,1,0,5,2,0,0,2,53,0,0,0
"60QL000790",110,1,44,4,7,0,4,0,1,46,3,16,31,0,63
"60QL000791",69,6,33,0,3,1,9,6,4,4,3,46,0,0,23
"60QL000792",73,5,27,4,6,1,17,4,1,6,2,12,12,0,24
"60QL000793",86,11,32,6,17,0,11,0,2,6,1,15,10,5,35
"60QL000794",53,4,23,1,5,1,2,0,7,4,6,11,0,11,32
"60QL000795",80,6,28,0,4,3,14,1,5,15,4,60,0,20,20
"60QL000796",114,16,54,3,5,0,16,0,6,6,8,68,0,0,23
"60QL000797",127,18,46,3,5,7,14,8,10,12,4,76,0,25,51
"60QL000798",73,5,29,1,1,0,22,2,3,8,2,0,0,0,0
"60QL000799",115,15,50,14,1,3,23,1,3,3,2,0,0,0,0
"60QL000800",51,5,23,1,0,2,7,2,3,5,3,0,0,0,0
"60QL000801",91,14,42,2,2,2,12,7,6,3,1,0,0,0,91
"60QL000802",68,8,23,8,2,2,10,6,5,4,0,0,0,0,34
"60QL000803",131,18,43,8,4,5,26,6,5,10,6,33,33,0,0
"60QL000804",93,16,46,7,2,4,6,2,6,3,1,0,0,0,0
"60QL000805",98,12,34,12,2,11,12,4,6,3,2,98,0,0,0
"60QL000806",85,6,47,3,3,6,4,2,3,9,2,0,0,0,0
"60QL000807",79,7,25,3,8,3,6,2,10,12,3,20,10,20,49
"60QL000808",46,3,22,4,1,1,5,3,1,6,0,0,0,0,0
"60QL000809",84,5,22,1,8,0,14,1,3,17,13,21,10,10,42
"60QL000810",114,22,51,3,1,4,16,5,2,10,0,114,0,0,114
"60QL000811",70,9,37,7,1,1,9,0,4,1,1,70,0,0,0
"60QL000812",79,7,27,0,2,3,11,2,9,8,10,0,0,0,40
"60QL000813",77,9,42,7,0,0,12,1,4,1,1,0,0,0,0
"60QL000814",99,18,45,7,2,4,4,3,8,6,2,50,50,50,0
"60QL000815",84,13,45,2,2,2,6,4,4,5,1,84,0,0,0
"60QL000816",69,7,40,8,1,2,5,2,1,2,1,0,0,0,69
"60QL000817",145,16,84,8,1,1,14,8,8,3,2,0,145,0,145
"60QL000818",84,13,37,14,2,1,11,3,1,2,0,84,0,42,0
"60QL000819",74,7,28,14,3,1,15,4,1,0,1,25,0,0,0
"60QL000820",102,5,64,5,3,5,2,2,5,10,1,0,0,0,0
"60QL000821",42,2,32,1,1,1,2,1,2,0,0,0,42,0,0
"60QL000822",88,14,52,5,3,1,7,1,1,3,1,0,0,0,29
"60QL000823",95,12,48,4,5,3,7,3,6,4,3,0,57,0,19
"60QM000001",105,9,51,19,0,1,15,1,6,3,0,0,0,0,0
"60QM000002",39,4,11,12,0,0,6,0,6,0,0,0,0,0,0
"60QM000003",122,15,54,20,3,2,13,5,6,2,2,81,0,41,0
"60QM000004",62,9,26,9,3,1,6,4,2,0,2,21,21,0,0
"60QM000005",130,13,52,20,3,2,16,4,11,6,3,0,43,43,43
"60QM000006",38,6,14,9,1,0,4,0,3,1,0,0,0,0,0
"60QM000007",47,6,17,12,1,0,2,3,5,1,0,0,0,0,47
"60QM000008",69,8,21,15,1,4,10,4,5,0,1,0,69,0,69
"60QM000009",89,8,37,17,1,1,11,4,3,3,4,0,0,0,0
"60QM000010",133,18,58,21,2,2,16,5,7,4,0,0,66,0,0
"60QM000011",52,9,21,9,0,0,4,3,2,4,0,0,0,0,0
"60QM000012",59,9,36,2,1,1,4,1,3,0,2,0,0,0,0
"60QM000013",68,10,32,10,3,2,3,2,6,0,0,0,0,23,0
"60QM000014",93,6,35,16,1,4,7,4,7,11,2,0,0,0,0
"60QM000015",137,17,53,25,3,1,21,3,9,3,2,46,46,0,46
"60QM000016",97,14,39,13,3,3,7,5,7,4,2,0,0,0,0
"60QM000017",53,6,22,13,0,0,8,2,1,0,1,0,0,0,0
"60QM000018",103,18,42,22,2,3,4,3,4,3,2,52,52,52,0
"60QM000019",130,15,49,27,3,2,13,1,6,8,6,0,43,0,43
"60QM000020",145,16,56,19,6,2,17,5,11,9,4,24,48,0,0
"60QM000021",107,11,37,21,4,3,18,1,5,7,0,27,27,0,27
"60QM000022",65,7,27,6,2,0,13,1,5,1,3,0,32,0,65
"60QM000023",60,5,19,9,0,0,12,1,6,8,0,0,0,0,0
"60QM000024",97,9,35,16,0,1,20,2,6,7,1,0,0,0,0
"60QM000025",89,8,16,15,0,1,34,3,8,0,4,0,0,0,0
"60QM000026",72,7,32,10,0,2,8,5,6,2,0,0,0,0,0
"60QM000027",118,8,50,19,6,2,17,2,9,5,0,0,0,0,59
"60QM000028",69,11,27,19,0,0,5,3,3,1,0,0,0,0,0
"60QM000029",87,9,24,17,1,1,19,7,5,0,4,0,87,0,87
"60QM000030",89,7,31,20,0,1,15,2,6,5,2,0,0,0,0
