"output_area","ALL PEOPLE","Number White Scottish","Number Other White British","Number White Irish","Number Other White","Number Indian","Number Pakistani","Number Bangladeshi","Number Other South Asian","Number Chinese","Number Caribbean","Number African","Number Black Scottish or Other Black","Number Any Mixed Background","Number Other Ethnic Group","Number of people aged 3 and over, who understand, speak, read or write Gaelic and who were born in Scotland","Number of people aged 3 and over, who understand, speak, read or write Gaelic and who were not born in Scotland"
"60QA000212",150,145,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"60QA000213",177,174,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"60QA000214",151,148,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000215",101,93,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000216",126,122,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"60QA000217",117,102,4,2,6,0,0,0,0,0,0,0,0,3,0,4,0
"60QA000218",123,97,18,3,5,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000219",136,112,16,0,5,0,0,0,1,0,0,0,0,2,0,1,0
"60QA000220",94,78,7,1,8,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000221",138,119,9,0,8,1,0,0,0,0,0,0,0,1,0,1,0
"60QA000222",180,150,19,4,7,0,0,0,0,0,0,0,0,0,0,9,0
"60QA000223",315,217,32,9,36,5,0,0,1,11,1,0,0,2,1,7,4
"60QA000224",147,127,11,0,6,0,0,0,1,0,0,1,0,1,0,1,0
"60QA000225",125,95,20,2,5,0,0,0,2,0,1,0,0,0,0,3,0
"60QA000226",135,113,14,0,6,0,0,0,1,0,0,0,0,1,0,0,0
"60QA000227",129,108,17,0,4,0,0,0,0,0,0,0,0,0,0,3,0
"60QA000228",83,70,5,0,6,1,0,0,0,0,1,0,0,0,0,0,0
"60QA000229",91,73,5,0,3,0,0,0,1,3,0,0,0,2,4,0,0
"60QA000230",73,63,5,0,1,0,0,0,0,0,0,0,0,0,4,4,0
"60QA000231",106,97,4,0,2,0,0,0,0,0,0,3,0,0,0,0,0
"60QA000232",165,137,16,2,2,0,1,4,0,0,0,1,1,0,1,0,0
"60QA000233",190,156,18,1,7,1,0,6,1,0,0,0,0,0,0,1,1
"60QA000234",140,105,26,2,6,0,0,0,1,0,0,0,0,0,0,0,1
"60QA000235",104,80,16,3,5,0,0,0,0,0,0,0,0,0,0,0,2
"60QA000236",127,91,9,1,13,0,0,12,0,0,0,0,0,0,1,1,0
"60QA000237",106,76,25,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000238",78,63,5,3,6,0,0,0,0,0,1,0,0,0,0,4,2
"60QA000239",61,48,10,0,1,1,0,0,0,1,0,0,0,0,0,2,0
"60QA000240",67,51,10,0,3,0,0,0,1,0,0,0,0,2,0,2,0
"60QA000241",56,46,5,1,2,0,0,0,0,0,0,0,0,1,1,1,1
"60QA000242",117,84,15,2,5,0,2,0,1,0,0,1,0,1,6,2,2
"60QA000243",65,51,7,1,1,2,0,0,0,1,0,0,0,1,1,1,1
"60QA000244",75,63,6,0,3,0,0,0,1,1,0,1,0,0,0,1,0
"60QA000245",67,49,6,6,5,1,0,0,0,0,0,0,0,0,0,2,2
"60QA000246",103,81,13,1,3,1,0,0,1,1,0,1,0,0,1,2,0
"60QA000247",68,54,6,3,2,2,0,0,0,0,1,0,0,0,0,3,0
"60QA000248",105,89,11,0,3,2,0,0,0,0,0,0,0,0,0,2,1
"60QA000249",63,47,7,2,0,0,2,0,0,3,0,0,0,1,1,0,4
"60QA000250",71,54,9,0,5,0,0,0,0,1,0,0,0,0,2,2,0
"60QA000251",65,49,3,0,6,0,0,0,0,1,0,5,0,0,1,0,1
"60QA000252",84,70,9,1,1,0,0,0,1,1,1,0,0,0,0,0,0
"60QA000253",92,74,13,2,0,0,0,0,0,1,0,0,0,1,1,1,0
"60QA000254",199,138,30,11,10,0,0,5,0,0,0,0,1,0,4,2,2
"60QA000255",113,100,9,2,2,0,0,0,0,0,0,0,0,0,0,4,0
"60QA000256",114,85,13,1,6,0,2,0,0,2,0,2,0,0,3,0,0
"60QA000257",89,69,12,1,1,0,0,0,0,2,1,0,1,2,0,1,0
"60QA000258",91,80,5,2,1,1,0,0,1,0,0,0,0,0,1,0,0
"60QA000259",96,66,17,0,7,0,0,0,1,0,2,1,0,0,2,0,0
"60QA000260",69,64,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"60QA000261",210,142,41,2,19,0,0,0,0,0,0,0,0,0,6,0,0
"60QA000262",98,73,14,1,8,0,0,0,1,0,0,0,0,0,1,0,0
"60QA000263",87,64,12,0,3,1,0,0,0,0,1,5,0,0,1,2,0
"60QA000264",86,68,9,2,5,0,0,0,0,0,0,0,0,1,1,2,0
"60QA000265",145,110,24,0,10,0,0,0,0,0,0,0,0,0,1,1,0
"60QA000266",131,105,12,0,11,0,3,0,0,0,0,0,0,0,0,1,0
"60QA000267",115,94,12,3,6,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000268",178,150,18,1,4,0,5,0,0,0,0,0,0,0,0,1,0
"60QA000269",179,148,19,4,5,0,0,0,1,0,0,0,0,1,1,2,0
"60QA000270",144,126,10,2,6,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000271",121,103,12,0,5,0,0,0,0,1,0,0,0,0,0,0,0
"60QA000272",82,70,4,0,5,0,3,0,0,0,0,0,0,0,0,0,0
"60QA000273",81,72,7,1,1,0,0,0,0,0,0,0,0,0,0,3,0
"60QA000274",149,138,5,1,3,0,0,0,0,0,1,0,0,1,0,1,0
"60QA000275",144,135,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000276",147,113,23,1,7,0,0,0,0,0,0,1,0,0,2,0,0
"60QA000277",127,97,11,1,12,2,0,0,0,0,0,3,0,1,0,5,0
"60QA000278",126,79,19,0,24,0,0,0,0,0,0,3,0,0,1,0,0
"60QA000279",124,109,12,0,2,0,0,0,0,0,0,0,0,1,0,2,0
"60QA000280",133,116,13,3,0,0,0,0,0,0,0,0,0,0,1,1,0
"60QA000281",101,88,10,0,1,0,0,0,1,0,0,0,0,0,1,0,0
"60QA000282",97,74,10,2,4,4,3,0,0,0,0,0,0,0,0,0,0
"60QA000283",126,105,11,3,4,0,0,0,0,1,0,2,0,0,0,2,1
"60QA000284",91,68,15,0,7,0,0,0,0,0,0,1,0,0,0,0,1
"60QA000285",100,91,4,1,2,0,0,0,0,0,0,0,0,2,0,0,0
"60QA000286",145,126,13,1,3,0,1,0,0,0,1,0,0,0,0,3,0
"60QA000287",152,131,11,0,6,0,0,0,0,3,0,0,0,0,1,0,2
"60QA000288",86,74,6,0,2,2,0,0,0,0,1,1,0,0,0,0,1
"60QA000289",56,47,6,0,0,1,0,0,0,1,0,1,0,0,0,1,0
"60QA000290",119,87,20,0,7,0,0,0,0,2,0,0,0,1,2,2,0
"60QA000291",85,70,10,0,1,4,0,0,0,0,0,0,0,0,0,2,1
"60QA000292",109,83,17,2,7,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000293",65,58,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0
"60QA000294",111,89,13,1,6,0,0,0,0,0,0,2,0,0,0,3,0
"60QA000295",82,69,11,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000296",119,103,11,0,3,2,0,0,0,0,0,0,0,0,0,4,0
"60QA000297",93,79,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000298",65,59,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000299",75,66,7,1,0,0,0,0,0,0,0,0,0,0,1,0,0
"60QA000300",140,105,24,3,4,1,0,0,3,0,0,0,0,0,0,4,1
"60QA000301",55,50,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000302",51,45,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"60QA000303",183,165,7,1,6,0,4,0,0,0,0,0,0,0,0,5,0
"60QA000304",65,65,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000305",70,51,6,0,6,0,0,1,2,1,0,0,0,0,3,0,0
"60QA000306",70,54,7,1,5,0,0,0,0,0,0,0,1,2,0,0,0
"60QA000307",84,77,2,0,0,1,0,0,0,4,0,0,0,0,0,0,0
"60QA000308",51,47,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
"60QA000309",161,146,8,0,3,0,0,0,0,0,0,1,0,1,2,1,0
"60QA000310",128,105,18,0,5,0,0,0,0,0,0,0,0,0,0,1,1
"60QA000311",95,83,11,0,1,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000312",88,80,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000313",113,107,NA,0,4,0,0,0,0,0,0,0,0,1,1,1,0
"60QA000314",128,125,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"60QA000315",115,100,3,2,6,1,0,0,0,3,0,0,0,0,0,1,0
"60QA000316",117,115,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000317",94,86,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000318",143,128,7,1,2,0,0,2,0,0,2,0,0,1,0,0,0
"60QA000319",156,140,13,0,2,0,0,0,0,1,0,0,0,0,0,5,2
"60QA000320",182,173,5,1,0,0,0,0,0,0,0,0,0,0,3,1,0
"60QA000321",163,155,6,0,0,0,0,0,0,0,0,0,1,1,0,3,0
"60QA000322",102,99,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"60QA000323",114,105,5,0,1,0,0,0,0,0,0,0,0,0,3,3,0
"60QA000324",69,68,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000325",109,105,NA,0,0,3,0,0,0,0,0,0,0,1,0,0,0
"60QA000326",112,106,2,0,3,0,0,0,0,0,0,0,0,0,1,0,0
"60QA000327",123,121,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"60QA000328",186,160,7,0,2,0,1,0,0,8,0,0,0,7,1,0,0
"60QA000329",173,160,4,0,1,0,0,0,3,5,0,0,0,0,0,0,0
"60QA000330",76,75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"60QA000331",129,118,9,0,1,0,0,0,0,0,1,0,0,0,0,1,0
