"dz_2001","la_name","year","total","rest_uk","rest_eu","outside_europe"
"S01000129","Aberdeen City",2001,549,102,38,41
"S01000130","Aberdeen City",2001,1335,115,26,61
"S01000131","Aberdeen City",2001,659,109,20,45
"S01000132","Aberdeen City",2001,784,128,20,65
"S01000133","Aberdeen City",2001,874,61,7,12
"S01000134","Aberdeen City",2001,762,32,6,5
"S01000135","Aberdeen City",2001,721,45,8,20
"S01000136","Aberdeen City",2001,706,32,2,12
"S01000137","Aberdeen City",2001,1208,147,45,91
"S01000138","Aberdeen City",2001,901,144,21,36
"S01000139","Aberdeen City",2001,817,31,7,14
"S01000140","Aberdeen City",2001,943,62,4,9
"S01000141","Aberdeen City",2001,945,103,19,95
"S01000142","Aberdeen City",2001,772,30,2,12
"S01000143","Aberdeen City",2001,633,76,13,49
"S01000144","Aberdeen City",2001,711,104,44,55
"S01000145","Aberdeen City",2001,905,39,7,12
"S01000146","Aberdeen City",2001,1466,223,31,77
"S01000147","Aberdeen City",2001,1447,103,61,63
"S01000148","Aberdeen City",2001,694,NA,3,10
"S01000149","Aberdeen City",2001,1076,141,20,77
"S01000150","Aberdeen City",2001,636,32,1,6
"S01000151","Aberdeen City",2001,907,31,5,4
"S01000152","Aberdeen City",2001,1799,137,30,77
"S01000153","Aberdeen City",2001,900,NA,9,39
"S01000154","Aberdeen City",2001,557,28,0,3
"S01000155","Aberdeen City",2001,784,32,2,3
"S01000156","Aberdeen City",2001,970,140,39,102
"S01000157","Aberdeen City",2001,692,NA,4,12
"S01000158","Aberdeen City",2001,933,43,6,12
"S01000159","Aberdeen City",2001,1014,90,12,85
"S01000160","Aberdeen City",2001,813,48,5,4
"S01000161","Aberdeen City",2001,1153,175,34,50
"S01000162","Aberdeen City",2001,886,56,16,29
"S01000163","Aberdeen City",2001,1169,48,5,17
"S01000164","Aberdeen City",2001,547,43,9,19
"S01000165","Aberdeen City",2001,861,59,11,25
"S01000166","Aberdeen City",2001,1274,237,84,119
"S01000167","Aberdeen City",2001,712,38,3,10
"S01000168","Aberdeen City",2001,1080,34,7,16
"S01000169","Aberdeen City",2001,761,32,6,16
"S01000170","Aberdeen City",2001,1336,199,36,49
"S01000171","Aberdeen City",2001,1007,99,8,65
"S01000172","Aberdeen City",2001,501,NA,2,15
"S01000173","Aberdeen City",2001,811,40,9,24
"S01000174","Aberdeen City",2001,873,122,17,103
"S01000175","Aberdeen City",2001,528,74,9,21
"S01000176","Aberdeen City",2001,744,104,33,48
"S01000177","Aberdeen City",2001,554,NA,9,22
"S01000178","Aberdeen City",2001,760,39,4,5
"S01000179","Aberdeen City",2001,757,35,10,32
"S01000180","Aberdeen City",2001,900,40,4,6
"S01000181","Aberdeen City",2001,654,23,3,2
"S01000182","Aberdeen City",2001,873,30,4,1
"S01000183","Aberdeen City",2001,1180,144,37,145
"S01000184","Aberdeen City",2001,793,55,13,34
"S01000185","Aberdeen City",2001,787,59,6,36
"S01000186","Aberdeen City",2001,957,50,12,7
"S01000187","Aberdeen City",2001,713,NA,2,7
"S01000188","Aberdeen City",2001,1203,186,64,75
"S01000189","Aberdeen City",2001,624,27,3,10
"S01000190","Aberdeen City",2001,887,45,7,11
"S01000191","Aberdeen City",2001,1951,134,20,83
"S01000192","Aberdeen City",2001,767,84,25,47
"S01000193","Aberdeen City",2001,920,35,5,7
"S01000194","Aberdeen City",2001,745,75,32,58
"S01000195","Aberdeen City",2001,697,51,6,15
"S01000196","Aberdeen City",2001,924,NA,9,9
"S01000197","Aberdeen City",2001,610,19,2,6
"S01000198","Aberdeen City",2001,746,46,4,17
"S01000199","Aberdeen City",2001,716,49,25,37
"S01000200","Aberdeen City",2001,996,NA,9,33
"S01000201","Aberdeen City",2001,654,NA,7,19
"S01000202","Aberdeen City",2001,888,70,12,23
"S01000203","Aberdeen City",2001,536,42,7,77
"S01000204","Aberdeen City",2001,622,17,3,7
"S01000205","Aberdeen City",2001,1186,198,55,107
"S01000206","Aberdeen City",2001,926,76,6,8
"S01000207","Aberdeen City",2001,1006,62,19,56
"S01000208","Aberdeen City",2001,1200,92,9,21
"S01000209","Aberdeen City",2001,1291,96,14,27
"S01000210","Aberdeen City",2001,696,54,11,14
"S01000211","Aberdeen City",2001,892,61,20,37
"S01000212","Aberdeen City",2001,788,36,0,12
"S01000213","Aberdeen City",2001,672,NA,2,15
"S01000214","Aberdeen City",2001,507,30,3,5
"S01000215","Aberdeen City",2001,1375,186,9,96
"S01000215","Aberdeenshire",2001,84,9,0,4
"S01000216","Aberdeen City",2001,619,43,3,11
"S01000217","Aberdeen City",2001,906,58,19,20
"S01000218","Aberdeen City",2001,718,24,3,4
"S01000219","Aberdeen City",2001,698,53,13,40
"S01000220","Aberdeen City",2001,1399,273,140,118
"S01000221","Aberdeen City",2001,897,57,8,26
"S01000222","Aberdeen City",2001,758,32,6,9
"S01000223","Aberdeen City",2001,622,36,2,5
"S01000224","Aberdeen City",2001,966,34,4,7
"S01000225","Aberdeen City",2001,595,44,5,9
"S01000226","Aberdeen City",2001,618,65,10,14
"S01000227","Aberdeen City",2001,1476,151,26,92
"S01000228","Aberdeen City",2001,763,60,9,13
"S01000229","Aberdeen City",2001,795,NA,5,4
"S01000230","Aberdeen City",2001,881,68,4,31
"S01000231","Aberdeen City",2001,710,50,0,16
"S01000232","Aberdeen City",2001,669,27,7,16
"S01000233","Aberdeen City",2001,567,32,1,12
"S01000234","Aberdeen City",2001,762,55,6,16
"S01000235","Aberdeen City",2001,888,59,8,21
"S01000236","Aberdeen City",2001,680,42,4,14
"S01000237","Aberdeen City",2001,1110,54,11,33
"S01000238","Aberdeen City",2001,516,40,4,18
"S01000239","Aberdeen City",2001,733,33,6,24
"S01000240","Aberdeen City",2001,721,31,2,10
"S01000241","Aberdeen City",2001,1138,132,17,50
"S01000242","Aberdeen City",2001,690,40,6,206
"S01000243","Aberdeen City",2001,739,40,3,15
"S01000244","Aberdeen City",2001,1192,69,8,8
"S01000245","Aberdeen City",2001,953,84,4,13
"S01000246","Aberdeen City",2001,750,41,4,13
"S01000247","Aberdeen City",2001,767,55,2,9
"S01000248","Aberdeen City",2001,868,51,7,16
"S01000249","Aberdeen City",2001,738,79,9,21
"S01000250","Aberdeen City",2001,805,58,3,34
"S01000251","Aberdeen City",2001,501,51,3,24
"S01000252","Aberdeen City",2001,867,61,11,12
"S01000253","Aberdeen City",2001,745,43,2,36
"S01000254","Aberdeen City",2001,808,86,6,37
"S01000255","Aberdeen City",2001,632,40,6,9
"S01000256","Aberdeen City",2001,919,79,3,29
"S01000257","Aberdeen City",2001,1020,74,3,17
"S01000258","Aberdeen City",2001,666,67,5,31
"S01000259","Aberdeen City",2001,863,60,15,16
"S01000260","Aberdeen City",2001,890,78,5,33
"S01000261","Aberdeen City",2001,1007,80,10,18
"S01000262","Aberdeen City",2001,946,76,8,33
"S01000263","Aberdeen City",2001,794,65,5,35
"S01000264","Aberdeen City",2001,1232,88,10,37
"S01000265","Aberdeen City",2001,942,32,2,20
"S01000266","Aberdeen City",2001,1459,122,4,39
"S01000267","Aberdeen City",2001,691,43,8,12
"S01000268","Aberdeenshire",2001,979,124,15,9
"S01000269","Aberdeenshire",2001,830,178,2,21
"S01000270","Aberdeenshire",2001,964,136,12,16
"S01000271","Aberdeenshire",2001,906,181,17,24
"S01000272","Aberdeenshire",2001,1020,114,6,30
"S01000273","Aberdeenshire",2001,524,92,2,13
"S01000274","Aberdeenshire",2001,594,54,4,7
"S01000275","Aberdeenshire",2001,1434,101,17,10
"S01000276","Aberdeenshire",2001,972,188,14,18
"S01000277","Aberdeenshire",2001,674,99,4,13
"S01000278","Aberdeenshire",2001,537,33,2,9
"S01000279","Aberdeenshire",2001,1203,181,5,17
"S01000280","Aberdeenshire",2001,695,89,7,14
"S01000281","Aberdeenshire",2001,679,108,7,13
"S01000282","Aberdeenshire",2001,663,96,7,19
"S01000283","Aberdeenshire",2001,1044,186,13,22
"S01000284","Aberdeenshire",2001,1311,254,15,19
"S01000285","Aberdeenshire",2001,846,166,6,12
"S01000286","Aberdeenshire",2001,880,120,11,21
"S01000287","Aberdeenshire",2001,724,133,14,21
"S01000288","Aberdeenshire",2001,897,83,9,14
"S01000289","Aberdeenshire",2001,1003,104,5,28
"S01000290","Aberdeenshire",2001,955,94,6,11
"S01000291","Aberdeenshire",2001,1277,171,8,22
"S01000292","Aberdeenshire",2001,1118,149,17,34
"S01000293","Aberdeenshire",2001,890,123,6,26
"S01000294","Aberdeenshire",2001,699,83,10,24
"S01000295","Aberdeenshire",2001,607,82,6,7
"S01000296","Aberdeenshire",2001,685,106,11,28
"S01000297","Aberdeenshire",2001,736,88,8,14
"S01000298","Aberdeenshire",2001,882,135,13,14
"S01000299","Aberdeenshire",2001,1149,298,13,85
"S01000300","Aberdeenshire",2001,917,180,24,22
"S01000301","Aberdeenshire",2001,579,118,9,16
"S01000302","Aberdeenshire",2001,748,166,9,28
"S01000303","Aberdeenshire",2001,626,147,25,25
"S01000304","Aberdeenshire",2001,791,111,6,32
"S01000305","Aberdeenshire",2001,1423,163,17,30
"S01000306","Aberdeenshire",2001,746,159,21,43
"S01000307","Aberdeenshire",2001,991,152,9,26
"S01000308","Aberdeenshire",2001,1567,285,50,46
"S01000309","Aberdeenshire",2001,1064,317,42,27
"S01000310","Aberdeenshire",2001,899,86,4,29
"S01000311","Aberdeenshire",2001,1210,281,21,69
"S01000312","Aberdeenshire",2001,854,138,15,53
"S01000313","Aberdeenshire",2001,709,132,7,14
"S01000314","Aberdeenshire",2001,572,63,7,10
"S01000315","Aberdeenshire",2001,661,157,13,57
"S01000316","Aberdeenshire",2001,975,133,21,16
"S01000317","Aberdeenshire",2001,551,65,0,15
"S01000318","Aberdeenshire",2001,577,157,12,21
"S01000319","Aberdeenshire",2001,956,95,8,20
"S01000320","Aberdeenshire",2001,722,69,8,15
"S01000321","Aberdeenshire",2001,729,96,12,32
"S01000322","Aberdeenshire",2001,1083,323,19,54
"S01000323","Aberdeenshire",2001,888,120,9,21
"S01000324","Aberdeenshire",2001,870,91,4,10
"S01000325","Aberdeenshire",2001,1070,125,16,16
"S01000326","Aberdeenshire",2001,989,NA,6,15
"S01000327","Aberdeenshire",2001,898,79,10,24
"S01000328","Aberdeenshire",2001,822,91,16,20
"S01000329","Aberdeenshire",2001,628,51,6,23
"S01000330","Aberdeenshire",2001,1255,235,20,74
"S01000331","Aberdeenshire",2001,819,130,2,22
"S01000332","Aberdeenshire",2001,1000,280,15,58
"S01000333","Aberdeenshire",2001,1242,262,47,95
"S01000334","Aberdeenshire",2001,1126,189,14,24
"S01000335","Aberdeenshire",2001,775,90,8,29
"S01000336","Aberdeenshire",2001,1664,245,51,92
"S01000337","Aberdeenshire",2001,846,220,19,29
"S01000338","Aberdeenshire",2001,508,134,10,13
"S01000339","Aberdeenshire",2001,1094,197,10,28
"S01000340","Aberdeenshire",2001,971,125,14,32
"S01000341","Aberdeenshire",2001,1220,257,23,45
"S01000342","Aberdeenshire",2001,387,45,5,4
"S01000343","Aberdeenshire",2001,644,134,6,25
"S01000344","Aberdeenshire",2001,1055,204,14,32
"S01000345","Aberdeenshire",2001,646,59,12,12
"S01000346","Aberdeenshire",2001,683,74,7,14
"S01000347","Aberdeenshire",2001,913,95,3,10
"S01000348","Aberdeenshire",2001,816,80,13,32
"S01000349","Aberdeenshire",2001,592,64,10,34
"S01000350","Aberdeenshire",2001,1002,108,8,29
"S01000351","Aberdeenshire",2001,1023,103,12,52
"S01000352","Aberdeenshire",2001,798,78,5,21
"S01000353","Aberdeenshire",2001,663,82,2,28
"S01000354","Aberdeenshire",2001,1194,183,40,145
"S01000355","Aberdeenshire",2001,707,91,3,33
"S01000356","Aberdeenshire",2001,818,173,13,37
"S01000357","Aberdeenshire",2001,682,79,4,8
"S01000358","Aberdeenshire",2001,1249,173,10,69
"S01000359","Aberdeenshire",2001,856,192,20,37
"S01000360","Aberdeenshire",2001,514,119,8,12
"S01000361","Aberdeenshire",2001,614,91,11,15
"S01000362","Aberdeenshire",2001,1140,136,5,38
"S01000363","Aberdeenshire",2001,1323,233,18,28
"S01000364","Aberdeenshire",2001,1118,249,22,29
"S01000365","Aberdeenshire",2001,1189,98,11,53
"S01000366","Aberdeenshire",2001,1665,201,6,56
"S01000367","Aberdeenshire",2001,938,134,12,14
"S01000368","Aberdeenshire",2001,1298,229,14,26
"S01000369","Aberdeenshire",2001,1075,133,4,45
"S01000370","Aberdeenshire",2001,1356,175,24,37
"S01000371","Aberdeenshire",2001,931,105,7,15
"S01000372","Aberdeenshire",2001,1514,196,20,31
"S01000373","Aberdeenshire",2001,695,104,11,23
"S01000374","Aberdeenshire",2001,611,67,9,12
"S01000375","Aberdeenshire",2001,646,70,4,5
"S01000376","Aberdeenshire",2001,1112,111,17,18
"S01000377","Aberdeenshire",2001,1054,214,17,40
"S01000378","Aberdeenshire",2001,581,57,7,3
"S01000379","Aberdeenshire",2001,574,108,8,26
"S01000380","Aberdeenshire",2001,1364,189,8,40
"S01000381","Aberdeenshire",2001,1537,189,28,33
"S01000382","Aberdeenshire",2001,755,173,14,30
"S01000383","Aberdeenshire",2001,871,107,8,18
"S01000384","Aberdeenshire",2001,731,134,10,28
"S01000385","Aberdeenshire",2001,574,74,4,7
"S01000386","Aberdeenshire",2001,1125,164,15,36
"S01000387","Aberdeenshire",2001,1067,91,9,19
"S01000388","Aberdeenshire",2001,1114,133,17,24
"S01000389","Aberdeenshire",2001,667,70,3,20
"S01000390","Aberdeenshire",2001,1073,52,6,18
"S01000391","Aberdeenshire",2001,773,58,8,13
"S01000392","Aberdeenshire",2001,885,101,16,14
"S01000393","Aberdeenshire",2001,1031,92,5,20
"S01000394","Aberdeenshire",2001,688,43,3,14
"S01000395","Aberdeenshire",2001,694,128,5,19
"S01000396","Aberdeenshire",2001,940,42,4,4
"S01000397","Aberdeenshire",2001,1165,111,7,8
"S01000398","Aberdeenshire",2001,2463,455,16,70
"S01000399","Aberdeenshire",2001,577,38,6,13
"S01000400","Aberdeenshire",2001,939,72,5,13
"S01000401","Aberdeenshire",2001,1029,176,18,13
"S01000402","Aberdeenshire",2001,1021,85,11,13
"S01000403","Aberdeenshire",2001,939,71,13,7
"S01000404","Aberdeenshire",2001,756,71,7,12
"S01000405","Aberdeenshire",2001,474,74,3,10
"S01000406","Aberdeenshire",2001,629,45,4,10
"S01000407","Aberdeenshire",2001,658,44,3,2
"S01000408","Aberdeenshire",2001,907,103,6,15
"S01000409","Aberdeenshire",2001,666,77,1,17
"S01000410","Aberdeenshire",2001,664,181,9,33
"S01000411","Aberdeenshire",2001,631,106,10,25
"S01000412","Aberdeenshire",2001,787,101,7,8
"S01000413","Aberdeenshire",2001,961,159,21,29
"S01000414","Aberdeenshire",2001,721,103,7,23
"S01000415","Aberdeenshire",2001,913,150,10,17
"S01000416","Aberdeenshire",2001,776,65,7,21
"S01000417","Aberdeenshire",2001,1148,107,2,22
"S01000418","Aberdeenshire",2001,723,176,14,14
"S01000419","Aberdeenshire",2001,1392,246,29,35
"S01000420","Aberdeenshire",2001,1226,143,17,28
"S01000421","Aberdeenshire",2001,804,168,14,18
"S01000422","Aberdeenshire",2001,844,87,5,25
"S01000423","Aberdeenshire",2001,1082,171,15,19
"S01000424","Aberdeenshire",2001,1443,185,18,31
"S01000425","Aberdeenshire",2001,780,152,13,20
"S01000426","Aberdeenshire",2001,797,120,18,24
"S01000427","Aberdeenshire",2001,785,91,8,12
"S01000428","Aberdeenshire",2001,777,122,7,22
"S01000429","Aberdeenshire",2001,927,NA,16,13
"S01000430","Aberdeenshire",2001,570,62,10,11
"S01000431","Aberdeenshire",2001,1187,99,10,12
"S01000432","Aberdeenshire",2001,973,154,7,32
"S01000433","Aberdeenshire",2001,578,51,2,5
"S01000434","Aberdeenshire",2001,680,61,3,12
"S01000435","Aberdeenshire",2001,555,33,2,3
"S01000436","Aberdeenshire",2001,695,69,6,10
"S01000437","Aberdeenshire",2001,1539,124,13,15
"S01000438","Aberdeenshire",2001,698,99,4,13
"S01000439","Aberdeenshire",2001,700,125,14,12
"S01000440","Aberdeenshire",2001,1124,142,15,33
"S01000441","Aberdeenshire",2001,871,156,13,15
"S01000442","Aberdeenshire",2001,962,179,15,21
"S01000443","Aberdeenshire",2001,773,146,7,25
"S01000444","Aberdeenshire",2001,1953,292,6,10
"S01000445","Aberdeenshire",2001,1225,178,12,20
"S01000446","Aberdeenshire",2001,1159,261,16,29
"S01000447","Aberdeenshire",2001,743,54,5,8
"S01000448","Aberdeenshire",2001,985,210,10,37
"S01000449","Aberdeenshire",2001,784,96,7,6
"S01000450","Aberdeenshire",2001,896,131,3,11
"S01000451","Aberdeenshire",2001,1062,205,7,18
"S01000452","Aberdeenshire",2001,561,90,3,14
"S01000453","Aberdeenshire",2001,774,136,4,6
"S01000454","Aberdeenshire",2001,493,54,0,4
"S01000455","Aberdeenshire",2001,870,138,12,15
"S01000456","Aberdeenshire",2001,992,174,13,10
"S01000457","Aberdeenshire",2001,872,61,7,14
"S01000458","Aberdeenshire",2001,1068,233,6,24
"S01000459","Aberdeenshire",2001,1037,76,10,13
"S01000460","Aberdeenshire",2001,769,30,2,11
"S01000461","Aberdeenshire",2001,863,57,3,22
"S01000462","Aberdeenshire",2001,1035,80,8,16
"S01000463","Aberdeenshire",2001,1119,434,35,32
"S01000464","Aberdeenshire",2001,906,238,12,18
"S01000465","Aberdeenshire",2001,629,157,12,18
"S01000466","Aberdeenshire",2001,983,195,12,20
"S01000467","Aberdeenshire",2001,805,77,13,6
"S01000468","Aberdeenshire",2001,520,127,2,15
"S01000469","Aberdeenshire",2001,689,91,4,9
"S01000470","Aberdeenshire",2001,1263,149,8,16
"S01000471","Aberdeenshire",2001,745,113,4,14
"S01000472","Aberdeenshire",2001,836,72,7,15
"S01000473","Aberdeenshire",2001,1173,NA,12,31
"S01000474","Aberdeenshire",2001,648,162,3,11
"S01000475","Aberdeenshire",2001,887,63,7,8
"S01000476","Aberdeenshire",2001,730,124,10,8
"S01000477","Aberdeenshire",2001,777,34,3,12
"S01000478","Aberdeenshire",2001,869,50,7,13
"S01000479","Aberdeenshire",2001,967,44,9,5
"S01000480","Aberdeenshire",2001,665,87,7,10
"S01000481","Aberdeenshire",2001,1909,252,23,39
"S01000482","Aberdeenshire",2001,934,91,12,22
"S01000483","Aberdeenshire",2001,1073,67,9,10
"S01000484","Aberdeenshire",2001,806,77,7,10
"S01000485","Aberdeenshire",2001,1410,83,9,10
"S01000486","Aberdeenshire",2001,980,107,11,15
"S01000487","Aberdeenshire",2001,796,49,3,9
"S01000488","Aberdeenshire",2001,703,50,2,5
"S01000489","Aberdeenshire",2001,904,54,4,21
"S01000490","Aberdeenshire",2001,541,49,3,8
"S01000491","Aberdeenshire",2001,593,51,8,4
"S01000492","Aberdeenshire",2001,954,66,7,20
"S01000493","Aberdeenshire",2001,729,98,4,15
"S01000494","Aberdeenshire",2001,566,43,4,1
"S01000495","Aberdeenshire",2001,935,53,3,13
"S01000496","Aberdeenshire",2001,587,59,4,12
"S01000497","Aberdeenshire",2001,766,83,3,7
"S01000498","Aberdeenshire",2001,548,44,3,3
"S01000499","Aberdeenshire",2001,1081,103,7,29
"S01000500","Aberdeenshire",2001,675,61,3,3
"S01000501","Aberdeenshire",2001,621,40,6,2
"S01000502","Aberdeenshire",2001,772,150,3,17
"S01000503","Aberdeenshire",2001,533,105,3,4
"S01000504","Aberdeenshire",2001,845,67,11,6
"S01000505","Aberdeenshire",2001,757,64,2,6
"S01000506","Aberdeenshire",2001,858,NA,6,11
"S01000507","Aberdeenshire",2001,1190,50,5,14
"S01000508","Aberdeenshire",2001,877,200,11,12
"S01000509","Aberdeenshire",2001,1349,71,4,20
"S01000510","Aberdeenshire",2001,805,31,3,9
"S01000511","Aberdeenshire",2001,556,83,6,3
"S01000512","Aberdeenshire",2001,1044,81,3,19
"S01000513","Aberdeenshire",2001,862,117,15,16
"S01000514","Aberdeenshire",2001,939,91,3,8
"S01000515","Aberdeenshire",2001,687,102,5,10
"S01000516","Aberdeenshire",2001,807,76,3,10
"S01000517","Aberdeenshire",2001,993,174,8,10
"S01000518","Aberdeenshire",2001,2385,238,7,30
"S01000519","Aberdeenshire",2001,476,94,2,7
"S01000520","Aberdeenshire",2001,1363,285,11,19
"S01000521","Aberdeenshire",2001,1154,102,3,9
"S01000522","Aberdeenshire",2001,612,129,12,8
"S01000523","Aberdeenshire",2001,793,59,6,8
"S01000524","Aberdeenshire",2001,647,114,15,7
"S01000525","Aberdeenshire",2001,987,253,7,13
"S01000526","Aberdeenshire",2001,1157,206,20,29
"S01000527","Aberdeenshire",2001,716,94,1,9
"S01000528","Aberdeenshire",2001,1061,174,5,16
"S01000529","Aberdeenshire",2001,1138,321,6,34
"S01000530","Aberdeenshire",2001,477,60,5,15
"S01000531","Aberdeenshire",2001,701,125,3,5
"S01000532","Aberdeenshire",2001,809,76,3,6
"S01000533","Aberdeenshire",2001,760,52,4,6
"S01000534","Aberdeenshire",2001,995,50,8,9
"S01000535","Aberdeenshire",2001,1156,NA,9,5
"S01000536","Aberdeenshire",2001,519,118,7,5
"S01000537","Aberdeenshire",2001,1415,103,6,29
"S01000538","Aberdeenshire",2001,789,51,0,7
