"output_area","ALL PEOPLE","Economically active","   Employee total","     Employee Part-time","     Employee Full-time","   Self-employed with employees total","     Self-employed with employees - Part-time","     Self-employed with employees - Full-time","   Self-employed without employees total","     Self-employed without employees - Part-time","     Self-employed without employees - Full-time","     Unemployed","     Full-time students","Economically inactive","     Retired","     Student","     Looking after home/family","     Permanently sick/disabled","     Other"
"60QA000029",56,40,25,1,24,1,0,1,1,0,1,3,10,16,0,10,2,3,1
"60QA000030",62,37,29,3,26,0,0,0,0,0,0,6,2,25,3,2,0,16,4
"60QA000031",66,41,24,3,21,0,0,0,1,0,1,2,14,25,3,19,1,1,1
"60QA000032",86,65,51,3,48,1,1,0,3,1,2,3,7,21,1,12,0,4,4
"60QA000033",111,98,74,3,71,2,0,2,2,0,2,2,18,13,1,9,1,1,1
"60QA000034",170,66,5,0,5,0,0,0,0,0,0,1,60,104,0,103,0,0,1
"60QA000035",162,104,74,6,68,1,0,1,0,0,0,1,28,58,0,51,0,4,3
"60QA000036",107,78,55,7,48,0,0,0,2,0,2,5,16,29,2,13,4,5,5
"60QA000037",60,38,29,1,28,0,0,0,0,0,0,2,7,22,1,21,0,0,0
"60QA000038",79,45,37,10,27,0,0,0,2,0,2,3,3,34,12,2,8,5,7
"60QA000039",131,103,79,13,66,7,0,7,10,3,7,3,4,28,10,9,7,1,1
"60QA000040",104,78,66,17,49,3,0,3,6,2,4,1,2,26,8,5,5,6,2
"60QA000041",63,57,47,5,42,0,0,0,6,1,5,3,1,6,2,0,0,2,2
"60QA000042",50,45,39,2,37,0,0,0,0,0,0,4,2,5,2,1,1,0,1
"60QA000043",89,56,43,7,36,1,0,1,4,1,3,6,2,33,18,4,5,4,2
"60QA000044",105,73,53,5,48,4,0,4,4,1,3,0,12,32,5,12,7,5,3
"60QA000045",62,53,45,3,42,2,0,2,5,1,4,1,0,9,5,0,2,2,0
"60QA000046",87,77,53,4,49,12,1,11,6,1,5,1,5,10,1,5,2,1,1
"60QA000047",105,75,58,9,49,5,0,5,5,1,4,2,5,30,15,5,8,1,1
"60QA000048",90,64,50,9,41,6,1,5,3,1,2,3,2,26,7,5,7,6,1
"60QA000049",94,76,71,12,59,0,0,0,2,0,2,2,1,18,5,2,4,3,4
"60QA000050",109,93,76,10,66,3,0,3,8,2,6,5,1,16,5,7,1,0,3
"60QA000051",61,33,23,4,19,2,1,1,1,1,0,2,5,28,7,5,1,10,5
"60QA000052",88,66,52,4,48,1,0,1,2,0,2,5,6,22,5,13,1,1,2
"60QA000053",70,61,53,4,49,0,0,0,3,1,2,2,3,9,2,2,4,0,1
"60QA000054",101,91,74,4,70,3,0,3,3,1,2,4,7,10,1,3,2,4,0
"60QA000055",121,87,63,11,52,11,1,10,7,3,4,1,5,34,12,16,5,0,1
"60QA000056",98,81,67,7,60,4,0,4,4,1,3,4,2,17,6,1,3,3,4
"60QA000057",66,55,46,4,42,2,0,2,3,0,3,0,4,11,1,7,0,0,3
"60QA000058",80,63,45,2,43,3,0,3,6,1,5,3,6,17,5,5,6,0,1
"60QA000059",74,51,48,5,43,2,0,2,1,0,1,0,0,23,15,2,0,5,1
"60QA000060",76,68,59,18,41,2,0,2,3,1,2,0,4,8,6,0,2,0,0
"60QA000061",77,55,40,1,39,1,0,1,4,4,0,1,9,22,4,11,3,1,3
"60QA000062",60,52,49,2,47,0,0,0,0,0,0,2,1,8,2,1,1,3,1
"60QA000063",65,50,37,0,37,0,0,0,1,1,0,3,9,15,3,11,0,1,0
"60QA000064",93,79,62,4,58,1,0,1,5,3,2,6,5,14,2,7,1,0,4
"60QA000065",96,82,68,0,68,2,0,2,3,2,1,3,6,14,4,7,1,1,1
"60QA000066",78,68,56,3,53,3,1,2,3,1,2,3,3,10,4,2,1,1,2
"60QA000067",68,61,58,3,55,0,0,0,0,0,0,2,1,7,2,2,0,1,2
"60QA000068",65,55,38,2,36,0,0,0,4,3,1,4,9,10,0,9,0,1,0
"60QA000069",104,70,49,2,47,4,0,4,6,0,6,5,6,34,7,6,6,5,10
"60QA000070",48,36,25,2,23,3,0,3,3,0,3,4,1,12,4,2,2,2,2
"60QA000071",64,55,45,2,43,3,0,3,4,1,3,1,2,9,4,4,0,0,1
"60QA000072",59,49,40,6,34,0,0,0,4,0,4,0,5,10,3,4,1,2,0
"60QA000073",73,52,44,5,39,1,0,1,1,0,1,4,2,21,3,5,4,4,5
"60QA000074",89,63,46,2,44,3,0,3,4,0,4,4,6,26,3,9,1,7,6
"60QA000075",59,49,40,2,38,0,0,0,2,1,1,0,7,10,2,5,0,3,0
"60QA000076",151,93,57,7,50,2,0,2,2,0,2,8,24,58,3,25,1,20,9
"60QA000077",56,44,37,15,22,0,0,0,1,1,0,4,2,12,5,0,1,4,2
"60QA000078",118,87,74,18,56,2,2,0,2,1,1,4,5,31,10,3,1,11,6
"60QA000079",46,30,18,5,13,0,0,0,2,0,2,8,2,16,1,1,2,7,5
"60QA000080",85,55,46,11,35,1,0,1,2,2,0,4,2,30,4,1,12,9,4
"60QA000081",55,36,30,5,25,0,0,0,1,1,0,2,3,19,5,1,3,6,4
"60QA000082",178,89,75,15,60,1,0,1,4,0,4,6,3,89,24,2,6,15,42
"60QA000083",82,64,58,9,49,3,0,3,1,0,1,1,1,18,13,1,1,1,2
"60QA000084",76,48,41,12,29,1,0,1,2,1,1,3,1,28,15,0,1,4,8
"60QA000085",93,56,50,11,39,1,0,1,2,0,2,1,2,37,13,4,7,7,6
"60QA000086",88,60,54,14,40,0,0,0,0,0,0,0,6,28,14,0,5,7,2
"60QA000087",113,83,69,8,61,1,0,1,4,0,4,2,7,30,13,2,8,6,1
"60QA000088",128,93,76,19,57,3,0,3,4,0,4,1,9,35,19,3,5,6,2
"60QA000089",73,56,47,6,41,0,0,0,4,2,2,4,1,17,5,0,3,7,2
"60QA000090",70,57,52,5,47,3,0,3,1,0,1,1,0,13,5,0,1,3,4
"60QA000091",77,56,47,3,44,0,0,0,0,0,0,5,4,21,6,3,3,1,8
"60QA000092",58,52,45,3,42,1,0,1,2,1,1,2,2,6,1,2,1,1,1
"60QA000093",88,63,50,6,44,0,0,0,2,2,0,7,4,25,5,3,0,6,11
"60QA000094",66,52,48,1,47,0,0,0,0,0,0,1,3,14,3,2,1,5,3
"60QA000095",58,48,42,1,41,1,0,1,0,0,0,3,2,10,1,1,0,5,3
"60QA000096",100,83,67,7,60,0,0,0,5,0,5,5,6,17,2,4,2,6,3
"60QA000097",78,63,56,4,52,0,0,0,2,1,1,5,0,15,4,0,3,1,7
"60QA000098",71,56,48,7,41,0,0,0,0,0,0,7,1,15,7,1,1,4,2
"60QA000099",87,63,58,5,53,0,0,0,0,0,0,4,1,24,3,5,3,6,7
"60QA000100",55,38,29,5,24,0,0,0,2,0,2,5,2,17,6,0,1,4,6
"60QA000101",54,41,34,4,30,0,0,0,2,0,2,3,2,13,1,0,4,4,4
"60QA000102",65,52,44,9,35,1,0,1,4,1,3,3,0,13,3,1,1,4,4
"60QA000103",68,52,48,4,44,0,0,0,1,0,1,3,0,16,7,4,0,4,1
"60QA000104",64,46,36,5,31,0,0,0,0,0,0,4,6,18,1,5,4,2,6
"60QA000105",50,37,33,3,30,0,0,0,1,0,1,1,2,13,7,1,2,2,1
"60QA000106",67,51,47,4,43,0,0,0,2,0,2,1,1,16,4,2,1,4,5
"60QA000107",70,52,41,7,34,0,0,0,1,0,1,7,3,18,5,3,2,6,2
"60QA000108",98,83,74,10,64,2,0,2,2,2,0,3,2,15,6,2,2,2,3
"60QA000109",59,53,46,4,42,1,1,0,0,0,0,3,3,6,1,2,0,3,0
"60QA000110",102,60,53,11,42,0,0,0,0,0,0,6,1,42,17,0,4,8,13
"60QA000111",69,54,46,4,42,0,0,0,2,2,0,4,2,15,4,3,1,4,3
"60QA000112",43,22,21,8,13,0,0,0,1,0,1,0,0,21,19,0,0,2,0
"60QA000113",39,27,27,9,18,0,0,0,0,0,0,0,0,12,5,0,1,4,2
"60QA000114",57,35,25,3,22,0,0,0,1,0,1,6,3,22,3,4,7,3,5
"60QA000115",54,23,21,7,14,0,0,0,0,0,0,1,1,31,13,0,4,6,8
"60QA000116",65,22,19,7,12,0,0,0,0,0,0,3,0,43,24,0,4,9,6
"60QA000117",84,53,45,14,31,1,0,1,2,1,1,2,3,31,9,2,9,8,3
"60QA000118",82,57,50,14,36,0,0,0,1,0,1,1,5,25,13,1,4,6,1
"60QA000119",76,45,35,7,28,0,0,0,1,0,1,6,3,31,12,0,3,8,8
"60QA000120",74,51,44,10,34,0,0,0,3,0,3,2,2,23,8,0,3,6,6
"60QA000121",100,57,48,9,39,3,0,3,3,2,1,3,0,43,11,3,5,13,11
"60QA000122",75,46,40,7,33,1,0,1,1,0,1,4,0,29,9,2,6,7,5
"60QA000123",83,65,51,17,34,4,1,3,2,1,1,6,2,18,13,0,3,2,0
"60QA000124",92,64,55,13,42,0,0,0,2,0,2,4,3,28,8,3,6,7,4
"60QA000125",91,50,40,11,29,1,1,0,0,0,0,7,2,41,9,5,13,11,3
"60QA000126",89,60,42,9,33,0,0,0,3,0,3,8,7,29,5,0,16,4,4
"60QA000127",98,63,55,12,43,0,0,0,1,1,0,7,0,35,6,3,9,9,8
"60QA000128",72,39,25,3,22,0,0,0,1,0,1,11,2,33,7,3,5,10,8
"60QA000129",80,56,46,15,31,2,1,1,0,0,0,6,2,24,3,3,7,5,6
"60QA000130",67,46,41,11,30,0,0,0,1,0,1,3,1,21,1,2,3,9,6
"60QA000131",107,79,60,20,40,0,0,0,0,0,0,16,3,28,4,1,10,6,7
"60QA000132",70,37,32,13,19,0,0,0,0,0,0,3,2,33,4,1,13,7,8
"60QA000133",84,49,44,8,36,3,0,3,0,0,0,1,1,35,25,0,2,5,3
"60QA000134",52,32,28,4,24,0,0,0,1,1,0,3,0,20,2,0,11,4,3
"60QA000135",45,25,21,7,14,0,0,0,1,0,1,3,0,20,4,1,8,4,3
"60QA000136",70,61,53,4,49,1,0,1,6,0,6,0,1,9,4,1,3,1,0
"60QA000137",68,62,53,6,47,2,0,2,3,1,2,1,3,6,2,2,0,2,0
"60QA000138",89,70,67,11,56,1,0,1,1,0,1,1,0,19,8,3,3,3,2
"60QA000139",88,75,65,9,56,1,0,1,5,3,2,0,4,13,6,0,3,3,1
"60QA000140",63,44,38,6,32,1,0,1,0,0,0,4,1,19,6,1,2,5,5
"60QA000141",63,32,30,9,21,0,0,0,0,0,0,2,0,31,13,6,3,5,4
"60QA000142",48,31,25,3,22,1,0,1,0,0,0,3,2,17,9,0,0,3,5
"60QA000143",67,47,45,12,33,0,0,0,0,0,0,1,1,20,5,0,4,9,2
"60QA000144",101,63,52,14,38,1,0,1,0,0,0,6,4,38,12,7,6,7,6
"60QA000145",107,53,41,8,33,0,0,0,0,0,0,7,5,54,15,4,9,18,8
"60QA000146",39,7,7,1,6,0,0,0,0,0,0,0,0,32,23,0,0,7,2
"60QA000147",71,42,37,11,26,0,0,0,1,0,1,1,3,29,4,3,12,8,2
"60QA000148",114,70,53,14,39,1,0,1,0,0,0,14,2,44,10,4,8,18,4
"60QA000149",63,37,30,14,16,1,0,1,1,1,0,5,0,26,4,4,5,5,8
"60QA000150",78,54,44,10,34,0,0,0,0,0,0,8,2,24,6,3,6,5,4
"60QA000151",130,89,70,15,55,3,1,2,11,1,10,2,3,41,21,1,7,7,5
"60QA000152",55,33,26,5,21,1,0,1,2,1,1,2,2,22,14,1,4,1,2
"60QA000153",76,53,43,6,37,1,0,1,4,2,2,2,3,23,8,1,4,8,2
"60QA000154",73,51,42,11,31,0,0,0,4,1,3,5,0,22,11,2,0,7,2
"60QA000155",57,31,27,8,19,1,0,1,2,0,2,1,0,26,14,0,2,8,2
"60QA000156",122,80,64,16,48,1,0,1,1,0,1,9,5,42,17,3,8,10,4
"60QA000157",82,44,39,8,31,0,0,0,1,0,1,4,0,38,17,3,4,10,4
"60QA000158",127,77,62,17,45,0,0,0,2,2,0,5,8,50,16,4,5,13,12
"60QA000159",89,60,49,12,37,3,1,2,4,0,4,4,0,29,9,2,2,10,6
"60QA000160",75,46,39,12,27,2,0,2,0,0,0,5,0,29,13,1,2,11,2
"60QA000161",77,51,43,7,36,1,0,1,2,0,2,5,0,26,10,0,5,7,4
"60QA000162",87,66,55,9,46,2,0,2,1,0,1,3,5,21,5,3,11,0,2
"60QA000163",72,50,41,9,32,2,1,1,2,0,2,5,0,22,13,2,3,4,0
"60QA000164",77,56,47,16,31,3,1,2,2,1,1,2,2,21,6,4,4,5,2
"60QA000165",75,62,54,7,47,5,1,4,2,0,2,1,0,13,3,2,6,1,1
"60QA000166",100,65,55,12,43,4,0,4,1,0,1,3,2,35,22,0,3,7,3
"60QA000167",114,80,67,20,47,2,0,2,3,2,1,4,4,34,21,1,1,2,9
"60QA000168",101,59,49,11,38,2,0,2,3,1,2,0,5,42,30,4,4,2,2
"60QA000169",85,60,49,11,38,3,0,3,6,1,5,0,2,25,14,4,4,1,2
"60QA000170",96,60,50,9,41,2,0,2,4,1,3,1,3,36,13,5,8,8,2
"60QA000171",21,3,3,0,3,0,0,0,0,0,0,0,0,18,16,0,0,0,2
"60QA000172",71,47,42,8,34,1,0,1,3,0,3,0,1,24,8,1,5,6,4
"60QA000173",87,57,49,9,40,3,0,3,2,1,1,1,2,30,13,4,3,9,1
"60QA000174",89,56,45,12,33,3,0,3,2,0,2,2,4,33,19,3,2,5,4
"60QA000175",115,81,68,20,48,1,0,1,2,0,2,3,7,34,14,3,4,7,6
"60QA000176",84,51,38,12,26,2,0,2,2,1,1,7,2,33,19,2,2,9,1
"60QA000177",86,62,53,17,36,1,0,1,3,0,3,2,3,24,10,3,3,7,1
"60QA000178",51,30,25,7,18,0,0,0,1,0,1,2,2,21,9,0,5,6,1
"60QA000179",52,40,32,10,22,0,0,0,5,2,3,0,3,12,6,0,2,4,0
"60QA000180",83,69,58,11,47,2,1,1,5,1,4,2,2,14,8,1,3,1,1
"60QA000181",70,44,37,8,29,1,0,1,2,1,1,3,1,26,13,1,4,4,4
"60QA000182",78,49,44,9,35,0,0,0,0,0,0,3,2,29,7,3,7,7,5
"60QA000183",85,57,50,17,33,0,0,0,1,0,1,3,3,28,8,4,7,5,4
"60QA000184",78,59,49,13,36,1,0,1,2,1,1,5,2,19,6,2,4,6,1
"60QA000185",90,61,54,15,39,0,0,0,5,2,3,2,0,29,14,0,3,3,9
"60QA000186",59,29,23,6,17,0,0,0,2,1,1,2,2,30,18,3,0,7,2
"60QA000187",94,40,36,11,25,0,0,0,0,0,0,2,2,54,33,1,2,12,6
"60QA000188",55,35,31,8,23,0,0,0,0,0,0,1,3,20,11,1,2,6,0
"60QA000189",72,50,40,11,29,2,1,1,2,0,2,0,6,22,13,0,2,5,2
"60QA000190",88,57,48,16,32,2,0,2,0,0,0,4,3,31,24,1,1,4,1
"60QA000191",109,74,65,17,48,1,0,1,5,0,5,0,3,35,20,1,6,4,4
"60QA000192",101,66,59,21,38,1,0,1,2,1,1,4,0,35,20,2,2,6,5
"60QA000193",63,34,29,7,22,1,0,1,2,2,0,2,0,29,21,1,0,5,2
"60QA000194",82,43,37,10,27,0,0,0,4,0,4,1,1,39,23,4,2,7,3
"60QA000195",73,46,40,10,30,0,0,0,3,2,1,0,3,27,16,3,3,3,2
"60QA000196",80,51,42,8,34,1,0,1,0,0,0,5,3,29,15,1,4,5,4
"60QA000197",87,63,51,15,36,1,0,1,4,1,3,3,4,24,11,0,3,4,6
"60QA000198",67,39,36,10,26,0,0,0,0,0,0,1,2,28,16,2,2,4,4
"60QA000199",89,43,37,6,31,2,1,1,1,1,0,0,3,46,30,1,2,9,4
"60QA000200",112,62,53,16,37,1,0,1,3,0,3,3,2,50,31,3,5,9,2
"60QA000201",91,51,42,10,32,2,1,1,3,0,3,4,0,40,23,1,7,5,4
"60QA000202",24,8,6,0,6,2,2,0,0,0,0,0,0,16,11,1,0,3,1
"60QA000203",102,68,56,17,39,1,0,1,1,1,0,8,2,34,16,4,3,9,2
"60QA000204",57,29,29,6,23,0,0,0,0,0,0,0,0,28,13,0,2,8,5
"60QA000205",62,27,24,8,16,1,0,1,0,0,0,1,1,35,19,2,5,6,3
"60QA000206",48,24,18,7,11,0,0,0,4,0,4,1,1,24,12,0,4,6,2
"60QA000207",43,30,28,11,17,2,0,2,0,0,0,0,0,13,5,0,3,2,3
"60QA000208",122,79,64,15,49,3,0,3,4,2,2,6,2,43,17,4,7,10,5
"60QA000209",98,60,51,14,37,0,0,0,4,1,3,5,0,38,15,1,9,8,5
"60QA000210",75,50,43,11,32,1,0,1,1,0,1,4,1,25,8,2,4,6,5
"60QA000211",95,59,52,9,43,1,0,1,2,2,0,2,2,36,18,1,7,8,2
"60QA000212",121,73,66,16,50,1,0,1,3,0,3,2,1,48,33,0,5,7,3
"60QA000213",135,79,69,24,45,1,0,1,6,3,3,3,0,56,31,3,4,9,9
"60QA000214",117,78,64,18,46,4,1,3,5,2,3,1,4,39,20,4,2,8,5
"60QA000215",79,50,42,7,35,0,0,0,4,1,3,2,2,29,14,1,2,8,4
"60QA000216",94,68,58,19,39,2,0,2,0,0,0,5,3,26,5,7,4,7,3
"60QA000217",85,64,48,20,28,3,0,3,3,0,3,3,7,21,6,3,3,6,3
"60QA000218",86,68,51,8,43,8,3,5,7,1,6,1,1,18,9,4,3,2,0
"60QA000219",105,64,38,8,30,12,1,11,9,4,5,1,4,41,26,7,6,2,0
"60QA000220",69,44,34,5,29,4,0,4,3,0,3,0,3,25,10,5,8,2,0
"60QA000221",102,73,55,10,45,9,1,8,4,0,4,1,4,29,17,0,5,4,3
"60QA000222",131,89,69,20,49,7,0,7,5,0,5,2,6,42,16,11,9,2,4
"60QA000223",275,129,55,10,45,13,2,11,5,1,4,3,53,146,11,122,11,0,2
"60QA000224",97,67,40,10,30,9,0,9,11,2,9,3,4,30,19,0,4,2,5
"60QA000225",90,56,40,5,35,9,0,9,5,1,4,1,1,34,18,3,11,0,2
"60QA000226",98,72,51,11,40,7,2,5,5,0,5,2,7,26,11,5,8,1,1
"60QA000227",92,66,53,11,42,5,0,5,5,1,4,0,3,26,13,3,6,3,1
"60QA000228",61,37,32,3,29,1,0,1,2,0,2,1,1,24,12,2,5,2,3
"60QA000229",72,58,34,6,28,6,1,5,11,5,6,2,5,14,2,5,3,3,1
"60QA000230",55,40,33,6,27,2,0,2,4,1,3,0,1,15,10,1,3,1,0
"60QA000231",77,52,39,6,33,6,1,5,3,0,3,2,2,25,12,1,9,2,1
"60QA000232",132,102,79,15,64,4,2,2,9,3,6,5,5,30,13,9,2,3,3
"60QA000233",136,103,74,15,59,8,1,7,13,3,10,3,5,33,8,4,9,9,3
"60QA000234",92,70,57,11,46,3,0,3,3,1,2,4,3,22,11,2,7,1,1
"60QA000235",80,65,51,8,43,6,1,5,4,0,4,4,0,15,7,1,3,2,2
"60QA000236",88,61,48,10,38,3,1,2,2,0,2,4,4,27,11,7,7,0,2
"60QA000237",72,54,40,10,30,3,0,3,6,2,4,0,5,18,11,3,3,0,1
"60QA000238",72,61,55,6,49,0,0,0,2,1,1,0,4,11,4,3,2,1,1
"60QA000239",58,47,36,4,32,3,0,3,3,1,2,1,4,11,0,10,0,0,1
"60QA000240",64,59,45,4,41,1,0,1,0,0,0,4,9,5,0,3,0,1,1
"60QA000241",55,48,40,2,38,0,0,0,1,0,1,4,3,7,1,2,1,2,1
"60QA000242",109,85,49,2,47,2,0,2,2,0,2,4,28,24,0,17,2,1,4
"60QA000243",58,52,43,1,42,0,0,0,3,0,3,1,5,6,0,4,1,0,1
"60QA000244",69,59,47,4,43,1,0,1,3,1,2,0,8,10,4,3,1,0,2
"60QA000245",64,42,28,2,26,2,0,2,2,0,2,4,6,22,3,18,0,0,1
"60QA000246",99,91,77,2,75,0,0,0,4,1,3,1,9,8,2,3,2,0,1
"60QA000247",64,50,42,5,37,0,0,0,1,1,0,2,5,14,1,7,1,3,2
"60QA000248",97,76,56,4,52,1,0,1,3,1,2,9,7,21,2,6,1,7,5
"60QA000249",62,46,31,2,29,0,0,0,1,0,1,2,12,16,1,9,1,1,4
"60QA000250",70,63,51,5,46,2,1,1,1,0,1,5,4,7,1,3,1,0,2
"60QA000251",57,40,30,2,28,0,0,0,1,0,1,4,5,17,1,5,1,8,2
"60QA000252",67,50,46,4,42,0,0,0,1,0,1,2,1,17,9,4,2,2,0
"60QA000253",82,65,50,5,45,1,0,1,2,0,2,5,7,17,4,3,2,6,2
"60QA000254",126,91,79,18,61,1,1,0,2,1,1,1,8,35,10,15,3,3,4
"60QA000255",105,90,81,7,74,0,0,0,4,2,2,1,4,15,3,5,0,4,3
"60QA000256",106,85,74,2,72,1,0,1,4,1,3,4,2,21,5,5,5,2,4
"60QA000257",71,60,45,5,40,3,0,3,2,0,2,0,10,11,4,4,1,0,2
"60QA000258",75,59,50,5,45,2,0,2,3,0,3,1,3,16,9,2,3,0,2
"60QA000259",80,52,43,2,41,1,0,1,2,1,1,2,4,28,7,5,6,8,2
"60QA000260",65,58,46,2,44,0,0,0,4,2,2,0,8,7,3,3,0,0,1
"60QA000261",160,125,98,15,83,10,3,7,4,2,2,3,10,35,6,16,10,1,2
"60QA000262",82,66,48,11,37,5,1,4,7,0,7,1,5,16,7,2,3,1,3
"60QA000263",81,61,54,3,51,0,0,0,1,0,1,3,3,20,2,10,1,4,3
"60QA000264",76,64,53,1,52,1,0,1,3,1,2,1,6,12,5,2,2,2,1
"60QA000265",108,81,64,16,48,5,1,4,5,1,4,2,5,27,15,5,3,3,1
"60QA000266",87,58,44,12,32,3,0,3,6,4,2,1,4,29,20,2,3,1,3
"60QA000267",79,61,49,13,36,1,0,1,7,2,5,1,3,18,10,3,5,0,0
"60QA000268",130,104,86,21,65,5,2,3,7,3,4,3,3,26,12,7,2,3,2
"60QA000269",125,88,73,16,57,4,0,4,4,1,3,2,5,37,25,1,7,3,1
"60QA000270",98,66,48,14,34,11,4,7,2,1,1,2,3,32,18,5,7,1,1
"60QA000271",89,63,53,11,42,3,0,3,2,1,1,2,3,26,20,0,4,2,0
"60QA000272",61,29,23,6,17,0,0,0,5,2,3,0,1,32,20,1,6,4,1
"60QA000273",55,37,27,8,19,5,0,5,2,1,1,1,2,18,9,0,6,2,1
"60QA000274",120,82,66,14,52,6,1,5,6,1,5,3,1,38,24,4,4,4,2
"60QA000275",112,73,59,20,39,2,0,2,7,2,5,5,0,39,19,2,1,11,6
"60QA000276",124,95,71,8,63,6,0,6,12,5,7,3,3,29,16,6,3,0,4
"60QA000277",103,67,45,8,37,5,1,4,10,4,6,2,5,36,11,7,6,8,4
"60QA000278",83,62,43,7,36,3,1,2,10,4,6,2,4,21,4,2,13,0,2
"60QA000279",97,69,52,11,41,4,0,4,5,1,4,2,6,28,16,5,2,3,2
"60QA000280",96,58,45,9,36,2,0,2,9,2,7,1,1,38,19,7,8,4,0
"60QA000281",86,71,61,8,53,0,0,0,4,0,4,4,2,15,6,5,2,0,2
"60QA000282",83,69,55,11,44,1,0,1,8,1,7,2,3,14,7,2,5,0,0
"60QA000283",83,60,49,8,41,4,0,4,4,1,3,1,2,23,7,3,11,0,2
"60QA000284",72,50,40,8,32,1,0,1,6,2,4,0,3,22,6,8,7,1,0
"60QA000285",48,36,30,2,28,2,1,1,4,2,2,0,0,12,4,3,1,3,1
"60QA000286",114,95,62,11,51,3,0,3,15,7,8,1,14,19,9,4,3,1,2
"60QA000287",121,96,73,10,63,4,1,3,7,2,5,4,8,25,5,11,6,2,1
"60QA000288",69,61,53,3,50,2,0,2,2,0,2,1,3,8,7,0,0,1,0
"60QA000289",53,44,40,2,38,0,0,0,1,0,1,1,2,9,2,1,0,3,3
"60QA000290",105,86,70,5,65,6,0,6,1,0,1,4,5,19,10,2,5,2,0
"60QA000291",79,65,52,6,46,1,0,1,4,0,4,1,7,14,1,8,3,0,2
"60QA000292",93,73,63,2,61,0,0,0,1,0,1,6,3,20,7,5,1,1,6
"60QA000293",62,55,41,5,36,0,0,0,5,2,3,6,3,7,0,3,0,4,0
"60QA000294",101,92,80,2,78,1,0,1,2,1,1,3,6,9,2,1,3,3,0
"60QA000295",70,65,58,3,55,3,0,3,2,2,0,0,2,5,0,2,0,0,3
"60QA000296",99,82,74,8,66,2,0,2,3,1,2,1,2,17,8,0,4,1,4
"60QA000297",71,54,45,9,36,4,0,4,3,2,1,0,2,17,7,2,5,0,3
"60QA000298",52,39,28,3,25,1,0,1,6,2,4,2,2,13,1,1,7,4,0
"60QA000299",72,58,51,3,48,0,0,0,1,0,1,0,6,14,3,3,3,2,3
"60QA000300",120,103,75,9,66,4,1,3,15,1,14,2,7,17,3,9,2,2,1
"60QA000301",9,1,1,0,1,0,0,0,0,0,0,0,0,8,6,0,0,1,1
"60QA000302",50,35,26,1,25,0,0,0,1,1,0,2,6,15,5,6,0,3,1
"60QA000303",137,99,85,17,68,2,0,2,4,2,2,2,6,38,25,4,5,2,2
