"output_area","All people","Number of people born in: England","Number of people born in: Scotland","Number of people born in: Wales","Number of people born in: Northern Ireland","Number of people born in: Republic of Ireland","Number of people born in: Other EU countries","Number of people born: Elsewhere"
"60QA000242",117,17,78,0,2,2,3,15
"60QA000243",65,7,50,2,0,1,0,5
"60QA000244",75,9,59,1,1,0,2,3
"60QA000245",67,4,49,1,2,5,2,4
"60QA000246",103,14,78,1,1,0,0,9
"60QA000247",68,11,50,0,1,1,1,4
"60QA000248",105,15,80,1,1,0,1,7
"60QA000249",63,9,46,1,1,2,0,4
"60QA000250",71,8,52,0,1,0,1,9
"60QA000251",65,6,48,0,0,0,0,11
"60QA000252",84,9,71,0,1,0,1,2
"60QA000253",92,15,74,0,0,1,1,1
"60QA000254",199,15,147,1,1,9,9,17
"60QA000255",113,12,95,1,0,1,1,3
"60QA000256",114,11,83,0,3,0,3,14
"60QA000257",89,15,63,1,1,0,1,8
"60QA000258",91,6,78,0,1,0,1,5
"60QA000259",96,15,68,1,0,0,2,10
"60QA000260",69,4,62,0,0,0,1,2
"60QA000261",210,46,134,1,2,0,10,17
"60QA000262",98,12,69,2,1,0,3,11
"60QA000263",87,14,57,0,1,0,2,13
"60QA000264",86,14,60,1,3,0,0,8
"60QA000265",145,17,109,4,0,0,5,10
"60QA000266",131,17,100,0,0,0,6,8
"60QA000267",115,11,96,0,2,1,1,4
"60QA000268",178,20,142,2,0,1,4,9
"60QA000269",179,15,143,3,0,4,0,14
"60QA000270",144,10,123,0,0,2,5,4
"60QA000271",121,11,97,3,0,0,3,7
"60QA000272",82,4,70,0,0,0,2,6
"60QA000273",81,9,70,0,1,0,0,1
"60QA000274",149,7,133,1,0,1,4,3
"60QA000275",144,9,132,0,0,1,0,2
"60QA000276",147,25,108,0,1,0,3,10
"60QA000277",127,10,97,0,0,1,2,17
"60QA000278",126,12,83,0,4,0,11,16
"60QA000279",124,13,106,1,0,0,3,1
"60QA000280",133,15,113,0,1,2,0,2
"60QA000281",101,10,86,2,0,0,1,2
"60QA000282",97,10,77,1,1,0,2,6
"60QA000283",126,13,105,0,0,2,0,6
"60QA000284",91,18,69,0,2,0,1,1
"60QA000285",100,6,92,0,0,0,0,2
"60QA000286",145,13,126,1,1,1,2,1
"60QA000287",152,6,129,1,1,0,1,14
"60QA000288",86,12,69,1,0,0,0,4
"60QA000289",56,6,47,0,1,1,0,1
"60QA000290",119,16,86,3,0,0,7,7
"60QA000291",85,14,64,0,0,0,2,5
"60QA000292",109,13,83,3,1,1,2,6
"60QA000293",65,2,58,1,1,0,1,2
"60QA000294",111,11,86,4,0,1,2,7
"60QA000295",82,15,64,0,1,0,2,0
"60QA000296",119,9,99,3,1,0,4,3
"60QA000297",93,9,75,1,0,0,5,3
"60QA000298",65,4,57,0,0,1,1,2
"60QA000299",75,9,61,1,1,0,0,3
"60QA000300",140,24,104,0,1,2,2,7
"60QA000301",55,6,48,0,0,0,0,1
"60QA000302",51,4,43,0,0,1,0,3
"60QA000303",183,13,164,0,0,1,1,4
"60QA000304",65,1,64,0,0,0,0,0
"60QA000305",70,6,49,1,1,0,6,7
"60QA000306",70,10,53,0,0,1,3,3
"60QA000307",84,4,76,0,0,0,0,4
"60QA000308",51,5,45,0,0,0,1,0
"60QA000309",161,10,145,0,1,0,2,3
"60QA000310",128,19,100,2,1,0,1,5
