"output_area","All people","Number of people born in: England","Number of people born in: Scotland","Number of people born in: Wales","Number of people born in: Northern Ireland","Number of people born in: Republic of Ireland","Number of people born in: Other EU countries","Number of people born: Elsewhere"
"60QS002686",141,1,136,0,1,1,0,2
"60QS002687",63,2,56,0,0,3,0,2
"60QS002688",95,2,86,0,1,6,0,0
"60QS002689",124,4,119,0,1,0,0,0
"60QS002690",137,6,116,1,0,0,1,13
"60QS002691",219,1,208,0,0,4,1,5
"60QS002692",182,1,171,0,2,2,3,3
"60QS002693",137,5,131,0,0,0,0,1
"60QS002694",109,8,95,0,0,2,0,4
"60QS002695",152,14,133,0,0,0,0,5
"60QS002696",156,3,149,0,1,1,1,1
"60QS002697",108,1,105,0,1,1,0,0
"60QS002698",112,2,107,0,1,1,1,0
"60QS002699",166,6,154,0,0,4,0,2
"60QS002700",115,5,103,0,3,3,1,0
"60QS002701",108,2,99,0,2,4,1,0
"60QS002702",151,3,143,0,1,1,1,2
"60QS002703",122,2,105,0,0,4,2,9
"60QS002704",110,2,101,0,0,6,0,1
"60QS002705",189,9,175,0,0,2,0,3
"60QS002706",106,9,90,0,1,2,0,4
"60QS002707",86,1,82,0,0,1,0,2
"60QS002708",170,5,155,0,0,0,0,10
"60QS002709",113,3,103,0,0,3,1,3
"60QS002710",119,6,102,0,2,1,1,7
"60QS002711",114,2,107,0,0,1,1,3
"60QS002712",145,2,135,0,0,3,2,3
"60QS002713",56,0,53,1,1,1,0,0
"60QS002714",170,4,162,0,0,2,0,2
"60QS002715",130,0,119,0,2,5,2,2
"60QS002716",114,3,101,2,0,1,3,4
"60QS002717",186,0,181,0,1,2,1,1
"60QS002718",116,7,105,0,1,1,0,2
"60QS002719",129,2,114,0,4,5,0,4
"60QS002720",82,0,80,0,1,0,0,1
"60QS002721",230,3,223,0,0,4,0,0
"60QS002722",203,8,186,1,1,7,0,0
"60QS002723",128,2,122,0,0,3,0,1
"60QS002724",177,6,164,0,1,4,1,1
"60QS002725",150,5,138,1,0,3,3,0
"60QS002726",83,2,78,0,0,3,0,0
"60QS002727",114,10,93,0,3,2,3,3
"60QS002728",148,3,140,0,0,1,2,2
"60QS002729",101,10,89,0,0,0,0,2
"60QS002730",128,3,114,1,2,4,2,2
"60QS002731",136,6,127,0,0,3,0,0
"60QS002732",112,6,102,0,0,1,0,3
"60QS002733",174,5,152,0,5,2,3,7
"60QS002734",138,9,119,0,3,2,2,3
"60QS002735",155,3,137,1,1,6,0,7
"60QS002736",110,3,93,0,1,1,0,12
"60QS002737",73,20,41,1,6,0,3,2
"60QS002738",64,1,62,0,0,1,0,0
"60QS002739",130,0,122,0,1,5,0,2
"60QS002740",153,2,145,0,1,2,1,2
"60QS002741",114,6,102,2,0,2,0,2
"60QS002742",61,2,58,0,0,0,1,0
"60QS002743",119,8,107,0,0,2,0,2
"60QS002744",177,1,160,0,3,11,0,2
"60QS002745",144,3,138,0,1,0,0,2
"60QS002746",91,2,85,0,0,1,1,2
"60QS002747",114,3,105,0,0,3,2,1
"60QS002748",167,2,161,0,0,3,0,1
"60QS002749",111,3,106,0,1,0,1,0
"60QS002750",111,6,101,0,2,2,0,0
"60QS002751",158,6,151,0,0,0,1,0
"60QS002752",103,5,93,0,0,1,0,4
"60QS002753",129,0,125,0,0,1,1,2
"60QS002754",124,0,121,0,0,2,1,0
"60QS002755",99,1,93,0,0,2,1,2
"60QS002756",130,0,126,0,0,1,0,3
"60QS002757",101,2,98,0,1,0,0,0
"60QS002758",151,2,143,1,0,2,0,3
"60QS002759",93,6,82,0,1,1,0,3
"60QS002760",98,0,93,0,1,1,1,2
"60QS002761",89,4,82,0,1,1,0,1
"60QS002762",132,3,125,0,0,3,0,1
"60QS002763",77,3,73,0,0,1,0,0
"60QS002764",120,3,115,0,0,2,0,0
"60QS002765",190,5,179,0,0,4,0,2
"60QS002766",112,4,103,0,1,4,0,0
"60QS002767",127,10,117,0,0,0,0,0
"60QS002768",100,2,93,0,0,4,0,1
"60QS002769",116,0,112,0,0,1,1,2
"60QS002770",130,5,116,0,2,0,2,5
"60QS002771",93,3,87,0,1,0,0,2
"60QS002772",141,3,133,0,0,1,4,0
"60QS002773",90,5,79,0,1,0,0,5
"60QS002774",152,4,135,0,0,9,0,4
"60QS002775",106,2,103,0,1,0,0,0
"60QS002776",140,9,129,0,0,0,0,2
"60QS002777",123,1,118,0,0,0,2,2
"60QS002778",97,4,93,0,0,0,0,0
"60QS002779",163,4,155,0,0,0,0,4
"60QS002780",107,2,104,0,0,0,1,0
"60QS002781",140,2,136,0,0,1,1,0
"60QS002782",179,3,170,0,1,4,0,1
"60QS002783",149,6,136,1,0,1,5,0
"60QS002784",156,4,147,1,0,2,1,1
"60QS002785",175,5,165,0,0,0,1,4
"60QS002786",115,7,104,0,0,2,1,1
"60QS002787",105,5,97,0,0,2,0,1
"60QS002788",120,3,112,0,0,0,3,2
"60QS002789",152,3,145,0,0,1,3,0
"60QS002790",91,1,88,0,0,0,1,1
"60QS002791",119,2,117,0,0,0,0,0
"60QS002792",133,3,126,0,0,2,2,0
"60QS002793",139,2,135,0,0,0,0,2
"60QS002794",166,1,159,0,2,1,0,3
"60QS002795",101,3,95,0,1,2,0,0
"60QS002796",172,3,165,1,1,2,0,0
"60QS002797",150,3,142,1,2,0,0,2
"60QS002798",151,1,145,1,0,2,1,1
"60QS002799",112,0,110,1,0,1,0,0
"60QS002800",57,1,53,0,0,1,0,2
"60QS002801",136,2,130,1,1,1,1,0
"60QS002802",125,4,116,0,0,0,0,5
"60QS002803",83,0,82,0,0,1,0,0
"60QS002804",109,2,105,0,0,1,0,1
"60QS002805",109,2,106,0,0,1,0,0
"60QS002806",86,2,83,0,0,0,1,0
"60QS002807",116,2,112,0,0,0,0,2
"60QS002808",112,2,107,0,1,2,0,0
"60QS002809",94,2,90,0,0,1,0,1
"60QS002810",55,0,54,0,0,0,0,1
"60QS002811",84,2,76,0,0,0,6,0
"60QS002812",186,2,182,0,0,0,1,1
"60QS002813",98,2,95,0,1,0,0,0
"60QS002814",66,1,65,0,0,0,0,0
"60QS002815",62,2,60,0,0,0,0,0
"60QS002816",145,2,137,0,1,3,1,1
"60QS002817",115,4,108,0,0,2,1,0
"60QS002818",146,2,142,0,1,0,1,0
"60QS002819",150,3,146,0,0,0,1,0
"60QS002820",103,6,96,0,0,1,0,0
"60QS002821",172,3,164,0,0,1,0,4
"60QS002822",52,2,49,0,0,1,0,0
"60QS002823",109,2,103,0,0,3,1,0
"60QS002824",130,0,125,0,0,2,0,3
"60QS002825",111,1,106,0,0,3,1,0
"60QS002826",166,0,164,0,1,1,0,0
"60QS002827",129,4,123,0,0,0,1,1
"60QS002828",140,2,136,0,0,1,1,0
"60QS002829",95,1,93,0,0,0,0,1
"60QS002830",107,0,99,0,1,1,0,6
"60QS002831",132,2,128,0,0,2,0,0
"60QS002832",96,3,88,0,0,1,1,3
"60QS002833",195,1,187,0,1,6,0,0
"60QS002834",71,0,61,0,0,4,0,6
"60QS002835",91,2,85,0,1,1,1,1
"60QS002836",90,2,87,0,0,1,0,0
"60QS002837",85,4,78,0,0,3,0,0
"60QS002838",128,1,122,0,1,4,0,0
"60QS002839",88,3,77,0,3,1,0,4
"60QS002840",128,0,124,0,0,2,0,2
"60QS002841",52,3,49,0,0,0,0,0
"60QS002842",60,2,58,0,0,0,0,0
"60QS002843",63,0,63,0,0,0,0,0
"60QS002844",104,1,103,0,0,0,0,0
"60QS002845",139,4,132,0,0,1,2,0
"60QS002846",94,1,92,0,1,0,0,0
"60QS002847",159,8,148,0,0,1,0,2
"60QS002848",153,3,147,0,0,1,1,1
"60QS002849",159,5,152,0,0,1,0,1
"60QS002850",108,1,102,0,0,3,0,2
"60QS002851",101,2,99,0,0,0,0,0
"60QS002852",112,3,107,1,0,1,0,0
"60QS002853",99,2,91,0,0,6,0,0
"60QS002854",123,7,116,0,0,0,0,0
"60QS002855",137,1,134,0,0,2,0,0
"60QS002856",82,1,80,0,1,0,0,0
"60QS002857",171,2,168,0,1,0,0,0
"60QS002858",50,1,48,0,0,0,0,1
"60QS002859",169,5,153,0,1,1,1,8
"60QS002860",164,5,152,0,0,2,2,3
"60QS002861",127,3,121,0,1,2,0,0
"60QS002862",83,0,83,0,0,0,0,0
"60QS002863",99,0,94,2,0,3,0,0
"60QS002864",161,7,150,0,0,0,0,4
"60QS002865",120,4,113,0,2,0,1,0
"60QS002866",115,5,101,2,2,1,0,4
"60QS002867",100,2,97,0,0,1,0,0
"60QS002868",133,2,127,0,0,4,0,0
"60QS002869",90,4,83,0,0,2,0,1
"60QS002870",104,6,98,0,0,0,0,0
"60QS002871",90,0,88,0,2,0,0,0
"60QS002872",141,1,134,0,2,2,0,2
"60QS002873",110,2,106,0,1,0,1,0
"60QS002874",94,2,90,0,0,1,0,1
"60QS002875",58,6,50,0,0,2,0,0
"60QS002876",90,2,86,0,2,0,0,0
"60QS002877",79,1,76,1,1,0,0,0
"60QS002878",77,3,72,0,0,0,1,1
"60QS002879",157,7,147,2,0,0,0,1
"60QS002880",107,2,104,0,0,0,0,1
"60QS002881",130,1,128,0,0,1,0,0
"60QS002882",119,3,116,0,0,0,0,0
"60QS002883",126,2,117,0,3,0,0,4
"60QS002884",102,4,95,0,0,2,1,0
"60QS002885",80,2,75,0,0,0,1,2
"60QS002886",97,1,94,0,0,0,2,0
"60QS002887",94,3,91,0,0,0,0,0
"60QS002888",67,0,67,0,0,0,0,0
"60QS002889",102,8,92,1,0,0,0,1
"60QS002890",104,1,103,0,0,0,0,0
"60QS002891",74,0,73,0,0,0,0,1
"60QS002892",61,1,53,0,0,0,0,7
"60QS002893",111,0,111,0,0,0,0,0
"60QS002894",106,0,105,0,0,0,0,1
"60QS002895",115,3,110,1,0,0,1,0
"60QS002896",118,3,102,1,0,3,3,6
"60QS002897",185,3,178,0,1,2,0,1
"60QS002898",87,0,85,0,0,2,0,0
"60QS002899",120,2,116,0,0,1,0,1
"60QS002900",84,1,82,0,0,1,0,0
"60QS002901",92,1,90,0,1,0,0,0
"60QS002902",79,0,79,0,0,0,0,0
"60QS002903",83,0,80,0,0,2,1,0
"60QS002904",93,1,91,0,0,0,0,1
"60QS002905",102,1,100,0,0,0,0,1
"60QS002906",111,1,107,0,1,0,0,2
"60QS002907",91,0,86,1,1,3,0,0
"60QS002908",114,0,104,1,0,4,4,1
"60QS002909",105,2,102,0,1,0,0,0
"60QS002910",102,2,96,0,0,2,2,0
"60QS002911",123,4,113,0,0,4,0,2
"60QS002912",131,3,118,0,1,4,1,4
"60QS002913",56,2,54,0,0,0,0,0
"60QS002914",86,2,67,0,0,0,0,17
"60QS002915",98,5,90,0,0,3,0,0
"60QS002916",111,5,101,0,1,1,0,3
"60QS002917",76,5,71,0,0,0,0,0
"60QS002918",105,3,97,0,0,1,1,3
"60QS002919",112,10,93,0,0,0,1,8
"60QS002920",103,6,90,0,0,1,3,3
"60QS002921",54,5,46,1,0,0,0,2
"60QS002922",151,12,101,0,0,3,1,34
"60QS002923",86,2,77,0,3,2,1,1
"60QS002924",101,10,68,0,0,0,0,23
"60QS002925",71,1,61,0,0,0,0,9
"60QS002926",84,14,56,0,1,0,0,13
"60QS002927",78,1,67,0,2,0,1,7
"60QS002928",104,7,79,1,2,2,3,10
"60QS002929",169,14,132,2,3,0,3,15
"60QS002930",72,3,57,0,0,0,0,12
"60QS002931",212,26,142,1,0,0,5,38
"60QS002932",221,18,139,1,2,0,0,61
"60QS002933",81,6,55,1,1,4,2,12
"60QS002934",65,3,54,0,0,1,1,6
"60QS002935",169,9,142,0,1,2,0,15
"60QS002936",161,3,147,0,3,6,0,2
"60QS002937",88,0,84,0,0,1,0,3
"60QS002938",93,0,90,0,1,0,0,2
"60QS002939",187,27,129,0,2,1,0,28
"60QS002940",120,5,112,0,1,0,0,2
"60QS002941",87,7,73,0,2,0,2,3
"60QS002942",58,2,48,4,0,0,0,4
"60QS002943",94,3,78,0,1,1,1,10
"60QS002944",87,4,75,0,1,0,1,6
"60QS002945",76,3,69,0,0,2,0,2
"60QS002946",80,3,69,0,2,0,0,6
"60QS002947",129,7,117,0,0,1,0,4
"60QS002948",59,5,46,1,2,0,0,5
"60QS002949",163,15,124,0,2,0,4,18
"60QS002950",133,9,109,1,2,1,0,11
"60QS002951",81,5,64,0,0,4,5,3
"60QS002952",147,11,117,1,1,3,1,13
"60QS002953",96,5,81,0,0,4,0,6
"60QS002954",173,2,170,0,0,0,0,1
"60QS002955",232,1,227,0,2,0,1,1
"60QS002956",133,8,115,0,1,0,2,7
"60QS002957",76,5,68,0,1,0,1,1
"60QS002958",94,1,88,0,2,1,0,2
"60QS002959",79,6,65,0,2,0,1,5
"60QS002960",90,3,76,1,1,1,0,8
"60QS002961",71,5,61,0,1,0,0,4
"60QS002962",99,2,86,1,0,5,1,4
"60QS002963",150,9,122,0,1,0,2,16
"60QS002964",59,1,48,0,2,0,0,8
"60QS002965",163,5,149,0,2,2,0,5
"60QS002966",115,4,98,1,2,2,0,8
"60QS002967",75,4,62,0,0,2,0,7
"60QS002968",106,0,102,0,0,2,0,2
"60QS002969",84,3,74,0,0,0,0,7
"60QS002970",152,1,126,0,4,2,0,19
"60QS002971",100,5,78,1,2,2,0,12
"60QS002972",135,4,120,0,0,1,2,8
"60QS002973",154,4,126,0,0,0,3,21
"60QS002974",128,5,119,1,0,0,1,2
"60QS002975",162,3,158,0,0,0,0,1
"60QS002976",144,1,142,0,0,1,0,0
"60QS002977",110,1,108,0,0,0,1,0
"60QS002978",83,1,74,0,2,0,1,5
"60QS002979",129,0,119,0,0,3,0,7
"60QS002980",135,1,132,0,1,1,0,0
"60QS002981",91,0,90,0,0,1,0,0
"60QS002982",100,1,93,0,0,2,2,2
"60QS002983",81,0,79,0,0,1,1,0
"60QS002984",127,1,124,0,1,0,0,1
"60QS002985",109,0,108,0,0,1,0,0
"60QS002986",101,0,99,0,1,0,0,1
"60QS002987",72,5,63,1,1,1,1,0
"60QS002988",157,8,139,0,3,0,2,5
"60QS002989",117,0,117,0,0,0,0,0
"60QS002990",71,2,64,0,4,1,0,0
"60QS002991",51,1,49,0,1,0,0,0
"60QS002992",77,0,77,0,0,0,0,0
"60QS002993",84,4,78,0,0,1,1,0
"60QS002994",84,3,76,0,0,3,1,1
"60QS002995",190,12,164,2,1,3,2,6
"60QS002996",137,1,133,0,1,2,0,0
"60QS002997",93,1,92,0,0,0,0,0
"60QS002998",127,2,124,0,0,0,0,1
"60QS002999",112,6,100,1,1,1,0,3
"60QS003000",102,3,93,0,1,1,2,2
"60QS003001",99,2,91,1,0,1,0,4
"60QS003002",174,3,161,3,0,4,1,2
"60QS003003",70,6,63,0,0,0,0,1
"60QS003004",108,0,105,0,1,0,0,2
"60QS003005",124,4,117,0,0,2,1,0
"60QS003006",115,2,108,0,1,1,0,3
"60QS003007",98,8,86,1,0,0,1,2
"60QS003008",131,4,118,0,0,1,1,7
"60QS003009",104,5,97,1,0,0,1,0
"60QS003010",107,2,102,0,1,1,0,1
"60QS003011",86,3,81,0,1,0,0,1
"60QS003012",135,6,125,0,0,0,3,1
"60QS003013",91,2,83,0,0,0,2,4
"60QS003014",106,1,105,0,0,0,0,0
"60QS003015",176,2,172,0,0,0,0,2
"60QS003016",103,2,97,0,1,1,0,2
"60QS003017",106,3,95,0,2,2,0,4
"60QS003018",126,3,118,0,0,0,0,5
"60QS003019",114,5,104,0,0,0,0,5
"60QS003020",69,1,67,0,0,1,0,0
"60QS003021",97,5,92,0,0,0,0,0
"60QS003022",77,2,72,0,0,1,0,2
"60QS003023",104,6,93,0,0,1,2,2
"60QS003024",111,1,108,0,2,0,0,0
"60QS003025",148,3,142,0,1,2,0,0
"60QS003026",111,4,107,0,0,0,0,0
"60QS003027",80,3,77,0,0,0,0,0
"60QS003028",122,2,118,0,0,0,0,2
"60QS003029",80,3,77,0,0,0,0,0
"60QS003030",122,1,118,0,1,0,0,2
"60QS003031",131,4,124,0,0,0,0,3
"60QS003032",101,1,96,0,0,0,0,4
"60QS003033",118,0,118,0,0,0,0,0
"60QS003034",103,2,98,0,0,0,0,3
"60QS003035",140,5,132,0,0,0,0,3
"60QS003036",118,4,110,0,0,1,1,2
"60QS003037",84,2,82,0,0,0,0,0
"60QS003038",107,0,106,0,0,1,0,0
"60QS003039",139,3,133,0,2,1,0,0
"60QS003040",104,1,99,0,1,1,0,2
"60QS003041",159,2,154,0,0,2,1,0
"60QS003042",140,3,134,0,2,1,0,0
"60QS003043",101,4,96,0,0,1,0,0
"60QS003044",129,2,127,0,0,0,0,0
"60QS003045",90,2,86,0,0,2,0,0
"60QS003046",130,1,125,0,0,0,1,3
"60QS003047",73,1,70,0,0,1,1,0
"60QS003048",73,0,68,0,1,1,2,1
"60QS003049",110,2,106,0,0,1,0,1
"60QS003050",109,1,104,0,0,2,0,2
"60QS003051",245,7,227,0,1,1,0,9
"60QS003052",164,3,157,0,2,0,0,2
"60QS003053",133,0,131,0,0,1,0,1
"60QS003054",99,2,89,1,2,1,1,3
"60QS003055",99,1,95,0,2,0,0,1
"60QS003056",99,5,90,0,2,0,0,2
"60QS003057",118,4,107,1,0,2,3,1
"60QS003058",94,3,87,0,0,1,0,3
"60QS003059",100,2,95,0,1,1,0,1
"60QS003060",57,2,54,0,0,0,0,1
"60QS003061",72,3,68,0,0,0,0,1
"60QS003062",87,2,85,0,0,0,0,0
"60QS003063",119,2,110,0,1,3,0,3
"60QS003064",50,2,48,0,0,0,0,0
"60QS003065",98,2,92,0,0,3,0,1
"60QS003066",52,1,49,0,1,0,1,0
"60QS003067",97,0,96,0,0,0,0,1
"60QS003068",99,1,95,0,0,1,2,0
"60QS003069",58,0,55,0,0,1,0,2
"60QS003070",58,2,52,0,2,1,1,0
"60QS003071",64,3,61,0,0,0,0,0
"60QS003072",130,3,126,0,0,1,0,0
"60QS003073",66,4,55,0,1,0,1,5
"60QS003074",67,2,63,1,1,0,0,0
"60QS003075",73,2,70,1,0,0,0,0
"60QS003076",107,3,103,0,1,0,0,0
"60QS003077",57,1,56,0,0,0,0,0
"60QS003078",61,0,61,0,0,0,0,0
"60QS003079",116,2,114,0,0,0,0,0
"60QS003080",145,2,137,1,1,0,2,2
"60QS003081",124,0,123,0,0,1,0,0
"60QS003082",130,1,128,1,0,0,0,0
"60QS003083",112,1,105,1,0,2,0,3
"60QS003084",96,0,92,0,1,3,0,0
"60QS003085",94,1,90,0,1,0,0,2
"60QS003086",151,3,141,0,1,3,1,2
"60QS003087",124,2,119,0,0,0,0,3
"60QS003088",128,3,121,0,1,1,0,2
"60QS003089",104,5,98,0,0,1,0,0
"60QS003090",179,2,174,0,1,2,0,0
"60QS003091",162,5,151,1,0,0,2,3
"60QS003092",105,5,93,0,2,0,1,4
"60QS003093",98,5,85,2,1,1,1,3
"60QS003094",133,1,126,0,2,2,1,1
"60QS003095",120,1,114,0,0,4,0,1
"60QS003096",96,3,89,1,0,1,0,2
"60QS003097",124,1,118,0,1,1,1,2
"60QS003098",152,1,146,0,0,3,0,2
"60QS003099",116,5,109,0,2,0,0,0
"60QS003100",150,8,136,1,1,2,1,1
"60QS003101",77,2,67,0,1,1,2,4
"60QS003102",115,3,107,0,0,4,0,1
"60QS003103",123,1,115,0,1,2,2,2
"60QS003104",102,2,94,0,0,2,1,3
"60QS003105",114,1,111,0,0,2,0,0
"60QS003106",77,1,72,0,1,0,3,0
"60QS003107",113,3,106,0,0,1,2,1
"60QS003108",90,0,89,0,0,1,0,0
"60QS003109",123,2,114,0,0,2,0,5
"60QS003110",92,2,88,0,0,0,0,2
"60QS003111",126,6,112,0,0,2,1,5
"60QS003112",87,2,84,0,0,0,0,1
"60QS003113",86,1,82,0,1,0,0,2
"60QS003114",90,1,86,0,0,0,3,0
"60QS003115",92,4,87,0,0,0,0,1
"60QS003116",70,0,69,0,0,1,0,0
"60QS003117",129,4,121,0,1,1,2,0
"60QS003118",100,0,94,2,3,1,0,0
"60QS003119",131,1,120,2,2,3,2,1
"60QS003120",116,3,110,0,1,1,0,1
"60QS003121",99,1,96,0,0,0,0,2
"60QS003122",80,1,77,0,0,1,0,1
"60QS003123",106,2,100,0,0,1,0,3
"60QS003124",85,1,83,0,0,1,0,0
"60QS003125",66,2,60,0,1,1,1,1
"60QS003126",91,5,84,0,0,0,1,1
"60QS003127",91,0,87,0,1,1,1,1
"60QS003128",113,0,107,0,0,4,1,1
"60QS003129",121,6,113,0,0,2,0,0
"60QS003130",92,1,91,0,0,0,0,0
"60QS003131",117,3,109,0,1,1,2,1
"60QS003132",115,1,112,0,1,1,0,0
"60QS003133",120,5,113,0,1,0,0,1
"60QS003134",73,1,69,0,1,1,1,0
"60QS003135",93,3,82,0,2,2,2,2
"60QS003136",111,0,107,0,0,3,0,1
"60QS003137",130,2,125,0,2,1,0,0
"60QS003138",67,0,64,1,2,0,0,0
"60QS003139",67,0,65,0,0,0,0,2
"60QS003140",106,5,97,1,0,1,0,2
"60QS003141",84,0,82,0,0,1,0,1
"60QS003142",91,0,88,0,1,0,0,2
"60QS003143",211,5,197,1,1,3,2,2
"60QS003144",200,5,183,2,2,3,0,5
"60QS003145",191,2,182,1,1,0,1,4
"60QS003146",235,3,226,0,0,1,2,3
"60QS003147",90,3,82,1,0,2,0,2
"60QS003148",143,5,135,2,0,0,0,1
"60QS003149",133,0,125,0,0,3,1,4
"60QS003150",80,0,78,0,0,0,1,1
"60QS003151",66,2,63,0,1,0,0,0
"60QS003152",56,1,51,0,0,4,0,0
"60QS003153",75,2,73,0,0,0,0,0
"60QS003154",59,2,55,0,1,0,0,1
"60QS003155",94,1,93,0,0,0,0,0
"60QS003156",221,4,204,0,1,2,3,7
"60QS003157",118,0,112,0,1,1,1,3
"60QS003158",102,5,92,0,1,0,0,4
"60QS003159",104,0,100,0,0,1,0,3
"60QS003160",168,2,163,0,0,0,0,3
"60QS003161",116,2,110,0,1,1,0,2
"60QS003162",110,1,107,0,1,1,0,0
"60QS003163",120,3,115,0,0,0,0,2
"60QS003164",79,4,73,0,1,0,0,1
"60QS003165",115,1,113,0,0,0,0,1
"60QS003166",123,2,118,0,0,0,1,2
"60QS003167",133,5,125,0,0,0,0,3
"60QS003168",214,2,209,1,0,0,0,2
"60QS003169",108,2,105,0,1,0,0,0
"60QS003170",73,2,68,0,1,1,0,1
"60QS003171",67,4,63,0,0,0,0,0
"60QS003172",57,0,56,0,0,0,1,0
"60QS003173",130,6,119,1,0,0,0,4
"60QS003174",115,2,111,0,0,0,0,2
"60QS003175",133,3,129,0,0,0,0,1
"60QS003176",88,2,78,0,1,3,0,4
"60QS003177",121,1,113,0,2,4,0,1
"60QS003178",81,1,78,0,1,1,0,0
"60QS003179",136,1,129,1,1,3,1,0
"60QS003180",107,2,99,0,2,1,0,3
"60QS003181",87,1,85,0,0,0,1,0
"60QS003182",146,6,138,0,0,0,0,2
"60QS003183",109,4,102,0,0,1,0,2
"60QS003184",155,4,141,0,2,0,0,8
"60QS003185",99,1,98,0,0,0,0,0
"60QS003186",192,2,187,1,0,1,0,1
"60QS003187",179,4,172,0,0,1,0,2
"60QS003188",92,3,85,1,0,0,1,2
"60QS003189",131,1,129,0,0,0,0,1
"60QS003190",103,4,97,0,0,0,1,1
"60QS003191",94,2,89,0,0,3,0,0
"60QS003192",146,2,139,1,0,1,1,2
"60QS003193",114,2,111,0,0,0,0,1
"60QS003194",127,5,118,0,2,1,1,0
"60QS003195",118,2,111,0,0,4,0,1
"60QS003196",137,3,131,0,1,1,0,1
"60QS003197",103,0,102,0,0,0,0,1
"60QS003198",165,8,152,0,1,1,1,2
"60QS003199",129,1,126,0,1,0,0,1
"60QS003200",122,1,120,0,0,1,0,0
"60QS003201",155,6,146,0,1,1,0,1
"60QS003202",100,1,94,0,0,1,1,3
"60QS003203",105,9,91,0,1,1,0,3
"60QS003204",152,0,143,1,0,0,4,4
"60QS003205",93,0,92,0,0,0,0,1
"60QS003206",91,2,74,0,4,1,0,10
"60QS003207",89,0,89,0,0,0,0,0
"60QS003208",91,0,88,0,0,3,0,0
"60QS003209",98,3,93,0,0,0,1,1
"60QS003210",126,1,124,0,0,1,0,0
"60QS003211",137,5,124,1,2,1,1,3
"60QS003212",91,1,85,0,0,4,1,0
"60QS003213",118,6,109,0,0,1,1,1
"60QS003214",97,0,97,0,0,0,0,0
"60QS003215",93,2,88,0,1,0,0,2
"60QS003216",76,1,74,0,1,0,0,0
"60QS003217",120,7,111,0,1,1,0,0
"60QS003218",69,2,65,0,0,0,0,2
"60QS003219",72,0,68,0,1,2,1,0
"60QS003220",195,1,186,0,0,1,0,7
"60QS003221",174,0,172,0,1,0,0,1
"60QS003222",124,0,121,0,0,2,0,1
"60QS003223",157,6,149,0,0,0,0,2
"60QS003224",94,1,86,0,2,2,0,3
"60QS003225",112,4,102,0,0,1,1,4
"60QS003226",57,1,56,0,0,0,0,0
"60QS003227",195,2,192,0,1,0,0,0
"60QS003228",189,2,185,0,1,0,1,0
"60QS003229",135,5,124,0,0,0,0,6
"60QS003230",124,1,120,0,1,0,0,2
"60QS003231",99,2,95,0,1,1,0,0
"60QS003232",125,4,117,0,1,2,0,1
"60QS003233",70,5,64,0,0,0,0,1
"60QS003234",120,3,117,0,0,0,0,0
"60QS003235",185,7,176,0,0,1,0,1
"60QS003236",111,1,110,0,0,0,0,0
"60QS003237",113,4,107,0,0,1,0,1
"60QS003238",160,8,145,0,0,1,0,6
"60QS003239",156,4,149,0,1,1,0,1
"60QS003240",59,2,55,0,1,1,0,0
"60QS003241",134,5,125,0,0,0,0,4
"60QS003242",153,4,142,0,4,2,0,1
"60QS003243",118,3,109,1,0,1,2,2
"60QS003244",145,4,132,0,1,2,0,6
"60QS003245",182,5,176,0,0,0,0,1
"60QS003246",167,8,156,0,0,0,1,2
"60QS003247",94,5,82,0,0,2,0,5
"60QS003248",143,6,132,0,0,0,0,5
"60QS003249",169,1,167,0,0,0,0,1
"60QS003250",95,1,92,0,1,0,0,1
"60QS003251",139,0,136,1,0,0,2,0
"60QS003252",107,2,104,0,0,0,0,1
"60QS003253",119,1,117,0,0,0,0,1
"60QS003254",88,1,87,0,0,0,0,0
"60QS003255",99,2,96,0,0,0,0,1
"60QS003256",166,3,160,2,0,1,0,0
"60QS003257",69,2,65,0,1,0,0,1
"60QS003258",71,1,68,0,0,1,0,1
"60QS003259",172,1,146,0,7,16,1,1
"60QS003260",53,0,52,0,0,1,0,0
"60QS003261",61,1,57,0,0,0,0,3
"60QS003262",71,0,69,0,0,1,1,0
"60QS003263",72,2,66,0,2,0,1,1
"60QS003264",92,0,91,0,0,1,0,0
"60QS003265",65,2,62,0,0,0,1,0
"60QS003266",107,2,103,0,0,1,0,1
"60QS003267",61,2,58,0,0,0,1,0
"60QS003268",234,5,225,0,0,0,0,4
"60QS003269",205,4,199,0,1,0,0,1
"60QS003270",150,1,147,0,1,0,1,0
"60QS003271",127,2,120,1,0,0,1,3
"60QS003272",92,1,89,0,0,2,0,0
"60QS003273",139,2,133,0,1,2,0,1
"60QS003274",107,2,102,0,0,3,0,0
"60QS003275",124,2,111,0,1,0,8,2
"60QS003276",83,4,76,0,1,0,0,2
"60QS003277",72,3,69,0,0,0,0,0
"60QS003278",174,2,162,1,0,1,3,5
"60QS003279",101,0,101,0,0,0,0,0
"60QS003280",117,4,113,0,0,0,0,0
"60QS003281",126,4,121,0,0,0,0,1
"60QS003282",161,3,155,0,1,0,0,2
"60QS003283",152,6,146,0,0,0,0,0
"60QS003284",136,1,131,0,0,1,1,2
"60QS003285",125,3,118,0,0,3,0,1
"60QS003286",107,4,99,0,0,3,1,0
"60QS003287",133,0,129,0,0,4,0,0
"60QS003288",156,6,150,0,0,0,0,0
"60QS003289",147,6,133,0,2,5,0,1
