"dz_2001","total","scotland","ruk","elsewhere"
"S01000384",706,496,173,37
"S01000385",622,526,73,23
"S01000386",1260,1028,149,83
"S01000387",871,749,83,39
"S01000388",1083,869,152,62
"S01000389",861,728,84,49
"S01000390",822,727,63,32
"S01000391",726,614,53,59
"S01000392",800,680,77,43
"S01000393",891,763,93,35
"S01000394",693,599,56,38
"S01000395",800,612,162,26
"S01000396",843,760,61,22
"S01000397",938,820,87,31
"S01000398",2417,1964,290,163
"S01000399",598,460,50,88
"S01000400",803,661,67,75
"S01000401",904,670,205,29
"S01000402",751,655,62,34
"S01000403",787,659,66,62
"S01000404",708,620,61,27
"S01000405",522,424,89,9
"S01000406",534,456,44,34
"S01000407",595,526,44,25
"S01000408",609,517,65,27
"S01000409",579,513,38,28
"S01000410",748,510,166,72
"S01000411",702,540,112,50
"S01000412",798,661,103,34
"S01000413",871,693,140,38
"S01000414",694,529,120,45
"S01000415",927,759,135,33
"S01000416",910,774,91,45
"S01000417",1008,871,105,32
"S01000418",718,483,201,34
"S01000419",1523,1187,228,108
"S01000420",1339,1066,187,86
"S01000421",786,572,159,55
"S01000422",947,768,146,33
"S01000423",1026,786,193,47
"S01000424",743,609,107,27
"S01000425",842,687,129,26
"S01000426",826,667,128,31
"S01000427",743,609,89,45
"S01000428",666,540,111,15
"S01000429",871,744,90,37
"S01000430",501,431,49,21
"S01000431",722,631,66,25
"S01000432",881,719,127,35
"S01000433",510,464,33,13
"S01000434",602,526,60,16
"S01000435",514,471,32,11
"S01000436",629,552,63,14
"S01000437",947,815,86,46
"S01000438",594,505,62,27
"S01000439",823,659,133,31
"S01000440",1091,832,196,63
"S01000441",900,626,221,53
"S01000442",843,652,138,53
"S01000443",608,436,143,29
"S01000444",2534,2028,381,125
"S01000445",1201,967,184,50
"S01000446",951,686,221,44
"S01000447",782,674,79,29
"S01000448",859,677,148,34
"S01000449",740,615,104,21
"S01000450",553,433,106,14
"S01000451",855,610,212,33
"S01000452",573,446,107,20
"S01000453",584,432,133,19
"S01000454",443,365,61,17
"S01000455",846,658,152,36
"S01000456",1132,860,226,46
"S01000457",819,706,80,33
"S01000458",930,674,223,33
"S01000459",1013,834,126,53
"S01000460",707,644,43,20
"S01000461",865,738,90,37
"S01000462",1034,918,72,44
"S01000463",733,602,82,49
"S01000464",848,555,246,47
"S01000465",665,460,166,39
"S01000466",880,629,200,51
"S01000467",614,515,83,16
"S01000468",535,395,116,24
"S01000469",641,592,40,9
"S01000470",1064,955,85,24
"S01000471",837,695,114,28
"S01000472",759,649,64,46
"S01000473",661,574,55,32
"S01000474",625,456,133,36
"S01000475",727,645,39,43
"S01000476",627,461,124,42
"S01000477",674,621,34,19
"S01000478",790,682,59,49
"S01000479",847,759,44,44
"S01000480",670,574,74,22
"S01000481",2138,1860,173,105
"S01000482",896,612,80,204
"S01000483",983,838,74,71
"S01000484",805,598,63,144
"S01000485",987,892,45,50
"S01000486",1132,720,110,302
"S01000487",621,536,36,49
"S01000488",624,560,47,17
"S01000489",937,717,92,128
"S01000490",540,459,43,38
"S01000491",539,422,31,86
"S01000492",951,732,88,131
"S01000493",641,509,97,35
"S01000494",551,432,35,84
"S01000495",903,798,67,38
"S01000496",529,447,61,21
"S01000497",768,680,70,18
"S01000498",520,456,45,19
"S01000499",1020,880,108,32
"S01000500",604,522,65,17
"S01000501",577,527,43,7
"S01000502",638,472,136,30
"S01000503",494,360,127,7
"S01000504",770,608,81,81
"S01000505",727,608,99,20
"S01000506",1024,808,165,51
"S01000507",995,865,76,54
"S01000508",889,610,247,32
"S01000509",1045,893,78,74
"S01000510",665,552,40,73
"S01000511",573,474,90,9
"S01000512",990,855,89,46
"S01000513",881,670,158,53
"S01000514",941,790,117,34
"S01000515",551,418,117,16
"S01000516",883,769,94,20
"S01000517",737,568,148,21
"S01000518",963,856,81,26
"S01000519",515,393,105,17
"S01000520",1129,830,259,40
"S01000521",945,796,112,37
"S01000522",665,478,171,16
"S01000523",851,728,95,28
"S01000524",706,561,128,17
"S01000525",1047,729,292,26
"S01000526",1000,730,215,55
"S01000527",685,572,83,30
"S01000528",946,715,185,46
"S01000529",805,512,261,32
"S01000530",486,381,79,26
"S01000531",574,403,151,20
"S01000532",788,628,84,76
"S01000533",715,622,73,20
"S01000534",760,656,59,45
"S01000535",1020,925,56,39
"S01000536",494,342,134,18
"S01000537",1056,917,115,24
"S01000538",740,658,58,24
"S01000539",990,742,149,99
"S01000540",727,637,68,22
"S01000541",592,464,73,55
"S01000542",647,555,67,25
"S01000543",832,782,42,8
"S01000544",667,517,124,26
"S01000545",755,545,114,96
"S01000546",860,780,58,22
"S01000547",543,483,46,14
"S01000548",1085,901,141,43
"S01000549",1219,1131,59,29
"S01000550",471,445,17,9
"S01000551",892,746,116,30
"S01000552",540,501,19,20
"S01000553",888,820,34,34
"S01000554",679,569,34,76
"S01000555",860,742,86,32
"S01000556",812,731,47,34
"S01000557",913,805,42,66
"S01000558",547,459,34,54
"S01000559",668,582,35,51
"S01000560",1086,889,49,148
"S01000561",1012,856,51,105
"S01000562",847,736,41,70
"S01000563",1145,670,81,394
"S01000564",927,602,62,263
"S01000565",796,690,54,52
"S01000566",867,673,38,156
"S01000567",824,661,96,67
"S01000568",526,454,54,18
"S01000569",759,690,51,18
"S01000570",892,791,65,36
"S01000571",803,707,64,32
"S01000572",711,620,60,31
"S01000573",538,455,47,36
"S01000574",750,638,76,36
"S01000575",640,568,42,30
"S01000576",542,469,50,23
"S01000577",567,515,37,15
"S01000578",633,567,45,21
"S01000579",884,780,72,32
"S01000580",956,752,141,63
"S01000581",700,633,41,26
"S01000582",648,571,49,28
"S01000583",939,812,94,33
"S01000584",840,739,64,37
"S01000585",1224,1070,105,49
"S01000586",722,637,66,19
"S01000587",658,593,50,15
"S01000588",576,509,49,18
