dz_2001,total,none,one,two,three,four,numcar
S01000076,312,31,145,98,32,6,463
S01000077,399,53,208,121,14,3,506
S01000078,635,394,207,32,2,0,277
S01000079,785,144,489,132,16,4,817
S01000080,589,209,283,82,13,2,494
S01000081,402,40,185,139,32,6,590
S01000082,493,239,199,46,7,2,320
S01000083,366,84,180,89,13,0,397
S01000084,511,275,203,29,4,0,273
S01000085,352,153,164,32,2,1,238
S01000086,359,103,177,69,8,2,347
S01000087,507,54,256,163,25,9,694
S01000088,555,133,341,77,3,1,508
S01000089,389,22,162,161,35,9,626
S01000090,430,105,226,87,10,2,438
S01000091,633,248,302,74,8,1,485
S01000092,599,231,314,46,7,1,431
S01000093,367,119,187,55,4,2,329
S01000094,404,153,206,39,6,0,302
S01000095,422,136,225,51,9,1,358
S01000096,392,158,165,57,7,5,323
S01000097,427,33,204,136,37,17,683
S01000098,697,339,304,46,8,0,420
S01000099,366,33,170,131,24,8,537
S01000100,466,207,212,41,3,3,315
S01000101,427,94,211,101,17,4,482
S01000102,465,247,176,37,5,0,265
S01000103,354,135,180,32,5,2,272
S01000104,374,20,148,157,41,8,622
S01000105,417,41,213,139,18,6,572
S01000106,290,18,126,131,10,5,439
S01000107,705,450,211,41,1,2,305
S01000108,413,205,161,43,3,1,260
S01000109,650,396,221,28,4,1,293
S01000110,407,107,183,96,18,3,442
S01000111,371,77,195,87,10,2,407
S01000112,578,289,239,45,4,1,346
S01000113,272,52,117,80,22,1,348
S01000114,374,147,175,46,3,3,288
S01000115,399,154,177,57,9,2,327
S01000116,575,220,290,63,0,2,424
S01000117,432,93,191,123,18,7,526
S01000118,330,68,173,73,12,4,374
S01000119,552,302,226,23,1,0,275
S01000120,311,114,145,49,2,1,254
S01000121,334,81,141,86,20,6,408
S01000122,338,129,143,51,12,3,295
S01000123,265,22,100,108,27,8,433
S01000124,565,276,250,36,2,1,332
S01000125,341,184,133,21,1,2,191
S01000126,592,379,175,37,0,1,254
S01000127,323,30,168,112,13,0,431
S01000128,651,362,245,43,1,0,334
S01000129,340,202,120,15,2,1,166
S01000130,880,393,385,89,12,1,603
S01000131,354,104,184,51,12,3,334
S01000132,437,155,222,54,5,1,349
S01000133,376,113,192,57,11,3,354
S01000134,321,130,150,34,7,0,239
S01000135,393,242,133,17,1,0,170
S01000136,301,130,130,37,3,1,217
S01000137,524,218,252,50,2,2,367
S01000138,492,253,204,29,6,0,280
S01000139,364,114,183,57,8,2,329
S01000140,415,126,191,81,12,5,409
S01000141,366,68,197,81,17,3,425
S01000142,311,141,126,36,6,2,224
S01000143,245,10,97,106,28,4,410
S01000144,419,193,179,40,6,1,281
S01000145,464,212,182,59,9,2,335
S01000146,950,484,388,70,7,1,554
S01000147,602,275,259,65,2,1,399
S01000148,301,142,127,28,4,0,195
S01000149,690,360,264,56,7,3,409
S01000150,272,80,133,48,10,1,263
S01000151,480,249,189,37,5,0,278
S01000152,630,176,319,122,9,4,624
S01000153,553,236,254,58,4,1,386
S01000154,250,77,119,44,9,1,239
S01000155,364,152,151,51,9,1,284
S01000156,525,262,229,31,3,0,300
S01000157,409,211,161,33,3,1,246
S01000158,435,182,177,61,15,0,344
S01000159,352,13,138,164,29,8,592
S01000160,332,99,152,62,15,4,337
S01000161,401,136,184,56,22,3,378
S01000162,431,167,186,68,6,4,356
S01000163,467,154,217,79,16,1,427
S01000164,347,182,137,28,0,0,193
S01000165,504,239,217,42,6,0,319
S01000166,561,263,223,58,11,6,400
S01000167,304,94,140,54,13,3,300
S01000168,445,170,195,60,19,1,377
S01000169,346,126,152,55,9,4,307
S01000170,538,200,241,87,10,0,445
S01000171,395,12,151,202,24,6,655
S01000172,209,61,99,37,9,3,214
S01000173,390,198,145,37,7,3,252
S01000174,309,9,100,164,29,7,544
S01000175,286,125,134,26,1,0,189
S01000176,342,143,150,43,5,1,256
S01000177,271,69,140,50,10,2,278
S01000178,312,100,148,48,11,5,301
S01000179,499,311,165,19,3,1,216
S01000180,283,78,132,59,10,4,297
S01000181,242,89,101,45,6,1,213
S01000182,350,102,161,66,14,7,363
S01000183,532,275,229,27,1,0,286
S01000184,361,84,202,64,10,1,364
S01000185,518,308,181,28,1,0,240
S01000186,510,200,203,85,19,3,442
S01000187,248,90,105,43,10,0,221
S01000188,444,230,186,24,4,0,246
S01000189,218,95,91,25,5,2,164
S01000190,360,126,153,67,11,3,332
S01000191,596,135,302,140,15,4,644
S01000192,366,196,135,30,5,0,210
S01000193,291,105,128,47,9,2,257
S01000194,370,172,145,47,3,3,264
S01000195,398,233,134,29,2,0,198
S01000196,343,157,136,43,4,3,247
S01000197,242,72,104,54,7,5,256
S01000198,349,169,128,45,6,1,243
S01000199,384,219,129,27,6,3,215
S01000200,419,161,203,46,7,2,324
S01000201,305,112,161,29,3,0,228
S01000202,497,160,266,62,8,1,420
S01000203,315,163,132,16,4,0,176
S01000204,257,101,110,35,9,2,215
S01000205,414,187,174,41,10,2,295
S01000206,276,58,147,53,18,0,307
S01000207,544,318,188,32,4,2,272
S01000208,395,201,130,54,9,1,269
S01000209,505,264,168,65,6,2,331
S01000210,401,216,147,32,4,2,234
S01000211,358,195,129,24,8,2,211
S01000212,334,122,158,49,4,1,272
S01000213,427,201,186,34,3,3,275
S01000214,233,79,113,38,2,1,201
S01000215,386,23,123,187,35,18,683
S01000216,315,71,162,69,10,3,343
S01000217,366,185,145,33,2,1,222
S01000218,342,105,172,57,6,2,312
S01000219,416,213,170,30,3,0,239
S01000220,345,154,156,29,4,2,234
S01000221,464,222,191,46,4,1,301
S01000222,335,93,157,60,18,7,365
S01000223,309,55,172,71,8,3,350
S01000224,350,86,177,68,14,5,375
S01000225,254,47,115,77,10,5,320
S01000226,302,54,164,67,12,5,356
S01000227,537,41,240,206,36,14,817
S01000228,453,94,268,71,9,11,489
S01000229,409,125,193,79,10,2,389
S01000230,319,71,167,67,10,4,348
S01000231,318,23,171,93,27,4,456
S01000232,293,111,137,30,13,2,244
S01000233,271,112,118,33,8,0,208
S01000234,334,36,174,99,17,8,461
S01000235,343,34,183,100,22,4,465
S01000236,299,48,156,76,14,5,371
S01000237,368,33,200,106,23,6,508
S01000238,235,18,133,71,10,3,318
S01000239,295,36,158,78,20,3,386
S01000240,287,46,142,83,14,2,360
S01000241,212,6,56,113,29,8,406
S01000242,341,54,181,85,16,5,420
S01000243,262,18,131,93,19,1,378
S01000244,573,108,301,121,38,5,677
S01000245,392,56,189,106,33,8,534
S01000246,283,47,138,72,19,7,367
S01000247,273,20,136,97,16,4,394
S01000248,342,24,176,108,25,9,503
S01000249,281,36,132,88,18,7,393
S01000250,288,17,139,113,13,6,428
S01000251,150,5,62,63,13,7,259
S01000252,345,24,211,80,17,13,476
S01000253,221,11,76,101,27,6,384
S01000254,339,27,150,130,24,8,515
S01000255,273,21,158,77,15,2,365
S01000256,416,113,181,100,20,2,452
S01000257,408,62,185,123,29,9,556
S01000258,240,19,95,98,21,7,385
S01000259,223,7,100,91,16,9,367
S01000260,334,21,160,122,28,3,503
S01000261,400,32,205,130,26,7,575
S01000262,410,53,225,110,20,2,514
S01000263,302,24,134,115,20,9,465
S01000264,419,98,224,83,10,4,440
S01000265,339,95,180,54,9,1,319
S01000266,530,107,218,157,37,11,693
S01000267,292,61,132,82,13,4,351
S01000268,354,49,169,108,21,7,477
S01000269,248,8,96,102,27,15,458
S01000270,429,34,153,166,53,23,749
S01000271,370,45,161,129,22,13,546
S01000272,442,55,184,149,37,17,672
S01000273,243,9,93,109,25,7,414
S01000274,289,60,128,80,10,11,363
S01000275,608,105,240,198,54,11,845
S01000276,282,16,91,127,33,15,507
S01000277,298,42,121,106,24,5,425
S01000278,285,83,129,56,13,4,297
S01000279,353,11,135,158,29,20,622
S01000280,294,30,109,111,32,12,493
S01000281,298,42,105,110,33,8,460
S01000282,304,14,87,158,30,15,563
S01000283,430,30,136,188,59,17,769
S01000284,452,17,131,232,50,22,847
S01000285,278,13,86,114,47,18,535
S01000286,485,119,253,98,10,5,499
S01000287,302,28,154,86,26,8,436
S01000288,333,44,158,95,26,10,467
S01000289,419,110,191,106,10,2,444
S01000290,367,119,171,58,14,5,351
S01000291,344,31,123,147,39,4,550
S01000292,424,56,206,132,24,6,570
S01000293,478,174,219,75,8,2,404
S01000294,249,29,90,103,20,7,389
S01000295,221,19,105,83,13,1,314
S01000296,385,42,140,171,25,7,585
S01000297,301,40,124,104,19,14,469
S01000298,393,31,147,175,32,8,627
S01000299,392,24,128,162,51,27,727
S01000300,279,6,65,129,51,28,600
S01000301,245,42,117,66,18,2,314
S01000302,225,9,62,105,34,15,450
S01000303,258,11,122,92,19,14,421
S01000304,291,8,91,141,33,18,564
S01000305,450,61,194,153,29,13,642
S01000306,294,9,75,131,52,27,607
S01000307,344,7,124,171,27,15,610
S01000308,484,11,155,236,49,33,932
S01000309,465,16,162,209,45,33,855
S01000310,366,28,146,137,43,12,600
S01000311,424,56,195,136,24,13,597
S01000312,246,37,124,61,18,6,325
S01000313,312,58,141,88,21,4,397
S01000314,240,23,122,80,12,3,331
S01000315,266,31,93,98,26,18,445
S01000316,444,105,216,93,24,6,499
S01000317,264,65,121,64,10,4,296
S01000318,220,14,94,88,16,8,351
S01000319,238,13,99,98,22,6,386
S01000320,332,38,164,96,31,3,461
S01000321,229,7,88,93,26,15,423
S01000322,394,19,143,169,49,14,688
S01000323,364,59,149,113,33,10,518
S01000324,312,18,134,116,33,11,509
S01000325,490,53,188,200,36,13,749
S01000326,337,78,143,86,16,14,422
S01000327,308,23,117,125,31,12,512
S01000328,199,25,92,69,11,2,272
S01000329,318,36,144,112,25,1,448
S01000330,471,31,140,225,60,15,838
S01000331,280,47,110,93,25,5,394
S01000332,319,38,125,128,24,4,470
S01000333,355,15,86,157,63,34,733
S01000334,403,73,177,121,26,6,521
S01000335,339,22,150,131,29,7,527
S01000336,530,32,197,224,58,19,915
S01000337,354,29,130,140,38,17,599
S01000338,197,14,77,70,21,15,345
S01000339,461,49,142,187,68,15,789
S01000340,423,22,131,178,56,36,824
S01000341,430,26,170,170,45,19,733
S01000342,213,42,91,60,11,9,283
S01000343,216,4,70,85,35,22,449
S01000344,396,28,136,158,51,23,709
S01000345,255,25,120,89,18,3,364
S01000346,274,19,139,93,20,3,397
S01000347,552,26,186,279,44,17,948
S01000348,316,20,162,110,14,10,469
S01000349,254,46,129,64,12,3,305
S01000350,390,25,132,179,33,21,679
S01000351,378,19,160,157,32,10,614
S01000352,301,22,130,124,19,6,462
S01000353,215,12,89,93,18,3,341
S01000354,571,26,191,279,49,26,1017
S01000355,234,7,86,106,25,10,415
S01000356,240,6,56,117,45,16,494
S01000357,220,4,83,96,32,5,394
S01000358,358,12,115,168,44,19,664
S01000359,280,3,66,152,41,18,569
S01000360,253,22,104,101,22,4,390
S01000361,254,9,65,130,39,11,490
S01000362,401,34,143,169,47,8,656
S01000363,454,9,137,201,72,35,913
S01000364,372,13,106,162,65,26,744
S01000365,762,40,247,404,56,15,1289
S01000366,742,30,196,415,83,18,1368
S01000367,358,21,137,147,33,20,614
S01000368,545,54,218,206,46,21,868
S01000369,396,23,140,163,48,22,708
S01000370,547,20,181,262,61,23,999
S01000371,427,86,167,121,36,17,596
S01000372,400,62,160,124,43,11,584
S01000373,264,15,101,115,25,8,440
S01000374,275,32,126,84,24,9,410
S01000375,275,45,128,76,21,5,365
S01000376,350,62,189,79,16,4,415
S01000377,353,11,104,152,62,24,700
S01000378,196,29,71,70,21,5,299
S01000379,248,5,59,137,35,12,491
S01000380,366,13,134,169,40,10,636
S01000381,601,51,175,288,56,31,1067
S01000382,321,19,106,141,44,11,577
S01000383,470,34,178,204,31,23,774
S01000384,322,38,131,102,37,14,522
S01000385,267,37,136,79,11,4,343
S01000386,535,63,210,194,42,26,844
S01000387,372,44,130,139,42,17,616
S01000388,387,12,124,175,48,28,747
S01000389,306,9,110,158,26,3,517
S01000390,349,75,170,87,13,4,399
S01000391,330,84,154,64,17,11,382
S01000392,314,12,118,147,23,14,539
S01000393,395,91,149,116,29,10,520
S01000394,296,57,130,86,18,5,378
S01000395,309,9,94,149,34,23,598
S01000396,441,175,187,64,11,4,365
S01000397,448,89,228,106,21,4,522
S01000398,851,25,246,438,104,38,1599
S01000399,305,82,128,80,11,4,342
S01000400,426,121,218,62,16,9,427
S01000401,348,7,113,159,47,22,678
S01000402,340,46,170,97,19,8,453
S01000403,361,63,184,92,16,6,443
S01000404,290,27,130,106,22,5,428
S01000405,192,6,52,96,19,19,381
S01000406,266,55,141,58,11,1,294
S01000407,270,76,113,54,21,6,312
S01000408,242,15,100,113,10,4,374
S01000409,234,17,102,88,23,4,364
S01000410,273,5,75,125,45,23,569
S01000411,275,7,79,135,43,11,529
S01000412,321,18,104,137,47,15,589
S01000413,350,25,126,150,32,17,594
S01000414,277,17,88,127,36,9,488
S01000415,414,69,167,127,39,12,597
S01000416,359,30,144,146,31,8,567
S01000417,432,57,166,149,45,15,668
S01000418,304,9,118,120,39,18,563
S01000419,531,13,152,284,59,23,1001
S01000420,537,77,201,204,48,7,787
S01000421,292,14,67,155,38,18,576
S01000422,388,45,174,133,24,12,569
S01000423,375,11,93,176,70,25,763
S01000424,289,17,116,115,32,9,478
S01000425,369,53,133,131,38,14,574
S01000426,301,13,75,139,48,26,624
S01000427,348,47,155,118,22,6,482
S01000428,275,22,116,105,26,6,433
S01000429,409,51,203,125,26,4,549
S01000430,216,36,80,71,24,5,319
S01000431,347,116,153,54,21,3,338
S01000432,435,55,221,127,28,4,576
S01000433,248,67,108,53,12,8,285
S01000434,253,59,121,52,18,3,291
S01000435,224,36,94,81,9,4,301
S01000436,237,11,97,102,18,9,393
S01000437,412,69,200,112,24,7,524
S01000438,215,5,80,108,11,11,376
S01000439,316,10,113,122,44,27,605
S01000440,450,23,166,192,49,20,788
S01000441,394,52,157,134,41,10,595
S01000442,326,11,102,145,49,19,624
S01000443,241,6,59,126,37,13,482
S01000444,854,24,235,478,81,36,1610
S01000445,516,58,203,180,57,18,813
S01000446,386,21,124,177,41,23,710
S01000447,306,32,99,119,36,20,541
S01000448,331,5,116,144,46,20,631
S01000449,329,71,138,95,17,8,418
S01000450,254,19,122,86,19,8,384
S01000451,371,28,147,138,39,19,625
S01000452,226,8,68,98,27,25,453
S01000453,225,2,68,100,32,23,466
S01000454,216,51,102,45,13,5,252
S01000455,341,29,126,127,43,16,586
S01000456,435,38,146,186,42,23,740
S01000457,392,88,209,68,18,9,443
S01000458,346,10,85,161,56,34,733
S01000459,496,133,241,91,23,8,528
S01000460,322,119,153,44,5,1,261
S01000461,463,185,204,56,16,2,372
S01000462,450,112,227,83,20,8,489
S01000463,291,54,129,83,20,5,377
S01000464,338,13,131,142,33,19,595
S01000465,272,9,77,114,50,22,552
S01000466,322,7,87,156,51,21,651
S01000467,294,68,132,76,17,1,339
S01000468,202,7,58,83,37,17,408
S01000469,246,19,111,85,23,8,387
S01000470,358,39,169,112,26,12,521
S01000471,316,27,116,127,36,10,520
S01000472,289,52,144,69,19,5,361
S01000473,292,71,157,50,10,4,304
S01000474,247,5,86,107,27,22,490
S01000475,305,85,151,57,9,3,304
S01000476,253,21,78,103,30,21,466
S01000477,311,59,162,72,15,3,364
S01000478,386,156,159,56,11,4,320
S01000479,398,107,208,64,11,8,410
S01000480,282,33,115,92,34,8,436
S01000481,756,58,296,294,85,23,1242
S01000482,439,220,175,34,9,1,274
S01000483,522,190,220,91,15,6,472
S01000484,366,131,161,59,10,5,331
S01000485,417,48,210,115,34,10,585
S01000486,573,312,209,37,12,3,331
S01000487,273,78,126,52,15,2,291
S01000488,307,97,142,59,7,2,289
S01000489,451,199,211,31,5,5,313
S01000490,243,24,140,63,14,2,318
S01000491,247,122,104,18,2,1,153
S01000492,370,124,159,60,19,8,370
S01000493,295,49,126,94,20,6,403
S01000494,233,87,98,41,6,1,202
S01000495,354,37,153,124,34,6,529
S01000496,217,8,101,88,13,7,345
S01000497,332,41,126,129,29,7,500
S01000498,247,40,117,68,18,4,324
S01000499,433,55,209,129,25,15,608
S01000500,231,44,113,59,12,3,279
S01000501,288,85,132,51,17,3,305
S01000502,221,8,76,85,28,24,440
S01000503,191,3,63,83,28,14,377
S01000504,411,123,179,86,15,8,431
S01000505,298,15,125,112,35,11,504
S01000506,381,11,136,166,56,12,692
S01000507,476,124,238,96,16,2,487
S01000508,359,20,125,138,49,27,667
S01000509,467,93,249,102,19,4,538
S01000510,309,69,167,55,17,1,332
S01000511,233,15,85,98,21,14,423
S01000512,421,47,216,133,17,8,565
S01000513,396,77,170,99,35,15,537
S01000514,367,28,134,151,38,16,633
S01000515,209,6,58,92,41,12,419
S01000516,338,31,122,119,50,16,582
S01000517,318,57,117,108,22,14,462
S01000518,434,87,189,120,27,11,555
S01000519,196,7,60,75,39,15,397
S01000520,448,36,172,172,44,24,751
S01000521,415,86,186,99,31,13,540
S01000522,261,18,80,114,32,17,479
S01000523,342,66,163,82,23,8,430
S01000524,260,11,93,96,38,22,506
S01000525,416,28,161,155,49,23,731
S01000526,382,12,119,174,48,29,738
S01000527,256,14,69,120,39,14,486
S01000528,368,19,144,150,40,15,630
S01000529,325,18,124,121,42,20,582
S01000530,197,13,73,77,20,14,359
S01000531,259,22,119,86,23,9,399
S01000532,366,112,151,82,17,4,383
S01000533,319,68,146,74,20,11,401
S01000534,357,126,160,59,11,1,315
S01000535,453,126,208,95,15,9,480
S01000536,203,21,80,78,14,10,321
S01000537,372,36,109,153,52,22,665
S01000538,338,95,171,62,7,3,328
S01000539,507,199,220,75,11,2,411
S01000540,344,82,156,79,19,8,406
S01000541,266,70,117,62,9,8,302
S01000542,301,74,155,61,8,3,313
S01000543,330,61,126,99,29,15,472
S01000544,306,48,133,88,21,16,446
S01000545,328,80,165,68,12,3,349
S01000546,368,90,162,90,20,6,434
S01000547,238,45,119,53,19,2,291
S01000548,481,98,241,111,25,6,566
S01000549,426,32,180,165,37,12,670
S01000550,177,9,79,58,21,10,298
S01000551,412,99,196,82,26,9,476
S01000552,214,13,105,62,24,10,342
S01000553,378,77,194,76,22,9,450
S01000554,282,83,148,41,6,4,265
S01000555,389,101,179,91,10,8,424
S01000556,330,87,176,50,8,9,337
S01000557,380,75,206,84,11,4,428
S01000558,231,36,130,49,8,8,290
S01000559,313,94,163,43,11,2,291
S01000560,483,174,226,64,13,6,422
S01000561,512,217,208,67,15,5,418
S01000562,411,150,200,50,11,0,333
S01000563,515,260,200,45,7,3,323
S01000564,399,181,151,53,11,3,303
S01000565,324,72,134,96,19,3,396
S01000566,351,108,180,46,12,5,331
S01000567,371,93,187,70,11,10,401
S01000568,225,41,112,53,13,6,282
S01000569,334,75,163,83,10,3,373
S01000570,408,77,191,102,26,12,525
S01000571,453,171,206,64,7,5,375
S01000572,305,40,148,88,23,6,417
S01000573,204,10,79,89,21,5,346
S01000574,350,58,177,85,21,9,452
S01000575,305,74,143,71,10,7,351
S01000576,237,24,119,78,11,5,329
S01000577,237,38,111,71,10,7,312
S01000578,286,56,133,78,15,4,350
S01000579,331,23,152,115,31,10,528
S01000580,374,22,106,194,40,12,668
S01000581,297,27,133,107,24,6,448
S01000582,279,55,146,64,10,4,320
S01000583,386,46,180,128,21,11,543
S01000584,407,112,218,56,16,5,399
S01000585,588,159,296,108,20,5,607
S01000586,308,41,146,88,27,6,427
S01000587,316,98,149,59,10,0,297
S01000588,257,55,115,69,15,3,312
S01000589,328,58,175,79,12,4,388
S01000590,330,56,136,99,28,11,466
S01000591,341,44,138,120,32,7,511
S01000592,392,76,199,93,18,6,466
S01000593,504,33,181,234,42,14,838
S01000594,402,15,115,197,56,19,758
S01000595,326,66,124,101,24,11,444
S01000596,331,41,142,105,36,7,491
S01000597,415,42,197,133,28,15,609
S01000598,491,20,147,253,53,18,895
S01000599,465,41,168,185,57,14,771
S01000600,324,23,117,145,29,10,537
S01000601,483,22,168,201,65,27,886
S01000602,317,36,114,120,34,13,518
S01000603,405,25,156,161,43,20,694
S01000604,384,27,190,122,32,13,594
S01000605,317,57,132,103,16,9,428
S01000606,422,218,148,42,12,2,278
S01000607,347,63,166,96,18,4,429
S01000608,655,312,247,78,12,6,466
S01000609,505,198,225,66,11,5,415
S01000610,498,273,185,34,4,2,276
S01000611,303,125,142,29,7,0,221
S01000612,594,272,256,52,8,6,416
S01000613,526,138,260,100,22,6,555
S01000614,305,58,137,73,27,10,411
S01000615,461,236,165,48,10,2,299
S01000616,573,60,251,187,52,23,886
S01000617,294,61,164,63,4,2,311
S01000618,378,90,187,86,14,1,405
S01000619,290,57,149,69,11,4,337
S01000620,515,243,206,50,13,3,357
S01000621,560,206,245,92,13,4,485
S01000622,278,91,121,48,15,3,285
S01000623,289,83,136,51,16,3,299
S01000624,274,106,117,40,10,1,234
S01000625,276,139,112,20,4,1,168
S01000626,306,141,135,24,4,2,203
S01000627,405,128,198,71,8,0,364
S01000628,237,89,111,30,5,2,195
S01000629,286,50,108,87,27,14,426
S01000630,350,111,161,63,9,6,339
S01000631,286,103,144,34,3,2,232
S01000632,233,11,80,107,23,12,421
S01000633,212,25,98,73,14,2,294
S01000634,350,126,159,53,8,4,306
S01000635,250,55,113,63,16,3,299
S01000636,222,8,87,86,26,15,403
S01000637,268,15,97,103,37,16,486
S01000638,239,9,95,103,21,11,409
S01000639,279,21,137,83,27,11,437
S01000640,303,22,116,119,34,12,512
S01000641,343,39,128,122,37,17,571
S01000642,378,42,154,134,33,15,587
S01000643,285,32,115,87,36,15,457
S01000644,316,42,137,103,24,10,456
S01000645,426,35,189,142,45,15,676
S01000646,356,67,154,96,33,6,474
S01000647,366,86,199,72,7,2,372
S01000648,418,172,174,57,13,2,336
S01000649,249,11,89,104,36,9,447
S01000650,301,89,147,53,10,2,292
S01000651,410,133,183,67,23,4,406
S01000652,339,88,133,93,16,9,405
S01000653,472,165,214,73,16,4,424
S01000654,414,153,197,47,14,3,345
S01000655,374,133,184,45,9,3,313
S01000656,407,154,188,50,10,5,339
S01000657,401,142,185,60,12,2,351
S01000658,296,131,111,46,7,1,228
S01000659,608,129,278,164,29,8,731
S01000660,422,49,198,129,32,14,613
S01000661,432,111,233,73,11,4,433
S01000662,299,20,118,116,31,14,506
S01000663,315,54,144,95,17,5,408
S01000664,369,43,154,121,34,17,571
S01000665,310,48,120,104,28,10,453
S01000666,224,20,93,81,23,7,352
S01000667,448,85,207,122,27,7,565
S01000668,417,149,188,70,7,3,364
S01000669,456,157,204,78,10,7,421
S01000670,296,48,140,91,14,3,378
S01000671,243,52,96,73,21,1,309
S01000672,314,53,155,89,11,6,391
S01000673,310,34,156,100,16,4,424
S01000674,475,85,198,128,50,14,671
S01000675,299,23,135,110,22,9,458
S01000676,205,21,83,73,22,6,320
S01000677,439,136,167,98,32,6,487
S01000678,420,88,197,112,20,3,498
S01000679,387,173,154,53,4,3,286
S01000680,498,234,200,53,7,4,343
S01000681,550,273,222,43,10,2,346
S01000682,389,171,166,43,9,0,279
S01000683,259,65,139,47,7,1,258
S01000684,424,216,168,30,6,4,266
S01000685,423,120,199,87,12,5,433
S01000686,397,169,164,53,6,5,317
S01000687,397,135,188,64,8,2,348
S01000688,315,58,160,73,20,4,385
S01000689,260,19,98,92,39,12,454
S01000690,416,52,216,112,28,8,573
S01000691,386,112,192,65,14,3,379
S01000692,358,133,168,45,7,5,304
S01000693,502,206,219,63,10,4,392
S01000694,330,114,153,50,10,3,295
S01000695,347,85,162,72,21,7,401
S01000696,407,137,195,68,6,1,353
S01000697,372,23,170,137,33,9,583
S01000698,305,71,167,51,13,3,320
S01000699,263,70,122,56,12,3,283
S01000700,320,51,147,96,24,2,423
S01000701,437,50,182,155,39,11,653
S01000702,246,46,109,69,17,5,319
S01000703,342,84,176,68,11,3,358
S01000704,361,14,133,149,48,17,659
S01000705,479,72,206,159,28,14,666
S01000706,351,16,138,137,45,15,635
S01000707,270,16,104,111,29,10,453
S01000708,240,11,92,93,31,13,437
S01000709,482,80,213,143,36,10,656
S01000710,465,23,170,183,60,29,841
S01000711,219,18,100,79,14,8,332
S01000712,302,68,151,68,12,3,335
S01000713,302,67,157,64,10,4,336
S01000714,419,60,182,143,27,7,578
S01000715,380,186,147,36,10,1,254
S01000716,302,153,122,18,7,2,187
S01000717,466,231,178,44,9,4,314
S01000718,412,171,184,42,14,1,314
S01000719,292,52,152,66,16,6,360
S01000720,375,54,183,109,22,7,500
S01000721,314,45,129,98,32,10,469
S01000722,390,111,185,71,19,4,401
S01000723,201,11,95,73,15,7,317
S01000724,350,88,171,71,16,4,380
S01000725,271,19,114,96,28,14,449
S01000726,357,49,196,95,13,4,441
S01000727,280,122,122,26,9,1,205
S01000728,302,43,140,90,19,10,422
S01000729,277,130,117,28,1,1,180
S01000730,189,81,71,32,4,1,152
S01000731,315,200,94,18,3,0,139
S01000732,351,233,101,13,3,1,140
S01000733,405,224,132,40,7,2,245
S01000734,359,31,186,116,23,3,501
