"dz_2001","total","employed","unemployed","student","retired","homemaker","sick","inactive_other"
"S01000200",626,345,16,34,114,31,53,33
"S01000201",486,250,11,33,110,17,44,21
"S01000202",673,429,19,79,69,24,29,24
"S01000203",332,154,40,40,10,31,33,24
"S01000204",478,291,22,21,41,25,49,29
"S01000205",846,279,23,415,37,26,38,28
"S01000206",518,338,15,38,48,26,37,16
"S01000207",623,320,42,43,101,32,49,36
"S01000208",547,264,32,17,57,46,89,42
"S01000209",608,263,59,36,39,81,78,52
"S01000210",476,243,35,48,37,23,61,29
"S01000211",514,247,37,47,75,30,51,27
"S01000212",568,331,20,22,101,37,43,14
"S01000213",514,256,19,47,94,23,53,22
"S01000214",365,224,10,13,72,17,19,10
"S01000215",571,353,8,115,38,29,19,9
"S01000216",505,339,6,30,68,16,26,20
"S01000217",548,288,42,45,51,34,58,30
"S01000218",556,323,11,19,135,18,33,17
"S01000219",511,267,39,59,43,32,43,28
"S01000220",1266,273,10,838,74,22,32,17
"S01000221",603,380,19,29,71,30,50,24
"S01000222",568,329,11,23,122,26,43,14
"S01000223",435,317,16,15,46,12,18,11
"S01000224",551,329,11,29,116,17,33,16
"S01000225",462,298,12,36,66,20,20,10
"S01000226",514,360,3,37,73,12,17,12
"S01000227",484,361,5,21,46,30,14,7
"S01000228",553,410,11,41,41,15,15,20
"S01000229",588,349,17,23,111,19,46,23
"S01000230",505,348,13,27,50,16,33,18
"S01000231",559,447,6,45,28,14,7,12
"S01000232",466,276,15,22,91,18,32,12
"S01000233",392,246,11,23,63,13,20,16
"S01000234",609,430,6,28,89,19,20,17
"S01000235",624,483,7,30,45,30,20,9
"S01000236",535,324,7,21,118,29,20,16
"S01000237",741,463,11,39,166,27,21,14
"S01000238",412,335,4,26,26,9,4,8
"S01000239",558,374,7,30,100,20,20,7
"S01000240",565,411,12,37,56,16,25,8
"S01000241",552,411,5,62,22,36,6,10
"S01000242",502,302,6,95,46,26,12,15
"S01000243",608,461,6,53,41,21,14,12
"S01000244",806,540,9,32,143,24,37,21
"S01000245",707,507,15,41,58,29,35,22
"S01000246",557,398,17,40,57,20,10,15
"S01000247",632,475,6,63,48,20,13,7
"S01000248",714,508,23,64,72,19,19,9
"S01000249",597,410,10,37,75,28,19,18
"S01000250",597,450,5,54,38,31,12,7
"S01000251",355,265,7,39,6,22,6,10
"S01000252",655,526,14,44,23,25,11,12
"S01000253",567,432,7,85,10,24,4,5
"S01000254",633,481,14,43,47,27,13,8
"S01000255",489,386,7,42,15,17,6,16
"S01000256",696,449,6,45,125,27,28,16
"S01000257",656,437,6,43,101,31,22,16
"S01000258",498,388,11,39,25,29,3,3
"S01000259",443,357,7,15,24,21,14,5
"S01000260",641,541,12,38,6,30,3,11
"S01000261",826,577,18,46,108,34,31,12
"S01000262",734,479,13,38,135,28,25,16
"S01000263",613,492,14,30,22,25,18,12
"S01000264",786,555,18,41,73,32,45,22
"S01000265",588,376,10,31,86,28,39,18
"S01000266",716,501,17,40,88,32,20,18
"S01000267",555,391,13,27,73,14,26,11
"S01000268",541,328,28,27,79,39,25,15
"S01000269",400,265,7,25,39,42,11,11
"S01000270",708,480,27,37,86,36,24,18
"S01000271",624,379,29,34,80,54,36,12
"S01000272",655,444,16,37,73,46,23,16
"S01000273",377,252,19,21,29,34,14,8
"S01000274",424,274,10,21,70,22,17,10
"S01000275",686,437,13,33,128,30,23,22
"S01000276",513,361,13,28,43,47,15,6
"S01000277",463,328,12,23,45,31,11,13
"S01000278",373,228,13,13,66,16,27,10
"S01000279",396,275,7,23,53,23,10,5
"S01000280",437,299,22,24,47,26,8,11
"S01000281",484,268,41,33,68,41,20,13
"S01000282",498,352,18,22,37,37,18,14
"S01000283",618,421,21,41,62,48,18,7
"S01000284",571,418,11,43,38,45,6,10
"S01000285",514,365,9,41,49,34,10,6
"S01000286",672,456,16,26,114,24,18,18
"S01000287",511,340,4,42,62,36,17,10
"S01000288",668,497,9,48,64,25,9,16
"S01000289",645,404,24,30,118,31,21,17
"S01000290",569,368,23,26,60,34,35,23
"S01000291",580,387,16,39,63,48,20,7
"S01000292",682,436,9,61,91,48,30,7
"S01000293",509,307,21,17,115,15,20,14
"S01000294",476,358,6,31,28,24,21,8
"S01000295",489,310,11,55,60,30,13,10
"S01000296",383,219,5,29,74,28,13,15
"S01000297",539,376,11,33,57,36,18,8
"S01000298",369,257,8,17,45,28,8,6
"S01000299",633,390,13,42,91,69,8,20
"S01000300",572,406,14,35,41,52,12,12
"S01000301",429,303,8,4,72,14,10,18
"S01000302",403,294,5,27,34,27,11,5
"S01000303",379,268,10,14,53,13,12,9
"S01000304",580,403,10,46,59,42,9,11
"S01000305",772,515,19,54,96,37,29,22
"S01000306",575,399,14,35,56,53,7,11
"S01000307",683,540,9,40,27,41,11,15
"S01000308",762,521,20,39,102,52,15,13
"S01000309",460,319,10,22,61,29,13,6
"S01000310",669,530,7,41,45,26,8,12
"S01000311",695,475,20,50,80,43,13,14
"S01000312",452,291,5,14,91,24,12,15
"S01000313",513,371,5,24,60,25,19,9
"S01000314",437,332,4,21,33,18,18,11
"S01000315",456,267,14,37,66,41,18,13
"S01000316",547,337,10,12,127,18,25,18
"S01000317",397,240,14,19,74,17,15,18
"S01000318",417,258,8,33,71,36,5,6
"S01000319",464,354,10,31,21,30,8,10
"S01000320",561,432,11,27,44,21,15,11
"S01000321",450,332,9,30,38,24,6,11
"S01000322",750,468,11,78,93,81,7,12
"S01000323",637,396,12,35,94,58,25,17
"S01000324",619,515,12,18,30,27,11,6
"S01000325",443,275,9,21,83,15,18,22
"S01000326",548,368,13,43,47,29,35,13
"S01000327",680,486,10,53,69,33,21,8
"S01000328",440,322,11,32,14,26,25,10
"S01000329",400,298,9,29,22,20,8,14
"S01000330",527,342,10,30,82,40,12,11
"S01000331",448,273,16,21,85,19,17,17
"S01000332",494,284,6,25,102,55,11,11
"S01000333",621,424,9,46,61,56,11,14
"S01000334",542,345,18,23,81,37,28,10
"S01000335",470,294,6,23,85,31,21,10
"S01000336",646,443,11,28,62,45,39,18
"S01000337",489,329,6,25,67,46,8,8
"S01000338",354,241,5,13,44,29,15,7
"S01000339",752,479,18,30,133,52,26,14
"S01000340",724,521,11,47,73,45,19,8
"S01000341",515,353,10,21,60,33,14,24
"S01000342",281,154,11,7,65,17,19,8
"S01000343",432,313,5,15,47,35,8,9
"S01000344",639,432,9,30,81,46,26,15
"S01000345",475,323,8,33,52,25,24,10
"S01000346",532,403,3,29,57,25,9,6
"S01000347",369,236,4,24,60,19,12,14
"S01000348",627,459,8,50,69,24,12,5
"S01000349",428,312,13,34,39,15,5,10
"S01000350",692,526,11,44,45,41,15,10
"S01000351",764,531,11,85,61,47,13,16
"S01000352",597,417,12,52,70,27,10,9
"S01000353",498,363,5,40,41,35,5,9
"S01000354",416,267,5,29,35,43,29,8
"S01000355",522,368,8,60,45,27,10,4
"S01000356",469,345,7,24,35,35,9,14
"S01000357",485,399,6,40,16,20,3,1
"S01000358",795,550,16,90,74,48,10,7
"S01000359",575,403,10,60,31,58,2,11
"S01000360",374,230,16,7,62,31,16,12
"S01000361",452,317,8,21,53,39,5,9
"S01000362",698,514,10,43,56,46,14,15
"S01000363",707,531,9,41,61,39,14,12
"S01000364",658,479,9,41,59,39,20,11
"S01000365",506,354,11,28,51,30,16,16
"S01000366",572,414,3,37,63,33,13,9
"S01000367",599,384,8,46,104,34,14,9
"S01000368",572,402,13,28,75,30,14,10
"S01000369",779,549,14,51,84,42,21,18
"S01000370",619,462,14,66,36,26,8,7
"S01000371",642,395,15,22,119,44,28,19
"S01000372",676,481,12,42,68,42,19,12
"S01000373",429,322,6,23,37,31,5,5
"S01000374",433,271,9,17,89,23,12,12
"S01000375",477,316,19,24,58,27,23,10
"S01000376",687,478,25,37,53,33,34,27
"S01000377",537,385,8,37,44,45,12,6
"S01000378",403,281,10,33,29,27,9,14
"S01000379",426,313,8,30,34,35,5,1
"S01000380",556,420,7,34,38,38,10,9
"S01000381",644,443,16,52,89,29,8,7
"S01000382",545,375,15,26,57,53,10,9
"S01000383",481,353,7,36,45,24,8,8
"S01000384",542,356,14,20,67,38,31,16
"S01000385",415,310,10,36,23,18,9,9
"S01000386",590,410,8,34,73,32,18,15
"S01000387",633,440,5,58,71,34,14,11
"S01000388",556,406,14,32,51,28,13,12
"S01000389",478,390,10,21,17,27,3,10
"S01000390",517,318,10,18,91,31,29,20
"S01000391",417,273,9,20,64,25,14,12
"S01000392",549,415,6,33,48,29,7,11
"S01000393",619,382,12,31,129,21,31,13
"S01000394",498,352,10,35,43,29,14,15
"S01000395",437,305,11,21,49,30,13,8
"S01000396",698,413,32,16,149,20,51,17
"S01000397",761,518,8,32,117,40,32,14
"S01000398",558,386,13,43,46,48,7,15
"S01000399",457,308,9,23,64,16,23,14
"S01000400",513,336,6,21,83,26,24,17
"S01000401",598,435,14,27,69,31,13,9
"S01000402",520,371,11,24,55,27,22,10
"S01000403",611,423,8,38,101,24,11,6
"S01000404",560,410,5,39,48,35,18,5
"S01000405",340,254,5,23,25,22,5,6
"S01000406",459,321,14,17,46,25,19,17
"S01000407",454,306,21,11,62,24,15,15
"S01000408",379,288,9,18,31,23,7,3
"S01000409",463,356,5,28,39,20,8,7
"S01000410",485,354,8,34,38,33,8,10
"S01000411",470,339,9,31,42,26,14,9
"S01000412",592,415,13,45,50,42,13,14
"S01000413",601,415,13,48,55,42,16,12
"S01000414",504,377,15,33,32,32,4,11
"S01000415",417,270,8,15,61,29,20,14
"S01000416",478,352,7,23,46,37,6,7
"S01000417",724,493,12,39,100,32,25,23
"S01000418",540,374,11,29,57,37,15,17
"S01000419",488,368,5,32,32,33,5,13
"S01000420",697,454,14,42,102,39,27,19
"S01000421",431,323,8,24,31,31,10,4
"S01000422",484,302,12,26,85,24,28,7
"S01000423",665,497,13,45,47,48,9,6
"S01000424",523,388,14,28,37,34,15,7
"S01000425",508,338,15,47,51,32,14,11
"S01000426",562,406,10,28,42,52,16,8
"S01000427",574,451,15,37,25,31,8,7
"S01000428",598,423,13,51,41,41,13,16
"S01000429",596,393,10,40,104,26,12,11
"S01000430",420,297,10,26,49,23,11,4
"S01000431",453,286,8,18,88,19,23,11
"S01000432",735,466,11,44,123,50,27,14
"S01000433",348,218,9,23,57,14,14,13
"S01000434",481,315,18,31,51,30,24,12
"S01000435",449,319,8,24,55,21,15,7
"S01000436",487,367,10,37,29,25,8,11
"S01000437",706,518,14,42,87,24,12,9
"S01000438",506,347,6,60,36,38,13,6
"S01000439",543,390,18,28,38,42,14,13
"S01000440",625,450,15,33,66,30,21,10
"S01000441",610,364,22,16,86,60,41,21
"S01000442",600,423,14,48,55,39,16,5
"S01000443",426,323,10,18,29,23,11,12
"S01000444",438,313,9,44,30,24,11,7
"S01000445",717,494,23,35,83,41,28,13
"S01000446",711,506,21,32,55,54,31,12
"S01000447",373,257,8,11,56,18,10,13
"S01000448",464,313,10,24,44,42,14,17
"S01000449",546,310,16,31,83,61,27,18
"S01000450",490,342,8,35,56,27,14,8
"S01000451",569,389,24,26,55,39,19,17
"S01000452",409,282,11,27,31,31,14,13
"S01000453",391,269,10,21,28,39,15,9
"S01000454",330,179,11,17,60,32,18,13
"S01000455",669,430,26,32,63,54,46,18
"S01000456",554,391,19,17,75,30,11,11
"S01000457",569,332,8,32,130,28,25,14
"S01000458",645,467,15,53,45,44,12,9
"S01000459",760,475,36,33,129,33,28,26
"S01000460",539,289,27,22,99,41,34,27
"S01000461",611,355,34,30,106,32,37,17
"S01000462",662,380,22,34,123,47,40,16
"S01000463",630,468,22,15,40,34,31,20
"S01000464",559,379,20,21,64,49,15,11
"S01000465",484,342,8,32,41,34,18,9
"S01000466",606,443,15,38,45,43,19,3
"S01000467",475,294,16,23,48,25,48,21
"S01000468",382,275,9,23,21,29,10,15
"S01000469",496,356,9,23,34,48,15,11
"S01000470",973,529,17,23,107,53,35,209
"S01000471",439,301,11,35,36,32,11,13
"S01000472",586,418,24,27,41,41,21,14
"S01000473",560,357,26,29,57,47,27,17
"S01000474",467,325,13,23,44,40,12,10
"S01000475",642,382,23,32,85,49,43,28
"S01000476",418,278,13,25,43,29,19,11
"S01000477",576,369,16,25,83,35,31,17
"S01000478",626,324,27,22,136,43,47,27
