"dz_2001","total","owned","social","rented","rentfree"
"S01000377",721,628,0,82,11
"S01000378",581,366,208,4,3
"S01000379",574,532,6,36,0
"S01000380",748,700,26,22,0
"S01000381",866,798,46,16,6
"S01000382",755,544,58,123,30
"S01000383",655,589,43,22,1
"S01000384",731,410,110,162,49
"S01000385",574,372,129,67,6
"S01000386",766,601,85,58,22
"S01000387",853,734,94,12,13
"S01000388",755,681,13,46,15
"S01000389",667,600,61,5,1
"S01000390",688,386,283,6,13
"S01000391",597,416,130,48,3
"S01000392",723,661,32,28,2
"S01000393",824,643,135,28,18
"S01000394",688,467,207,11,3
"S01000395",588,482,51,35,20
"S01000396",940,507,414,8,11
"S01000397",1013,806,178,13,16
"S01000398",745,588,5,104,48
"S01000399",577,438,60,59,20
"S01000400",705,473,175,47,10
"S01000401",824,662,41,91,30
"S01000402",709,634,50,14,11
"S01000403",796,680,98,14,4
"S01000404",756,691,43,13,9
"S01000405",474,408,16,31,19
"S01000406",629,390,208,19,12
"S01000407",658,364,272,6,16
"S01000408",513,495,2,11,5
"S01000409",666,649,4,12,1
"S01000410",664,579,1,51,33
"S01000411",631,472,33,86,40
"S01000412",787,556,92,93,46
"S01000413",786,648,82,37,19
"S01000414",721,661,32,22,6
"S01000415",615,401,175,23,16
"S01000416",670,507,138,20,5
"S01000417",1005,750,216,26,13
"S01000418",723,593,42,62,26
"S01000419",672,528,8,64,72
"S01000420",968,742,174,35,17
"S01000421",601,505,31,49,16
"S01000422",683,496,154,18,15
"S01000423",904,793,31,60,20
"S01000424",727,573,74,65,15
"S01000425",695,533,74,71,17
"S01000426",797,673,67,42,15
"S01000427",785,730,1,47,7
"S01000428",777,731,10,30,6
"S01000429",782,735,15,18,14
"S01000430",557,536,0,21,0
"S01000431",658,401,188,49,20
"S01000432",973,903,14,40,16
"S01000433",468,275,174,9,10
"S01000434",680,380,277,9,14
"S01000435",555,435,112,4,4
"S01000436",695,678,2,14,1
"S01000437",972,874,75,22,1
"S01000438",694,684,6,3,1
"S01000439",700,425,46,161,68
"S01000440",868,727,73,54,14
"S01000441",871,556,146,110,59
"S01000442",808,632,9,113,54
"S01000443",581,479,4,62,36
"S01000444",573,468,4,41,60
"S01000445",971,797,112,39,23
"S01000446",929,717,15,151,46
"S01000447",539,386,144,4,5
"S01000448",622,485,12,62,63
"S01000449",754,455,263,26,10
"S01000450",645,610,10,23,2
"S01000451",790,553,90,87,60
"S01000452",557,416,23,74,44
"S01000453",528,397,24,83,24
"S01000454",493,281,164,34,14
"S01000455",870,632,163,69,6
"S01000456",718,540,20,118,40
"S01000457",823,677,104,26,16
"S01000458",853,737,38,48,30
"S01000459",1033,747,216,51,19
"S01000460",769,330,398,21,20
"S01000461",856,449,292,83,32
"S01000462",993,533,394,38,28
"S01000463",676,318,136,219,3
"S01000464",741,537,60,106,38
"S01000465",629,534,33,30,32
"S01000466",799,572,53,130,44
"S01000467",625,412,168,38,7
"S01000468",520,423,19,56,22
"S01000469",689,541,71,71,6
"S01000470",974,769,80,117,8
"S01000471",603,507,55,18,23
"S01000472",836,602,206,16,12
"S01000473",745,482,247,12,4
"S01000474",648,406,37,192,13
"S01000475",887,552,302,23,10
"S01000476",556,418,73,44,21
"S01000477",777,634,126,11,6
"S01000478",869,515,276,29,49
"S01000479",931,625,266,15,25
"S01000480",665,587,58,13,7
"S01000481",770,681,11,60,18
"S01000482",771,469,197,72,33
"S01000483",915,593,261,36,25
"S01000484",806,574,128,77,27
"S01000485",1080,1045,3,22,10
"S01000486",796,339,321,118,18
"S01000487",533,405,94,15,19
"S01000488",703,401,280,5,17
"S01000489",869,323,500,27,19
"S01000490",541,515,3,18,5
"S01000491",589,235,316,26,12
"S01000492",954,524,384,30,16
"S01000493",588,441,98,26,23
"S01000494",566,348,187,15,16
"S01000495",905,833,42,27,3
"S01000496",587,569,13,2,3
"S01000497",630,481,119,20,10
"S01000498",548,488,50,6,4
"S01000499",803,648,115,36,4
"S01000500",675,297,339,14,25
"S01000501",621,421,176,8,16
"S01000502",518,430,21,48,19
"S01000503",497,435,11,48,3
"S01000504",708,497,125,61,25
"S01000505",757,591,106,37,23
"S01000506",620,495,15,62,48
"S01000507",1087,635,425,19,8
"S01000508",877,733,35,86,23
"S01000509",1022,713,270,22,17
"S01000510",658,466,145,34,13
"S01000511",556,456,65,29,6
"S01000512",892,775,95,17,5
"S01000513",862,516,231,94,21
"S01000514",516,448,13,41,14
"S01000515",484,404,21,42,17
"S01000516",654,531,91,19,13
"S01000517",651,466,129,49,7
"S01000518",876,642,159,59,16
"S01000519",476,414,7,36,19
"S01000520",988,778,144,26,40
"S01000521",927,530,346,24,27
"S01000522",612,505,40,48,19
"S01000523",763,368,367,12,16
"S01000524",647,470,23,115,39
"S01000525",955,690,116,107,42
"S01000526",933,688,43,137,65
"S01000527",587,515,13,31,28
"S01000528",736,529,51,117,39
"S01000529",723,630,10,61,22
"S01000530",477,395,8,56,18
"S01000531",523,424,27,47,25
"S01000532",764,535,177,17,35
"S01000533",760,609,124,9,18
"S01000534",813,438,349,13,13
"S01000535",985,628,328,9,20
"S01000536",519,292,75,123,29
"S01000537",559,451,19,67,22
"S01000538",782,507,250,6,19
"S01000539",989,665,210,94,20
"S01000540",784,571,176,20,17
"S01000541",547,386,131,7,23
"S01000542",672,411,225,20,16
"S01000543",814,637,153,6,18
"S01000544",733,590,76,48,19
"S01000545",717,529,153,21,14
"S01000546",609,350,240,3,16
"S01000547",544,442,96,4,2
"S01000548",1012,737,196,62,17
"S01000549",1078,1058,2,6,12
"S01000550",557,544,2,1,10
"S01000551",791,646,93,28,24
"S01000552",554,537,2,10,5
"S01000553",867,731,120,7,9
"S01000554",791,319,447,6,19
"S01000555",868,490,349,8,21
"S01000556",880,365,489,6,20
"S01000557",880,622,233,17,8
"S01000558",512,464,11,14,23
"S01000559",655,437,175,21,22
"S01000560",1043,527,461,28,27
"S01000561",1034,709,246,38,41
"S01000562",909,461,421,4,23
"S01000563",640,393,197,33,17
"S01000564",860,319,502,12,27
"S01000565",709,406,275,18,10
"S01000566",759,455,260,23,21
"S01000567",769,392,355,5,17
"S01000568",542,442,91,7,2
"S01000569",742,643,82,6,11
"S01000570",939,751,139,25,24
"S01000571",770,587,110,39,34
"S01000572",800,740,50,8,2
"S01000573",600,590,3,6,1
"S01000574",786,732,26,8,20
"S01000575",608,525,47,10,26
"S01000576",654,631,5,10,8
"S01000577",566,526,32,5,3
"S01000578",706,622,67,7,10
"S01000579",687,659,6,19,3
"S01000580",681,605,9,53,14
"S01000581",707,679,18,3,7
"S01000582",728,477,223,16,12
"S01000583",758,635,90,25,8
"S01000584",781,416,311,26,28
"S01000585",945,692,152,65,36
"S01000586",775,651,100,13,11
"S01000587",702,477,191,14,20
"S01000588",604,532,20,40,12
"S01000589",641,525,51,50,15
"S01000590",731,665,11,45,10
"S01000591",496,433,46,13,4
"S01000592",909,746,106,37,20
"S01000593",571,366,11,149,45
"S01000594",580,426,18,66,70
"S01000595",839,703,96,34,6
"S01000596",945,897,9,21,18
"S01000597",1065,1048,3,12,2
"S01000598",519,453,13,44,9
"S01000599",775,608,54,78,35
"S01000600",741,655,62,12,12
"S01000601",987,878,29,69,11
"S01000602",679,538,76,42,23
"S01000603",822,607,24,136,55
"S01000604",967,927,26,4,10
"S01000605",791,721,28,33,9
"S01000606",776,364,322,56,34
"S01000607",782,692,75,5,10
"S01000608",972,542,245,160,25
"S01000609",1005,350,609,7,39
"S01000610",773,351,256,134,32
"S01000611",624,302,272,15,35
"S01000612",995,662,233,81,19
"S01000613",997,822,116,42,17
"S01000614",690,470,150,43,27
"S01000615",764,370,285,66,43
"S01000616",924,602,24,242,56
"S01000617",634,487,81,54,12
"S01000618",786,620,124,34,8
"S01000619",714,416,110,182,6
"S01000620",819,239,546,14,20
"S01000621",999,657,264,38,40
"S01000622",547,261,224,36,26
"S01000623",780,473,267,30,10
"S01000624",604,386,158,42,18
"S01000625",629,217,359,28,25
"S01000626",822,221,568,8,25
"S01000627",931,628,283,8,12
"S01000628",559,270,273,6,10
"S01000629",585,520,31,29,5
"S01000630",732,510,190,5,27
"S01000631",637,332,251,22,32
"S01000632",589,334,11,205,39
"S01000633",632,564,43,24,1
"S01000634",822,491,301,10,20
"S01000635",678,504,154,5,15
"S01000636",499,212,44,159,84
"S01000637",595,434,17,120,24
"S01000638",481,404,2,55,20
"S01000639",606,318,50,160,78
"S01000640",635,468,24,94,49
"S01000641",781,620,56,74,31
"S01000642",794,651,35,92,16
"S01000643",609,483,37,67,22
"S01000644",680,609,49,17,5
"S01000645",854,572,115,109,58
"S01000646",826,727,78,12,9
"S01000647",877,590,261,13,13
"S01000648",910,398,471,25,16
"S01000649",582,305,2,206,69
"S01000650",737,481,233,7,16
"S01000651",783,456,277,22,28
"S01000652",778,600,150,10,18
"S01000653",884,500,322,34,28
"S01000654",912,570,287,25,30
"S01000655",797,316,464,7,10
"S01000656",678,370,216,68,24
"S01000657",723,382,299,23,19
"S01000658",578,242,267,52,17
"S01000659",1066,906,93,41,26
"S01000660",917,871,20,14,12
"S01000661",751,574,129,39,9
"S01000662",530,361,51,92,26
"S01000663",681,527,110,31,13
"S01000664",774,551,132,60,31
"S01000665",675,444,112,103,16
"S01000666",493,437,23,20,13
"S01000667",960,771,123,51,15
"S01000668",909,333,541,8,27
"S01000669",785,479,178,97,31
"S01000670",566,384,153,17,12
"S01000671",589,413,156,4,16
"S01000672",628,426,183,13,6
"S01000673",750,698,37,9,6
"S01000674",959,609,96,172,82
"S01000675",722,690,8,11,13
"S01000676",486,237,39,158,52
"S01000677",822,269,248,193,112
"S01000678",942,718,206,8,10
"S01000679",750,342,327,65,16
"S01000680",778,419,298,46,15
"S01000681",790,391,272,93,34
"S01000682",584,345,71,158,10
"S01000683",525,432,37,44,12
"S01000684",685,313,312,29,31
"S01000685",807,653,83,59,12
"S01000686",703,447,170,69,17
"S01000687",789,424,325,33,7
"S01000688",748,585,116,38,9
"S01000689",611,309,65,178,59
"S01000690",787,718,57,6,6
"S01000691",772,464,263,17,28
"S01000692",746,247,448,21,30
"S01000693",872,357,417,65,33
"S01000694",724,482,189,29,24
"S01000695",745,506,163,65,11
"S01000696",731,458,153,105,15
"S01000697",492,353,35,83,21
"S01000698",642,429,163,41,9
"S01000699",623,380,208,22,13
"S01000700",879,557,284,20,18
"S01000701",861,760,37,37,27
"S01000702",522,472,25,13,12
"S01000703",741,495,222,11,13
"S01000704",779,539,45,150,45
"S01000705",1076,937,85,39,15
"S01000706",810,622,2,131,55
"S01000707",537,360,37,115,25
"S01000708",557,372,9,102,74
"S01000709",864,569,128,110,57
"S01000710",1075,442,69,368,196
"S01000711",620,494,50,61,15
"S01000712",576,458,62,34,22
"S01000713",832,517,295,6,14
"S01000714",832,510,230,47,45
"S01000715",651,358,237,32,24
"S01000716",502,218,61,199,24
"S01000717",870,270,514,37,49
"S01000718",952,433,466,28,25
"S01000719",643,515,79,36,13
"S01000720",850,599,159,61,31
"S01000721",658,356,118,140,44
"S01000722",819,383,364,40,32
"S01000723",527,296,24,133,74
"S01000724",842,449,296,67,30
"S01000725",618,419,32,128,39
"S01000726",686,449,135,76,26
"S01000727",680,278,361,26,15
"S01000728",768,302,85,333,48
"S01000729",542,293,225,14,10
"S01000730",407,188,191,21,7
"S01000731",547,146,317,65,19
"S01000732",536,138,333,57,8
"S01000733",732,372,177,166,17
"S01000734",788,725,15,27,21
"S01000735",445,358,51,28,8
"S01000736",720,589,64,55,12
"S01000737",511,319,129,58,5
"S01000738",579,437,104,14,24
"S01000739",759,471,239,33,16
"S01000740",669,463,110,68,28
"S01000741",806,649,83,45,29
"S01000742",525,389,85,24,27
"S01000743",657,590,1,45,21
"S01000744",733,516,78,124,15
"S01000745",681,577,27,75,2
"S01000746",738,542,98,87,11
"S01000747",554,388,90,62,14
"S01000748",498,215,221,43,19
"S01000749",559,175,339,26,19
"S01000750",694,513,133,33,15
"S01000751",713,650,38,14,11
"S01000752",992,302,627,35,28
"S01000753",646,416,210,11,9
"S01000754",626,546,11,64,5
"S01000755",723,306,129,151,137
"S01000756",995,831,68,91,5
"S01000757",666,539,75,43,9
"S01000758",971,896,4,57,14
"S01000759",861,570,220,67,4
"S01000760",565,457,62,29,17
"S01000761",492,442,9,30,11
"S01000762",670,655,0,15,0
"S01000763",858,591,53,76,138
"S01000764",700,675,0,21,4
"S01000765",671,236,48,384,3
"S01000766",728,635,59,22,12
"S01000767",596,133,407,36,20
"S01000768",826,549,132,111,34
"S01000769",955,573,108,258,16
"S01000770",595,229,327,13,26
"S01000771",923,788,72,53,10
"S01000772",650,615,4,24,7
"S01000773",930,772,107,40,11
"S01000774",598,30,280,279,9
"S01000775",610,495,56,42,17
"S01000776",620,596,4,18,2
"S01000777",555,6,224,316,9
"S01000778",448,437,1,10,0
"S01000779",793,520,61,202,10
"S01000780",931,453,413,48,17
"S01000781",877,860,0,15,2
"S01000782",712,690,0,16,6
"S01000783",506,443,11,48,4
"S01000784",830,791,10,19,10
"S01000785",717,505,147,46,19
"S01000786",784,639,112,16,17
"S01000787",526,338,44,91,53
"S01000788",705,545,127,29,4
"S01000789",632,442,137,27,26
"S01000790",470,359,8,101,2
"S01000791",628,363,229,21,15
"S01000792",690,670,0,8,12
"S01000793",707,453,186,57,11
"S01000794",842,507,263,51,21
"S01000795",768,553,160,36,19
"S01000796",481,229,50,138,64
"S01000797",476,264,176,25,11
"S01000798",535,325,193,2,15
"S01000799",515,417,32,45,21
"S01000800",967,748,67,114,38
"S01000801",639,501,76,48,14
"S01000802",754,553,102,77,22
"S01000803",871,628,52,135,56
"S01000804",970,734,124,83,29
"S01000805",822,596,113,83,30
"S01000806",834,640,51,106,37
"S01000807",744,346,231,99,68
"S01000808",700,489,19,145,47
"S01000809",531,347,90,53,41
"S01000810",615,496,6,86,27
"S01000811",823,750,7,52,14
"S01000812",576,361,183,20,12
"S01000813",757,654,83,19,1
"S01000814",914,348,545,5,16
"S01000815",544,87,408,32,17
"S01000816",560,345,107,94,14
"S01000817",862,663,168,25,6
"S01000818",682,559,18,82,23
"S01000819",783,516,119,62,86
"S01000820",573,362,55,100,56
"S01000821",828,522,185,99,22
"S01000822",551,377,150,20,4
"S01000823",561,273,260,20,8
"S01000824",553,345,158,33,17
"S01000825",681,523,59,67,32
"S01000826",730,427,269,13,21
"S01000827",678,492,123,37,26
"S01000828",843,662,110,61,10
"S01000829",569,399,44,85,41
"S01000830",704,438,102,119,45
"S01000831",880,603,107,144,26
"S01000832",920,682,142,61,35
"S01000833",569,245,263,34,27
"S01000834",911,446,429,20,16
"S01000835",698,288,370,18,22
"S01000836",847,249,506,27,65
"S01000837",758,331,308,77,42
"S01000838",723,516,181,11,15
"S01000839",963,737,169,45,12
"S01000840",764,206,499,26,33
"S01000841",970,227,677,19,47
"S01000842",830,710,68,41,11
"S01000843",765,666,57,32,10
"S01000844",689,429,216,34,10
"S01000845",560,488,42,20,10
"S01000846",739,248,414,31,46
"S01000847",958,637,249,45,27
"S01000848",699,546,134,4,15
"S01000849",539,341,176,13,9
"S01000850",657,226,397,8,26
"S01000851",686,664,7,11,4
"S01000852",661,407,212,20,22
"S01000853",553,281,229,21,22
"S01000854",933,346,535,24,28
"S01000855",728,608,82,25,13
"S01000856",568,252,271,23,22
"S01000857",614,378,217,10,9
"S01000858",717,662,29,19,7
"S01000859",836,699,97,25,15
"S01000860",873,329,487,21,36
"S01000861",656,503,137,5,11
"S01000862",559,514,36,7,2
"S01000863",485,191,280,4,10
"S01000864",668,478,167,12,11
"S01000865",692,314,307,20,51
"S01000866",944,462,440,18,24
"S01000867",739,307,382,21,29
"S01000868",718,204,453,6,55
"S01000869",566,160,365,21,20
