dz_2011,total,owned,social,rented,rentfree
S01006911,1869,1629,105,112,23
S01006912,245,189,5,42,9
S01006913,2012,1776,105,108,23
S01006914,857,653,40,126,38
S01006915,848,752,11,76,9
S01006916,360,285,1,59,15
S01006917,1456,1263,114,68,11
S01006918,1805,1568,138,86,13
S01006919,687,481,163,41,2
S01006920,816,574,141,96,5
S01006921,1086,1003,21,54,8
S01006922,1998,1689,120,146,43
S01006923,1456,1297,65,82,12
S01006924,758,545,127,79,7
S01006925,499,431,37,30,1
S01006926,1739,1485,91,154,9
S01006927,374,218,129,22,5
S01006928,2797,2267,184,305,41
S01006929,1797,1571,110,111,5
S01006930,677,657,0,19,1
S01006931,1948,1558,122,259,9
S01006932,838,707,104,25,2
S01006933,801,733,3,63,2
S01006934,1687,1350,118,211,8
S01006935,911,862,12,32,5
S01006936,698,611,51,33,3
S01006937,786,707,15,59,5
S01006938,844,725,61,52,6
S01006939,615,584,7,19,5
S01006940,995,893,19,80,3
S01006941,1283,1127,84,67,5
S01006942,2211,1944,101,163,3
S01006943,1763,1480,125,156,2
S01006944,83,68,0,15,0
S01006945,894,828,31,31,4
S01006946,1348,1130,124,93,1
S01006947,1444,1225,101,115,3
S01006948,1443,1197,147,94,5
S01006949,765,707,17,40,1
S01006950,718,560,109,47,2
S01006951,1316,1051,197,66,2
S01006952,1529,1227,165,119,18
S01006953,1512,1368,41,90,13
S01006954,1765,1583,102,74,6
S01006955,622,420,151,51,0
S01006956,1548,1337,102,97,12
S01006957,1645,1365,134,122,24
S01006958,1001,855,12,116,18
S01006959,813,508,212,79,14
S01006960,2269,2045,94,117,13
S01006961,2311,2024,94,170,23
S01006962,871,793,5,58,15
S01006963,966,893,6,63,4
S01006964,848,676,14,140,18
S01006965,488,417,33,38,0
S01006966,731,504,161,55,11
S01006967,744,704,4,32,4
S01006968,1049,755,197,94,3
S01006969,951,787,75,85,4
S01006970,610,548,36,23,3
S01006971,980,687,220,66,7
S01006972,522,449,12,51,10
S01006973,591,497,51,35,8
S01006974,1386,1177,100,103,6
S01006975,1168,980,25,139,24
S01006976,2528,2245,95,165,23
S01006977,2905,2398,118,336,53
S01006978,855,630,105,88,32
S01006979,1437,1096,115,195,31
S01006980,688,535,15,125,13
S01006981,798,608,80,88,22
S01006982,1212,961,138,102,11
S01006983,1001,772,114,91,24
S01006984,976,805,25,127,19
S01006985,1340,1032,198,100,10
S01006986,749,583,88,69,9
S01006987,1036,772,132,120,12
S01006988,762,582,105,58,17
S01006989,855,767,24,55,9
S01006990,1006,787,94,117,8
S01006991,617,367,121,116,13
S01006992,883,768,8,98,9
S01006993,740,626,12,89,13
S01006994,628,502,22,90,14
S01006995,1152,905,75,135,37
S01006996,939,740,145,41,13
S01006997,786,697,35,48,6
S01006998,1206,963,107,105,31
S01006999,848,656,16,151,25
S01007000,1439,1085,265,65,24
S01007001,1341,1087,143,100,11
S01007002,755,446,204,91,14
S01007003,616,468,25,95,28
S01007004,1043,820,54,147,22
S01007005,1041,839,35,147,20
S01007006,1001,695,135,147,24
S01007007,848,623,67,144,14
S01007008,841,546,230,53,12
S01007009,1292,938,193,150,11
S01007010,842,625,112,95,10
S01007011,1116,628,328,150,10
S01007012,921,392,475,50,4
S01007013,1259,1001,142,108,8
S01007014,1361,1131,26,163,41
S01007015,739,498,48,175,18
S01007016,592,460,25,96,11
S01007017,1038,664,296,70,8
S01007018,1204,961,165,58,20
S01007019,1052,700,204,129,19
S01007020,1371,892,300,156,23
S01007021,1325,998,187,114,26
S01007022,851,605,144,97,5
S01007023,678,479,68,120,11
S01007024,1170,848,106,161,55
S01007025,1150,744,336,47,23
S01007026,994,782,120,77,15
S01007027,1314,991,202,106,15
S01007028,1465,1179,85,158,43
S01007029,662,606,21,24,11
S01007030,1009,649,284,57,19
S01007031,630,385,161,73,11
S01007032,1137,652,283,186,16
S01007033,1060,698,308,46,8
S01007034,1057,627,337,77,16
S01007035,922,488,387,40,7
S01007036,1080,823,154,78,25
S01007037,1157,774,305,72,6
S01007038,854,597,166,88,3
S01007039,967,639,289,33,6
S01007040,1237,899,281,51,6
S01007041,880,646,185,41,8
S01007042,987,749,111,118,9
S01007043,1076,793,35,208,40
S01007044,1007,840,51,87,29
S01007045,932,806,15,80,31
S01007046,574,494,25,41,14
S01007047,1014,809,125,64,16
S01007048,1293,1067,81,112,33
S01007049,1039,677,286,64,12
S01007050,1042,856,80,69,37
S01007051,1029,828,123,70,8
S01007052,573,481,41,34,17
S01007053,802,691,32,69,10
S01007054,1124,835,157,110,22
S01007055,515,445,6,47,17
S01007056,878,747,41,65,25
S01007057,833,674,95,51,13
S01007058,767,556,189,16,6
S01007059,1336,971,274,74,17
S01007060,604,336,248,20,0
S01007061,1155,972,19,145,19
S01007062,758,658,15,67,18
S01007063,1503,1205,139,137,22
S01007064,762,614,72,62,14
S01007065,950,806,83,58,3
S01007066,648,543,28,65,12
S01007067,1258,1089,80,74,15
S01007068,660,394,216,39,11
S01007069,995,655,224,105,11
S01007070,733,536,155,39,3
S01007071,1234,1007,179,43,5
S01007072,1327,1196,53,53,25
S01007073,1378,1142,182,37,17
S01007074,1102,818,252,28,4
S01007075,901,549,272,75,5
S01007076,1044,803,175,62,4
S01007077,757,595,116,33,13
S01007078,960,568,301,80,11
S01007079,1221,743,352,115,11
S01007080,790,476,246,61,7
S01007081,1064,552,369,130,13
S01007082,699,372,214,108,5
S01007083,904,315,445,140,4
S01007084,849,547,165,129,8
S01007085,1076,522,191,352,11
S01007086,1343,330,572,428,13
S01007087,958,371,302,266,19
S01007088,647,252,282,105,8
S01007089,529,487,9,28,5
S01007090,540,457,10,68,5
S01007091,1388,987,350,49,2
S01007092,624,375,223,21,5
S01007093,952,859,26,52,15
S01007094,2263,1695,443,115,10
S01007095,736,649,9,59,19
S01007096,1167,970,127,49,21
S01007097,2154,1628,385,123,18
S01007098,1636,1200,346,80,10
S01007099,883,775,71,27,10
S01007100,863,699,93,25,46
S01007101,1302,824,319,133,26
S01007102,838,691,21,94,32
S01007103,832,669,144,9,10
S01007104,486,397,4,65,20
S01007105,655,547,69,32,7
S01007106,896,734,90,61,11
S01007107,766,705,17,31,13
S01007108,1249,931,216,81,21
S01007109,1526,1034,399,85,8
S01007110,1051,727,246,43,35
S01007111,534,438,75,16,5
S01007112,905,699,66,114,26
S01007113,707,551,80,57,19
S01007114,888,761,90,23,14
S01007115,669,621,19,20,9
S01007116,1304,1171,79,40,14
S01007117,553,502,27,20,4
S01007118,847,416,352,67,12
S01007119,964,428,482,54,0
S01007120,1155,544,416,194,1
S01007121,765,331,225,203,6
S01007122,594,388,138,54,14
S01007123,941,542,329,68,2
S01007124,1095,815,200,76,4
S01007125,867,482,308,74,3
S01007126,1082,334,626,121,1
S01007127,1007,316,374,316,1
S01007128,979,499,385,94,1
S01007129,956,848,21,77,10
S01007130,676,585,34,56,1
S01007131,1096,974,55,60,7
S01007132,700,652,14,32,2
S01007133,674,563,18,72,21
S01007134,860,677,59,103,21
S01007135,806,691,14,82,19
S01007136,661,540,0,109,12
S01007137,842,743,24,75,0
S01007138,957,846,15,92,4
S01007139,776,645,44,70,17
S01007140,1022,778,87,135,22
S01007141,1250,1113,26,64,47
S01007142,201,183,0,18,0
S01007143,1174,1016,43,99,16
S01007144,2231,1832,106,234,59
S01007145,892,757,84,38,13
S01007146,881,707,93,71,10
S01007147,830,767,24,27,12
S01007148,538,501,13,22,2
S01007149,850,794,18,31,7
S01007150,700,639,19,21,21
S01007151,1163,1083,13,48,19
S01007152,763,686,36,38,3
S01007153,916,806,54,41,15
S01007154,973,740,120,94,19
S01007155,715,587,65,50,13
S01007156,1127,802,161,139,25
S01007157,748,523,149,61,15
S01007158,1043,871,88,74,10
S01007159,933,609,234,79,11
S01007160,969,624,213,103,29
S01007161,987,739,118,114,16
S01007162,608,292,168,147,1
S01007163,1009,770,163,69,7
S01007164,760,628,51,66,15
S01007165,927,760,23,138,6
S01007166,1094,909,60,113,12
S01007167,795,745,13,34,3
S01007168,965,918,5,39,3
S01007169,854,712,90,51,1
S01007170,744,549,34,135,26
S01007171,995,625,27,318,25
S01007172,1248,1029,23,152,44
S01007173,523,451,42,27,3
S01007174,944,682,213,41,8
S01007175,862,522,213,118,9
S01007176,1078,650,218,188,22
S01007177,801,421,323,50,7
S01007178,1045,368,594,79,4
S01007179,1254,1069,76,95,14
S01007180,967,828,96,39,4
S01007181,1044,830,147,62,5
S01007182,1227,880,188,146,13
S01007183,1317,853,285,157,22
S01007184,1039,608,245,178,8
S01007185,939,382,416,128,13
S01007186,777,259,351,155,12
S01007187,804,292,289,212,11
S01007188,803,441,180,175,7
S01007189,869,401,363,95,10
S01007190,935,664,199,67,5
S01007191,735,421,210,94,10
S01007192,784,489,251,37,7
S01007193,893,524,302,55,12
S01007194,641,215,331,91,4
S01007195,1027,540,295,158,34
S01007196,974,466,438,68,2
S01007197,743,203,483,52,5
S01007198,532,222,279,28,3
S01007199,1091,403,613,75,0
S01007200,849,573,204,63,9
S01007201,1014,681,287,33,13
S01007202,735,446,241,42,6
S01007203,840,650,136,47,7
S01007204,1054,683,157,160,54
S01007205,827,572,57,163,35
S01007206,392,250,60,71,11
S01007207,1045,781,165,93,6
S01007208,990,426,332,215,17
S01007209,767,399,143,218,7
S01007210,1067,530,399,132,6
S01007211,967,443,428,95,1
S01007212,847,599,87,146,15
S01007213,873,620,114,127,12
S01007214,994,466,383,138,7
S01007215,984,601,214,159,10
S01007216,763,607,87,60,9
S01007217,1186,750,314,114,8
S01007218,992,853,55,78,6
S01007219,1097,732,281,65,19
S01007220,787,525,200,58,4
S01007221,1101,921,101,72,7
S01007222,1100,738,275,87,0
S01007223,699,580,36,75,8
S01007224,742,556,101,75,10
S01007225,1199,915,50,208,26
S01007226,1027,783,39,143,62
S01007227,1533,1187,147,151,48
S01007228,819,531,43,205,40
S01007229,1249,764,42,351,92
S01007230,1283,459,549,216,59
S01007231,812,320,359,124,9
S01007232,726,208,414,89,15
S01007233,788,515,177,95,1
S01007234,613,374,138,82,19
S01007235,1078,550,248,250,30
S01007236,1076,708,228,132,8
S01007237,779,622,92,59,6
S01007238,1007,683,250,71,3
S01007239,1374,1076,82,185,31
S01007240,539,320,18,158,43
S01007241,1174,931,39,160,44
S01007242,1158,953,91,101,13
S01007243,1413,1199,69,116,29
S01007244,717,539,33,119,26
S01007245,776,540,111,113,12
S01007246,891,659,121,92,19
S01007247,1080,595,67,326,92
S01007248,1060,897,76,77,10
S01007249,553,443,58,44,8
S01007250,822,525,167,127,3
S01007251,893,519,295,63,16
S01007252,912,628,190,80,14
S01007253,798,676,56,45,21
S01007254,925,482,319,114,10
S01007255,1038,366,593,69,10
S01007256,935,432,318,171,14
S01007257,894,405,252,222,15
S01007258,870,506,254,103,7
S01007259,1032,522,370,121,19
S01007260,1190,590,531,57,12
S01007261,1047,835,116,83,13
S01007262,712,495,167,41,9
S01007263,1112,788,256,61,7
S01007264,839,625,176,31,7
S01007265,1166,686,369,108,3
S01007266,823,497,164,112,50
S01007267,610,332,40,185,53
S01007268,594,359,10,194,31
S01007269,667,500,51,99,17
S01007270,457,256,24,150,27
S01007271,1116,784,221,105,6
S01007272,1140,559,485,84,12
S01007273,759,518,162,60,19
S01007274,904,545,189,156,14
S01007275,690,509,96,71,14
S01007276,1159,872,202,76,9
S01007277,919,803,64,47,5
S01007278,941,788,16,116,21
S01007279,665,438,19,148,60
S01007280,674,315,35,244,80
S01007281,1087,754,31,231,71
S01007282,538,243,49,166,80
S01007283,992,684,172,113,23
S01007284,841,605,122,91,23
S01007285,1102,772,104,183,43
S01007286,1430,977,210,213,30
S01007287,562,361,78,99,24
S01007288,647,429,74,110,34
S01007289,1004,779,147,71,7
S01007290,1125,520,480,121,4
S01007291,599,315,205,66,13
S01007292,771,639,77,48,7
S01007293,1055,567,414,67,7
S01007294,1003,773,150,72,8
S01007295,665,200,366,98,1
S01007296,544,271,114,147,12
S01007297,1145,844,90,175,36
S01007298,532,368,106,48,10
S01007299,939,597,184,144,14
S01007300,630,332,247,46,5
S01007301,854,626,86,116,26
S01007302,794,533,172,68,21
S01007303,1060,816,67,159,18
S01007304,684,479,55,128,22
S01007305,1005,754,105,118,28
S01007306,1231,827,204,157,43
S01007307,1084,792,137,116,39
S01007308,825,576,74,124,51
S01007309,779,546,94,116,23
S01007310,863,624,79,131,29
S01007311,882,523,174,158,27
S01007312,862,662,74,108,18
S01007313,965,780,47,110,28
S01007314,871,685,76,100,10
S01007315,937,727,146,50,14
S01007316,1141,694,336,90,21
S01007317,1117,723,266,120,8
S01007318,607,364,204,32,7
S01007319,840,590,137,99,14
S01007320,887,625,59,130,73
S01007321,586,453,26,89,18
S01007322,829,539,199,78,13
S01007323,448,326,72,34,16
S01007324,323,186,48,57,32
S01007325,828,537,122,125,44
S01007326,964,548,99,229,88
S01007327,865,513,227,101,24
S01007328,1074,640,311,88,35
S01007329,702,405,130,144,23
S01007330,766,570,112,66,18
S01007331,1082,774,189,93,26
S01007332,624,538,42,30,14
S01007333,1098,817,183,80,18
S01007334,995,373,526,78,18
S01007335,898,463,385,36,14
S01007336,724,344,141,220,19
S01007337,654,371,206,71,6
S01007338,1084,781,281,17,5
S01007339,841,672,118,36,15
S01007340,662,389,133,123,17
S01007341,843,675,57,99,12
S01007342,797,709,11,64,13
S01007343,649,352,38,247,12
S01007344,574,411,58,95,10
S01007345,691,284,347,54,6
S01007346,824,240,467,104,13
S01007347,1049,529,361,146,13
S01007348,792,308,425,59,0
S01007349,687,342,266,73,6
S01007350,638,380,112,129,17
S01007351,650,483,95,46,26
S01007352,488,319,30,105,34
S01007353,791,617,99,60,15
S01007354,786,618,60,96,12
S01007355,1295,986,116,178,15
S01007356,714,541,92,72,9
S01007357,793,575,105,93,20
S01007358,1333,995,127,170,41
S01007359,972,623,237,108,4
S01007360,866,587,197,72,10
S01007361,983,787,71,117,8
S01007362,1104,826,75,187,16
S01007363,1000,629,262,93,16
S01007364,1093,573,440,64,16
S01007365,467,319,111,33,4
S01007366,550,273,191,80,6
S01007367,623,374,123,108,18
S01007368,659,363,257,38,1
S01007369,1138,849,152,134,3
S01007370,915,531,159,205,20
S01007371,947,690,99,143,15
S01007372,1163,958,58,116,31
S01007373,703,626,19,37,21
S01007374,810,676,74,55,5
S01007375,464,408,9,47,0
S01007376,1010,639,311,49,11
S01007377,664,619,14,27,4
S01007378,807,663,60,80,4
S01007379,925,668,168,76,13
S01007380,844,552,171,95,26
S01007381,470,374,11,85,0
S01007382,984,715,117,138,14
S01007383,749,594,81,73,1
S01007384,1074,821,50,196,7
S01007385,1228,928,100,195,5
S01007386,806,752,4,47,3
S01007387,839,763,13,49,14
S01007388,741,667,9,53,12
S01007389,763,222,180,355,6
S01007390,727,278,158,281,10
S01007391,664,619,13,25,7
S01007392,450,421,5,22,2
S01007393,876,741,76,47,12
S01007394,702,582,11,98,11
S01007395,1054,628,146,274,6
S01007396,1044,632,120,275,17
S01007397,937,748,65,116,8
