dz_2011,total,white,pakistani,chinese,other
S01006870,630,624,0,1,5
S01006871,1006,990,6,0,10
S01006872,1639,1609,0,7,23
S01006873,1250,1233,0,3,14
S01006874,584,582,0,1,1
S01006875,1009,1000,0,0,9
S01006876,1121,1115,0,2,4
S01006877,1101,1090,0,1,10
S01006878,958,954,0,0,4
S01006879,1135,1130,0,1,4
S01006880,787,779,0,0,8
S01006881,578,577,0,0,1
S01006882,841,840,0,0,1
S01006883,646,636,0,0,10
S01006884,1050,1038,0,0,12
S01006885,754,753,0,0,1
S01006886,733,726,0,0,7
S01006887,905,884,4,0,17
S01006888,939,932,0,0,7
S01006889,647,642,0,1,4
S01006890,1070,1058,0,3,9
S01006891,645,631,0,4,10
S01006892,584,575,0,0,9
S01006893,1004,993,0,5,6
S01006894,597,593,0,1,3
S01006895,474,460,0,2,12
S01006896,749,736,0,1,12
S01006897,1007,999,0,0,8
S01006898,548,544,0,0,4
S01006899,510,504,0,0,6
S01006900,455,452,0,1,2
S01006901,793,786,1,0,6
S01006902,693,681,2,0,10
S01006903,947,940,0,0,7
S01006904,569,565,1,0,3
S01006905,1010,997,0,2,11
S01006906,948,942,0,0,6
S01006907,716,694,0,2,20
S01006908,911,893,0,2,16
S01006909,428,421,1,0,6
S01006910,501,493,0,2,6
S01006911,1869,1808,0,5,56
S01006912,245,244,0,1,0
S01006913,2012,1944,0,7,61
S01006914,862,855,0,1,6
S01006915,848,828,0,0,20
S01006916,360,359,0,0,1
S01006917,1458,1440,0,1,17
S01006918,1807,1781,0,1,25
S01006919,687,673,0,2,12
S01006920,816,793,2,1,20
S01006921,1086,1046,0,4,36
S01006922,2000,1978,0,1,21
S01006923,1473,1435,0,1,37
S01006924,758,744,3,2,9
S01006925,499,492,0,1,6
S01006926,1739,1658,1,14,66
S01006927,374,371,0,0,3
S01006928,2797,2696,1,15,85
S01006929,1797,1721,0,15,61
S01006930,677,650,0,0,27
S01006931,1948,1833,14,24,77
S01006932,838,805,4,6,23
S01006933,801,760,2,11,28
S01006934,1749,1661,5,24,59
S01006935,911,883,6,1,21
S01006936,698,687,0,0,11
S01006937,786,743,1,9,33
S01006938,844,795,9,0,40
S01006939,615,598,0,5,12
S01006940,995,946,15,3,31
S01006941,1283,1210,11,7,55
S01006942,2211,2074,10,23,104
S01006943,1763,1650,10,24,79
S01006944,83,74,0,0,9
S01006945,894,865,4,7,18
S01006946,1348,1313,0,10,25
S01006947,1444,1406,0,0,38
S01006948,1443,1414,0,1,28
S01006949,765,752,0,3,10
S01006950,718,694,0,1,23
S01006951,1316,1292,3,0,21
S01006952,1529,1501,8,0,20
S01006953,1542,1503,0,4,35
S01006954,1765,1705,7,12,41
S01006955,622,613,0,0,9
S01006956,1548,1473,7,3,65
S01006957,1675,1639,3,2,31
S01006958,1006,995,1,1,9
S01006959,856,842,4,0,10
S01006960,2275,2193,8,16,58
S01006961,2321,2237,8,16,60
S01006962,871,862,0,0,9
S01006963,971,965,0,0,6
S01006964,850,832,0,6,12
S01006965,501,499,0,0,2
S01006966,731,721,0,0,10
S01006967,744,735,0,3,6
S01006968,1120,1105,0,0,15
S01006969,1009,996,1,1,11
S01006970,614,605,0,4,5
S01006971,991,983,0,0,8
S01006972,522,522,0,0,0
S01006973,594,593,0,0,1
S01006974,1389,1370,1,1,17
S01006975,1168,1147,10,1,10
S01006976,2534,2444,8,16,66
S01006977,2911,2823,8,16,64
S01006978,855,849,0,2,4
S01006979,1437,1410,4,0,23
S01006980,688,662,4,0,22
S01006981,798,788,0,1,9
S01006982,1212,1204,0,2,6
S01006983,1001,994,0,0,7
S01006984,976,965,0,0,11
S01006985,1345,1323,1,2,19
S01006986,777,760,1,1,15
S01006987,1039,1022,1,0,16
S01006988,765,756,0,0,9
S01006989,855,845,0,0,10
S01006990,1009,982,1,5,21
S01006991,617,614,0,0,3
S01006992,883,880,0,1,2
S01006993,740,731,0,0,9
S01006994,642,629,0,0,13
S01006995,1152,1137,1,0,14
S01006996,939,932,0,0,7
S01006997,786,779,1,1,5
S01006998,1206,1188,4,1,13
S01006999,872,870,0,0,2
S01007000,1439,1431,1,0,7
S01007001,1382,1370,0,1,11
S01007002,758,740,0,1,17
S01007003,616,611,0,0,5
S01007004,1043,1038,1,0,4
S01007005,1041,1038,0,0,3
S01007006,1003,989,0,0,14
S01007007,848,822,14,1,11
S01007008,884,879,0,0,5
S01007009,1297,1280,1,2,14
S01007010,880,871,1,3,5
S01007011,1124,1115,0,0,9
S01007012,921,915,0,0,6
S01007013,1287,1274,1,2,10
S01007014,1389,1375,0,4,10
S01007015,739,735,1,1,2
S01007016,592,587,0,0,5
S01007017,1047,1032,0,2,13
S01007018,1204,1199,0,1,4
S01007019,1061,1037,0,1,23
S01007020,1373,1359,0,3,11
S01007021,1369,1363,0,0,6
S01007022,851,843,0,2,6
S01007023,678,675,0,0,3
S01007024,1203,1187,0,1,15
S01007025,1188,1178,1,4,5
S01007026,1026,1016,0,8,2
S01007027,1314,1311,0,0,3
S01007028,1507,1487,0,1,19
S01007029,662,657,0,0,5
S01007030,1009,998,0,0,11
S01007031,630,625,0,0,5
S01007032,1165,1151,0,1,13
S01007033,1060,1045,1,0,14
S01007034,1057,1040,0,3,14
S01007035,922,899,0,11,12
S01007036,1135,1120,0,3,12
S01007037,1157,1150,0,3,4
S01007038,854,840,1,6,7
S01007039,967,966,0,0,1
