"dz_2011","total","house","flat","caravan","shared"
"S01006770",854,845,9,0,0
"S01006771",262,262,0,0,0
"S01006772",937,805,132,0,0
"S01006773",975,972,3,0,0
"S01006774",745,740,5,0,0
"S01006775",678,388,290,0,0
"S01006776",465,234,231,0,0
"S01006777",739,739,0,0,0
"S01006778",721,651,70,0,0
"S01006779",771,571,196,4,0
"S01006780",604,581,23,0,0
"S01006781",733,693,40,0,0
"S01006782",690,474,216,0,0
"S01006783",680,590,90,0,0
"S01006784",482,351,131,0,0
"S01006785",614,567,45,2,0
"S01006786",612,549,63,0,0
"S01006787",934,927,7,0,0
"S01006788",922,820,63,39,0
"S01006789",571,512,56,3,0
"S01006790",702,635,67,0,0
"S01006791",504,471,27,6,0
"S01006792",572,552,18,0,2
"S01006793",557,512,43,2,0
"S01006794",621,605,16,0,0
"S01006795",448,405,43,0,0
"S01006796",264,258,6,0,0
"S01006797",761,752,8,1,0
"S01006798",769,752,14,3,0
"S01006799",629,560,69,0,0
"S01006800",610,599,8,3,0
"S01006801",552,532,18,2,0
"S01006802",679,615,64,0,0
"S01006803",656,619,37,0,0
"S01006804",326,266,60,0,0
"S01006805",940,863,68,9,0
"S01006806",964,942,18,4,0
"S01006807",523,521,2,0,0
"S01006808",561,555,1,5,0
"S01006809",779,759,17,2,1
"S01006810",898,829,69,0,0
"S01006811",881,827,54,0,0
"S01006812",651,625,20,6,0
"S01006813",504,431,73,0,0
"S01006814",647,600,47,0,0
"S01006815",537,358,179,0,0
"S01006816",654,570,84,0,0
"S01006817",709,701,8,0,0
"S01006818",672,661,11,0,0
"S01006819",819,799,12,8,0
"S01006820",400,399,1,0,0
"S01006821",771,759,12,0,0
"S01006822",943,863,74,3,3
"S01006823",681,571,110,0,0
"S01006824",764,466,298,0,0
"S01006825",897,891,6,0,0
"S01006826",786,770,16,0,0
"S01006827",746,622,124,0,0
"S01006828",912,501,408,0,3
"S01006830",733,709,24,0,0
"S01006831",607,607,0,0,0
"S01006832",1034,897,132,0,5
"S01006833",459,435,24,0,0
"S01006835",640,297,341,2,0
"S01006837",410,408,2,0,0
"S01006838",699,679,20,0,0
"S01006839",1040,1018,22,0,0
"S01006840",696,694,2,0,0
"S01006841",991,991,0,0,0
"S01006842",898,889,9,0,0
"S01006843",870,859,11,0,0
"S01006844",722,600,122,0,0
"S01006845",814,761,53,0,0
"S01006846",572,548,24,0,0
"S01006847",685,684,1,0,0
"S01006848",913,796,18,99,0
"S01006849",81,81,0,0,0
"S01006850",1065,1053,12,0,0
"S01006851",763,744,19,0,0
"S01006852",581,580,1,0,0
"S01006853",717,699,13,5,0
"S01006854",380,380,0,0,0
"S01006855",810,785,25,0,0
"S01006856",614,596,16,2,0
"S01006857",1179,1147,30,2,0
"S01006858",611,606,3,2,0
"S01006859",1081,1019,62,0,0
"S01006860",551,492,59,0,0
"S01006861",113,111,0,2,0
"S01006862",709,665,44,0,0
"S01006863",505,492,13,0,0
"S01006865",769,545,224,0,0
"S01006866",577,569,8,0,0
"S01006867",631,599,32,0,0
"S01006868",792,767,25,0,0
"S01006869",585,570,14,1,0
"S01006870",396,388,8,0,0
"S01006871",591,568,23,0,0
"S01006872",697,683,14,0,0
"S01006873",1023,924,96,3,0
"S01006874",609,590,16,3,0
"S01006875",228,220,8,0,0
"S01006876",892,881,11,0,0
"S01006877",880,859,15,6,0
"S01006878",731,702,29,0,0
"S01006879",872,857,13,2,0
"S01006880",399,395,4,0,0
"S01006881",561,558,2,1,0
"S01006882",236,236,0,0,0
"S01006883",402,324,78,0,0
"S01006884",754,663,91,0,0
"S01006885",612,600,11,1,0
"S01006886",755,739,11,5,0
"S01006887",325,320,1,4,0
"S01006888",588,566,16,6,0
"S01006889",899,866,33,0,0
"S01006890",588,568,15,0,5
"S01006891",646,604,42,0,0
"S01006892",519,509,10,0,0
"S01006893",355,352,3,0,0
"S01006894",1013,878,135,0,0
"S01006895",629,305,324,0,0
"S01006896",796,610,186,0,0
"S01006897",756,697,59,0,0
"S01006898",709,652,57,0,0
"S01006899",513,508,4,1,0
"S01006900",666,661,5,0,0
"S01006901",658,552,106,0,0
"S01006902",688,564,114,10,0
"S01006903",688,561,123,0,4
"S01006904",597,440,157,0,0
"S01006905",824,697,127,0,0
"S01006906",940,722,218,0,0
"S01006907",510,243,267,0,0
"S01006908",705,459,244,0,2
"S01006910",1375,1274,69,32,0
"S01006912",672,648,24,0,0
