dz_2011,total,non_catholic_christian,catholic_christian,jewish,muslim,none,other
S01006577,904,268,95,0,20,434,87
S01006578,1744,466,229,0,43,864,142
S01006579,1367,353,188,0,48,651,127
S01006580,855,262,59,0,25,420,89
S01006581,1344,584,139,0,15,506,100
S01006582,695,190,75,1,21,309,99
S01006583,1091,259,136,1,44,569,82
S01006584,919,233,113,0,18,467,88
S01006585,872,191,82,0,26,461,112
S01006586,941,191,132,2,30,466,120
S01006587,658,147,114,0,20,317,60
S01006588,915,185,137,3,20,469,101
S01006589,1330,262,226,4,17,711,110
S01006590,649,171,93,0,23,299,63
S01006591,880,217,110,4,16,452,81
S01006592,654,170,69,0,13,356,46
S01006593,923,198,122,0,40,481,82
S01006594,794,272,84,3,16,358,61
S01006595,1031,279,112,2,33,523,82
S01006596,924,229,117,1,17,483,77
S01006597,790,193,65,1,8,444,79
S01006598,1295,415,137,0,53,559,131
S01006599,1157,395,110,0,29,516,107
S01006600,1424,545,89,1,30,628,131
S01006601,1002,318,97,0,27,458,102
S01006602,1044,386,104,2,18,424,110
S01006603,1337,503,65,0,10,638,121
S01006604,920,284,52,0,14,498,72
S01006605,929,283,68,0,16,483,79
S01006606,1244,476,71,0,20,589,88
S01006607,1260,380,70,1,7,701,101
S01006608,1555,517,105,0,7,821,105
S01006609,1352,429,77,0,11,738,97
S01006610,701,211,35,0,4,406,45
S01006611,1111,341,70,0,10,603,87
S01006612,997,338,35,0,8,536,80
S01006613,453,156,27,0,0,244,26
S01006614,908,272,48,0,10,509,69
S01006615,402,151,18,0,0,207,26
S01006616,755,190,49,0,7,461,48
S01006617,994,353,30,2,0,509,100
S01006618,514,199,19,0,3,252,41
S01006619,948,318,49,0,1,517,63
S01006620,1020,304,36,0,1,606,73
S01006621,748,265,33,0,5,399,46
S01006622,669,201,41,0,3,374,50
S01006623,1410,386,114,2,8,770,130
S01006624,959,225,140,1,15,484,94
S01006625,844,225,82,0,3,473,61
S01006626,866,209,83,1,2,488,83
S01006627,859,203,150,1,8,427,70
S01006628,1410,299,322,2,15,642,130
S01006629,959,294,97,0,20,489,59
S01006630,852,219,42,0,8,525,58
S01006631,1102,299,104,1,6,592,100
S01006632,1045,197,164,3,10,580,91
S01006633,950,196,66,0,14,618,56
S01006634,870,119,135,1,1,547,67
S01006635,1040,261,118,0,13,557,91
S01006636,1084,183,141,0,8,674,78
S01006637,753,206,83,0,8,381,75
S01006638,1111,284,81,1,33,580,132
S01006639,1006,268,129,6,7,487,109
S01006640,817,206,85,1,31,407,87
S01006641,1351,326,139,3,54,726,103
S01006642,1373,330,149,1,52,692,149
S01006643,1248,287,125,3,48,648,137
S01006644,1031,244,100,2,32,548,105
S01006645,1548,365,201,0,50,756,176
S01006646,1369,295,174,0,52,682,166
S01006647,961,236,106,1,22,505,91
S01006648,2018,422,300,2,60,1028,206
S01006649,1204,294,134,1,43,596,136
S01006650,1422,339,184,0,53,665,181
S01006651,776,194,86,2,44,344,106
S01006652,826,191,112,1,37,397,88
S01006653,818,226,77,0,41,403,71
S01006654,914,237,74,2,12,470,119
S01006655,724,207,95,0,30,318,74
S01006656,1095,245,131,1,37,549,132
S01006657,599,145,64,0,22,302,66
S01006658,1280,231,192,10,108,610,129
S01006659,883,250,111,2,40,399,81
S01006660,833,144,143,1,85,364,96
S01006661,736,212,83,1,37,320,83
S01006662,942,192,128,4,66,440,112
S01006663,1309,313,138,7,67,638,146
S01006664,511,124,69,3,12,248,55
S01006665,935,219,118,4,31,455,108
S01006666,1818,465,317,1,53,833,149
S01006667,1260,283,170,0,52,647,108
S01006668,908,232,89,1,34,461,91
S01006669,1334,346,151,2,78,598,159
S01006670,929,301,98,0,28,426,76
S01006671,2611,730,288,0,68,1231,294
S01006672,810,175,95,2,20,440,78
S01006673,973,243,130,0,38,439,123
S01006674,1048,246,175,0,39,499,89
S01006675,774,136,186,0,14,373,65
S01006676,881,192,143,0,26,431,89
S01006677,723,177,120,1,21,336,68
S01006678,1273,267,314,0,22,561,109
S01006679,945,304,106,0,8,464,63
S01006680,971,203,267,5,18,391,87
S01006681,1097,327,84,0,11,566,109
S01006682,956,233,233,0,19,394,77
S01006683,1283,319,219,0,39,605,101
S01006684,870,211,138,0,33,426,62
S01006685,910,238,88,0,8,499,77
S01006686,952,232,81,0,17,546,76
S01006687,1000,310,115,0,15,482,78
S01006688,1041,434,59,0,1,460,87
S01006689,629,216,46,0,29,266,72
S01006690,795,258,63,0,28,368,78
S01006691,918,256,81,1,25,453,102
S01006692,862,344,63,0,17,357,81
S01006693,1274,374,124,0,54,622,100
S01006694,1144,401,97,0,16,537,93
S01006695,712,217,35,0,33,348,79
S01006696,1150,352,88,0,9,609,92
S01006697,1163,339,95,0,17,589,123
S01006698,936,319,79,0,25,422,91
S01006699,784,239,57,0,37,338,113
S01006700,1228,476,103,0,11,498,140
S01006701,1040,239,66,0,7,661,67
S01006702,934,288,47,0,9,524,66
S01006703,773,183,58,8,26,429,69
S01006704,805,192,68,0,0,502,43
S01006705,944,235,65,0,4,573,67
S01006706,809,198,69,7,7,470,58
S01006707,685,145,62,0,3,420,55
S01006708,865,275,72,0,11,425,82
S01006709,1245,331,75,0,19,733,87
S01006710,1064,377,48,2,1,563,73
S01006711,1125,385,47,2,5,586,100
S01006712,631,197,29,0,0,347,58
S01006713,939,274,66,0,0,533,66
S01006714,900,246,63,0,0,522,69
S01006715,1123,154,63,3,20,789,94
S01006716,606,161,18,1,6,379,41
S01006717,1068,305,84,0,9,579,91
S01006718,627,146,46,0,18,360,57
S01006719,1031,251,47,0,6,644,83
S01006720,745,186,30,0,12,449,68
S01006721,942,227,52,0,21,557,85
S01006722,856,217,57,0,6,505,71
S01006723,987,257,55,0,5,567,103
S01006724,1367,245,117,0,6,854,145
S01006725,960,226,68,0,1,567,98
S01006726,1391,202,286,0,7,750,146
S01006727,1370,262,212,0,8,723,165
S01006728,887,243,93,0,2,471,78
S01006729,986,211,106,5,11,552,101
S01006730,778,227,68,0,17,397,69
S01006731,503,148,33,0,0,304,18
S01006732,1494,612,107,0,24,642,109
S01006733,911,352,58,0,27,383,91
S01006734,1147,466,65,0,31,437,148
S01006735,929,523,68,0,19,257,62
S01006736,1318,479,116,0,35,600,88
S01006737,1059,509,100,0,27,349,74
S01006738,829,227,66,0,5,489,42
S01006739,607,169,52,0,1,337,48
S01006740,1039,438,45,0,2,469,85
S01006741,754,329,35,0,0,319,71
S01006742,460,171,9,0,4,236,40
S01006743,1081,426,53,1,2,546,53
S01006744,662,200,31,0,0,396,35
S01006745,1048,377,77,0,2,525,67
S01006746,846,327,24,0,11,425,59
S01006747,1141,573,72,0,2,397,97
S01006748,1163,523,64,0,8,499,69
S01006749,1351,534,70,0,22,604,121
S01006750,812,393,39,0,11,314,55
S01006751,509,205,27,0,3,228,46
S01006752,810,352,39,0,15,363,41
S01006753,913,430,40,3,4,373,63
S01006754,1132,572,39,0,6,437,78
S01006755,1090,437,54,0,7,505,87
S01006756,990,287,94,1,9,503,96
S01006757,1306,499,60,0,8,616,123
S01006758,694,258,22,0,5,368,41
S01006759,1334,414,90,1,13,694,122
S01006760,593,196,37,0,5,312,43
S01006761,927,385,51,1,0,419,71
S01006762,939,461,36,1,15,348,78
S01006763,1100,313,40,0,40,613,94
S01006764,790,295,38,0,9,406,42
S01006765,725,242,39,1,0,387,56
S01006766,608,237,22,0,11,290,48
S01006767,869,372,45,0,1,382,69
S01006768,599,232,33,0,25,279,30
S01006769,1283,455,66,0,45,621,96
S01006770,655,254,36,0,3,303,59
S01006771,563,205,19,1,26,263,49
S01006772,1218,460,35,0,18,603,102
S01006773,734,254,23,0,22,329,106
S01006774,861,316,38,0,4,397,106
S01006775,758,235,33,0,1,415,74
S01006776,662,282,34,0,11,287,48
S01006777,918,400,55,0,4,386,73
S01006778,867,328,36,0,13,413,77
S01006779,1058,366,59,0,7,533,93
S01006780,868,311,49,0,4,408,96
S01006781,972,450,45,0,3,396,78
S01006782,1016,387,64,0,46,461,58
S01006783,672,291,42,0,1,282,56
S01006784,706,266,48,0,5,314,73
S01006785,785,343,35,0,4,347,56
S01006786,1087,378,38,0,21,543,107
S01006787,969,354,54,0,32,452,77
S01006788,646,207,38,0,24,322,55
S01006789,942,459,69,0,0,332,82
S01006790,980,538,48,1,0,339,54
S01006791,536,259,21,0,0,199,57
S01006792,696,339,29,0,0,256,72
S01006793,619,309,54,1,3,223,29
S01006794,775,374,18,0,0,306,77
S01006795,777,318,35,0,0,357,67
S01006796,795,303,49,0,1,371,71
S01006797,752,314,44,0,0,321,73
S01006798,738,382,27,0,0,261,68
S01006799,1053,462,37,0,1,444,109
S01006800,960,454,47,2,7,369,81
S01006801,1414,626,64,0,2,559,163
S01006802,675,322,27,0,0,272,54
S01006803,766,422,28,0,4,266,46
S01006804,1274,574,78,0,2,528,92
S01006805,1346,606,61,0,0,602,77
S01006806,1095,511,49,2,1,444,88
S01006807,620,229,36,0,0,300,55
S01006808,973,420,57,0,0,411,85
S01006809,975,449,52,0,0,378,96
S01006810,1010,423,46,2,1,435,103
S01006811,1090,468,42,0,7,503,70
S01006812,835,343,31,0,4,352,105
S01006813,996,457,47,0,0,417,75
S01006814,1109,499,50,1,0,452,107
S01006815,753,358,36,0,0,310,49
S01006816,944,428,48,0,2,394,72
S01006817,865,387,46,0,2,334,96
S01006818,719,370,28,0,1,281,39
S01006819,1266,569,60,1,8,540,88
S01006820,640,273,34,0,0,288,45
S01006821,1161,516,48,0,1,521,75
S01006822,759,369,42,0,0,282,66
S01006823,885,399,60,0,3,351,72
S01006824,736,278,31,0,4,382,41
S01006825,1017,430,59,2,4,449,73
S01006826,1310,609,70,0,1,537,93
S01006827,1041,419,65,0,0,461,96
S01006828,1011,392,74,0,1,461,83
S01006829,706,287,45,1,7,324,42
S01006830,634,324,35,1,0,252,22
S01006831,1231,636,68,1,4,446,76
S01006832,1029,491,58,0,5,408,67
S01006833,730,305,50,0,7,306,62
S01006834,336,120,20,0,9,159,28
S01006835,1291,579,95,0,0,483,134
S01006836,514,169,35,0,3,260,47
S01006837,1004,399,65,1,10,457,72
S01006838,979,424,51,1,0,438,65
S01006839,933,400,27,0,2,433,71
S01006840,1211,574,48,1,0,508,80
S01006841,1332,551,76,0,6,596,103
S01006842,996,415,49,1,4,457,70
S01006843,965,362,54,0,1,474,74
S01006844,671,218,30,0,1,357,65
S01006845,1033,400,30,0,4,515,84
S01006846,890,320,49,1,0,424,96
S01006847,807,291,48,1,0,374,93
S01006848,1396,497,95,4,12,678,110
S01006849,1300,395,113,4,8,717,63
S01006850,1119,320,69,0,4,618,108
S01006851,805,319,31,0,5,390,60
S01006852,595,223,28,0,0,279,65
S01006853,948,371,69,1,0,405,102
S01006854,1601,779,105,0,7,598,112
S01006855,790,397,41,1,3,276,72
S01006856,942,424,41,0,5,393,79
S01006857,1052,508,59,0,6,399,80
S01006858,642,311,25,0,0,249,57
S01006859,1439,610,114,0,3,615,97
S01006860,692,332,64,0,0,254,42
S01006861,861,379,51,0,4,353,74
S01006862,933,462,44,1,0,348,78
S01006863,1291,574,71,0,4,524,118
S01006864,148,83,5,0,0,52,8
S01006865,938,406,99,0,1,357,75
S01006866,636,326,40,0,5,198,67
S01006867,1210,580,101,0,0,440,89
S01006868,879,401,39,0,0,375,64
S01006869,581,229,39,0,7,253,53
S01006870,630,279,35,0,0,250,66
S01006871,1006,455,45,0,6,409,91
S01006872,1639,678,112,0,3,705,141
S01006873,1250,620,81,0,3,419,127
S01006874,584,262,20,0,0,258,44
S01006875,1009,400,45,2,0,440,122
S01006876,1121,506,43,0,0,470,102
S01006877,1101,451,29,1,1,490,129
S01006878,958,467,32,1,0,343,115
S01006879,1135,529,41,2,0,432,131
S01006880,787,341,43,0,1,331,71
S01006881,578,272,20,0,0,238,48
S01006882,841,462,12,0,0,311,56
S01006883,646,341,30,0,2,218,55
S01006884,1050,501,38,0,2,436,73
S01006885,754,355,41,0,0,284,74
S01006886,733,331,25,1,1,310,65
S01006887,905,390,32,0,9,411,63
S01006888,939,362,18,0,0,459,100
S01006889,647,228,13,0,2,349,55
S01006890,1070,502,48,0,1,456,63
S01006891,645,283,26,0,0,298,38
S01006892,584,225,25,0,0,278,56
S01006893,1004,430,27,0,0,485,62
S01006894,597,324,16,0,2,207,48
S01006895,474,188,28,0,0,210,48
S01006896,749,415,37,0,1,241,55
S01006897,1007,455,39,0,1,439,73
S01006898,548,276,18,0,0,218,36
S01006899,510,195,22,0,0,261,32
S01006900,455,205,23,0,0,194,33
S01006901,793,368,41,2,2,344,36
S01006902,693,309,33,0,4,310,37
S01006903,947,446,31,0,0,392,78
S01006904,569,219,33,0,1,268,48
S01006905,1010,567,33,0,4,317,89
S01006906,948,485,26,0,0,382,55
S01006907,716,280,100,0,6,284,46
S01006908,911,444,44,0,0,355,68
S01006909,428,207,28,0,1,178,14
S01006910,501,218,31,0,0,210,42
S01006911,1869,660,97,1,9,926,176
S01006912,245,104,10,0,0,113,18
S01006913,2012,716,111,1,10,996,178
S01006914,862,401,35,0,1,351,74
S01006915,848,359,31,0,7,372,79
S01006916,360,164,24,0,0,157,15
S01006917,1458,490,63,0,4,810,91
S01006918,1807,671,80,0,5,947,104
S01006919,687,318,29,0,4,284,52
S01006920,816,386,26,0,2,329,73
S01006921,1086,461,21,2,3,505,94
S01006922,2000,727,79,0,4,1058,132
S01006923,1473,676,42,3,5,625,122
S01006924,758,286,39,0,0,347,86
S01006925,499,212,16,0,0,241,30
S01006926,1739,589,103,0,4,912,131
S01006927,374,143,19,0,0,184,28
S01006928,2797,965,180,0,12,1449,191
S01006929,1797,762,110,0,15,753,157
S01006930,677,322,37,0,5,241,72
S01006931,1948,716,134,0,28,932,138
S01006932,838,322,48,0,9,383,76
S01006933,801,331,32,0,10,360,68
S01006934,1749,706,120,0,19,765,139
S01006935,911,429,41,0,11,363,67
S01006936,698,308,35,0,1,309,45
S01006937,786,330,46,0,8,334,68
S01006938,844,416,53,0,20,298,57
S01006939,615,306,35,0,0,239,35
S01006940,995,440,62,2,21,383,87
S01006941,1283,520,62,0,15,605,81
S01006942,2211,883,152,0,38,972,166
S01006943,1763,638,122,0,24,855,124
S01006944,83,35,6,0,5,32,5
S01006945,894,405,35,0,10,355,89
S01006946,1348,467,55,0,0,722,104
S01006947,1444,548,76,0,0,717,103
S01006948,1443,521,68,0,0,734,120
S01006949,765,303,39,0,0,360,63
S01006950,718,217,33,0,1,407,60
S01006951,1316,513,64,0,7,638,94
S01006952,1529,518,68,0,8,782,153
S01006953,1542,652,72,1,5,708,104
S01006954,1765,661,80,0,17,896,111
S01006955,622,201,29,0,6,355,31
S01006956,1548,569,95,0,17,777,90
S01006957,1675,617,73,1,4,828,152
S01006958,1006,512,29,0,0,391,74
S01006959,856,449,30,0,5,304,68
S01006960,2275,845,102,0,27,1138,163
S01006961,2321,876,100,0,27,1144,174
S01006962,871,445,54,0,0,319,53
S01006963,971,495,27,0,1,377,71
S01006964,850,311,39,0,0,420,80
S01006965,501,245,26,0,0,191,39
S01006966,731,295,28,0,0,375,33
S01006967,744,362,14,0,0,333,35
S01006968,1120,535,53,0,7,423,102
S01006969,1009,440,63,0,7,395,104
S01006970,614,316,18,0,1,234,45
S01006971,991,506,45,0,3,375,62
S01006972,522,263,15,0,0,208,36
S01006973,594,322,22,0,1,224,25
S01006974,1389,586,70,3,8,638,84
S01006975,1168,474,30,0,18,530,116
S01006976,2534,964,107,0,30,1254,179
S01006977,2911,1133,134,0,27,1383,234
S01006978,855,417,29,0,1,356,52
S01006979,1437,736,56,0,5,522,118
S01006980,688,327,25,0,5,270,61
S01006981,798,346,28,0,3,360,61
S01006982,1212,521,51,1,2,560,77
S01006983,1001,455,27,0,0,446,73
S01006984,976,402,51,0,0,451,72
S01006985,1345,625,59,0,3,559,99
S01006986,777,302,31,0,0,390,54
S01006987,1039,505,44,0,4,390,96
S01006988,765,311,36,0,1,362,55
S01006989,855,375,29,0,3,385,63
S01006990,1009,387,69,0,1,456,96
S01006991,617,297,16,1,0,248,55
S01006992,883,375,27,0,0,385,96
S01006993,740,349,16,1,0,312,62
S01006994,642,281,28,0,4,257,72
S01006995,1152,485,33,0,3,549,82
S01006996,939,376,32,0,0,456,75
S01006997,786,314,33,1,1,376,61
S01006998,1206,535,32,0,5,552,82
S01006999,872,399,33,2,0,344,94
S01007000,1439,672,50,0,1,621,95
S01007001,1382,642,44,0,0,604,92
S01007002,758,304,29,1,3,365,56
S01007003,616,323,27,0,2,215,49
S01007004,1043,458,56,0,1,429,99
S01007005,1041,421,51,0,0,477,92
S01007006,1003,466,42,0,4,393,98
S01007007,848,365,27,0,15,373,68
S01007008,884,425,44,0,2,322,91
S01007009,1297,651,43,1,6,495,101
S01007010,880,495,33,0,1,294,57
S01007011,1124,529,38,0,0,472,85
S01007012,921,357,32,0,4,456,72
S01007013,1287,636,35,0,0,494,122
S01007014,1389,613,53,0,0,613,110
S01007015,739,332,33,3,3,302,66
S01007016,592,252,27,0,4,264,45
S01007017,1047,493,49,0,0,438,67
S01007018,1204,581,46,0,0,494,83
S01007019,1061,521,72,0,7,375,86
S01007020,1373,679,90,1,1,476,126
S01007021,1369,679,118,0,0,466,106
S01007022,851,399,22,0,0,338,92
S01007023,678,343,27,0,0,236,72
S01007024,1203,570,55,0,0,475,103
S01007025,1188,614,41,0,0,432,101
S01007026,1026,540,31,1,0,351,103
S01007027,1314,644,35,0,0,527,108
S01007028,1507,733,38,1,5,548,182
S01007029,662,272,23,0,0,285,82
S01007030,1009,510,40,0,0,381,78
S01007031,630,261,23,0,0,282,64
S01007032,1165,464,127,0,1,483,90
S01007033,1060,452,46,0,0,472,90
S01007034,1057,417,74,0,4,478,84
S01007035,922,366,66,0,1,423,66
S01007036,1135,526,49,0,5,427,128
S01007037,1157,552,37,0,0,492,76
S01007038,854,266,93,1,0,428,66
S01007039,967,396,33,0,0,477,61
S01007040,1237,540,49,0,0,557,91
S01007041,925,401,30,0,0,427,67
S01007042,987,443,12,0,1,424,107
S01007043,1112,563,29,1,0,395,124
S01007044,1013,566,29,0,1,282,135
S01007045,948,447,27,0,7,355,112
S01007046,574,263,18,0,2,221,70
S01007047,1014,471,16,0,0,421,106
S01007048,1303,597,32,0,7,525,142
S01007049,1039,459,20,0,3,457,100
S01007050,1042,441,27,2,3,481,88
S01007051,1029,485,27,0,0,425,92
S01007052,573,245,11,0,0,271,46
S01007053,802,409,19,1,0,289,84
S01007054,1130,570,19,0,0,462,79
S01007055,515,274,16,0,0,191,34
S01007056,902,424,35,1,3,351,88
S01007057,833,417,16,0,1,316,83
S01007058,768,381,22,0,0,295,70
S01007059,1336,548,26,0,9,634,119
S01007060,604,212,13,0,0,322,57
S01007061,1155,442,60,0,2,526,125
S01007062,758,317,23,0,0,338,80
S01007063,1503,681,38,0,5,629,150
S01007064,762,338,23,0,8,313,80
S01007065,950,372,35,1,0,462,80
S01007066,648,258,21,0,0,314,55
S01007067,1290,582,56,1,0,515,136
S01007068,692,270,36,0,0,323,63
S01007069,997,374,40,0,0,516,67
S01007070,733,296,17,0,0,369,51
S01007071,1234,475,31,0,0,632,96
S01007072,1482,697,66,0,3,609,107
S01007073,1529,624,81,0,7,701,116
S01007074,1102,431,49,0,6,539,77
S01007075,901,295,31,0,0,506,69
S01007076,1048,383,40,1,3,523,98
S01007077,757,321,23,0,3,349,61
S01007078,964,407,37,0,2,433,85
S01007079,1226,524,66,0,2,523,111
S01007080,790,328,33,0,0,359,70
S01007081,1064,292,100,0,0,576,96
S01007082,699,201,50,0,0,386,62
S01007083,937,276,97,0,6,454,104
S01007084,911,429,78,0,2,316,86
S01007085,1118,377,130,1,6,492,112
S01007086,1385,336,266,0,7,649,127
S01007087,986,300,133,0,4,453,96
S01007088,651,187,53,0,1,361,49
S01007089,529,284,16,0,0,178,51
S01007090,540,198,26,1,1,274,40
S01007091,1388,574,71,0,15,626,102
S01007092,624,250,34,0,0,292,48
S01007093,987,497,20,0,1,360,109
S01007094,2273,937,105,0,15,1034,182
S01007095,736,331,25,3,1,310,66
S01007096,1172,473,12,0,0,564,123
S01007097,2158,893,85,0,15,974,191
S01007098,1650,698,74,0,15,735,128
S01007099,883,442,24,0,0,368,49
S01007100,868,435,28,0,0,334,71
S01007101,1358,581,56,1,1,564,155
S01007102,847,414,28,0,2,342,61
S01007103,832,459,16,0,0,267,90
S01007104,486,228,12,0,0,197,49
S01007105,655,364,9,1,0,219,62
S01007106,898,432,15,0,0,376,75
S01007107,766,410,25,1,2,254,74
S01007108,1249,582,57,0,0,484,126
S01007109,1526,700,54,0,1,620,151
S01007110,1052,468,41,1,0,456,86
S01007111,534,282,10,0,0,206,36
S01007112,928,521,46,0,0,294,67
S01007113,758,394,34,0,0,244,86
S01007114,888,476,22,0,0,323,67
S01007115,720,419,17,0,0,242,42
S01007116,1304,692,23,0,0,483,106
S01007117,553,347,8,0,0,162,36
S01007118,847,299,59,0,1,436,52
S01007119,964,389,40,0,0,485,50
S01007120,1163,406,98,0,0,600,59
S01007121,835,356,103,0,2,274,100
S01007122,594,261,32,0,6,245,50
S01007123,965,465,38,1,1,395,65
S01007124,1095,527,57,0,0,428,83
S01007125,867,302,116,0,2,373,74
S01007126,1090,295,203,0,1,497,94
S01007127,1030,330,220,0,1,406,73
S01007128,979,421,52,0,0,438,68
S01007129,956,411,128,0,0,359,58
S01007130,676,334,70,0,2,229,41
S01007131,1096,532,156,1,12,326,69
S01007132,700,322,83,0,8,226,61
S01007133,674,273,78,0,0,278,45
S01007134,860,397,90,0,1,303,69
S01007135,806,366,79,1,4,286,70
S01007136,661,264,67,0,19,237,74
S01007137,842,329,134,0,7,312,60
S01007138,957,433,100,0,8,338,78
S01007139,776,372,70,0,5,278,51
S01007140,1022,493,91,0,1,375,62
S01007141,1331,626,167,0,16,435,87
S01007142,201,83,22,0,0,81,15
S01007143,1174,520,111,0,6,478,59
S01007144,2358,1104,208,0,6,880,160
S01007145,892,472,74,0,19,279,48
S01007146,881,419,97,0,0,321,44
S01007147,830,411,90,0,6,276,47
S01007148,538,236,68,0,5,199,30
S01007149,850,425,110,0,12,240,63
S01007150,750,392,79,0,0,187,92
S01007151,1188,585,130,1,14,358,100
S01007152,787,363,90,0,0,301,33
S01007153,916,456,111,0,0,306,43
S01007154,1000,546,103,0,6,291,54
S01007155,715,301,95,0,4,258,57
S01007156,1127,490,82,0,0,486,69
S01007157,875,393,96,0,4,336,46
S01007158,1043,437,90,0,4,443,69
S01007159,933,377,65,0,4,419,68
S01007160,969,410,63,0,0,427,69
S01007161,1114,423,106,0,0,475,110
S01007162,608,225,63,0,2,290,28
S01007163,1019,461,72,0,2,416,68
S01007164,778,395,66,0,1,270,46
S01007165,987,418,89,0,6,384,90
S01007166,1096,545,85,1,3,400,62
S01007167,795,421,79,0,1,223,71
S01007168,965,542,52,0,2,299,70
S01007169,854,437,48,1,3,300,65
S01007170,744,356,34,0,0,281,73
S01007171,1048,525,87,0,0,352,84
S01007172,1330,626,89,0,0,520,95
S01007173,523,222,33,0,0,234,34
S01007174,1004,416,62,0,3,452,71
S01007175,922,430,59,0,2,361,70
S01007176,1078,482,62,0,3,454,77
S01007177,801,300,35,0,2,421,43
S01007178,1045,325,64,0,2,589,65
S01007179,1320,736,62,0,3,425,94
S01007180,1009,517,66,0,0,332,94
S01007181,1158,552,56,0,2,429,119
S01007182,1250,592,75,0,0,505,78
S01007183,1321,571,80,0,3,568,99
S01007184,1039,419,62,1,8,482,67
S01007185,979,334,56,0,7,473,109
S01007186,777,246,45,0,6,437,43
S01007187,804,280,72,0,1,373,78
S01007188,803,295,64,0,7,392,45
S01007189,910,426,50,0,3,396,35
S01007190,935,491,70,0,0,304,70
S01007191,735,265,53,0,2,351,64
S01007192,784,320,40,0,3,376,45
S01007193,893,337,55,0,2,448,51
S01007194,641,176,40,0,1,385,39
S01007195,1056,369,76,0,7,498,106
S01007196,974,253,38,0,5,615,63
S01007197,743,231,42,0,2,424,44
S01007198,532,150,37,0,0,300,45
S01007199,1091,336,48,0,4,610,93
S01007200,849,318,47,0,1,431,52
S01007201,1014,462,40,0,0,445,67
S01007202,735,299,31,0,2,349,54
S01007203,840,347,45,0,1,393,54
S01007204,1078,425,59,0,1,516,77
S01007205,843,380,31,0,0,360,72
S01007206,392,177,29,0,0,149,37
S01007207,1048,486,40,0,0,429,93
S01007208,990,324,69,0,4,524,69
S01007209,833,314,46,0,11,394,68
S01007210,1067,388,58,0,2,546,73
S01007211,967,389,53,2,0,455,68
S01007212,847,345,53,0,4,374,71
S01007213,912,450,44,0,0,350,68
S01007214,1074,439,53,3,14,472,93
S01007215,984,390,86,0,0,425,83
S01007216,791,328,33,0,0,349,81
S01007217,1186,476,67,0,1,549,93
S01007218,992,468,58,0,4,395,67
S01007219,1097,461,36,0,5,503,92
S01007220,787,326,28,0,0,367,66
S01007221,1105,516,43,0,0,471,75
