"dz_2011","total","llti","no_llti"
"S01007128",909,222,687
"S01007129",681,69,612
"S01007130",583,120,463
"S01007131",496,87,409
"S01007132",707,103,604
"S01007133",607,170,437
"S01007134",679,114,565
"S01007135",465,74,391
"S01007136",192,20,172
"S01007137",65,1,64
"S01007138",454,73,381
"S01007139",742,117,625
"S01007140",822,110,712
"S01007141",655,141,514
"S01007144",1120,152,968
"S01007145",939,185,754
"S01007146",876,142,734
"S01007147",666,86,580
"S01007148",600,47,553
"S01007149",805,116,689
"S01007150",814,183,631
"S01007151",656,185,471
"S01007152",700,147,553
"S01007153",706,125,581
"S01007154",780,240,540
"S01007155",503,83,420
"S01007156",614,73,541
"S01007157",524,62,462
"S01007158",758,98,660
"S01007159",781,175,606
"S01007160",702,155,547
"S01007161",623,124,499
"S01007162",322,86,236
"S01007163",924,162,762
"S01007164",627,117,510
"S01007165",773,133,640
"S01007166",645,116,529
"S01007167",917,119,798
"S01007168",1065,148,917
"S01007169",683,106,577
"S01007170",595,87,508
"S01007171",932,113,819
"S01007172",791,137,654
"S01007173",632,75,557
"S01007174",662,114,548
"S01007175",634,102,532
"S01007176",714,110,604
"S01007177",624,140,484
"S01007178",1009,234,775
"S01007179",1000,153,847
"S01007180",784,160,624
"S01007181",871,188,683
"S01007182",1004,188,816
"S01007183",1009,222,787
"S01007184",995,210,785
"S01007185",758,210,548
"S01007186",458,119,339
"S01007187",773,228,545
"S01007188",514,99,415
"S01007189",764,279,485
"S01007190",827,184,643
"S01007191",604,127,477
"S01007192",637,129,508
"S01007193",780,147,633
"S01007194",629,132,497
"S01007195",559,126,433
"S01007196",547,95,452
"S01007197",408,95,313
"S01007198",411,101,310
"S01007199",822,154,668
"S01007200",931,174,757
"S01007201",732,123,609
"S01007202",822,144,678
"S01007203",678,99,579
"S01007204",898,178,720
"S01007205",648,61,587
"S01007206",259,48,211
"S01007207",1019,183,836
"S01007208",897,185,712
"S01007209",613,170,443
"S01007210",655,123,532
"S01007211",697,127,570
"S01007212",606,106,500
"S01007213",773,159,614
"S01007214",687,201,486
"S01007215",804,145,659
"S01007216",792,167,625
"S01007217",896,152,744
"S01007218",680,101,579
"S01007219",772,143,629
"S01007220",724,132,592
"S01007221",205,43,162
"S01007222",879,113,766
"S01007223",560,99,461
"S01007224",586,107,479
"S01007225",824,116,708
"S01007226",705,102,603
"S01007227",820,171,649
"S01007228",611,100,511
"S01007229",1084,175,909
"S01007230",753,136,617
"S01007231",639,142,497
"S01007232",587,155,432
"S01007233",745,122,623
"S01007234",658,149,509
"S01007235",731,161,570
"S01007236",642,104,538
"S01007237",713,110,603
"S01007238",898,153,745
"S01007239",779,155,624
"S01007240",589,88,501
"S01007241",632,87,545
"S01007242",940,168,772
"S01007243",558,94,464
"S01007244",635,99,536
"S01007245",675,132,543
"S01007246",632,83,549
"S01007247",606,97,509
"S01007248",565,94,471
"S01007249",409,118,291
"S01007250",765,158,607
"S01007251",318,66,252
"S01007252",713,139,574
"S01007253",635,107,528
"S01007254",760,210,550
"S01007255",797,163,634
"S01007256",678,133,545
"S01007257",578,113,465
"S01007258",727,131,596
"S01007259",848,173,675
"S01007260",910,165,745
"S01007261",826,103,723
"S01007262",737,137,600
"S01007263",877,145,732
"S01007264",812,174,638
"S01007265",1083,221,862
"S01007266",722,149,573
"S01007267",501,66,435
"S01007268",582,94,488
"S01007269",493,75,418
"S01007270",649,138,511
"S01007271",801,164,637
"S01007272",1089,202,887
"S01007273",566,104,462
"S01007274",785,199,586
"S01007275",622,146,476
"S01007276",785,116,669
"S01007277",574,86,488
"S01007278",593,66,527
"S01007279",562,75,487
"S01007280",549,90,459
"S01007281",880,133,747
"S01007282",534,70,464
"S01007283",888,207,681
"S01007284",882,175,707
"S01007285",809,170,639
"S01007286",832,135,697
"S01007287",463,69,394
"S01007288",420,91,329
"S01007289",834,89,745
"S01007290",138,57,81
"S01007291",524,146,378
"S01007292",758,83,675
"S01007293",919,116,803
"S01007294",810,156,654
"S01007295",544,146,398
"S01007296",584,111,473
"S01007297",696,89,607
"S01007298",554,87,467
"S01007299",883,167,716
"S01007300",591,79,512
"S01007301",575,102,473
"S01007302",730,177,553
"S01007303",879,161,718
"S01007304",577,126,451
"S01007305",703,143,560
"S01007306",554,114,440
"S01007307",785,125,660
"S01007308",735,140,595
"S01007309",626,117,509
"S01007310",760,134,626
