dz_2011,total,house,flat,caravan,shared
S01006853,938,921,13,4,0
S01006854,1601,1580,19,2,0
S01006855,790,776,14,0,0
S01006856,942,904,34,4,0
S01006857,1052,1019,23,10,0
S01006858,642,638,0,4,0
S01006859,1435,1371,64,0,0
S01006860,692,584,108,0,0
S01006861,861,853,4,4,0
S01006862,933,835,98,0,0
S01006863,1291,1277,10,4,0
S01006864,148,146,2,0,0
S01006865,902,608,294,0,0
S01006866,636,619,17,0,0
S01006867,1192,1120,72,0,0
S01006868,879,856,20,3,0
S01006869,573,551,17,5,0
S01006870,627,607,20,0,0
S01006871,967,940,27,0,0
S01006872,1634,1580,54,0,0
S01006873,1198,1141,57,0,0
S01006874,566,561,5,0,0
S01006875,958,940,18,0,0
S01006876,1121,1097,24,0,0
S01006877,1074,1060,11,3,0
S01006878,956,917,37,2,0
S01006879,1086,1068,17,1,0
S01006880,787,770,17,0,0
S01006881,578,572,6,0,0
S01006882,841,803,38,0,0
S01006883,635,537,98,0,0
S01006884,1050,975,75,0,0
S01006885,743,737,6,0,0
S01006886,733,725,8,0,0
S01006887,905,870,35,0,0
S01006888,939,922,17,0,0
S01006889,647,639,8,0,0
S01006890,1031,903,128,0,0
S01006891,644,608,36,0,0
S01006892,584,584,0,0,0
S01006893,1004,991,13,0,0
S01006894,597,516,81,0,0
S01006895,474,242,232,0,0
S01006896,745,651,94,0,0
S01006897,988,864,122,2,0
S01006898,548,499,49,0,0
S01006899,510,505,5,0,0
S01006900,455,439,16,0,0
S01006901,793,644,149,0,0
S01006902,693,559,124,10,0
S01006903,894,728,166,0,0
S01006904,537,356,181,0,0
S01006905,997,812,177,8,0
S01006906,948,747,201,0,0
S01006907,712,373,339,0,0
S01006908,911,536,375,0,0
S01006909,428,397,31,0,0
S01006910,501,440,20,41,0
S01006911,1869,1773,96,0,0
S01006912,245,230,15,0,0
S01006913,2012,1985,27,0,0
S01006914,857,845,7,5,0
S01006915,848,838,10,0,0
S01006916,360,326,5,29,0
S01006917,1456,1447,9,0,0
S01006918,1805,1776,29,0,0
S01006919,687,587,100,0,0
S01006920,816,607,209,0,0
S01006921,1086,1080,6,0,0
S01006922,1998,1953,16,29,0
S01006923,1456,1414,42,0,0
S01006924,758,680,78,0,0
S01006925,499,453,46,0,0
S01006926,1739,1682,57,0,0
S01006927,374,301,73,0,0
S01006928,2797,2633,114,50,0
S01006929,1797,1792,5,0,0
S01006930,677,658,19,0,0
S01006931,1948,1766,176,6,0
S01006932,838,836,2,0,0
S01006933,801,714,87,0,0
S01006934,1687,1669,18,0,0
S01006935,911,861,50,0,0
S01006936,698,626,70,2,0
S01006937,786,674,110,2,0
S01006938,844,730,114,0,0
S01006939,615,605,10,0,0
S01006940,995,904,91,0,0
S01006941,1283,1052,197,34,0
S01006942,2211,2162,46,3,0
S01006943,1763,1553,176,34,0
S01006944,83,65,18,0,0
S01006945,894,855,39,0,0
S01006946,1348,1214,134,0,0
S01006947,1444,1372,72,0,0
S01006948,1443,1389,54,0,0
S01006949,765,763,1,1,0
S01006950,718,673,44,1,0
S01006951,1316,1248,67,1,0
S01006952,1529,1445,57,27,0
S01006953,1512,1470,40,2,0
S01006954,1765,1747,16,2,0
S01006955,622,515,107,0,0
S01006956,1548,1526,20,2,0
S01006957,1645,1575,66,4,0
S01006958,1001,971,30,0,0
S01006959,813,543,268,0,2
S01006960,2269,2201,68,0,0
S01006961,2311,2241,70,0,0
S01006962,871,776,95,0,0
S01006963,966,910,56,0,0
S01006964,848,539,309,0,0
S01006965,488,403,85,0,0
S01006966,731,720,11,0,0
S01006967,744,723,21,0,0
S01006968,1049,861,185,3,0
S01006969,951,821,130,0,0
S01006970,610,583,27,0,0
S01006971,980,814,158,8,0
S01006972,522,521,0,1,0
S01006973,591,577,14,0,0
S01006974,1386,1332,52,2,0
S01006975,1168,1153,12,3,0
S01006976,2528,2450,69,9,0
S01006977,2905,2830,75,0,0
S01006978,855,846,9,0,0
S01006979,1437,1411,21,5,0
S01006980,688,680,4,4,0
S01006981,798,770,28,0,0
S01006982,1212,1173,39,0,0
S01006983,1001,980,18,3,0
S01006984,976,915,59,2,0
S01006985,1340,1240,96,4,0
S01006986,749,684,65,0,0
S01006987,1036,963,73,0,0
S01006988,762,716,43,3,0
S01006989,855,847,7,1,0
S01006990,1006,985,21,0,0
S01006991,617,580,37,0,0
S01006992,883,882,0,1,0
S01006993,740,730,4,6,0
S01006994,628,628,0,0,0
S01006995,1152,1136,16,0,0
S01006996,939,916,23,0,0
S01006997,786,775,11,0,0
S01006998,1206,1177,28,1,0
S01006999,848,829,2,17,0
S01007000,1439,1385,50,4,0
S01007001,1341,1297,41,3,0
S01007002,755,715,38,2,0
S01007003,616,599,11,6,0
S01007004,1043,1018,23,2,0
S01007005,1041,1031,10,0,0
S01007006,1001,956,43,2,0
S01007007,848,843,3,2,0
S01007008,841,739,102,0,0
S01007009,1292,1039,252,1,0
S01007010,842,666,176,0,0
S01007011,1116,793,319,4,0
S01007012,921,870,47,4,0
S01007013,1259,1248,8,3,0
S01007014,1361,1349,12,0,0
S01007015,739,729,8,2,0
S01007016,592,592,0,0,0
S01007017,1038,861,177,0,0
S01007018,1204,1145,59,0,0
S01007019,1052,974,78,0,0
S01007020,1371,1077,294,0,0
S01007021,1325,1221,104,0,0
S01007022,851,845,6,0,0
S01007023,678,670,8,0,0
S01007024,1170,1134,18,18,0
S01007025,1150,1094,56,0,0
S01007026,994,932,62,0,0
S01007027,1314,1251,63,0,0
S01007028,1465,1442,20,3,0
S01007029,662,651,7,4,0
S01007030,1009,969,39,1,0
S01007031,630,594,36,0,0
S01007032,1137,815,318,4,0
S01007033,1060,965,95,0,0
S01007034,1057,825,232,0,0
S01007035,922,833,87,2,0
S01007036,1080,969,111,0,0
S01007037,1157,1093,63,1,0
S01007038,854,684,170,0,0
S01007039,967,915,52,0,0
S01007040,1237,1171,66,0,0
S01007041,880,795,85,0,0
S01007042,987,965,22,0,0
S01007043,1076,1070,2,4,0
S01007044,1007,966,33,8,0
S01007045,932,908,8,16,0
S01007046,574,570,4,0,0
S01007047,1014,986,21,7,0
S01007048,1293,1275,9,9,0
