output_area,total,white,nonwhite
60QA000093,104,103,1
60QA000094,71,70,1
60QA000095,64,62,2
60QA000096,104,103,1
60QA000097,90,89,1
60QA000098,84,84,0
60QA000099,93,93,0
60QA000100,63,63,0
60QA000101,62,61,1
60QA000102,75,73,2
60QA000103,76,74,2
60QA000104,74,74,0
60QA000105,76,75,1
60QA000106,70,68,2
60QA000107,77,76,1
60QA000108,119,117,2
60QA000109,62,61,1
60QA000110,123,123,0
60QA000111,71,71,0
60QA000112,54,54,0
60QA000113,56,56,0
60QA000114,92,91,1
60QA000115,73,73,0
60QA000116,79,77,2
60QA000117,133,129,4
60QA000118,108,107,1
60QA000119,103,103,0
60QA000120,107,104,3
60QA000121,129,122,7
60QA000122,101,101,0
60QA000123,106,104,2
60QA000124,128,128,0
60QA000125,160,157,3
60QA000126,156,156,0
60QA000127,133,128,5
60QA000128,100,100,0
60QA000129,108,105,3
60QA000130,89,89,0
60QA000131,147,146,1
60QA000132,110,110,0
60QA000133,101,101,0
60QA000134,74,74,0
60QA000135,68,68,0
60QA000136,78,78,0
60QA000137,79,78,1
60QA000138,110,110,0
60QA000139,106,106,0
60QA000140,81,80,1
60QA000141,88,88,0
60QA000142,54,54,0
60QA000143,95,95,0
60QA000144,153,151,2
60QA000145,121,121,0
60QA000146,59,58,1
60QA000147,119,119,0
60QA000148,145,142,3
60QA000149,103,102,1
60QA000150,111,111,0
60QA000151,168,164,4
60QA000152,64,63,1
60QA000153,93,90,3
60QA000154,149,149,0
60QA000155,69,69,0
60QA000156,159,158,1
60QA000157,107,107,0
60QA000158,178,170,8
60QA000159,133,133,0
60QA000160,96,96,0
60QA000161,113,112,1
60QA000162,134,114,20
60QA000163,101,101,0
60QA000164,111,111,0
60QA000165,99,89,10
60QA000166,143,143,0
60QA000167,143,141,2
60QA000168,121,120,1
60QA000169,112,107,5
60QA000170,116,115,1
60QA000171,57,57,0
60QA000172,96,96,0
60QA000173,110,110,0
60QA000174,117,114,3
60QA000175,163,163,0
60QA000176,109,108,1
60QA000177,119,117,2
60QA000178,69,69,0
60QA000179,72,72,0
60QA000180,108,106,2
60QA000181,108,106,2
60QA000182,110,109,1
60QA000183,145,144,1
60QA000184,122,122,0
60QA000185,120,118,2
60QA000186,75,75,0
60QA000187,123,122,1
60QA000188,76,76,0
60QA000189,90,90,0
60QA000190,113,113,0
60QA000191,131,131,0
60QA000192,133,133,0
60QA000193,89,88,1
60QA000194,116,115,1
60QA000195,100,100,0
60QA000196,107,107,0
60QA000197,123,123,0
60QA000198,92,92,0
60QA000199,112,112,0
60QA000200,160,160,0
60QA000201,126,126,0
60QA000202,76,76,0
60QA000203,131,131,0
60QA000204,81,81,0
60QA000205,90,88,2
60QA000206,68,68,0
60QA000207,62,59,3
60QA000208,179,179,0
60QA000209,146,146,0
60QA000210,103,99,4
60QA000211,139,132,7
60QA000212,150,149,1
60QA000213,177,176,1
60QA000214,151,151,0
60QA000215,101,101,0
60QA000216,126,125,1
60QA000217,117,114,3
60QA000218,123,123,0
60QA000219,136,133,3
60QA000220,94,94,0
60QA000221,138,136,2
60QA000222,180,180,0
60QA000223,315,294,21
60QA000224,147,144,3
60QA000225,125,122,3
60QA000226,135,133,2
60QA000227,129,129,0
60QA000228,83,81,2
60QA000229,91,81,10
60QA000230,73,69,4
60QA000231,106,103,3
60QA000232,165,157,8
60QA000233,190,182,8
60QA000234,140,139,1
60QA000235,104,104,0
60QA000236,127,114,13
60QA000237,106,106,0
60QA000238,78,77,1
60QA000239,61,59,2
60QA000240,67,64,3
60QA000241,56,54,2
60QA000242,117,106,11
60QA000243,65,60,5
60QA000244,75,72,3
60QA000245,67,66,1
60QA000246,103,98,5
60QA000247,68,65,3
60QA000248,105,103,2
60QA000249,63,56,7
60QA000250,71,68,3
60QA000251,65,58,7
60QA000252,84,81,3
60QA000253,92,89,3
60QA000254,199,189,10
60QA000255,113,113,0
60QA000256,114,105,9
60QA000257,89,83,6
60QA000258,91,88,3
60QA000259,96,90,6
60QA000260,69,68,1
60QA000261,210,204,6
60QA000262,98,96,2
60QA000263,87,79,8
60QA000264,86,84,2
60QA000265,145,144,1
60QA000266,131,128,3
60QA000267,115,115,0
60QA000268,178,173,5
60QA000269,179,176,3
60QA000270,144,144,0
60QA000271,121,120,1
60QA000272,82,79,3
60QA000273,81,81,0
60QA000274,149,147,2
60QA000275,144,144,0
60QA000276,147,144,3
60QA000277,127,121,6
60QA000278,126,122,4
60QA000279,124,123,1
60QA000280,133,132,1
60QA000281,101,99,2
60QA000282,97,90,7
60QA000283,126,123,3
60QA000284,91,90,1
60QA000285,100,98,2
60QA000286,145,143,2
60QA000287,152,148,4
60QA000288,86,82,4
60QA000289,56,53,3
60QA000290,119,114,5
60QA000291,85,81,4
60QA000292,109,109,0
60QA000293,65,64,1
60QA000294,111,109,2
60QA000295,82,82,0
60QA000296,119,117,2
60QA000297,93,93,0
60QA000298,65,65,0
60QA000299,75,74,1
60QA000300,140,136,4
60QA000301,55,55,0
60QA000302,51,50,1
60QA000303,183,179,4
60QA000304,65,65,0
60QA000305,70,63,7
60QA000306,70,67,3
60QA000307,84,79,5
60QA000308,51,50,1
60QA000309,161,157,4
60QA000310,128,128,0
60QA000311,95,95,0
60QA000312,88,88,0
60QA000313,113,111,2
60QA000314,128,127,1
60QA000315,115,111,4
60QA000316,117,117,0
60QA000317,94,94,0
60QA000318,143,138,5
60QA000319,156,155,1
60QA000320,182,179,3
60QA000321,163,161,2
60QA000322,102,102,0
60QA000323,114,111,3
60QA000324,69,69,0
60QA000325,109,105,4
60QA000326,112,111,1
60QA000327,123,123,0
60QA000328,186,169,17
60QA000329,173,165,8
60QA000330,76,76,0
60QA000331,129,128,1
60QA000332,75,73,2
60QA000333,63,60,3
60QA000334,146,146,0
60QA000335,163,159,4
60QA000336,107,107,0
60QA000337,126,126,0
60QA000338,138,138,0
60QA000339,120,111,9
60QA000340,116,114,2
60QA000341,107,104,3
60QA000342,99,98,1
60QA000343,106,96,10
60QA000344,151,147,4
60QA000345,113,108,5
60QA000346,86,86,0
60QA000347,117,117,0
60QA000348,80,80,0
60QA000349,89,89,0
60QA000350,102,99,3
60QA000351,121,113,8
60QA000352,108,108,0
60QA000353,114,112,2
60QA000354,105,104,1
60QA000355,100,98,2
60QA000356,164,164,0
60QA000357,185,185,0
60QA000358,166,164,2
60QA000359,159,156,3
60QA000360,109,106,3
60QA000361,84,84,0
60QA000362,100,98,2
60QA000363,171,170,1
60QA000364,155,155,0
60QA000365,140,136,4
60QA000366,67,62,5
60QA000367,77,77,0
60QA000368,57,57,0
60QA000369,92,87,5
60QA000370,158,158,0
60QA000371,111,109,2
60QA000372,103,103,0
60QA000373,101,95,6
60QA000374,119,116,3
60QA000375,88,77,11
60QA000376,152,147,5
60QA000377,122,119,3
60QA000378,92,92,0
60QA000379,165,156,9
60QA000380,70,66,4
60QA000381,112,112,0
60QA000382,101,101,0
60QA000383,144,144,0
60QA000384,112,107,5
60QA000385,159,156,3
60QA000386,162,157,5
60QA000387,80,79,1
60QA000388,95,95,0
60QA000389,90,79,11
60QA000390,104,102,2
60QA000391,139,134,5
60QA000392,117,116,1
60QA000393,124,120,4
60QA000394,68,61,7
60QA000395,187,173,14
60QA000396,136,131,5
60QA000397,143,139,4
60QA000398,82,82,0
60QA000399,104,99,5
60QA000400,194,186,8
60QA000401,164,162,2
60QA000402,103,103,0
60QA000403,133,133,0
60QA000404,127,127,0
60QA000405,166,147,19
60QA000406,124,122,2
60QA000407,228,223,5
60QA000408,176,173,3
60QA000409,182,173,9
60QA000410,102,102,0
60QA000411,85,85,0
60QA000412,101,101,0
60QA000413,79,79,0
60QA000414,75,71,4
60QA000415,70,70,0
60QA000416,128,127,1
60QA000417,65,65,0
60QA000418,93,90,3
60QA000419,111,110,1
60QA000420,64,64,0
60QA000421,98,84,14
60QA000422,81,81,0
60QA000423,91,91,0
60QA000424,114,112,2
60QA000425,93,93,0
60QA000426,115,107,8
60QA000427,160,138,22
60QA000428,118,110,8
60QA000429,113,111,2
60QA000430,112,112,0
60QA000431,143,135,8
60QA000432,98,95,3
60QA000433,209,203,6
60QA000434,181,168,13
60QA000435,72,72,0
60QA000436,104,104,0
60QA000437,161,153,8
60QA000438,143,143,0
60QA000439,148,145,3
60QA000440,106,106,0
60QA000441,140,140,0
60QA000442,160,152,8
60QA000443,102,97,5
60QA000444,169,165,4
60QA000445,132,129,3
60QA000446,182,180,2
60QA000447,125,125,0
60QA000448,163,161,2
60QA000449,104,102,2
60QA000450,133,130,3
60QA000451,65,61,4
60QA000452,60,59,1
60QA000453,94,94,0
60QA000454,139,136,3
60QA000455,128,126,2
60QA000456,135,135,0
60QA000457,153,153,0
60QA000458,116,113,3
60QA000459,68,68,0
60QA000460,97,91,6
60QA000461,131,131,0
60QA000462,70,70,0
60QA000463,94,92,2
60QA000464,107,102,5
60QA000465,89,87,2
60QA000466,51,51,0
60QA000467,59,59,0
60QA000468,91,89,2
60QA000469,68,66,2
60QA000470,79,79,0
60QA000471,122,120,2
60QA000472,78,74,4
60QA000473,59,56,3
60QA000474,77,73,4
60QA000475,96,95,1
60QA000476,106,102,4
60QA000477,72,70,2
60QA000478,105,104,1
60QA000479,146,144,2
60QA000480,71,69,2
60QA000481,178,174,4
60QA000482,64,64,0
60QA000483,122,118,4
60QA000484,115,114,1
60QA000485,61,59,2
60QA000486,68,63,5
60QA000487,90,89,1
60QA000488,94,94,0
60QA000489,70,69,1
60QA000490,62,62,0
60QA000491,73,64,9
60QA000492,90,84,6
60QA000493,67,65,2
60QA000494,61,57,4
60QA000495,103,101,2
60QA000496,83,83,0
60QA000497,112,105,7
60QA000498,181,165,16
60QA000499,129,123,6
60QA000500,113,110,3
60QA000501,67,67,0
60QA000502,63,62,1
60QA000503,77,76,1
60QA000504,58,56,2
60QA000505,65,65,0
60QA000506,187,169,18
60QA000507,132,127,5
60QA000508,82,82,0
60QA000509,98,92,6
60QA000510,141,138,3
60QA000511,129,122,7
60QA000512,65,65,0
60QA000513,64,63,1
60QA000514,64,64,0
60QA000515,99,87,12
60QA000516,86,75,11
60QA000517,113,112,1
60QA000518,108,106,2
60QA000519,123,113,10
60QA000520,124,120,4
60QA000521,75,69,6
60QA000522,168,156,12
60QA000523,329,309,20
60QA000524,64,64,0
60QA000525,162,156,6
60QA000526,126,126,0
60QA000527,91,91,0
60QA000528,119,119,0
60QA000529,126,125,1
60QA000530,98,98,0
60QA000531,108,107,1
60QA000532,72,72,0
60QA000533,105,103,2
60QA000534,112,111,1
60QA000535,107,107,0
60QA000536,114,110,4
60QA000537,150,145,5
60QA000538,119,117,2
60QA000539,67,67,0
60QA000540,138,135,3
60QA000541,91,90,1
60QA000542,121,115,6
60QA000543,79,76,3
60QA000544,78,78,0
60QA000545,91,91,0
60QA000546,83,83,0
60QA000547,87,87,0
60QA000548,116,114,2
60QA000549,94,78,16
60QA000550,67,67,0
60QA000551,65,65,0
60QA000552,103,102,1
60QA000553,150,144,6
60QA000554,119,117,2
60QA000555,95,95,0
60QA000556,98,95,3
60QA000557,83,80,3
60QA000558,53,53,0
60QA000559,106,105,1
60QA000560,55,55,0
60QA000561,128,128,0
60QA000562,80,79,1
60QA000563,118,116,2
60QA000564,75,74,1
60QA000565,137,135,2
60QA000566,107,105,2
60QA000567,87,86,1
60QA000568,104,104,0
60QA000569,75,74,1
60QA000570,83,82,1
60QA000571,157,153,4
60QA000572,153,142,11
60QA000573,129,123,6
60QA000574,169,156,13
60QA000575,112,108,4
60QA000576,134,119,15
60QA000577,128,128,0
60QA000578,88,88,0
60QA000579,96,86,10
60QA000580,70,66,4
60QA000581,84,82,2
60QA000582,113,112,1
60QA000583,113,98,15
60QA000584,67,60,7
60QA000585,84,79,5
60QA000586,66,65,1
60QA000587,66,58,8
60QA000588,99,95,4
60QA000589,73,72,1
60QA000590,78,71,7
60QA000591,79,79,0
60QA000592,118,117,1
60QA000593,110,109,1
60QA000594,94,93,1
60QA000595,108,107,1
60QA000596,103,96,7
60QA000597,77,72,5
60QA000598,136,136,0
60QA000599,208,205,3
60QA000600,100,94,6
60QA000601,68,63,5
60QA000602,67,58,9
60QA000603,64,53,11
60QA000604,58,49,9
60QA000605,52,43,9
60QA000606,82,69,13
60QA000607,78,77,1
60QA000608,72,72,0
60QA000609,69,68,1
60QA000610,58,58,0
60QA000611,191,181,10
60QA000612,139,138,1
60QA000613,118,110,8
60QA000614,179,174,5
60QA000615,85,85,0
60QA000616,93,93,0
60QA000617,76,76,0
60QA000618,67,64,3
60QA000619,157,142,15
60QA000620,106,103,3
60QA000621,109,100,9
60QA000622,82,79,3
60QA000623,100,98,2
60QA000624,88,83,5
60QA000625,63,59,4
60QA000626,68,67,1
60QA000627,97,91,6
60QA000628,109,108,1
60QA000629,194,185,9
60QA000630,189,178,11
60QA000631,58,55,3
60QA000632,92,88,4
60QA000633,112,101,11
60QA000634,180,143,37
60QA000635,87,76,11
60QA000636,221,180,41
60QA000637,160,155,5
60QA000638,138,135,3
60QA000639,141,136,5
60QA000640,89,78,11
60QA000641,120,115,5
60QA000642,70,66,4
60QA000643,57,54,3
60QA000644,118,110,8
60QA000645,144,118,26
60QA000646,148,117,31
60QA000647,127,122,5
60QA000648,99,94,5
60QA000649,98,97,1
60QA000650,101,99,2
60QA000651,126,122,4
60QA000652,456,421,35
60QA000653,126,114,12
60QA000654,72,68,4
60QA000655,89,83,6
60QA000656,127,119,8
60QA000657,81,81,0
60QA000658,123,113,10
60QA000659,178,155,23
60QA000660,146,139,7
60QA000661,107,104,3
60QA000662,101,99,2
60QA000663,117,111,6
60QA000664,71,65,6
60QA000665,100,94,6
60QA000666,65,62,3
60QA000667,102,88,14
60QA000668,91,89,2
60QA000669,102,98,4
60QA000670,79,78,1
60QA000671,118,118,0
60QA000672,129,127,2
60QA000673,75,75,0
60QA000674,62,58,4
60QA000675,63,55,8
60QA000676,55,50,5
60QA000677,86,81,5
60QA000678,103,101,2
60QA000679,130,129,1
60QA000680,52,50,2
60QA000681,74,74,0
60QA000682,64,59,5
60QA000683,114,108,6
60QA000684,67,66,1
60QA000685,57,56,1
60QA000686,90,90,0
60QA000687,77,71,6
60QA000688,165,163,2
60QA000689,123,121,2
60QA000690,69,69,0
60QA000691,74,65,9
60QA000692,298,297,1
60QA000693,113,108,5
60QA000694,90,90,0
60QA000695,125,125,0
60QA000696,97,86,11
60QA000697,64,57,7
60QA000698,145,127,18
60QA000699,103,101,2
60QA000700,112,110,2
60QA000701,129,129,0
60QA000702,116,112,4
60QA000703,67,67,0
60QA000704,114,102,12
60QA000705,136,136,0
60QA000706,133,133,0
60QA000707,117,117,0
60QA000708,131,129,2
60QA000709,160,160,0
60QA000710,106,106,0
60QA000711,133,132,1
60QA000712,101,101,0
60QA000713,169,146,23
60QA000714,189,188,1
60QA000715,182,178,4
60QA000716,175,134,41
60QA000717,101,99,2
60QA000718,93,93,0
60QA000719,94,90,4
60QA000720,118,114,4
60QA000721,103,99,4
60QA000722,103,98,5
60QA000723,166,163,3
60QA000724,80,75,5
60QA000725,131,128,3
60QA000726,169,168,1
60QA000727,95,93,2
60QA000728,92,90,2
60QA000729,67,65,2
60QA000730,87,84,3
60QA000731,104,88,16
60QA000732,154,152,2
60QA000733,152,152,0
60QA000734,146,142,4
60QA000735,161,160,1
60QA000736,102,100,2
60QA000737,156,154,2
60QA000738,177,175,2
60QA000739,104,103,1
60QA000740,108,105,3
60QA000741,126,120,6
60QA000742,103,94,9
60QA000743,109,109,0
60QA000744,137,133,4
60QA000745,116,116,0
60QA000746,77,73,4
60QA000747,69,65,4
60QA000748,97,93,4
60QA000749,106,105,1
60QA000750,194,181,13
60QA000751,87,86,1
60QA000752,68,67,1
60QA000753,103,97,6
60QA000754,113,113,0
60QA000755,129,126,3
60QA000756,152,150,2
60QA000757,86,82,4
60QA000758,75,67,8
60QA000759,67,61,6
60QA000760,50,43,7
60QA000761,108,102,6
60QA000762,81,81,0
60QA000763,90,86,4
60QA000764,117,113,4
60QA000765,66,66,0
60QA000766,80,75,5
60QA000767,97,95,2
60QA000768,75,74,1
60QA000769,136,132,4
60QA000770,56,55,1
60QA000771,62,59,3
60QA000772,84,83,1
60QA000773,89,86,3
60QA000774,78,78,0
60QA000775,83,75,8
60QA000776,144,99,45
60QA000777,108,93,15
60QA000778,81,79,2
60QA000779,73,67,6
60QA000780,105,101,4
60QA000781,257,214,43
60QA000782,59,59,0
60QA000783,60,60,0
60QA000784,143,135,8
60QA000785,120,115,5
60QA000786,111,100,11
60QA000787,107,103,4
60QA000788,91,87,4
60QA000789,156,146,10
60QA000790,119,117,2
60QA000791,89,89,0
60QA000792,172,172,0
60QA000793,74,74,0
60QA000794,144,144,0
60QA000795,87,87,0
60QA000796,118,117,1
60QA000797,100,100,0
60QA000798,94,94,0
60QA000799,115,115,0
60QA000800,76,75,1
60QA000801,99,98,1
60QA000802,113,112,1
60QA000803,142,142,0
60QA000804,75,74,1
60QA000805,102,102,0
60QA000806,121,116,5
60QA000807,140,140,0
60QA000808,90,90,0
60QA000809,169,167,2
60QA000810,125,125,0
60QA000811,133,133,0
60QA000812,120,119,1
60QA000813,79,79,0
60QA000814,170,170,0
60QA000815,166,166,0
60QA000816,122,122,0
60QA000817,124,124,0
60QA000818,106,104,2
60QA000819,119,119,0
60QA000820,134,133,1
60QA000821,96,96,0
60QA000822,136,135,1
60QA000823,100,99,1
60QA000824,94,94,0
60QA000825,161,161,0
60QA000826,160,159,1
60QA000827,148,146,2
60QA000828,87,87,0
60QA000829,89,89,0
60QA000830,109,109,0
60QA000831,92,90,2
60QA000832,127,127,0
60QA000833,117,117,0
60QA000834,163,161,2
60QA000835,83,83,0
60QA000836,207,206,1
60QA000837,146,146,0
60QA000838,146,145,1
60QA000839,96,95,1
60QA000840,102,102,0
60QA000841,118,117,1
60QA000842,98,97,1
60QA000843,140,138,2
60QA000844,165,165,0
60QA000845,119,117,2
60QA000846,103,103,0
60QA000847,118,118,0
60QA000848,90,90,0
60QA000849,72,72,0
60QA000850,114,109,5
60QA000851,143,138,5
60QA000852,170,170,0
60QA000853,144,143,1
60QA000854,84,83,1
60QA000855,111,109,2
60QA000856,74,74,0
60QA000857,106,100,6
60QA000858,57,54,3
60QA000859,133,133,0
60QA000860,124,124,0
60QA000861,151,151,0
60QA000862,174,170,4
60QA000863,167,163,4
60QA000864,145,141,4
60QA000865,113,111,2
60QA000866,109,104,5
60QA000867,113,113,0
60QA000868,154,145,9
60QA000869,148,146,2
60QA000870,177,164,13
60QA000871,121,119,2
60QA000872,88,87,1
60QA000873,222,204,18
60QA000874,122,119,3
60QA000875,111,111,0
60QA000876,99,91,8
60QA000877,87,85,2
60QA000878,65,64,1
60QA000879,358,353,5
60QA000880,111,111,0
60QA000881,103,101,2
60QA000882,72,72,0
60QA000883,86,86,0
60QA000884,116,111,5
60QA000885,138,133,5
60QA000886,127,121,6
60QA000887,115,110,5
60QA000888,101,94,7
60QA000889,161,158,3
60QA000890,152,144,8
60QA000891,109,107,2
60QA000892,127,125,2
60QA000893,90,90,0
60QA000894,106,101,5
60QA000895,66,66,0
60QA000896,166,165,1
60QA000897,170,159,11
60QA000898,167,166,1
60QA000899,91,82,9
60QA000900,92,91,1
60QA000901,111,109,2
60QA000902,119,113,6
60QA000903,115,112,3
60QA000904,84,83,1
60QA000905,159,159,0
60QA000906,98,97,1
60QA000907,88,88,0
60QA000908,98,98,0
60QA000909,87,86,1
60QA000910,101,99,2
60QA000911,123,123,0
60QA000912,98,95,3
60QA000913,126,126,0
60QA000914,117,117,0
60QA000915,101,101,0
60QA000916,103,101,2
60QA000917,138,137,1
60QA000918,102,102,0
60QA000919,88,86,2
60QA000920,144,144,0
60QA000921,73,72,1
60QA000922,79,79,0
60QA000923,105,104,1
60QA000924,144,144,0
60QA000925,117,117,0
60QA000926,114,114,0
60QA000927,65,65,0
60QA000928,99,99,0
60QA000929,77,77,0
60QA000930,354,347,7
60QA000931,95,95,0
60QA000932,131,126,5
60QA000933,125,123,2
60QA000934,114,112,2
60QA000935,98,98,0
60QA000936,146,145,1
60QA000937,70,70,0
60QA000938,131,129,2
60QA000939,203,202,1
60QA000940,62,62,0
60QA000941,116,112,4
60QA000942,120,120,0
60QA000943,112,111,1
60QA000944,94,94,0
60QA000945,105,105,0
60QA000946,71,71,0
60QA000947,100,97,3
60QA000948,95,95,0
60QA000949,168,168,0
60QA000950,172,170,2
60QA000951,133,133,0
60QA000952,102,95,7
60QA000953,97,97,0
60QA000954,117,117,0
60QA000955,162,161,1
60QA000956,99,99,0
60QA000957,122,121,1
60QA000958,110,106,4
60QA000959,127,127,0
60QA000960,107,107,0
60QA000961,108,108,0
60QA000962,141,141,0
60QA000963,104,104,0
60QA000964,98,98,0
60QA000965,55,55,0
60QA000966,126,126,0
60QA000967,88,88,0
60QA000968,108,108,0
60QA000969,121,121,0
60QA000970,87,87,0
60QA000971,87,87,0
60QA000972,130,130,0
60QA000973,122,122,0
60QA000974,98,98,0
60QA000975,118,118,0
60QA000976,157,153,4
60QA000977,198,188,10
60QA000978,86,79,7
60QA000979,61,61,0
60QA000980,120,118,2
60QA000981,121,119,2
60QA000982,111,99,12
60QA000983,108,106,2
60QA000984,87,87,0
60QA000985,100,100,0
60QA000986,103,103,0
60QA000987,138,136,2
60QA000988,66,66,0
60QA000989,91,90,1
60QA000990,196,195,1
60QA000991,90,89,1
60QA000992,102,100,2
60QA000993,103,103,0
60QA000994,142,141,1
60QA000995,131,130,1
60QA000996,120,120,0
60QA000997,134,134,0
60QA000998,93,91,2
60QA000999,96,96,0
60QA001000,121,121,0
60QA001001,158,157,1
60QA001002,118,118,0
60QA001003,142,142,0
60QA001004,129,129,0
60QA001005,66,66,0
60QA001006,155,155,0
60QA001007,163,163,0
60QA001008,87,86,1
60QA001009,153,153,0
60QA001010,126,123,3
60QA001011,107,107,0
60QA001012,108,105,3
60QA001013,183,182,1
60QA001014,139,139,0
60QA001015,143,143,0
60QA001016,153,151,2
60QA001017,144,140,4
60QA001018,142,138,4
60QA001019,157,156,1
60QA001020,124,124,0
60QA001021,131,128,3
60QA001022,154,152,2
60QA001023,67,66,1
60QA001024,78,78,0
60QA001025,108,108,0
60QA001026,117,117,0
60QA001027,166,165,1
60QA001028,63,63,0
60QA001029,131,131,0
60QA001030,181,181,0
60QA001031,140,138,2
60QA001032,99,95,4
60QA001033,107,107,0
60QA001034,144,139,5
60QA001035,187,187,0
60QA001036,162,161,1
60QA001037,63,63,0
60QA001038,140,140,0
60QA001039,128,128,0
60QA001040,121,121,0
60QA001041,95,94,1
60QA001042,122,122,0
60QA001043,182,180,2
60QA001044,58,58,0
60QA001045,65,65,0
60QA001046,121,121,0
60QA001047,124,119,5
60QA001048,146,145,1
60QA001049,219,217,2
60QA001050,122,121,1
60QA001051,144,141,3
60QA001052,132,132,0
60QA001053,129,122,7
60QA001054,176,175,1
60QA001055,102,100,2
60QA001056,118,118,0
60QA001057,169,164,5
60QA001058,146,142,4
60QA001059,112,112,0
60QA001060,117,117,0
60QA001061,102,99,3
60QA001062,108,108,0
60QA001063,179,172,7
60QA001064,130,130,0
60QA001065,127,126,1
60QA001066,113,113,0
60QA001067,111,110,1
60QA001068,120,117,3
60QA001069,61,61,0
60QA001070,187,179,8
60QA001071,75,74,1
60QA001072,65,65,0
60QA001073,144,136,8
60QA001074,163,161,2
60QA001075,115,115,0
60QA001076,93,93,0
60QA001077,102,102,0
60QA001078,186,186,0
60QA001079,176,175,1
60QA001080,169,166,3
60QA001081,122,119,3
60QA001082,100,94,6
60QA001083,136,136,0
60QA001084,95,94,1
60QA001085,178,178,0
60QA001086,160,159,1
60QA001087,156,156,0
60QA001088,124,121,3
60QA001089,165,165,0
60QA001090,87,87,0
60QA001091,205,200,5
60QA001092,117,117,0
60QA001093,151,138,13
60QA001094,119,115,4
60QA001095,160,156,4
60QA001096,157,155,2
60QA001097,192,188,4
60QA001098,245,234,11
60QA001099,172,157,15
60QA001100,262,238,24
60QA001101,136,136,0
60QA001102,116,115,1
60QA001103,115,115,0
60QA001104,74,73,1
60QA001105,142,142,0
60QA001106,160,157,3
60QA001107,112,108,4
60QA001108,163,144,19
60QA001109,141,133,8
60QA001110,155,152,3
60QA001111,172,168,4
60QA001112,197,197,0
60QA001113,154,150,4
60QA001114,149,149,0
60QA001115,139,134,5
60QA001116,116,116,0
60QA001117,133,132,1
60QA001118,139,139,0
60QA001119,127,127,0
60QA001120,91,91,0
60QA001121,129,129,0
60QA001122,97,96,1
60QA001123,99,99,0
60QA001124,121,121,0
60QA001125,88,87,1
60QA001126,97,97,0
60QA001127,85,85,0
60QA001128,168,167,1
60QA001129,91,91,0
60QA001130,94,94,0
60QA001131,108,108,0
60QA001132,121,121,0
60QA001133,113,113,0
60QA001134,124,124,0
60QA001135,198,196,2
60QA001136,118,117,1
60QA001137,142,141,1
60QA001138,120,120,0
60QA001139,120,118,2
60QA001140,144,144,0
60QA001141,93,90,3
60QA001142,156,154,2
60QA001143,119,118,1
60QA001144,99,99,0
60QA001145,89,87,2
60QA001146,108,108,0
60QA001147,109,107,2
60QA001148,115,115,0
60QA001149,194,194,0
60QA001150,132,130,2
60QA001151,154,153,1
60QA001152,154,153,1
60QA001153,64,64,0
60QA001154,128,128,0
60QA001155,148,146,2
60QA001156,125,125,0
60QA001157,146,146,0
60QA001158,130,130,0
60QA001159,138,137,1
60QA001160,139,139,0
60QA001161,85,85,0
60QA001162,87,85,2
60QA001163,134,134,0
60QA001164,147,147,0
