"output_area","total","employed","unemployed","other"
"60QA000284",72,47,0,25
"60QA000285",48,36,0,12
"60QA000286",114,80,1,33
"60QA000287",121,84,4,33
"60QA000288",69,57,1,11
"60QA000289",53,41,1,11
"60QA000290",105,77,4,24
"60QA000291",79,57,1,21
"60QA000292",93,64,6,23
"60QA000293",62,46,6,10
"60QA000294",101,83,3,15
"60QA000295",70,63,0,7
"60QA000296",99,79,1,19
"60QA000297",71,52,0,19
"60QA000298",52,35,2,15
"60QA000299",72,52,0,20
"60QA000300",120,94,2,24
"60QA000301",9,1,0,8
"60QA000302",50,27,2,21
"60QA000303",137,91,2,44
"60QA000304",15,4,0,11
"60QA000305",57,37,1,19
"60QA000306",58,46,2,10
"60QA000307",59,34,1,24
"60QA000308",43,23,1,19
"60QA000309",137,94,0,43
"60QA000310",105,71,2,32
"60QA000311",91,58,4,29
"60QA000312",52,15,3,34
"60QA000313",96,45,5,46
"60QA000314",96,57,2,37
"60QA000315",98,35,3,60
"60QA000316",74,43,5,26
"60QA000317",68,44,1,23
"60QA000318",110,62,5,43
"60QA000319",128,78,0,50
"60QA000320",138,68,6,64
"60QA000321",122,76,3,43
"60QA000322",69,33,3,33
"60QA000323",78,42,0,36
"60QA000324",46,21,0,25
"60QA000325",80,46,2,32
"60QA000326",91,56,2,33
"60QA000327",86,54,2,30
"60QA000328",142,83,2,57
"60QA000329",131,66,4,61
"60QA000330",39,21,1,17
"60QA000331",88,40,4,44
"60QA000332",63,26,4,33
"60QA000333",45,25,1,19
"60QA000334",100,58,4,38
"60QA000335",118,55,4,59
"60QA000336",88,49,4,35
"60QA000337",89,61,0,28
"60QA000338",106,58,1,47
"60QA000339",101,78,4,19
"60QA000340",83,61,0,22
"60QA000341",81,48,0,33
"60QA000342",75,52,0,23
"60QA000343",82,45,0,37
"60QA000344",114,80,3,31
"60QA000345",82,50,1,31
"60QA000346",74,38,2,34
"60QA000347",78,39,2,37
"60QA000348",52,22,0,30
"60QA000349",71,36,2,33
"60QA000350",76,53,0,23
"60QA000351",91,59,2,30
"60QA000352",76,43,3,30
"60QA000353",81,46,0,35
"60QA000354",72,42,0,30
"60QA000355",72,37,4,31
"60QA000356",117,66,0,51
"60QA000357",132,92,0,40
"60QA000358",113,68,0,45
"60QA000359",115,79,0,36
"60QA000360",72,45,0,27
"60QA000361",55,35,0,20
"60QA000362",75,51,0,24
"60QA000363",119,66,0,53
"60QA000364",117,53,2,62
"60QA000365",91,46,1,44
"60QA000366",40,19,1,20
"60QA000367",53,31,2,20
"60QA000368",39,17,2,20
"60QA000369",68,50,1,17
"60QA000370",113,73,1,39
"60QA000371",78,50,1,27
"60QA000372",76,44,1,31
"60QA000373",72,43,2,27
"60QA000374",81,59,0,22
"60QA000375",58,36,1,21
"60QA000376",112,61,1,50
"60QA000377",93,60,1,32
"60QA000378",66,32,2,32
"60QA000379",114,71,2,41
"60QA000380",52,37,3,12
"60QA000381",81,53,1,27
"60QA000382",70,42,0,28
"60QA000383",108,59,1,48
"60QA000384",83,39,2,42
"60QA000385",98,57,1,40
"60QA000386",104,75,1,28
"60QA000387",73,47,2,24
"60QA000388",90,69,4,17
"60QA000389",79,50,3,26
"60QA000390",74,37,3,34
"60QA000391",129,93,5,31
"60QA000392",75,23,1,51
"60QA000393",96,54,3,39
"60QA000394",53,27,3,23
"60QA000395",125,87,3,35
"60QA000396",99,44,1,54
"60QA000397",109,52,1,56
"60QA000398",65,35,0,30
"60QA000399",80,44,0,36
"60QA000400",141,88,1,52
"60QA000401",124,75,3,46
"60QA000402",86,41,3,42
"60QA000403",101,60,0,41
"60QA000404",97,59,1,37
"60QA000405",125,56,1,68
"60QA000406",74,45,0,29
"60QA000407",145,73,3,69
"60QA000408",135,79,1,55
"60QA000409",134,71,3,60
"60QA000410",79,46,1,32
"60QA000411",62,35,0,27
"60QA000412",68,26,2,40
"60QA000413",51,22,2,27
"60QA000414",57,24,1,32
"60QA000415",46,13,2,31
"60QA000416",98,54,5,39
"60QA000417",49,17,4,28
"60QA000418",75,42,3,30
"60QA000419",100,51,5,44
"60QA000420",19,4,0,15
"60QA000421",69,44,0,25
"60QA000422",60,30,0,30
"60QA000423",66,38,0,28
"60QA000424",72,45,1,26
"60QA000425",82,39,3,40
"60QA000426",85,48,1,36
"60QA000427",117,71,1,45
"60QA000428",85,30,4,51
"60QA000429",96,70,5,21
"60QA000430",82,54,2,26
"60QA000431",90,63,2,25
"60QA000432",74,43,1,30
"60QA000433",163,72,3,88
"60QA000434",142,87,4,51
"60QA000435",47,32,0,15
"60QA000436",78,51,0,27
"60QA000437",113,77,1,35
"60QA000438",95,63,1,31
"60QA000439",103,63,0,40
"60QA000440",74,44,1,29
"60QA000441",93,60,2,31
"60QA000442",107,71,1,35
"60QA000443",78,53,2,23
"60QA000444",124,74,1,49
"60QA000445",97,55,3,39
"60QA000446",152,48,1,103
"60QA000447",79,56,1,22
"60QA000448",99,48,0,51
"60QA000449",75,47,0,28
"60QA000450",49,29,1,19
"60QA000451",45,25,4,16
"60QA000452",36,21,1,14
"60QA000453",53,31,1,21
"60QA000454",100,51,2,47
"60QA000455",91,52,1,38
"60QA000456",104,67,0,37
"60QA000457",113,63,3,47
"60QA000458",81,48,2,31
"60QA000459",44,27,2,15
"60QA000460",58,28,4,26
"60QA000461",100,68,1,31
"60QA000462",63,46,1,16
"60QA000463",71,40,3,28
"60QA000464",79,50,3,26
"60QA000465",58,28,1,29
"60QA000466",50,25,4,21
"60QA000467",35,11,0,24
"60QA000468",84,43,7,34
"60QA000469",60,19,3,38
"60QA000470",59,25,2,32
"60QA000471",96,40,3,53
"60QA000472",71,41,1,29
"60QA000473",55,33,1,21
"60QA000474",72,45,0,27
"60QA000475",36,11,0,25
"60QA000476",91,49,1,41
"60QA000477",61,35,2,24
"60QA000478",88,43,1,44
"60QA000479",128,84,2,42
"60QA000480",68,46,1,21
"60QA000481",110,58,4,48
"60QA000482",62,40,0,22
"60QA000483",99,48,3,48
"60QA000484",94,43,3,48
"60QA000485",58,38,0,20
"60QA000486",53,35,1,17
"60QA000487",84,51,1,32
"60QA000488",89,40,2,47
"60QA000489",64,28,2,34
"60QA000490",58,32,1,25
"60QA000491",71,41,2,28
"60QA000492",87,50,4,33
"60QA000493",51,20,1,30
"60QA000494",59,34,0,25
"60QA000495",74,17,1,56
"60QA000496",45,12,1,32
"60QA000497",95,21,0,74
"60QA000498",179,47,0,132
"60QA000499",108,62,1,45
"60QA000500",110,43,0,67
"60QA000501",59,12,2,45
"60QA000502",49,10,1,38
"60QA000503",63,23,2,38
"60QA000504",45,16,1,28
"60QA000505",61,22,3,36
"60QA000506",163,58,1,104
"60QA000507",97,57,2,38
"60QA000508",61,25,4,32
"60QA000509",77,28,2,47
"60QA000510",103,56,2,45
"60QA000511",97,51,8,38
"60QA000512",28,5,0,23
"60QA000513",29,2,0,27
"60QA000514",30,6,0,24
"60QA000515",69,38,2,29
"60QA000516",67,33,2,32
"60QA000517",87,53,2,32
"60QA000518",94,43,8,43
"60QA000519",92,47,6,39
"60QA000520",102,61,8,33
"60QA000521",54,21,7,26
"60QA000522",157,29,0,128
"60QA000523",314,39,3,272
"60QA000524",50,14,2,34
"60QA000525",107,48,6,53
"60QA000526",97,57,2,38
"60QA000527",66,45,3,18
"60QA000528",92,51,4,37
"60QA000529",93,49,2,42
"60QA000530",75,40,3,32
"60QA000531",77,38,6,33
"60QA000532",56,29,3,24
"60QA000533",59,16,1,42
"60QA000534",50,24,2,24
"60QA000535",92,47,1,44
"60QA000536",91,44,0,47
"60QA000537",108,70,0,38
"60QA000538",93,56,1,36
"60QA000539",50,23,1,26
"60QA000540",97,47,1,49
"60QA000541",65,34,1,30
"60QA000542",95,45,1,49
"60QA000543",53,33,3,17
"60QA000544",66,34,4,28
"60QA000545",67,27,2,38
"60QA000546",61,30,3,28
"60QA000547",63,36,2,25
"60QA000548",110,96,3,11
"60QA000549",70,25,5,40
"60QA000550",47,17,8,22
"60QA000551",30,4,0,26
"60QA000552",72,43,3,26
"60QA000553",106,56,5,45
"60QA000554",101,56,5,40
"60QA000555",72,35,1,36
"60QA000556",71,44,4,23
"60QA000557",65,19,2,44
"60QA000558",52,36,2,14
"60QA000559",57,39,4,14
"60QA000560",46,24,1,21
"60QA000561",110,72,3,35
"60QA000562",66,46,0,20
"60QA000563",114,57,5,52
"60QA000564",55,49,0,6
"60QA000565",101,59,1,41
"60QA000566",77,49,3,25
"60QA000567",66,37,4,25
"60QA000568",70,37,2,31
"60QA000569",61,33,2,26
"60QA000570",70,42,1,27
"60QA000571",120,64,4,52
"60QA000572",122,57,1,64
"60QA000573",79,38,8,33
"60QA000574",103,39,8,56
"60QA000575",71,32,0,39
"60QA000576",97,37,4,56
"60QA000577",107,61,0,46
"60QA000578",65,43,0,22
"60QA000579",70,36,1,33
"60QA000580",66,36,2,28
"60QA000581",62,31,1,30
"60QA000582",98,62,2,34
"60QA000583",60,21,6,33
"60QA000584",51,14,8,29
"60QA000585",58,24,2,32
"60QA000586",53,21,7,25
"60QA000587",48,14,5,29
"60QA000588",77,27,12,38
"60QA000589",60,34,4,22
"60QA000590",51,15,1,35
"60QA000591",58,39,2,17
"60QA000592",89,55,6,28
"60QA000593",92,62,1,29
"60QA000594",82,52,0,30
"60QA000595",90,59,0,31
"60QA000596",77,39,2,36
"60QA000597",61,31,2,28
"60QA000598",111,61,6,44
"60QA000599",155,79,7,69
"60QA000600",73,55,0,18
"60QA000601",45,21,11,13
"60QA000602",41,13,3,25
"60QA000603",49,27,6,16
"60QA000604",45,18,5,22
"60QA000605",36,19,5,12
"60QA000606",68,41,6,21
"60QA000607",64,38,5,21
"60QA000608",59,31,5,23
"60QA000609",59,31,3,25
"60QA000610",48,18,6,24
"60QA000611",157,77,13,67
"60QA000612",115,60,4,51
"60QA000613",80,45,9,26
"60QA000614",104,38,13,53
"60QA000615",58,27,4,27
"60QA000616",72,36,8,28
"60QA000617",59,34,6,19
"60QA000618",60,20,5,35
"60QA000619",107,59,7,41
"60QA000620",85,42,7,36
"60QA000621",76,36,12,28
"60QA000622",64,32,6,26
"60QA000623",75,40,8,27
"60QA000624",73,39,5,29
"60QA000625",52,29,6,17
"60QA000626",31,12,1,18
"60QA000627",75,44,0,31
"60QA000628",97,59,6,32
"60QA000629",166,92,3,71
"60QA000630",173,46,0,127
"60QA000631",55,26,3,26
"60QA000632",88,41,3,44
"60QA000633",80,27,7,46
"60QA000634",130,61,6,63
"60QA000635",58,24,2,32
"60QA000636",180,62,8,110
"60QA000637",146,73,2,71
"60QA000638",112,61,0,51
"60QA000639",129,62,2,65
"60QA000640",84,32,1,51
"60QA000641",108,65,0,43
"60QA000642",58,27,1,30
"60QA000643",54,31,3,20
"60QA000644",99,52,1,46
"60QA000645",99,52,5,42
"60QA000646",103,36,13,54
"60QA000647",108,43,1,64
"60QA000648",86,43,0,43
"60QA000649",91,45,1,45
"60QA000650",80,36,1,43
"60QA000651",106,60,2,44
"60QA000652",436,75,0,361
"60QA000653",115,51,1,63
"60QA000654",66,20,1,45
"60QA000655",79,25,0,54
"60QA000656",119,53,3,63
"60QA000657",63,48,0,15
"60QA000658",121,60,2,59
"60QA000659",166,53,2,111
"60QA000660",141,41,3,97
"60QA000661",103,41,3,59
"60QA000662",72,36,3,33
"60QA000663",111,64,4,43
"60QA000664",62,28,4,30
"60QA000665",97,56,2,39
"60QA000666",53,16,2,35
"60QA000667",99,33,5,61
"60QA000668",84,34,3,47
"60QA000669",100,58,1,41
"60QA000670",68,41,3,24
"60QA000671",98,40,10,48
"60QA000672",95,29,2,64
"60QA000673",72,49,2,21
"60QA000674",56,26,2,28
"60QA000675",59,38,1,20
"60QA000676",51,31,2,18
"60QA000677",82,35,5,42
"60QA000678",98,56,4,38
"60QA000679",119,61,1,57
"60QA000680",44,21,3,20
"60QA000681",67,50,1,16
"60QA000682",54,35,1,18
"60QA000683",106,51,3,52
"60QA000684",51,27,2,22
"60QA000685",56,33,3,20
"60QA000686",74,45,5,24
"60QA000687",63,41,2,20
"60QA000688",128,76,2,50
"60QA000689",102,38,0,64
"60QA000690",53,26,0,27
"60QA000691",62,32,2,28
"60QA000692",265,54,2,209
"60QA000693",97,54,1,42
"60QA000694",79,36,0,43
"60QA000695",101,60,1,40
"60QA000696",82,53,0,29
"60QA000697",47,36,1,10
"60QA000698",104,58,3,43
"60QA000699",81,49,0,32
"60QA000700",82,59,1,22
"60QA000701",79,52,1,26
"60QA000702",88,28,2,58
"60QA000703",45,20,1,24
"60QA000704",90,61,1,28
"60QA000705",100,52,1,47
"60QA000706",100,63,1,36
"60QA000707",83,52,0,31
"60QA000708",98,70,2,26
"60QA000709",118,86,0,32
"60QA000710",71,39,1,31
"60QA000711",29,18,0,11
"60QA000712",58,45,1,12
"60QA000713",118,79,2,37
"60QA000714",142,87,3,52
"60QA000715",129,92,3,34
"60QA000716",119,83,2,34
"60QA000717",78,51,3,24
"60QA000718",64,46,1,17
"60QA000719",70,55,0,15
"60QA000720",96,66,2,28
"60QA000721",83,62,1,20
"60QA000722",75,47,2,26
"60QA000723",136,86,5,45
"60QA000724",71,59,0,12
"60QA000725",98,70,1,27
"60QA000726",103,66,0,37
"60QA000727",71,43,0,28
"60QA000728",64,37,0,27
"60QA000729",63,43,4,16
"60QA000730",75,61,2,12
"60QA000731",86,45,1,40
"60QA000732",118,87,1,30
"60QA000733",98,45,0,53
"60QA000734",97,49,1,47
"60QA000735",101,71,1,29
"60QA000736",77,52,1,24
"60QA000737",98,66,1,31
"60QA000738",118,78,2,38
"60QA000739",72,57,1,14
"60QA000740",84,64,1,19
"60QA000741",103,76,7,20
"60QA000742",76,50,1,25
"60QA000743",73,55,1,17
"60QA000744",95,61,0,34
"60QA000745",85,57,4,24
"60QA000746",50,34,2,14
"60QA000747",56,45,0,11
"60QA000748",80,69,3,8
"60QA000749",82,46,1,35
"60QA000750",144,89,6,49
"60QA000751",76,48,2,26
"60QA000752",49,33,1,15
"60QA000753",87,65,2,20
"60QA000754",88,69,1,18
"60QA000755",98,66,0,32
"60QA000756",105,65,3,37
"60QA000757",79,46,2,31
"60QA000758",66,44,2,20
"60QA000759",67,36,2,29
"60QA000760",38,32,1,5
"60QA000761",77,59,1,17
"60QA000762",74,59,4,11
"60QA000763",85,64,4,17
"60QA000764",107,72,4,31
"60QA000765",61,52,0,9
"60QA000766",78,59,1,18
"60QA000767",90,58,2,30
"60QA000768",68,55,1,12
"60QA000769",113,59,6,48
"60QA000770",46,15,3,28
"60QA000771",62,40,4,18
"60QA000772",82,61,2,19
"60QA000773",85,67,3,15
"60QA000774",24,2,0,22
"60QA000775",81,49,1,31
"60QA000776",100,45,11,44
"60QA000777",71,44,4,23
"60QA000778",76,45,1,30
"60QA000779",70,51,0,19
"60QA000780",97,65,1,31
"60QA000781",238,78,2,158
"60QA000782",47,22,4,21
"60QA000783",53,34,0,19
"60QA000784",116,82,0,34
"60QA000785",101,53,1,47
"60QA000786",104,68,0,36
"60QA000787",101,73,3,25
"60QA000788",83,57,1,25
"60QA000789",127,91,1,35
"60QA000790",106,77,1,28
"60QA000791",66,27,1,38
"60QA000792",127,70,2,55
"60QA000793",59,33,0,26
"60QA000794",112,72,0,40
"60QA000795",67,38,0,29
"60QA000796",77,48,3,26
"60QA000797",71,45,2,24
"60QA000798",65,38,1,26
"60QA000799",73,26,4,43
"60QA000800",57,30,0,27
"60QA000801",61,40,1,20
"60QA000802",87,52,4,31
"60QA000803",115,72,6,37
"60QA000804",42,17,2,23
"60QA000805",71,35,2,34
"60QA000806",88,49,4,35
"60QA000807",106,63,4,39
"60QA000808",60,42,1,17
"60QA000809",124,71,3,50
"60QA000810",89,45,5,39
"60QA000811",102,59,3,40
"60QA000812",85,57,1,27
"60QA000813",58,28,0,30
"60QA000814",123,72,4,47
"60QA000815",128,77,6,45
"60QA000816",88,53,2,33
"60QA000817",89,71,4,14
"60QA000818",84,45,5,34
"60QA000819",82,58,1,23
"60QA000820",105,60,5,40
"60QA000821",73,46,4,23
"60QA000822",111,60,4,47
"60QA000823",77,42,4,31
"60QA000824",76,35,4,37
"60QA000825",129,70,3,56
"60QA000826",120,68,8,44
"60QA000827",106,54,3,49
"60QA000828",65,39,1,25
"60QA000829",61,40,3,18
"60QA000830",81,44,1,36
"60QA000831",75,50,2,23
"60QA000832",91,59,2,30
"60QA000833",83,52,4,27
"60QA000834",118,75,5,38
"60QA000835",58,38,0,20
"60QA000836",153,107,6,40
"60QA000837",103,70,0,33
"60QA000838",87,30,9,48
"60QA000839",67,38,1,28
"60QA000840",57,17,2,38
"60QA000841",82,35,4,43
"60QA000842",44,9,1,34
"60QA000843",103,47,1,55
"60QA000844",128,78,1,49
"60QA000845",93,50,4,39
"60QA000846",86,49,4,33
"60QA000847",69,39,3,27
"60QA000848",69,48,3,18
"60QA000849",54,36,1,17
"60QA000850",100,48,2,50
"60QA000851",111,65,2,44
"60QA000852",111,70,1,40
"60QA000853",105,65,5,35
"60QA000854",54,25,2,27
"60QA000855",82,53,1,28
"60QA000856",55,24,2,29
"60QA000857",72,40,2,30
"60QA000858",35,13,1,21
"60QA000859",94,59,3,32
"60QA000860",72,42,3,27
"60QA000861",111,69,1,41
"60QA000862",131,67,1,63
"60QA000863",125,66,7,52
"60QA000864",116,72,2,42
"60QA000865",85,68,0,17
"60QA000866",85,49,5,31
"60QA000867",90,38,2,50
"60QA000868",108,68,1,39
"60QA000869",115,65,2,48
"60QA000870",148,85,2,61
"60QA000871",92,58,3,31
"60QA000872",76,33,0,43
"60QA000873",181,104,1,76
"60QA000874",77,40,6,31
"60QA000875",73,29,1,43
"60QA000876",69,36,1,32
"60QA000877",61,36,3,22
"60QA000878",46,19,3,24
"60QA000879",215,34,8,173
"60QA000880",85,37,4,44
"60QA000881",94,57,1,36
"60QA000882",67,43,1,23
"60QA000883",65,37,3,25
"60QA000884",82,39,5,38
"60QA000885",104,58,4,42
"60QA000886",90,54,3,33
"60QA000887",91,54,2,35
"60QA000888",74,50,2,22
"60QA000889",129,74,2,53
"60QA000890",131,80,2,49
"60QA000891",83,54,4,25
"60QA000892",106,60,3,43
"60QA000893",69,36,0,33
"60QA000894",78,42,1,35
"60QA000895",41,17,1,23
"60QA000896",119,77,2,40
"60QA000897",128,69,6,53
"60QA000898",119,68,6,45
"60QA000899",63,30,0,33
"60QA000900",66,41,1,24
"60QA000901",70,37,0,33
"60QA000902",80,30,5,45
"60QA000903",86,59,3,24
"60QA000904",59,36,2,21
"60QA000905",109,65,4,40
"60QA000906",73,31,5,37
"60QA000907",68,28,4,36
"60QA000908",76,49,1,26
"60QA000909",59,37,3,19
"60QA000910",72,35,7,30
"60QA000911",78,50,3,25
"60QA000912",65,45,1,19
"60QA000913",91,57,2,32
"60QA000914",89,56,5,28
"60QA000915",67,37,4,26
"60QA000916",67,33,4,30
"60QA000917",102,61,6,35
"60QA000918",71,39,3,29
"60QA000919",60,35,2,23
"60QA000920",93,48,6,39
"60QA000921",50,28,3,19
"60QA000922",58,33,0,25
"60QA000923",80,45,3,32
"60QA000924",105,48,3,54
"60QA000925",76,38,4,34
"60QA000926",83,52,4,27
"60QA000927",47,23,5,19
"60QA000928",78,46,0,32
"60QA000929",36,11,0,25
"60QA000930",192,61,4,127
