"output_area","total","pensioner","student","other"
"60QA000559",35,1,0,34
"60QA000560",38,8,1,29
"60QA000561",67,12,0,55
"60QA000562",47,5,1,41
"60QA000563",80,1,5,74
"60QA000564",36,6,0,30
"60QA000565",68,19,1,48
"60QA000566",61,21,0,40
"60QA000567",41,11,1,29
"60QA000568",60,24,0,36
"60QA000569",43,13,0,30
"60QA000570",43,7,2,34
"60QA000571",71,17,2,52
"60QA000572",71,27,3,41
"60QA000573",50,0,0,50
"60QA000574",55,5,1,49
"60QA000575",73,49,0,24
"60QA000576",73,17,3,53
"60QA000577",58,5,5,48
"60QA000578",42,14,0,28
"60QA000579",45,14,3,28
"60QA000580",44,1,5,38
"60QA000581",37,10,1,26
"60QA000582",53,12,1,40
"60QA000583",49,3,1,45
"60QA000584",36,1,0,35
"60QA000585",42,2,2,38
"60QA000586",31,0,1,30
"60QA000587",36,1,0,35
"60QA000588",51,0,1,50
"60QA000589",47,3,0,44
"60QA000590",43,13,1,29
"60QA000591",39,13,0,26
"60QA000592",60,8,0,52
"60QA000593",44,3,0,41
"60QA000594",41,11,0,30
"60QA000595",51,14,1,36
"60QA000596",41,6,0,35
"60QA000597",40,3,1,36
"60QA000598",53,9,1,43
"60QA000599",73,9,1,63
"60QA000600",48,15,0,33
"60QA000601",28,1,0,27
"60QA000602",29,1,0,28
"60QA000603",36,2,0,34
"60QA000604",31,1,0,30
"60QA000605",27,2,0,25
"60QA000606",49,7,0,42
"60QA000607",36,3,0,33
"60QA000608",56,11,0,45
"60QA000609",44,7,0,37
"60QA000610",33,5,0,28
"60QA000611",98,14,3,81
"60QA000612",76,10,5,61
"60QA000613",49,2,1,46
"60QA000614",80,25,0,55
"60QA000615",40,11,1,28
"60QA000616",59,22,0,37
"60QA000617",45,9,0,36
"60QA000618",33,9,3,21
"60QA000619",61,1,0,60
"60QA000620",53,7,1,45
"60QA000621",55,0,0,55
"60QA000622",47,0,1,46
"60QA000623",49,2,1,46
"60QA000624",53,2,2,49
"60QA000625",38,1,0,37
"60QA000626",51,32,0,19
"60QA000627",45,14,1,30
"60QA000628",51,7,1,43
"60QA000629",80,15,10,55
"60QA000630",68,11,26,31
"60QA000631",44,2,5,37
"60QA000632",61,1,9,51
"60QA000633",52,0,3,49
"60QA000634",72,3,3,66
"60QA000635",43,0,2,41
"60QA000636",72,4,3,65
"60QA000637",77,13,11,53
"60QA000638",53,9,4,40
"60QA000639",79,13,11,55
"60QA000640",59,4,9,46
"60QA000641",64,7,7,50
"60QA000642",40,4,1,35
"60QA000643",36,2,2,32
"60QA000644",63,10,7,46
"60QA000645",65,1,1,63
"60QA000646",67,8,2,57
"60QA000647",80,27,1,52
"60QA000648",49,5,8,36
"60QA000649",50,8,8,34
"60QA000650",51,14,3,34
"60QA000651",61,11,7,43
"60QA000652",63,13,4,46
"60QA000653",51,9,10,32
"60QA000654",43,3,11,29
"60QA000655",39,3,12,24
"60QA000656",74,5,13,56
"60QA000657",32,5,1,26
"60QA000658",80,4,6,70
"60QA000659",50,5,2,43
"60QA000660",68,1,19,48
"60QA000661",78,7,7,64
"60QA000662",45,10,3,32
"60QA000663",70,4,8,58
"60QA000664",45,9,1,35
"60QA000665",69,6,5,58
"60QA000666",26,6,5,15
"60QA000667",48,4,7,37
"60QA000668",64,12,3,49
"60QA000669",65,2,7,56
"60QA000670",46,4,4,38
"60QA000671",85,19,0,66
"60QA000672",91,63,1,27
"60QA000673",52,1,3,48
"60QA000674",42,3,2,37
"60QA000675",44,2,2,40
"60QA000676",32,0,4,28
"60QA000677",56,6,6,44
"60QA000678",77,4,2,71
"60QA000679",48,6,9,33
"60QA000680",27,1,2,24
"60QA000681",42,4,1,37
"60QA000682",44,7,0,37
"60QA000683",65,1,8,56
"60QA000684",25,3,3,19
"60QA000685",40,3,4,33
"60QA000686",57,8,0,49
"60QA000687",45,15,0,30
"60QA000688",70,11,1,58
"60QA000689",69,28,1,40
"60QA000690",26,3,2,21
"60QA000691",29,3,3,23
"60QA000692",52,10,1,41
"60QA000693",46,5,4,37
"60QA000694",40,3,5,32
"60QA000695",52,6,5,41
"60QA000696",45,3,4,38
"60QA000697",28,3,0,25
"60QA000698",55,16,0,39
"60QA000699",41,15,1,25
"60QA000700",42,5,0,37
"60QA000701",53,20,0,33
"60QA000702",63,6,0,57
"60QA000703",40,23,0,17
"60QA000704",41,8,0,33
"60QA000705",75,40,2,33
"60QA000706",69,32,0,37
"60QA000707",49,20,0,29
"60QA000708",48,9,0,39
"60QA000709",59,11,0,48
"60QA000710",40,13,0,27
"60QA000711",57,44,0,13
"60QA000712",53,28,0,25
"60QA000713",61,7,0,54
"60QA000714",74,15,1,58
"60QA000715",63,9,0,54
"60QA000716",68,9,1,58
"60QA000717",49,9,0,40
"60QA000718",35,5,0,30
"60QA000719",42,5,2,35
"60QA000720",53,11,1,41
"60QA000721",53,9,0,44
"60QA000722",49,12,0,37
"60QA000723",76,13,6,57
"60QA000724",57,7,1,49
"60QA000725",50,9,0,41
"60QA000726",79,40,0,39
"60QA000727",55,17,1,37
"60QA000728",50,22,2,26
"60QA000729",44,3,2,39
"60QA000730",56,7,0,49
"60QA000731",52,7,5,40
"60QA000732",76,20,0,56
"60QA000733",66,29,0,37
"60QA000734",53,19,0,34
"60QA000735",56,7,0,49
"60QA000736",45,9,0,36
"60QA000737",55,6,0,49
"60QA000738",75,15,0,60
"60QA000739",45,11,0,34
"60QA000740",46,6,0,40
"60QA000741",64,7,0,57
"60QA000742",42,6,0,36
"60QA000743",39,5,0,34
"60QA000744",53,17,0,36
"60QA000745",49,4,2,43
"60QA000746",28,4,0,24
"60QA000747",35,6,0,29
"60QA000748",64,5,0,59
"60QA000749",54,24,2,28
"60QA000750",74,16,2,56
"60QA000751",56,8,3,45
"60QA000752",23,2,0,21
"60QA000753",65,8,1,56
"60QA000754",63,13,0,50
"60QA000755",57,10,0,47
"60QA000756",56,12,0,44
"60QA000757",64,9,4,51
"60QA000758",45,2,2,41
"60QA000759",36,1,7,28
"60QA000760",33,5,0,28
"60QA000761",53,5,1,47
"60QA000762",68,11,0,57
"60QA000763",70,3,1,66
"60QA000764",80,7,2,71
"60QA000765",51,2,1,48
"60QA000766",65,5,0,60
"60QA000767",69,3,2,64
"60QA000768",59,3,4,52
"60QA000769",69,3,4,62
"60QA000770",37,10,1,26
"60QA000771",55,3,1,51
"60QA000772",65,3,1,61
"60QA000773",60,0,2,58
"60QA000774",60,58,0,2
"60QA000775",49,3,4,42
"60QA000776",57,0,0,57
"60QA000777",38,2,0,36
"60QA000778",53,5,3,45
"60QA000779",43,1,1,41
"60QA000780",71,5,6,60
"60QA000781",116,26,19,71
"60QA000782",34,14,0,20
"60QA000783",40,7,2,31
"60QA000784",76,10,4,62
"60QA000785",59,5,5,49
"60QA000786",70,8,7,55
"60QA000787",64,6,2,56
"60QA000788",58,4,5,49
"60QA000789",73,10,0,63
"60QA000790",70,9,3,58
"60QA000791",58,25,0,33
"60QA000792",72,26,0,46
"60QA000793",40,17,0,23
"60QA000794",60,19,0,41
"60QA000795",39,19,0,20
"60QA000796",50,11,0,39
"60QA000797",46,15,0,31
"60QA000798",39,11,0,28
"60QA000799",61,14,0,47
"60QA000800",30,8,1,21
"60QA000801",45,8,0,37
"60QA000802",47,9,0,38
"60QA000803",62,12,0,50
"60QA000804",48,34,0,14
"60QA000805",40,11,0,29
"60QA000806",50,10,0,40
"60QA000807",59,9,0,50
"60QA000808",37,13,0,24
"60QA000809",73,20,1,52
"60QA000810",52,5,2,45
"60QA000811",48,6,0,42
"60QA000812",43,9,0,34
"60QA000813",42,17,0,25
"60QA000814",67,19,0,48
"60QA000815",70,15,0,55
"60QA000816",52,16,0,36
"60QA000817",46,12,0,34
"60QA000818",41,10,0,31
"60QA000819",51,19,0,32
"60QA000820",51,10,0,41
"60QA000821",39,8,0,31
"60QA000822",66,26,0,40
"60QA000823",40,13,0,27
"60QA000824",43,18,0,25
"60QA000825",70,19,0,51
"60QA000826",66,13,0,53
"60QA000827",69,24,0,45
"60QA000828",35,8,0,27
"60QA000829",37,5,0,32
"60QA000830",47,11,0,36
"60QA000831",39,8,0,31
"60QA000832",49,5,0,44
"60QA000833",52,8,0,44
"60QA000834",55,6,0,49
"60QA000835",35,11,0,24
"60QA000836",76,15,1,60
"60QA000837",58,12,0,46
"60QA000838",62,8,0,54
"60QA000839",39,10,0,29
"60QA000840",71,60,0,11
"60QA000841",65,21,0,44
"60QA000842",69,60,0,9
"60QA000843",72,28,0,44
"60QA000844",75,21,0,54
"60QA000845",55,16,1,38
"60QA000846",39,8,0,31
"60QA000847",43,8,0,35
"60QA000848",43,2,1,40
"60QA000849",48,13,0,35
"60QA000850",67,24,1,42
"60QA000851",62,17,0,45
"60QA000852",75,34,1,40
"60QA000853",61,13,2,46
"60QA000854",50,17,1,32
"60QA000855",50,8,0,42
"60QA000856",45,17,0,28
"60QA000857",38,5,3,30
"60QA000858",32,12,0,20
"60QA000859",49,14,0,35
"60QA000860",64,29,2,33
"60QA000861",59,11,0,48
"60QA000862",67,17,2,48
"60QA000863",69,8,3,58
"60QA000864",68,29,0,39
"60QA000865",51,17,0,34
"60QA000866",44,9,0,35
"60QA000867",51,20,0,31
"60QA000868",61,14,0,47
"60QA000869",67,26,0,41
"60QA000870",78,16,2,60
"60QA000871",49,13,0,36
"60QA000872",44,20,0,24
"60QA000873",39,4,0,35
"60QA000874",74,27,1,46
"60QA000875",59,34,1,24
"60QA000876",52,21,1,30
"60QA000877",39,2,1,36
"60QA000878",50,19,0,31
"60QA000879",59,22,0,37
"60QA000880",67,23,1,43
"60QA000881",64,2,4,58
"60QA000882",41,6,2,33
"60QA000883",45,18,1,26
"60QA000884",67,28,0,39
"60QA000885",71,17,0,54
"60QA000886",52,16,0,36
"60QA000887",47,13,0,34
"60QA000888",40,12,0,28
"60QA000889",73,21,0,52
"60QA000890",68,13,0,55
"60QA000891",44,11,0,33
"60QA000892",51,14,0,37
"60QA000893",41,15,0,26
"60QA000894",49,26,0,23
"60QA000895",28,12,0,16
"60QA000896",77,24,0,53
"60QA000897",67,22,0,45
"60QA000898",70,7,0,63
"60QA000899",48,26,0,22
"60QA000900",38,8,0,30
"60QA000901",39,18,0,21
"60QA000902",62,23,1,38
"60QA000903",47,8,0,39
"60QA000904",44,19,0,25
"60QA000905",60,5,0,55
"60QA000906",42,13,0,29
"60QA000907",41,11,0,30
"60QA000908",42,10,0,32
"60QA000909",40,5,0,35
"60QA000910",48,17,0,31
"60QA000911",49,18,0,31
"60QA000912",44,15,0,29
"60QA000913",52,16,0,36
"60QA000914",52,10,0,42
"60QA000915",45,9,0,36
"60QA000916",46,22,0,24
"60QA000917",50,12,0,38
"60QA000918",42,12,0,30
"60QA000919",37,1,0,36
"60QA000920",62,9,0,53
"60QA000921",44,14,0,30
"60QA000922",39,13,0,26
"60QA000923",59,12,1,46
"60QA000924",67,28,0,39
"60QA000925",54,8,0,46
"60QA000926",49,6,0,43
"60QA000927",37,5,0,32
"60QA000928",45,11,1,33
"60QA000929",50,41,0,9
