output_area,total,non_catholic_christian,catholic_christian,jewish,muslim,none,other
S00089225,58,17,2,0,0,32,7
S00089226,57,23,10,0,0,20,4
S00089227,128,44,19,0,2,57,6
S00089228,95,30,15,0,6,38,6
S00089229,97,25,5,0,5,51,11
S00089230,100,38,3,0,1,48,10
S00089231,87,19,9,0,5,38,16
S00089232,93,18,13,0,6,48,8
S00089233,80,29,3,0,0,43,5
S00089234,97,35,7,0,0,47,8
S00089235,104,19,13,0,4,49,19
S00089236,81,20,9,0,1,46,5
S00089237,117,50,11,0,0,50,6
S00089238,135,63,5,0,0,64,3
S00089239,98,28,15,0,0,44,11
S00089240,179,70,11,0,0,72,26
S00089241,65,30,5,0,0,28,2
S00089242,123,55,11,0,1,49,7
S00089243,115,51,10,0,0,41,13
S00089244,117,48,4,0,0,53,12
S00089245,84,46,0,0,0,38,0
S00089246,95,39,9,0,0,38,9
S00089247,166,73,2,0,5,73,13
S00089248,205,76,11,1,4,106,7
S00089249,105,34,13,0,0,49,9
S00089250,88,37,13,0,1,35,2
S00089251,106,39,8,0,0,49,10
S00089252,118,48,5,0,0,55,10
S00089253,129,54,9,0,0,52,14
S00089254,137,59,5,0,5,53,15
S00089255,119,36,10,0,1,60,12
S00089256,109,41,8,0,0,42,18
S00089257,97,52,1,0,1,40,3
S00089258,100,30,12,0,4,39,15
S00089259,84,21,13,0,0,40,10
S00089260,136,52,14,0,1,60,9
S00089261,158,34,6,0,0,94,24
S00089262,108,33,7,0,2,55,11
S00089263,92,20,11,0,6,44,11
S00089264,139,43,19,0,5,59,13
S00089265,84,17,4,0,0,55,8
S00089266,100,35,4,0,3,51,7
S00089267,79,18,9,0,0,43,9
S00089268,113,15,15,0,11,61,11
S00089269,101,25,14,0,0,48,14
S00089270,120,40,10,0,0,64,6
S00089271,90,33,10,0,0,31,16
S00089272,69,31,8,0,1,24,5
S00089273,101,18,16,0,4,50,13
S00089274,129,40,16,0,2,61,10
S00089275,64,40,1,0,0,16,7
S00089276,59,12,7,0,2,28,10
S00089277,177,79,2,0,0,85,11
S00089278,66,50,1,0,0,10,5
S00089279,67,33,9,1,0,19,5
S00089280,59,23,4,0,0,32,0
S00089281,75,19,2,0,0,49,5
S00089282,69,22,5,0,0,36,6
S00089283,54,19,10,0,0,19,6
S00089284,105,53,8,0,0,40,4
S00089285,128,45,23,0,5,42,13
S00089286,106,21,11,0,6,54,14
S00089287,87,65,4,0,0,17,1
S00089288,151,53,15,0,5,59,19
S00089289,124,30,9,0,0,75,10
S00089290,69,15,6,0,0,45,3
S00089291,99,40,6,0,0,44,9
S00089292,90,30,10,0,0,47,3
S00089293,153,31,7,0,6,85,24
S00089294,148,32,22,0,0,72,22
S00089295,190,56,10,0,0,109,15
S00089296,161,55,7,0,2,78,19
S00089297,93,36,5,0,0,48,4
S00089298,98,31,12,0,0,49,6
S00089299,64,25,3,0,0,34,2
S00089300,99,36,7,0,4,47,5
S00089301,116,25,9,0,8,67,7
S00089302,104,22,12,0,0,63,7
S00089303,167,65,8,0,9,79,6
S00089304,159,43,7,0,4,86,19
S00089305,71,34,3,0,1,28,5
S00089306,141,52,12,0,1,67,9
S00089307,88,17,7,0,6,55,3
S00089308,77,22,6,0,0,43,6
S00089309,148,37,17,0,1,85,8
S00089310,171,37,28,0,1,84,21
S00089311,101,31,11,0,0,50,9
S00089312,164,72,7,0,0,72,13
S00089313,150,72,8,0,0,54,16
