"output_area","total","non_catholic_christian","catholic_christian","jewish","muslim","none","other"
"60QA000296",119,45,13,0,0,52,9
"60QA000297",93,50,8,0,0,34,1
"60QA000298",65,26,6,0,0,30,3
"60QA000299",75,22,4,0,0,45,4
"60QA000300",140,55,12,0,0,64,9
"60QA000301",55,41,4,0,0,8,2
"60QA000302",51,21,3,0,0,26,1
"60QA000303",183,86,2,0,4,85,6
"60QA000304",65,49,6,0,0,8,2
"60QA000305",70,41,3,0,6,19,1
"60QA000306",70,35,3,0,0,27,5
"60QA000307",84,49,0,0,0,34,1
"60QA000308",51,21,3,0,0,23,4
"60QA000309",161,104,7,0,2,42,6
"60QA000310",128,66,5,0,0,44,13
"60QA000311",95,31,2,0,0,56,6
"60QA000312",88,71,6,0,0,8,3
"60QA000313",113,61,4,0,0,45,3
"60QA000314",128,43,6,0,0,69,10
"60QA000315",115,52,6,0,0,53,4
"60QA000316",117,53,4,0,0,47,13
"60QA000317",94,57,6,0,0,25,6
"60QA000318",143,46,7,1,2,80,7
"60QA000319",156,67,3,2,0,74,10
"60QA000320",182,85,9,0,4,76,8
"60QA000321",163,75,7,0,2,70,9
"60QA000322",102,48,3,0,0,45,6
"60QA000323",114,64,4,0,3,39,4
"60QA000324",69,44,3,0,0,18,4
"60QA000325",109,57,8,0,0,33,11
"60QA000326",112,55,3,0,0,44,10
"60QA000327",123,60,2,0,0,43,18
"60QA000328",186,79,2,2,6,84,13
"60QA000329",173,79,12,2,1,76,3
"60QA000330",76,48,3,0,0,24,1
"60QA000331",129,66,7,0,0,47,9
"60QA000332",75,37,8,0,0,27,3
"60QA000333",63,32,1,0,4,24,2
"60QA000334",146,70,7,0,0,68,1
"60QA000335",163,60,10,0,0,85,8
"60QA000336",107,64,8,0,0,30,5
"60QA000337",126,82,4,0,0,39,1
"60QA000338",138,85,9,0,0,43,1
"60QA000339",120,45,11,0,2,52,10
"60QA000340",116,66,5,0,0,41,4
"60QA000341",107,57,5,0,0,43,2
"60QA000342",99,65,7,0,0,25,2
"60QA000343",106,55,5,0,0,39,7
"60QA000344",151,87,9,0,0,46,9
"60QA000345",113,69,7,0,4,27,6
"60QA000346",86,55,9,0,0,20,2
"60QA000347",117,87,0,0,0,27,3
"60QA000348",80,50,5,0,0,21,4
"60QA000349",89,59,7,0,0,23,0
"60QA000350",102,60,6,0,0,33,3
"60QA000351",121,68,1,0,7,34,11
"60QA000352",108,70,8,0,0,28,2
"60QA000353",114,72,4,0,1,34,3
"60QA000354",105,71,1,0,0,26,7
"60QA000355",100,64,10,0,0,22,4
"60QA000356",164,103,2,0,0,57,2
"60QA000357",185,119,12,0,0,53,1
"60QA000358",166,102,15,0,0,43,6
"60QA000359",159,83,1,0,3,67,5
"60QA000360",109,71,3,0,0,26,9
"60QA000361",84,42,3,0,0,35,4
"60QA000362",100,47,4,0,0,40,9
"60QA000363",171,118,10,0,0,40,3
"60QA000364",155,92,5,0,1,53,4
"60QA000365",140,96,9,0,0,33,2
"60QA000366",67,45,1,0,0,13,8
"60QA000367",77,42,6,0,0,28,1
"60QA000368",57,36,5,0,0,13,3
"60QA000369",92,53,5,0,0,31,3
"60QA000370",158,100,4,0,0,46,8
"60QA000371",111,79,3,0,0,22,7
"60QA000372",103,71,8,0,0,24,0
"60QA000373",101,67,8,0,5,18,3
"60QA000374",119,69,5,0,0,38,7
"60QA000375",88,51,4,0,0,33,0
"60QA000376",152,99,0,0,0,39,14
"60QA000377",122,88,5,0,0,26,3
"60QA000378",92,57,5,0,0,24,6
"60QA000379",165,97,8,0,5,49,6
"60QA000380",70,38,1,0,0,23,8
"60QA000381",112,43,4,0,0,62,3
"60QA000382",101,58,2,0,0,34,7
"60QA000383",144,73,7,0,0,59,5
"60QA000384",112,60,8,0,0,39,5
"60QA000385",159,93,8,0,0,55,3
"60QA000386",162,89,6,0,2,58,7
"60QA000387",80,37,6,2,0,28,7
"60QA000388",95,32,11,0,1,44,7
"60QA000389",90,25,9,0,5,43,8
"60QA000390",104,52,3,0,0,37,12
"60QA000391",139,55,7,0,0,67,10
"60QA000392",117,80,8,0,0,22,7
