"output_area","total","good","not_good"
"S00089602",123,114,9
"S00089603",91,82,9
"S00089604",75,70,5
"S00089605",139,132,7
"S00089606",125,115,10
"S00089607",148,147,1
"S00089608",61,52,9
"S00089609",105,101,4
"S00089610",134,121,13
"S00089611",85,73,12
"S00089612",93,84,9
"S00089613",62,51,11
"S00089614",175,169,6
"S00089615",122,113,9
"S00089616",125,119,6
"S00089617",156,152,4
"S00089618",118,114,4
"S00089619",132,128,4
"S00089620",153,149,4
"S00089621",51,39,12
"S00089622",84,79,5
"S00089623",104,98,6
"S00089624",75,73,2
"S00089625",112,112,0
"S00089626",157,155,2
"S00089627",70,69,1
"S00089628",112,111,1
"S00089629",169,165,4
"S00089630",107,101,6
"S00089631",115,105,10
"S00089632",111,109,2
"S00089633",409,401,8
"S00089634",105,101,4
"S00089635",60,59,1
"S00089636",124,120,4
"S00089637",60,58,2
"S00089638",101,98,3
"S00089639",94,92,2
"S00089640",122,118,4
"S00089641",61,61,0
"S00089642",68,66,2
"S00089643",132,128,4
"S00089644",181,174,7
"S00089645",160,156,4
"S00089646",131,120,11
"S00089647",148,146,2
"S00089648",66,65,1
"S00089649",107,98,9
"S00089650",134,132,2
"S00089651",400,397,3
"S00089652",145,144,1
"S00089653",114,114,0
"S00089654",103,103,0
"S00089655",84,83,1
"S00089656",85,85,0
"S00089657",73,73,0
"S00089658",121,119,2
"S00089659",218,218,0
"S00089660",129,126,3
"S00089661",126,118,8
"S00089662",95,89,6
"S00089663",117,112,5
"S00089664",68,65,3
"S00089665",102,101,1
"S00089666",90,89,1
"S00089667",60,57,3
"S00089668",89,86,3
"S00089669",134,134,0
"S00089670",74,73,1
"S00089671",316,312,4
"S00089672",116,102,14
"S00089673",100,90,10
"S00089674",138,134,4
"S00089675",136,136,0
"S00089676",70,67,3
"S00089677",120,119,1
"S00089678",69,67,2
"S00089679",138,135,3
"S00089680",118,113,5
"S00089681",145,143,2
"S00089682",64,64,0
"S00089683",78,77,1
"S00089684",77,73,4
"S00089685",120,116,4
"S00089686",63,63,0
"S00089687",80,80,0
"S00089688",99,96,3
"S00089689",58,54,4
"S00089690",151,148,3
"S00089691",135,128,7
"S00089692",59,59,0
"S00089693",65,65,0
"S00089694",116,116,0
"S00089695",118,117,1
"S00089696",138,136,2
"S00089697",86,84,2
"S00089698",103,100,3
"S00089699",74,71,3
"S00089700",120,119,1
"S00089701",85,83,2
"S00089702",73,71,2
"S00089703",145,142,3
"S00089704",115,110,5
"S00089705",112,107,5
"S00089706",136,135,1
"S00089707",97,75,22
"S00089708",57,53,4
"S00089709",93,91,2
"S00089710",132,121,11
"S00089711",139,136,3
"S00089712",113,112,1
"S00089713",105,103,2
"S00089714",154,152,2
"S00089715",103,103,0
"S00089716",128,116,12
"S00089717",128,125,3
"S00089718",168,166,2
"S00089719",189,185,4
"S00089720",167,167,0
"S00089721",179,179,0
"S00089722",95,92,3
"S00089723",58,57,1
"S00089724",86,85,1
"S00089725",96,94,2
"S00089726",121,117,4
"S00089727",100,97,3
"S00089728",92,91,1
"S00089729",148,145,3
"S00089730",78,77,1
"S00089731",113,111,2
"S00089732",158,147,11
"S00089733",100,98,2
"S00089734",94,90,4
"S00089735",75,73,2
"S00089736",84,83,1
"S00089737",86,85,1
"S00089738",71,70,1
"S00089739",91,90,1
"S00089740",124,122,2
"S00089741",109,105,4
"S00089742",172,172,0
"S00089743",164,163,1
"S00089744",81,80,1
"S00089745",130,128,2
"S00089746",121,121,0
"S00089747",100,98,2
"S00089748",115,115,0
"S00089749",62,62,0
"S00089750",103,103,0
"S00089751",110,110,0
"S00089752",108,108,0
"S00089753",136,135,1
"S00089754",124,121,3
"S00089755",65,63,2
"S00089756",77,77,0
"S00089757",122,119,3
"S00089758",112,112,0
"S00089759",172,167,5
"S00089760",80,77,3
"S00089761",59,59,0
"S00089762",119,116,3
"S00089763",108,105,3
"S00089764",131,129,2
"S00089765",141,138,3
"S00089766",104,100,4
"S00089767",64,64,0
"S00089768",62,62,0
"S00089769",57,55,2
"S00089770",102,102,0
"S00089771",94,92,2
"S00089772",93,92,1
"S00089773",108,102,6
"S00089774",82,81,1
"S00089775",73,71,2
"S00089776",94,92,2
"S00089777",91,91,0
"S00089778",139,136,3
"S00089779",92,86,6
"S00089780",70,66,4
"S00089781",89,88,1
"S00089782",71,70,1
"S00089783",79,67,12
"S00089784",59,56,3
"S00089785",153,145,8
"S00089786",102,100,2
"S00089787",81,77,4
"S00089788",68,66,2
"S00089789",115,111,4
"S00089790",282,275,7
"S00089791",66,55,11
"S00089792",73,70,3
"S00089793",77,75,2
"S00089794",71,66,5
"S00089795",152,142,10
"S00089796",121,120,1
"S00089797",90,90,0
"S00089798",97,94,3
"S00089799",141,140,1
"S00089800",107,107,0
"S00089801",83,67,16
"S00089802",182,172,10
"S00089803",83,82,1
"S00089804",124,115,9
"S00089805",73,67,6
"S00089806",113,110,3
"S00089807",81,73,8
"S00089808",82,76,6
"S00089809",92,82,10
"S00089810",66,65,1
"S00089811",77,73,4
"S00089812",98,89,9
"S00089813",168,165,3
"S00089814",69,57,12
"S00089815",94,88,6
"S00089816",124,119,5
"S00089817",124,113,11
"S00089818",93,92,1
"S00089819",174,163,11
"S00089820",124,120,4
"S00089821",114,106,8
"S00089822",105,101,4
"S00089823",104,102,2
"S00089824",166,158,8
"S00089825",147,135,12
"S00089826",114,109,5
"S00089827",126,124,2
"S00089828",73,54,19
"S00089829",93,89,4
"S00089830",124,116,8
"S00089831",114,109,5
"S00089832",87,80,7
"S00089833",145,144,1
"S00089834",92,90,2
"S00089835",90,84,6
"S00089836",166,151,15
"S00089837",154,139,15
"S00089838",142,126,16
"S00089839",87,81,6
"S00089840",85,78,7
"S00089841",131,127,4
"S00089842",82,79,3
"S00089843",141,137,4
"S00089844",113,108,5
"S00089845",137,128,9
"S00089846",86,82,4
"S00089847",82,79,3
"S00089848",123,123,0
"S00089849",134,129,5
"S00089850",149,135,14
"S00089851",82,73,9
"S00089852",97,86,11
"S00089853",130,119,11
"S00089854",95,80,15
