output_area,total,llti,no_llti
S00089133,87,22,65
S00089134,129,41,88
S00089135,144,18,126
S00089136,112,24,88
S00089137,109,28,81
S00089138,55,43,12
S00089139,86,21,65
S00089140,100,16,84
S00089141,120,18,102
S00089142,137,24,113
S00089143,105,27,78
S00089144,91,27,64
S00089145,127,26,101
S00089146,117,17,100
S00089147,96,20,76
S00089148,123,17,106
S00089149,124,14,110
S00089150,151,40,111
S00089151,61,17,44
S00089152,54,24,30
S00089153,63,22,41
S00089154,72,20,52
S00089155,84,24,60
S00089156,129,45,84
S00089157,105,26,79
S00089158,136,25,111
S00089159,90,21,69
S00089160,112,25,87
S00089161,95,26,69
S00089162,77,14,63
S00089163,115,26,89
S00089164,78,32,46
S00089165,105,18,87
S00089166,150,31,119
S00089167,107,17,90
S00089168,64,50,14
S00089169,117,21,96
S00089170,90,24,66
S00089171,74,24,50
S00089172,64,13,51
S00089173,139,28,111
S00089174,161,43,118
S00089175,124,22,102
S00089176,102,10,92
S00089177,129,30,99
S00089178,149,24,125
S00089179,172,32,140
S00089180,134,24,110
S00089181,101,25,76
S00089182,114,13,101
S00089183,98,20,78
S00089184,137,14,123
S00089185,136,15,121
S00089186,114,6,108
S00089187,67,9,58
S00089188,146,16,130
S00089189,152,19,133
S00089190,113,7,106
S00089191,137,9,128
S00089192,111,2,109
S00089193,132,7,125
S00089194,153,41,112
S00089195,135,15,120
S00089196,119,15,104
S00089197,116,14,102
S00089198,83,14,69
S00089199,100,15,85
S00089200,69,9,60
S00089201,98,12,86
S00089202,152,17,135
S00089203,214,21,193
S00089204,149,14,135
S00089205,117,11,106
S00089206,122,19,103
S00089207,100,11,89
S00089208,76,11,65
S00089209,73,4,69
S00089210,76,9,67
S00089211,71,9,62
S00089212,106,5,101
S00089213,68,2,66
S00089214,61,4,57
S00089215,67,7,60
S00089216,97,10,87
S00089217,79,8,71
S00089218,126,15,111
S00089219,84,5,79
S00089220,60,2,58
S00089221,146,22,124
S00089222,89,3,86
S00089223,70,18,52
S00089224,191,58,133
S00089225,58,3,55
S00089226,57,1,56
S00089227,128,19,109
S00089228,95,4,91
S00089229,97,7,90
S00089230,100,18,82
S00089231,87,7,80
S00089232,93,3,90
S00089233,80,4,76
S00089234,97,8,89
S00089235,104,6,98
S00089236,81,3,78
S00089237,117,14,103
S00089238,135,16,119
S00089239,98,9,89
S00089240,179,15,164
S00089241,65,17,48
S00089242,123,15,108
S00089243,115,12,103
S00089244,117,20,97
S00089245,84,18,66
S00089246,95,14,81
S00089247,166,23,143
S00089248,205,25,180
S00089249,105,9,96
S00089250,88,9,79
S00089251,106,9,97
S00089252,118,6,112
S00089253,129,19,110
S00089254,137,13,124
S00089255,119,9,110
S00089256,109,11,98
S00089257,97,6,91
S00089258,100,9,91
S00089259,84,8,76
S00089260,136,15,121
S00089261,158,15,143
S00089262,108,14,94
S00089263,92,8,84
S00089264,139,8,131
S00089265,84,9,75
S00089266,100,8,92
S00089267,79,3,76
S00089268,113,3,110
S00089269,101,6,95
S00089270,120,11,109
S00089271,90,8,82
S00089272,69,8,61
S00089273,101,5,96
S00089274,129,4,125
S00089275,64,45,19
S00089276,59,13,46
S00089277,177,29,148
S00089278,66,47,19
S00089279,67,1,66
S00089280,59,8,51
S00089281,75,5,70
S00089282,69,6,63
S00089283,54,9,45
S00089284,105,28,77
S00089285,128,6,122
S00089286,106,5,101
S00089287,87,41,46
S00089288,151,28,123
S00089289,124,30,94
S00089290,69,15,54
S00089291,99,13,86
S00089292,90,13,77
S00089293,153,20,133
S00089294,148,18,130
S00089295,190,42,148
S00089296,161,38,123
S00089297,93,17,76
