output_area,total,llti,no_llti
S00091871,119,17,102
S00091872,154,31,123
S00091873,157,26,131
S00091874,172,17,155
S00091875,128,20,108
S00091876,95,6,89
S00091877,63,11,52
S00091878,110,14,96
S00091879,162,34,128
S00091880,72,17,55
S00091881,180,27,153
S00091882,66,11,55
S00091883,128,27,101
S00091884,150,20,130
S00091885,173,25,148
S00091886,113,13,100
S00091887,151,31,120
S00091888,174,23,151
S00091889,63,19,44
S00091890,55,9,46
S00091891,175,25,150
S00091892,92,21,71
S00091893,85,27,58
S00091894,89,22,67
S00091895,85,27,58
S00091896,146,50,96
S00091897,157,36,121
S00091898,91,25,66
S00091899,117,27,90
S00091900,146,30,116
S00091901,66,22,44
S00091902,117,30,87
S00091903,84,27,57
S00091904,71,15,56
S00091905,235,60,175
S00091906,153,28,125
S00091907,137,35,102
S00091908,115,32,83
S00091909,91,19,72
S00091910,58,7,51
S00091911,99,36,63
S00091912,107,36,71
S00091913,175,86,89
S00091914,125,21,104
S00091915,142,40,102
S00091916,119,33,86
S00091917,117,29,88
S00091918,83,24,59
S00091919,90,17,73
S00091920,113,17,96
S00091921,129,19,110
S00091922,117,10,107
S00091923,133,11,122
S00091924,122,16,106
S00091925,136,18,118
S00091926,81,29,52
S00091927,207,45,162
S00091928,148,26,122
S00091929,130,23,107
S00091930,97,19,78
S00091931,99,23,76
S00091932,117,33,84
S00091933,87,32,55
S00091934,89,25,64
S00091935,146,30,116
S00091936,112,12,100
S00091937,113,35,78
S00091938,197,32,165
S00091939,125,18,107
S00091940,119,33,86
S00091941,176,63,113
S00091942,91,19,72
S00091943,121,25,96
S00091944,79,19,60
S00091945,91,19,72
S00091946,111,14,97
S00091947,77,15,62
S00091948,103,39,64
S00091949,88,26,62
S00091950,202,23,179
S00091951,59,16,43
S00091952,102,16,86
S00091953,143,17,126
S00091954,131,18,113
S00091955,81,10,71
S00091956,105,10,95
S00091957,116,18,98
S00091958,68,10,58
S00091959,86,11,75
S00091960,89,27,62
S00091961,104,14,90
S00091962,83,13,70
S00091963,71,15,56
S00091964,88,18,70
S00091965,83,18,65
S00091966,78,8,70
S00091967,76,10,66
S00091968,81,5,76
S00091969,51,14,37
S00091970,113,4,109
S00091971,123,13,110
S00091972,119,32,87
S00091973,94,9,85
S00091974,78,6,72
S00091975,127,26,101
S00091976,169,22,147
S00091977,64,5,59
S00091978,299,65,234
S00091979,63,8,55
S00091980,71,14,57
S00091981,128,25,103
S00091982,128,22,106
S00091983,92,22,70
S00091984,128,28,100
S00091985,105,24,81
S00091986,101,11,90
S00091987,99,22,77
S00091988,57,7,50
S00091989,76,20,56
S00091990,101,20,81
S00091991,84,23,61
S00091992,118,17,101
S00091993,148,22,126
S00091994,183,41,142
S00091995,109,18,91
S00091996,166,28,138
S00091997,75,42,33
S00091998,107,27,80
S00091999,173,32,141
S00092000,108,34,74
S00092001,85,14,71
S00092002,90,7,83
S00092003,139,21,118
S00092004,177,17,160
S00092005,191,28,163
S00092006,137,16,121
S00092007,83,29,54
S00092008,142,26,116
S00092009,134,37,97
S00092010,75,11,64
S00092011,77,9,68
S00092012,175,26,149
S00092013,152,21,131
S00092014,100,18,82
S00092015,173,13,160
S00092016,156,17,139
S00092017,140,31,109
S00092018,130,30,100
S00092019,96,25,71
S00092020,134,21,113
S00092021,76,11,65
S00092022,129,22,107
S00092023,67,22,45
S00092024,124,23,101
S00092025,136,16,120
S00092026,132,34,98
S00092027,116,18,98
S00092028,61,21,40
S00092029,86,7,79
S00092030,69,22,47
S00092031,117,25,92
S00092032,148,29,119
S00092033,59,12,47
S00092034,112,31,81
S00092035,87,25,62
S00092036,87,18,69
S00092037,161,30,131
S00092038,188,23,165
S00092039,152,29,123
S00092040,108,22,86
S00092041,103,16,87
S00092042,148,18,130
S00092043,141,36,105
S00092044,116,38,78
S00092045,156,27,129
S00092046,155,27,128
S00092047,113,24,89
S00092048,250,71,179
S00092049,168,37,131
S00092050,165,37,128
S00092051,157,31,126
S00092052,138,30,108
S00092053,99,25,74
S00092054,82,29,53
S00092055,124,48,76
S00092056,107,13,94
S00092057,99,18,81
S00092058,155,30,125
S00092059,136,26,110
S00092060,121,34,87
S00092061,88,22,66
S00092062,162,31,131
S00092063,115,30,85
S00092064,98,13,85
S00092065,71,15,56
S00092066,131,18,113
S00092067,162,34,128
S00092068,118,33,85
S00092069,91,20,71
S00092070,85,21,64
S00092071,117,19,98
S00092072,102,23,79
S00092073,111,18,93
S00092074,100,29,71
S00092075,61,13,48
S00092076,117,22,95
S00092077,141,27,114
S00092078,88,19,69
S00092079,66,49,17
S00092080,92,12,80
S00092081,104,22,82
S00092082,142,25,117
S00092083,63,32,31
S00092084,88,22,66
S00092085,99,17,82
S00092086,91,16,75
S00092087,145,20,125
S00092088,104,15,89
S00092089,99,17,82
S00092090,156,20,136
S00092091,145,30,115
S00092092,115,23,92
S00092093,101,16,85
S00092094,134,25,109
S00092095,87,23,64
S00092096,115,23,92
S00092097,168,37,131
S00092098,128,25,103
S00092099,198,6,192
S00092100,164,26,138
S00092101,108,26,82
S00092102,103,27,76
S00092103,107,16,91
S00092104,111,26,85
S00092105,112,25,87
S00092106,131,19,112
S00092107,107,28,79
S00092108,108,23,85
S00092109,96,23,73
S00092110,125,31,94
S00092111,126,34,92
S00092112,107,18,89
S00092113,84,24,60
S00092114,55,15,40
S00092115,137,35,102
S00092116,184,30,154
S00092117,76,24,52
S00092118,108,24,84
S00092119,110,25,85
S00092120,78,10,68
S00092121,94,25,69
S00092122,74,28,46
S00092123,113,30,83
S00092124,69,23,46
S00092125,112,19,93
S00092126,85,18,67
S00092127,79,14,65
S00092128,91,12,79
S00092129,140,53,87
S00092130,126,25,101
S00092131,151,43,108
S00092132,103,13,90
S00092133,156,38,118
S00092134,108,22,86
S00092135,175,33,142
S00092136,125,17,108
S00092137,83,14,69
S00092138,152,31,121
S00092139,93,18,75
S00092140,155,32,123
S00092141,52,14,38
S00092142,82,13,69
S00092143,96,18,78
S00092144,155,28,127
S00092145,75,19,56
S00092146,109,18,91
S00092147,157,24,133
S00092148,182,29,153
S00092149,118,26,92
S00092150,82,15,67
S00092151,140,23,117
S00092152,74,14,60
S00092153,157,29,128
S00092154,96,17,79
S00092155,90,35,55
S00092156,66,19,47
S00092157,137,31,106
S00092158,138,33,105
S00092159,114,22,92
S00092160,101,24,77
S00092161,152,41,111
S00092162,128,22,106
S00092163,195,48,147
S00092164,77,8,69
S00092165,144,47,97
S00092166,68,13,55
S00092167,91,38,53
S00092168,132,30,102
S00092169,85,15,70
S00092170,132,28,104
S00092171,113,32,81
S00092172,161,37,124
S00092173,193,35,158
S00092174,167,33,134
S00092175,132,28,104
S00092176,129,29,100
S00092177,164,36,128
S00092178,99,7,92
S00092179,148,29,119
S00092180,160,38,122
S00092181,59,38,21
S00092182,122,17,105
S00092183,144,29,115
S00092184,170,26,144
S00092185,145,25,120
S00092186,72,19,53
S00092187,153,25,128
S00092188,51,41,10
S00092189,78,17,61
S00092190,157,62,95
S00092191,160,25,135
S00092192,75,29,46
S00092193,153,22,131
S00092194,190,33,157
S00092195,161,30,131
S00092196,136,27,109
S00092197,163,37,126
S00092198,131,24,107
S00092199,75,16,59
S00092200,65,4,61
S00092201,98,13,85
S00092202,168,35,133
S00092203,153,25,128
S00092204,143,24,119
S00092205,112,28,84
S00092206,120,23,97
S00092207,156,23,133
S00092208,86,0,86
S00092209,184,38,146
S00092210,117,25,92
S00092211,108,28,80
S00092212,93,16,77
S00092213,159,23,136
S00092214,156,28,128
S00092215,115,14,101
S00092216,124,30,94
S00092217,97,24,73
S00092218,134,37,97
S00092219,97,13,84
S00092220,64,13,51
S00092221,110,11,99
S00092222,105,23,82
S00092223,149,9,140
S00092224,71,26,45
S00092225,101,42,59
S00092226,187,10,177
S00092227,153,16,137
S00092228,141,68,73
S00092229,122,9,113
S00092230,109,10,99
S00092231,134,17,117
S00092232,83,10,73
S00092233,132,16,116
S00092234,61,11,50
S00092235,110,14,96
S00092236,109,12,97
S00092237,128,27,101
S00092238,83,2,81
S00092239,212,15,197
S00092240,132,14,118
S00092241,102,16,86
S00092242,128,17,111
S00092243,60,9,51
S00092244,61,4,57
S00092245,109,15,94
S00092246,116,17,99
S00092247,86,9,77
S00092248,94,13,81
S00092249,95,22,73
S00092250,76,4,72
S00092251,66,11,55
S00092252,177,17,160
S00092253,157,12,145
S00092254,79,21,58
S00092255,120,21,99
S00092256,161,13,148
S00092257,60,13,47
S00092258,142,23,119
S00092259,130,18,112
S00092260,102,6,96
S00092261,97,12,85
S00092262,165,17,148
S00092263,97,13,84
S00092264,101,23,78
S00092265,116,22,94
S00092266,161,17,144
S00092267,135,14,121
S00092268,123,19,104
S00092269,78,40,38
S00092270,55,12,43
S00092271,108,21,87
S00092272,107,27,80
S00092273,62,4,58
S00092274,186,24,162
S00092275,99,15,84
S00092276,63,8,55
S00092277,116,16,100
S00092278,111,25,86
S00092279,74,9,65
S00092280,87,15,72
S00092281,75,14,61
S00092282,63,19,44
S00092283,161,44,117
S00092284,102,17,85
S00092285,71,12,59
S00092286,84,15,69
S00092287,57,10,47
S00092288,88,16,72
S00092289,130,31,99
S00092290,74,13,61
S00092291,121,22,99
S00092292,90,13,77
S00092293,70,11,59
S00092294,50,10,40
S00092295,96,43,53
S00092296,81,18,63
S00092297,112,17,95
S00092298,133,18,115
S00092299,70,12,58
S00092300,102,20,82
S00092301,65,5,60
S00092302,110,15,95
S00092303,94,18,76
S00092304,115,17,98
S00092305,123,19,104
S00092306,96,10,86
S00092307,165,30,135
S00092308,56,18,38
S00092309,66,13,53
S00092310,75,7,68
S00092311,135,14,121
S00092312,136,11,125
S00092313,116,20,96
S00092314,102,23,79
S00092315,59,13,46
S00092316,135,17,118
S00092317,154,13,141
S00092318,170,11,159
S00092319,111,16,95
S00092320,56,10,46
S00092321,78,22,56
S00092322,90,18,72
S00092323,180,46,134
S00092324,145,28,117
S00092325,84,10,74
S00092326,112,15,97
S00092327,103,11,92
S00092328,79,8,71
S00092329,185,34,151
S00092330,151,11,140
S00092331,159,20,139
S00092332,183,19,164
S00092333,191,11,180
S00092334,166,9,157
S00092335,188,16,172
S00092336,162,7,155
S00092337,131,12,119
S00092338,140,10,130
S00092339,132,5,127
S00092340,162,1,161
S00092341,220,8,212
S00092342,137,25,112
S00092343,94,39,55
S00092344,243,17,226
S00092345,169,6,163
S00092346,194,3,191
S00092347,217,5,212
S00092348,155,5,150
S00092349,151,9,142
S00092350,128,16,112
S00092351,113,17,96
S00092352,94,8,86
S00092353,201,17,184
S00092354,118,6,112
S00092355,69,6,63
S00092356,164,28,136
S00092357,90,13,77
S00092358,127,12,115
S00092359,78,18,60
S00092360,126,24,102
S00092361,121,6,115
S00092362,158,32,126
S00092363,150,28,122
S00092364,76,9,67
S00092365,127,9,118
S00092366,184,10,174
S00092367,135,14,121
S00092368,117,11,106
S00092369,127,23,104
S00092370,167,21,146
S00092371,123,11,112
S00092372,153,11,142
S00092373,107,18,89
S00092374,121,11,110
S00092375,185,26,159
S00092376,117,9,108
S00092377,75,9,66
S00092378,111,18,93
S00092379,91,12,79
S00092380,58,12,46
S00092381,69,4,65
S00092382,100,6,94
S00092383,182,38,144
S00092384,165,34,131
S00092385,176,7,169
S00092386,149,12,137
S00092387,201,27,174
S00092388,101,8,93
S00092389,235,17,218
S00092390,112,16,96
S00092391,62,17,45
S00092392,173,22,151
S00092393,107,12,95
S00092394,175,16,159
S00092395,130,15,115
S00092396,115,15,100
S00092397,162,14,148
S00092398,191,27,164
S00092399,149,20,129
S00092400,195,23,172
S00092401,160,15,145
S00092402,143,14,129
S00092403,183,9,174
S00092404,76,12,64
S00092405,106,16,90
S00092406,149,4,145
S00092407,213,12,201
S00092408,134,20,114
S00092409,140,17,123
S00092410,170,27,143
S00092411,77,10,67
S00092412,113,11,102
S00092413,128,13,115
S00092414,84,9,75
S00092415,125,15,110
S00092416,104,14,90
S00092417,79,6,73
S00092418,130,14,116
S00092419,76,10,66
S00092420,142,22,120
S00092421,65,7,58
S00092422,111,10,101
S00092423,142,14,128
S00092424,63,5,58
S00092425,158,37,121
S00092426,129,18,111
S00092427,137,16,121
S00092428,81,25,56
S00092429,105,23,82
S00092430,112,22,90
S00092431,133,21,112
S00092432,117,14,103
S00092433,121,19,102
S00092434,217,28,189
S00092435,65,16,49
S00092436,158,33,125
S00092437,179,19,160
S00092438,65,11,54
S00092439,128,23,105
S00092440,72,18,54
S00092441,222,18,204
S00092442,146,20,126
S00092443,108,20,88
S00092444,106,9,97
S00092445,57,4,53
S00092446,112,25,87
S00092447,73,13,60
S00092448,161,22,139
S00092449,91,7,84
S00092450,192,10,182
S00092451,128,30,98
S00092452,116,16,100
S00092453,124,19,105
S00092454,86,10,76
S00092455,123,23,100
S00092456,86,14,72
S00092457,92,6,86
S00092458,180,30,150
S00092459,179,18,161
S00092460,96,15,81
S00092461,65,9,56
S00092462,150,17,133
S00092463,91,20,71
S00092464,135,22,113
S00092465,81,16,65
S00092466,178,19,159
S00092467,165,9,156
S00092468,85,12,73
S00092469,68,13,55
S00092470,159,26,133
S00092471,210,38,172
S00092472,73,24,49
S00092473,95,12,83
S00092474,167,14,153
S00092475,144,34,110
S00092476,90,24,66
S00092477,131,15,116
S00092478,84,5,79
S00092479,156,31,125
S00092480,100,31,69
S00092481,91,19,72
S00092482,89,19,70
S00092483,167,54,113
S00092484,97,26,71
S00092485,131,30,101
S00092486,68,12,56
S00092487,177,34,143
S00092488,76,16,60
S00092489,131,14,117
S00092490,112,34,78
S00092491,127,22,105
S00092492,107,4,103
S00092493,171,25,146
S00092494,144,19,125
S00092495,129,17,112
S00092496,144,21,123
S00092497,101,16,85
S00092498,117,14,103
S00092499,101,14,87
S00092500,119,23,96
S00092501,117,26,91
S00092502,121,16,105
S00092503,142,21,121
S00092504,126,20,106
S00092505,100,19,81
S00092506,149,13,136
S00092507,163,8,155
S00092508,179,18,161
S00092509,110,14,96
S00092510,134,10,124
S00092511,140,10,130
S00092512,210,9,201
S00092513,211,88,123
S00092514,132,21,111
S00092515,51,14,37
S00092516,109,28,81
S00092517,132,18,114
S00092518,132,10,122
S00092519,187,24,163
S00092520,137,15,122
S00092521,137,19,118
S00092522,178,21,157
S00092523,70,5,65
S00092524,199,17,182
S00092525,69,11,58
S00092526,107,6,101
S00092527,110,7,103
S00092528,143,18,125
S00092529,142,15,127
S00092530,109,20,89
S00092531,98,16,82
S00092532,139,15,124
S00092533,112,14,98
S00092534,168,24,144
S00092535,75,10,65
S00092536,96,14,82
S00092537,62,7,55
S00092538,188,18,170
S00092539,83,12,71
S00092540,137,7,130
S00092541,130,19,111
S00092542,114,19,95
S00092543,198,20,178
S00092544,88,14,74
S00092545,110,14,96
S00092546,64,10,54
S00092547,115,14,101
S00092548,65,12,53
S00092549,125,24,101
S00092550,253,8,245
S00092551,211,8,203
S00092552,222,8,214
S00092553,165,11,154
S00092554,189,13,176
S00092555,192,8,184
S00092556,122,7,115
S00092557,181,11,170
S00092558,230,16,214
S00092559,178,13,165
S00092560,145,23,122
S00092561,93,11,82
S00092562,184,20,164
S00092563,164,14,150
S00092564,91,7,84
S00092565,167,12,155
S00092566,106,22,84
S00092567,166,6,160
S00092568,125,15,110
S00092569,201,10,191
S00092570,153,17,136
S00092571,95,10,85
S00092572,81,13,68
S00092573,196,16,180
S00092574,137,25,112
S00092575,163,14,149
S00092576,102,17,85
S00092577,110,24,86
S00092578,124,16,108
S00092579,108,13,95
S00092580,147,25,122
S00092581,140,38,102
S00092582,56,37,19
S00092583,166,93,73
S00092584,71,8,63
S00092585,172,18,154
S00092586,164,20,144
S00092587,129,24,105
S00092588,133,22,111
S00092589,137,26,111
S00092590,96,14,82
S00092591,93,6,87
S00092592,177,31,146
S00092593,113,22,91
S00092594,121,24,97
S00092595,103,12,91
S00092596,252,111,141
S00092597,109,21,88
S00092598,115,22,93
S00092599,129,23,106
S00092600,109,11,98
S00092601,106,7,99
S00092602,131,11,120
S00092603,152,15,137
S00092604,176,24,152
S00092605,106,18,88
S00092606,107,12,95
S00092607,93,19,74
S00092608,106,13,93
S00092609,171,16,155
S00092610,199,15,184
S00092611,130,47,83
S00092612,167,18,149
S00092613,83,16,67
S00092614,93,10,83
S00092615,72,14,58
S00092616,141,22,119
S00092617,95,7,88
S00092618,159,17,142
S00092619,177,13,164
S00092620,156,94,62
S00092621,218,15,203
S00092622,70,23,47
S00092623,95,8,87
S00092624,155,6,149
S00092625,170,14,156
S00092626,80,16,64
S00092627,107,22,85
S00092628,67,5,62
S00092629,205,21,184
S00092630,66,9,57
S00092631,191,20,171
S00092632,111,12,99
S00092633,99,29,70
S00092634,120,39,81
S00092635,159,45,114
S00092636,119,33,86
S00092637,156,8,148
S00092638,146,3,143
S00092639,135,7,128
S00092640,167,6,161
S00092641,138,17,121
S00092642,176,22,154
S00092643,62,3,59
S00092644,104,16,88
S00092645,83,21,62
S00092646,116,15,101
S00092647,199,13,186
S00092648,141,10,131
S00092649,150,18,132
S00092650,206,21,185
S00092651,120,17,103
S00092652,69,3,66
S00092653,130,23,107
S00092654,124,20,104
S00092655,134,24,110
S00092656,112,5,107
S00092657,185,42,143
S00092658,89,10,79
S00092659,182,19,163
S00092660,101,13,88
S00092661,117,15,102
S00092662,78,10,68
S00092663,112,11,101
S00092664,144,24,120
S00092665,71,15,56
S00092666,135,25,110
S00092667,90,17,73
S00092668,99,13,86
S00092669,174,17,157
S00092670,81,11,70
S00092671,120,15,105
S00092672,132,40,92
S00092673,81,21,60
S00092674,146,14,132
S00092675,168,20,148
S00092676,89,12,77
S00092677,98,14,84
S00092678,136,15,121
S00092679,84,15,69
S00092680,194,32,162
S00092681,97,16,81
S00092682,103,29,74
S00092683,138,17,121
S00092684,85,11,74
S00092685,87,19,68
S00092686,128,25,103
S00092687,156,39,117
S00092688,83,9,74
S00092689,250,13,237
S00092690,244,17,227
S00092691,132,10,122
S00092692,57,28,29
S00092693,119,8,111
S00092694,153,46,107
S00092695,59,19,40
S00092696,127,8,119
S00092697,120,15,105
S00092698,147,14,133
S00092699,136,13,123
S00092700,88,14,74
S00092701,118,17,101
S00092702,108,9,99
S00092703,160,17,143
S00092704,158,21,137
S00092705,110,20,90
S00092706,160,30,130
S00092707,63,14,49
S00092708,104,20,84
S00092709,93,14,79
S00092710,133,18,115
S00092711,128,11,117
S00092712,123,16,107
S00092713,118,17,101
S00092714,69,11,58
S00092715,101,12,89
S00092716,132,24,108
S00092717,205,18,187
S00092718,110,25,85
S00092719,86,15,71
S00092720,186,16,170
S00092721,86,9,77
S00092722,82,16,66
S00092723,167,22,145
S00092724,146,46,100
S00092725,57,32,25
S00092726,116,14,102
S00092727,93,19,74
S00092728,109,18,91
S00092729,146,16,130
S00092730,111,26,85
S00092731,175,14,161
S00092732,128,28,100
S00092733,177,8,169
S00092734,154,8,146
S00092735,62,19,43
S00092736,57,8,49
S00092737,104,23,81
S00092738,131,20,111
S00092739,80,9,71
S00092740,60,8,52
S00092741,98,21,77
S00092742,109,22,87
S00092743,82,19,63
S00092744,126,13,113
S00092745,173,18,155
S00092746,63,8,55
S00092747,117,13,104
S00092748,138,29,109
S00092749,124,22,102
S00092750,103,29,74
S00092751,132,5,127
S00092752,155,19,136
S00092753,133,8,125
S00092754,90,5,85
S00092755,75,1,74
S00092756,170,21,149
S00092757,178,16,162
S00092758,70,30,40
S00092759,95,24,71
S00092760,151,16,135
S00092761,64,15,49
S00092762,84,16,68
S00092763,145,7,138
S00092764,119,8,111
S00092765,219,25,194
S00092766,94,10,84
S00092767,159,9,150
S00092768,169,14,155
S00092769,163,25,138
S00092770,71,13,58
S00092771,168,14,154
S00092772,121,23,98
S00092773,81,7,74
S00092774,115,14,101
S00092775,92,21,71
S00092776,138,37,101
S00092777,109,16,93
S00092778,141,20,121
S00092779,189,13,176
S00092780,108,12,96
S00092781,153,25,128
S00092782,114,18,96
S00092783,119,7,112
S00092784,140,17,123
S00092785,168,19,149
S00092786,111,22,89
S00092787,127,21,106
S00092788,161,22,139
S00092789,161,13,148
S00092790,191,28,163
S00092791,82,11,71
S00092792,124,13,111
S00092793,128,21,107
S00092794,99,13,86
S00092795,69,14,55
S00092796,93,17,76
S00092797,136,14,122
S00092798,91,24,67
S00092799,118,19,99
S00092800,140,35,105
S00092801,58,8,50
S00092802,95,35,60
S00092803,57,5,52
S00092804,227,88,139
S00092805,87,8,79
S00092806,116,12,104
S00092807,155,22,133
S00092808,121,27,94
S00092809,105,11,94
S00092810,170,16,154
S00092811,81,28,53
S00092812,131,23,108
S00092813,142,8,134
S00092814,166,27,139
S00092815,155,20,135
S00092816,188,12,176
S00092817,84,16,68
S00092818,132,12,120
S00092819,85,25,60
S00092820,121,22,99
S00092821,72,18,54
S00092822,66,14,52
S00092823,198,36,162
S00092824,147,15,132
S00092825,84,14,70
S00092826,85,17,68
S00092827,57,28,29
S00092828,83,22,61
S00092829,105,19,86
S00092830,183,31,152
S00092831,96,30,66
S00092832,106,22,84
S00092833,73,13,60
S00092834,82,8,74
S00092835,119,12,107
S00092836,81,16,65
S00092837,135,30,105
S00092838,128,14,114
S00092839,67,16,51
S00092840,85,41,44
S00092841,126,27,99
S00092842,96,12,84
S00092843,86,31,55
S00092844,120,24,96
S00092845,90,10,80
S00092846,102,27,75
S00092847,76,27,49
S00092848,89,52,37
S00092849,126,27,99
S00092850,71,3,68
S00092851,162,16,146
S00092852,166,21,145
S00092853,126,25,101
S00092854,63,13,50
S00092855,93,19,74
S00092856,89,31,58
S00092857,112,21,91
S00092858,155,26,129
S00092859,56,20,36
S00092860,82,20,62
S00092861,105,18,87
S00092862,76,14,62
S00092863,85,18,67
S00092864,140,12,128
S00092865,135,10,125
S00092866,52,5,47
S00092867,108,20,88
S00092868,127,17,110
S00092869,92,24,68
S00092870,58,32,26
S00092871,122,38,84
S00092872,77,11,66
S00092873,121,53,68
S00092874,126,26,100
S00092875,191,29,162
S00092876,84,28,56
S00092877,159,26,133
S00092878,118,20,98
S00092879,99,16,83
S00092880,120,33,87
S00092881,122,33,89
S00092882,107,24,83
S00092883,118,33,85
S00092884,52,14,38
S00092885,155,29,126
S00092886,101,28,73
S00092887,141,33,108
S00092888,60,13,47
S00092889,94,11,83
S00092890,70,21,49
S00092891,144,22,122
S00092892,149,30,119
S00092893,116,31,85
S00092894,119,23,96
S00092895,104,17,87
S00092896,137,56,81
S00092897,87,18,69
S00092898,114,16,98
S00092899,53,10,43
S00092900,108,22,86
S00092901,246,36,210
S00092902,114,13,101
S00092903,210,17,193
S00092904,192,64,128
S00092905,165,25,140
S00092906,109,37,72
S00092907,172,29,143
S00092908,70,22,48
S00092909,93,26,67
S00092910,132,28,104
S00092911,124,17,107
S00092912,145,18,127
S00092913,89,24,65
S00092914,95,15,80
S00092915,155,20,135
S00092916,164,28,136
S00092917,144,26,118
S00092918,121,18,103
S00092919,135,31,104
S00092920,106,5,101
S00092921,181,23,158
S00092922,82,26,56
S00092923,101,21,80
S00092924,115,19,96
S00092925,149,30,119
S00092926,62,17,45
S00092927,140,14,126
S00092928,127,15,112
S00092929,58,10,48
S00092930,139,21,118
S00092931,146,37,109
S00092932,145,27,118
S00092933,146,27,119
S00092934,143,20,123
S00092935,111,32,79
S00092936,79,16,63
S00092937,107,36,71
S00092938,115,21,94
S00092939,165,38,127
S00092940,123,17,106
S00092941,160,23,137
S00092942,141,16,125
S00092943,69,14,55
S00092944,119,20,99
S00092945,116,24,92
S00092946,105,22,83
S00092947,173,71,102
S00092948,202,9,193
S00092949,82,5,77
S00092950,107,11,96
S00092951,152,19,133
S00092952,159,15,144
S00092953,70,24,46
S00092954,103,21,82
S00092955,111,13,98
S00092956,138,23,115
S00092957,103,7,96
S00092958,154,16,138
S00092959,84,10,74
S00092960,151,24,127
S00092961,102,14,88
S00092962,127,8,119
S00092963,132,17,115
S00092964,99,10,89
S00092965,191,19,172
S00092966,133,11,122
S00092967,99,16,83
S00092968,128,18,110
S00092969,91,17,74
S00092970,65,9,56
S00092971,188,39,149
S00092972,143,31,112
S00092973,143,29,114
S00092974,87,24,63
S00092975,134,13,121
S00092976,129,24,105
S00092977,109,13,96
S00092978,110,21,89
S00092979,73,12,61
S00092980,140,33,107
S00092981,64,12,52
S00092982,105,14,91
S00092983,182,30,152
S00092984,163,26,137
S00092985,148,28,120
S00092986,180,14,166
S00092987,140,4,136
S00092988,165,7,158
S00092989,192,26,166
S00092990,186,19,167
S00092991,191,25,166
S00092992,154,20,134
S00092993,106,13,93
S00092994,151,18,133
S00092995,84,15,69
S00092996,97,20,77
S00092997,93,26,67
S00092998,143,20,123
S00092999,159,29,130
S00093000,95,24,71
S00093001,139,36,103
S00093002,176,44,132
S00093003,93,11,82
S00093004,201,45,156
S00093005,170,21,149
S00093006,160,8,152
S00093007,160,19,141
S00093008,132,15,117
S00093009,55,9,46
S00093010,96,23,73
S00093011,96,24,72
S00093012,112,18,94
S00093013,138,22,116
S00093014,82,21,61
S00093015,65,12,53
S00093016,118,21,97
S00093017,129,13,116
S00093018,113,11,102
S00093019,159,20,139
S00093020,78,13,65
S00093021,95,17,78
S00093022,96,24,72
S00093023,107,19,88
S00093024,61,18,43
S00093025,109,20,89
S00093026,118,23,95
S00093027,118,16,102
S00093028,120,15,105
S00093029,171,29,142
S00093030,118,18,100
S00093031,84,17,67
S00093032,151,20,131
S00093033,224,21,203
S00093034,103,13,90
S00093035,106,15,91
S00093036,105,22,83
S00093037,91,17,74
S00093038,63,6,57
S00093039,163,35,128
S00093040,139,17,122
S00093041,61,15,46
S00093042,176,34,142
S00093043,125,28,97
S00093044,68,15,53
S00093045,172,32,140
S00093046,159,23,136
S00093047,128,25,103
S00093048,80,16,64
S00093049,80,14,66
S00093050,71,3,68
S00093051,79,8,71
S00093052,90,7,83
S00093053,115,16,99
S00093054,78,15,63
S00093055,106,12,94
S00093056,66,8,58
S00093057,91,10,81
S00093058,137,19,118
S00093059,147,20,127
S00093060,122,21,101
S00093061,99,17,82
S00093062,127,20,107
S00093063,126,13,113
S00093064,147,18,129
S00093065,189,25,164
S00093066,125,26,99
S00093067,67,6,61
S00093068,127,19,108
S00093069,80,7,73
S00093070,131,23,108
S00093071,121,15,106
S00093072,109,13,96
S00093073,123,20,103
S00093074,116,16,100
S00093075,99,15,84
S00093076,145,22,123
S00093077,151,22,129
S00093078,87,15,72
S00093079,61,15,46
S00093080,182,16,166
S00093081,145,20,125
S00093082,176,10,166
S00093083,199,22,177
S00093084,98,12,86
S00093085,118,13,105
S00093086,55,9,46
S00093087,119,19,100
S00093088,176,43,133
S00093089,122,26,96
S00093090,91,26,65
S00093091,115,23,92
S00093092,156,19,137
S00093093,114,14,100
S00093094,92,32,60
S00093095,155,25,130
S00093096,57,6,51
S00093097,60,13,47
S00093098,79,21,58
S00093099,144,16,128
S00093100,157,7,150
S00093101,183,15,168
S00093102,193,26,167
S00093103,142,29,113
S00093104,114,16,98
S00093105,198,30,168
S00093106,117,6,111
S00093107,125,19,106
S00093108,92,24,68
S00093109,121,26,95
S00093110,115,15,100
S00093111,104,23,81
S00093112,88,7,81
S00093113,100,7,93
S00093114,172,13,159
S00093115,91,17,74
S00093116,207,15,192
S00093117,184,3,181
S00093118,135,44,91
S00093119,132,20,112
S00093120,110,14,96
S00093121,117,21,96
S00093122,81,32,49
S00093123,116,24,92
S00093124,88,30,58
S00093125,100,17,83
S00093126,108,32,76
S00093127,99,18,81
S00093128,121,27,94
S00093129,185,14,171
S00093130,122,28,94
S00093131,115,23,92
S00093132,84,16,68
S00093133,116,19,97
S00093134,138,29,109
S00093135,146,35,111
S00093136,88,17,71
S00093137,92,19,73
S00093138,111,29,82
S00093139,109,24,85
S00093140,138,17,121
S00093141,107,16,91
