"output_area","total","pensioner","student","other"
"S00089191",72,6,2,64
"S00089192",65,4,0,61
"S00089193",76,2,2,72
"S00089194",65,14,0,51
"S00089195",51,8,0,43
"S00089196",53,10,0,43
"S00089197",52,11,0,41
"S00089198",54,14,0,40
"S00089199",26,1,1,24
"S00089200",34,7,0,27
"S00089201",43,11,1,31
"S00089202",72,13,1,58
"S00089203",75,9,0,66
"S00089204",52,6,0,46
"S00089205",52,9,2,41
"S00089206",51,13,1,37
"S00089207",40,8,0,32
"S00089208",51,1,2,48
"S00089209",41,1,2,38
"S00089210",52,1,2,49
"S00089211",49,2,1,46
"S00089212",62,2,7,53
"S00089213",43,0,3,40
"S00089214",41,1,1,39
"S00089215",39,2,1,36
"S00089216",68,2,3,63
"S00089217",52,3,2,47
"S00089218",84,1,5,78
"S00089219",55,2,4,49
"S00089220",39,0,2,37
"S00089221",81,9,2,70
"S00089222",50,2,2,46
"S00089223",48,8,2,38
"S00089224",67,5,1,61
"S00089225",41,1,0,40
"S00089226",38,2,1,35
"S00089227",84,6,2,76
"S00089228",41,4,1,36
"S00089229",51,5,2,44
"S00089230",52,9,1,42
"S00089231",59,5,1,53
"S00089232",47,5,0,42
"S00089233",31,3,0,28
"S00089234",44,7,0,37
"S00089235",69,3,4,62
"S00089236",58,4,1,53
"S00089237",53,12,1,40
"S00089238",59,14,0,45
"S00089239",42,7,0,35
"S00089240",73,15,0,58
"S00089241",30,13,0,17
"S00089242",51,11,1,39
"S00089243",51,15,0,36
"S00089244",56,17,0,39
"S00089245",45,16,0,29
"S00089246",37,10,3,24
"S00089247",76,26,1,49
"S00089248",91,14,6,71
"S00089249",43,5,0,38
"S00089250",36,4,0,32
"S00089251",42,6,3,33
"S00089252",44,5,0,39
"S00089253",60,11,1,48
"S00089254",56,12,0,44
"S00089255",53,7,1,45
"S00089256",46,7,0,39
"S00089257",43,6,0,37
"S00089258",50,4,3,43
"S00089259",42,3,0,39
"S00089260",55,6,0,49
"S00089261",75,4,0,71
"S00089262",69,17,1,51
"S00089263",66,3,0,63
"S00089264",77,10,1,66
"S00089265",56,2,4,50
"S00089266",59,3,0,56
"S00089267",53,2,4,47
"S00089268",71,0,1,70
"S00089269",62,6,0,56
"S00089270",80,10,0,70
"S00089271",38,5,0,33
"S00089272",26,3,0,23
"S00089273",62,3,2,57
"S00089274",64,4,1,59
"S00089275",53,49,0,4
"S00089276",41,2,0,39
"S00089277",72,14,1,57
"S00089278",53,50,0,3
"S00089279",30,2,0,28
"S00089280",27,5,0,22
"S00089281",41,4,3,34
"S00089282",27,3,0,24
"S00089283",31,6,0,25
"S00089284",51,18,0,33
"S00089285",79,8,2,69
"S00089286",68,3,5,60
"S00089287",71,51,0,20
"S00089288",48,14,2,32
"S00089289",47,13,0,34
"S00089290",31,9,0,22
"S00089291",41,14,0,27
"S00089292",42,17,2,23
"S00089293",77,10,6,61
"S00089294",67,4,10,53
"S00089295",72,13,1,58
"S00089296",66,16,3,47
"S00089297",50,10,0,40
"S00089298",48,12,2,34
"S00089299",39,24,0,15
"S00089300",41,11,2,28
"S00089301",47,16,0,31
"S00089302",41,12,2,27
"S00089303",72,11,6,55
"S00089304",62,15,4,43
"S00089305",42,20,0,22
"S00089306",68,30,5,33
"S00089307",55,12,2,41
"S00089308",27,3,0,24
"S00089309",51,11,2,38
"S00089310",72,16,5,51
"S00089311",49,15,0,34
"S00089312",69,13,2,54
"S00089313",75,31,1,43
"S00089314",73,4,2,67
"S00089315",50,13,0,37
"S00089316",49,16,0,33
"S00089317",40,8,0,32
"S00089318",45,16,0,29
"S00089319",60,15,0,45
"S00089320",47,10,0,37
"S00089321",37,11,0,26
"S00089322",55,20,0,35
"S00089323",40,16,0,24
"S00089324",46,24,0,22
"S00089325",43,10,0,33
"S00089326",56,18,0,38
"S00089327",50,17,0,33
"S00089328",59,34,0,25
"S00089329",48,22,0,26
"S00089330",69,16,0,53
"S00089331",69,24,0,45
"S00089332",67,17,0,50
"S00089333",73,23,0,50
"S00089334",67,22,0,45
"S00089335",62,15,0,47
"S00089336",44,11,0,33
"S00089337",29,9,0,20
"S00089338",73,32,0,41
"S00089339",69,30,0,39
"S00089340",68,39,0,29
"S00089341",44,16,0,28
"S00089342",62,57,0,5
"S00089343",49,9,1,39
"S00089344",42,10,0,32
"S00089345",52,9,0,43
"S00089346",64,16,1,47
"S00089347",48,15,0,33
"S00089348",39,13,0,26
"S00089349",45,14,0,31
"S00089350",52,16,1,35
"S00089351",68,15,0,53
"S00089352",60,18,0,42
"S00089353",52,17,1,34
"S00089354",41,16,0,25
"S00089355",58,11,0,47
"S00089356",22,3,0,19
"S00089357",53,9,2,42
"S00089358",42,10,2,30
"S00089359",56,17,0,39
"S00089360",68,17,1,50
"S00089361",72,24,1,47
"S00089362",61,43,1,17
"S00089363",27,5,0,22
"S00089364",67,5,7,55
"S00089365",66,1,6,59
"S00089366",54,3,5,46
"S00089367",54,13,1,40
"S00089368",37,1,3,33
"S00089369",68,6,9,53
"S00089370",74,27,4,43
"S00089371",75,14,2,59
"S00089372",40,16,1,23
"S00089373",56,4,3,49
"S00089374",32,6,0,26
"S00089375",74,34,0,40
"S00089376",71,34,0,37
"S00089377",40,16,0,24
"S00089378",41,14,0,27
"S00089379",75,28,0,47
"S00089380",64,22,0,42
"S00089381",46,21,0,25
"S00089382",59,27,0,32
"S00089383",48,14,0,34
"S00089384",47,9,0,38
"S00089385",72,21,0,51
"S00089386",76,12,0,64
"S00089387",66,25,0,41
"S00089388",56,10,0,46
"S00089389",44,20,0,24
"S00089390",42,16,0,26
"S00089391",72,16,0,56
"S00089392",46,16,0,30
"S00089393",46,15,0,31
"S00089394",44,28,0,16
"S00089395",71,28,0,43
"S00089396",61,22,0,39
"S00089397",44,13,0,31
"S00089398",46,18,0,28
"S00089399",43,39,0,4
"S00089400",47,12,0,35
"S00089401",42,15,0,27
"S00089402",53,18,0,35
"S00089403",41,10,0,31
"S00089404",42,19,0,23
"S00089405",44,14,0,30
"S00089406",51,9,0,42
"S00089407",62,22,1,39
"S00089408",49,12,1,36
"S00089409",49,10,0,39
"S00089410",41,2,0,39
"S00089411",34,6,0,28
"S00089412",76,31,0,45
"S00089413",66,10,0,56
"S00089414",41,14,0,27
"S00089415",44,10,0,34
"S00089416",54,5,0,49
"S00089417",53,15,0,38
"S00089418",55,18,0,37
"S00089419",56,10,0,46
"S00089420",59,16,0,43
"S00089421",63,13,0,50
"S00089422",54,17,0,37
"S00089423",59,12,0,47
"S00089424",52,13,0,39
"S00089425",65,5,0,60
"S00089426",66,0,0,66
"S00089427",30,8,0,22
"S00089428",43,9,0,34
"S00089429",53,21,0,32
"S00089430",66,34,0,32
"S00089431",33,12,0,21
"S00089432",26,6,0,20
"S00089433",48,13,1,34
"S00089434",27,4,0,23
"S00089435",48,15,0,33
"S00089436",48,14,0,34
"S00089437",55,12,0,43
"S00089438",54,10,0,44
"S00089439",44,12,0,32
"S00089440",22,5,0,17
"S00089441",44,7,2,35
"S00089442",61,16,0,45
"S00089443",36,6,1,29
"S00089444",75,0,7,68
"S00089445",72,2,9,61
"S00089446",50,0,13,37
"S00089447",47,0,7,40
"S00089448",52,0,6,46
"S00089449",80,3,7,70
"S00089450",43,1,0,42
"S00089451",61,32,2,27
"S00089452",76,24,1,51
"S00089453",78,2,4,72
"S00089454",47,11,1,35
"S00089455",66,19,0,47
"S00089456",77,13,5,59
"S00089457",54,1,8,45
"S00089458",46,0,3,43
"S00089459",39,0,2,37
"S00089460",75,59,0,16
"S00089461",76,7,2,67
"S00089462",57,1,4,52
"S00089463",70,7,8,55
"S00089464",67,3,9,55
"S00089465",57,2,4,51
"S00089466",33,0,4,29
"S00089467",49,0,3,46
"S00089468",41,0,2,39
"S00089469",50,0,11,39
"S00089470",41,1,8,32
"S00089471",42,0,4,38
"S00089472",46,3,2,41
"S00089473",59,2,2,55
"S00089474",94,2,6,86
"S00089475",43,4,3,36
"S00089476",37,2,2,33
"S00089477",58,1,13,44
"S00089478",54,3,22,29
"S00089479",42,2,6,34
"S00089480",40,3,8,29
"S00089481",61,0,19,42
"S00089482",48,2,5,41
"S00089483",46,2,9,35
"S00089484",63,17,3,43
"S00089485",42,0,6,36
"S00089486",72,35,1,36
"S00089487",55,20,1,34
"S00089488",63,18,5,40
"S00089489",79,3,19,57
"S00089490",79,6,12,61
"S00089491",46,0,7,39
"S00089492",51,11,0,40
"S00089493",40,15,2,23
"S00089494",51,12,0,39
"S00089495",43,11,1,31
"S00089496",48,12,1,35
"S00089497",70,11,11,48
"S00089498",57,3,2,52
"S00089499",36,3,0,33
"S00089500",46,10,3,33
"S00089501",68,2,3,63
"S00089502",65,6,2,57
"S00089503",56,44,0,12
"S00089504",52,40,0,12
"S00089505",50,31,0,19
"S00089506",48,3,0,45
"S00089507",52,7,0,45
"S00089508",53,3,0,50
"S00089509",31,1,1,29
"S00089510",55,2,2,51
"S00089511",44,1,2,41
"S00089512",42,2,1,39
"S00089513",63,5,4,54
"S00089514",40,5,1,34
"S00089515",62,8,5,49
"S00089516",64,5,3,56
"S00089517",52,24,1,27
"S00089518",101,40,1,60
"S00089519",53,20,0,33
"S00089520",42,11,0,31
"S00089521",71,28,1,42
"S00089522",52,12,2,38
"S00089523",47,12,3,32
"S00089524",56,17,0,39
"S00089525",39,13,0,26
"S00089526",75,53,0,22
"S00089527",75,53,0,22
"S00089528",64,14,1,49
"S00089529",58,15,0,43
"S00089530",36,6,2,28
"S00089531",44,8,0,36
"S00089532",58,8,1,49
"S00089533",40,8,0,32
"S00089534",59,11,1,47
"S00089535",42,9,0,33
"S00089536",64,12,0,52
"S00089537",37,6,1,30
"S00089538",38,12,1,25
"S00089539",41,3,0,38
"S00089540",48,5,0,43
"S00089541",44,11,0,33
"S00089542",83,1,0,82
"S00089543",54,6,1,47
"S00089544",52,4,0,48
"S00089545",55,47,0,8
"S00089546",47,3,2,42
"S00089547",69,11,1,57
"S00089548",104,3,4,97
"S00089549",61,9,2,50
"S00089550",50,7,1,42
"S00089551",60,17,1,42
"S00089552",35,1,0,34
"S00089553",36,1,0,35
"S00089554",41,3,1,37
"S00089555",71,17,1,53
"S00089556",46,8,0,38
"S00089557",95,3,3,89
"S00089558",58,3,0,55
"S00089559",70,10,1,59
"S00089560",53,14,0,39
"S00089561",41,7,2,32
"S00089562",62,16,0,46
"S00089563",40,10,5,25
"S00089564",45,7,4,34
"S00089565",71,7,4,60
"S00089566",68,10,8,50
"S00089567",62,3,0,59
"S00089568",64,2,5,57
"S00089569",74,36,1,37
"S00089570",54,3,2,49
"S00089571",61,6,6,49
"S00089572",41,13,1,27
"S00089573",48,10,2,36
"S00089574",46,0,4,42
"S00089575",35,11,1,23
"S00089576",53,7,4,42
"S00089577",37,1,1,35
"S00089578",41,1,2,38
"S00089579",38,0,3,35
"S00089580",44,1,0,43
"S00089581",35,1,0,34
"S00089582",53,1,1,51
"S00089583",77,15,0,62
"S00089584",38,6,1,31
"S00089585",59,4,0,55
"S00089586",43,0,3,40
"S00089587",43,5,2,36
"S00089588",45,14,0,31
"S00089589",40,11,0,29
"S00089590",53,15,2,36
"S00089591",45,5,3,37
"S00089592",47,7,0,40
"S00089593",53,9,0,44
"S00089594",30,1,1,28
"S00089595",48,3,3,42
"S00089596",47,9,1,37
"S00089597",45,0,0,45
"S00089598",35,1,1,33
"S00089599",64,1,0,63
"S00089600",28,2,1,25
"S00089601",37,5,3,29
"S00089602",74,8,0,66
"S00089603",49,6,5,38
"S00089604",43,4,2,37
"S00089605",76,8,3,65
"S00089606",68,8,1,59
"S00089607",49,1,2,46
"S00089608",39,18,0,21
"S00089609",45,0,0,45
"S00089610",69,5,1,63
"S00089611",58,9,1,48
"S00089612",42,3,0,39
"S00089613",30,11,4,15
"S00089614",72,1,0,71
"S00089615",55,5,0,50
"S00089616",69,1,0,68
"S00089617",69,1,0,68
"S00089618",58,1,0,57
"S00089619",63,2,0,61
"S00089620",69,3,0,66
"S00089621",43,33,0,10
"S00089622",45,15,3,27
"S00089623",48,13,3,32
"S00089624",36,7,6,23
"S00089625",43,9,5,29
"S00089626",61,8,24,29
"S00089627",46,1,5,40
"S00089628",71,1,11,59
"S00089629",65,0,6,59
"S00089630",30,2,1,27
"S00089631",52,2,8,42
"S00089632",48,1,2,45
"S00089633",79,1,12,66
"S00089634",46,7,8,31
"S00089635",34,0,7,27
"S00089636",50,13,4,33
"S00089637",40,4,4,32
"S00089638",47,4,10,33
"S00089639",61,6,5,50
"S00089640",66,4,11,51
"S00089641",38,3,3,32
"S00089642",36,1,0,35
"S00089643",67,6,10,51
"S00089644",73,2,5,66
"S00089645",66,4,8,54
"S00089646",81,23,6,52
"S00089647",66,2,22,42
"S00089648",31,0,5,26
"S00089649",50,7,7,36
"S00089650",60,6,18,36
"S00089651",64,10,1,53
"S00089652",54,6,16,32
"S00089653",59,2,12,45
"S00089654",41,2,13,26
"S00089655",29,3,12,14
"S00089656",53,0,8,45
"S00089657",31,5,5,21
"S00089658",74,4,14,56
"S00089659",48,2,12,34
"S00089660",60,2,15,43
"S00089661",91,3,10,78
"S00089662",50,4,9,37
"S00089663",70,0,9,61
"S00089664",41,8,4,29
"S00089665",64,2,10,52
"S00089666",50,0,14,36
"S00089667",44,1,3,40
"S00089668",61,12,3,46
"S00089669",66,1,17,48
"S00089670",38,0,16,22
"S00089671",46,3,3,40
"S00089672",86,13,0,73
"S00089673",78,43,1,34
"S00089674",80,2,5,73
"S00089675",78,4,10,64
"S00089676",49,2,2,45
"S00089677",72,1,5,66
"S00089678",36,0,5,31
"S00089679",82,5,7,70
"S00089680",83,2,9,72
"S00089681",57,5,14,38
"S00089682",33,2,2,29
"S00089683",46,4,4,38
"S00089684",50,4,1,45
"S00089685",65,1,8,56
"S00089686",25,3,5,17
"S00089687",46,1,4,41
"S00089688",51,7,7,37
"S00089689",42,7,1,34
"S00089690",69,18,6,45
"S00089691",68,20,3,45
"S00089692",25,4,3,18
"S00089693",28,6,4,18
"S00089694",57,1,4,52
"S00089695",58,8,3,47
"S00089696",62,2,5,55
"S00089697",36,2,4,30
"S00089698",47,6,5,36
"S00089699",32,3,3,26
"S00089700",51,6,6,39
"S00089701",44,5,3,36
"S00089702",30,1,3,26
"S00089703",56,12,0,44
"S00089704",49,8,0,41
"S00089705",42,9,0,33
"S00089706",54,16,0,38
"S00089707",48,3,0,45
"S00089708",39,13,0,26
"S00089709",40,13,1,26
"S00089710",72,28,1,43
"S00089711",71,25,0,46
"S00089712",50,18,0,32
"S00089713",48,13,0,35
"S00089714",60,11,0,49
"S00089715",39,6,0,33
"S00089716",56,42,0,14
"S00089717",64,28,0,36
"S00089718",63,9,0,54
"S00089719",76,12,3,61
"S00089720",64,7,0,57
"S00089721",63,10,0,53
"S00089722",55,10,2,43
"S00089723",23,2,4,17
"S00089724",42,5,2,35
"S00089725",41,6,0,35
"S00089726",53,8,1,44
"S00089727",50,4,2,44
"S00089728",46,9,0,37
"S00089729",76,17,1,58
"S00089730",58,1,1,56
"S00089731",49,8,0,41
"S00089732",84,37,1,46
"S00089733",56,15,2,39
"S00089734",52,22,0,30
"S00089735",41,0,2,39
"S00089736",54,3,0,51
"S00089737",50,6,2,42
"S00089738",41,10,0,31
"S00089739",39,10,0,29
"S00089740",70,10,1,59
"S00089741",45,18,0,27
"S00089742",53,10,0,43
"S00089743",57,11,0,46
"S00089744",38,10,0,28
"S00089745",55,8,2,45
"S00089746",53,8,1,44
"S00089747",44,7,1,36
"S00089748",46,3,0,43
"S00089749",26,3,2,21
"S00089750",63,4,0,59
"S00089751",44,7,2,35
"S00089752",41,4,2,35
"S00089753",53,11,0,42
"S00089754",49,5,1,43
"S00089755",28,3,0,25
"S00089756",37,2,1,34
"S00089757",64,6,6,52
"S00089758",55,20,1,34
"S00089759",68,17,1,50
"S00089760",53,5,1,47
"S00089761",22,2,0,20
"S00089762",70,4,0,66
"S00089763",59,7,0,52
"S00089764",58,12,0,46
"S00089765",52,6,0,46
"S00089766",63,4,6,53
"S00089767",39,1,3,35
"S00089768",39,1,4,34
"S00089769",36,1,2,33
"S00089770",52,2,4,46
"S00089771",64,2,4,58
"S00089772",62,1,1,60
"S00089773",71,1,4,66
"S00089774",53,0,2,51
"S00089775",54,3,1,50
"S00089776",66,2,3,61
"S00089777",59,0,3,56
"S00089778",75,1,6,68
"S00089779",66,10,4,52
"S00089780",55,3,0,52
"S00089781",69,5,2,62
"S00089782",56,2,0,54
"S00089783",57,47,1,9
"S00089784",37,2,2,33
"S00089785",64,2,0,62
"S00089786",38,3,0,35
"S00089787",55,4,4,47
"S00089788",37,1,4,32
"S00089789",71,0,5,66
"S00089790",95,13,7,75
"S00089791",42,5,0,37
"S00089792",44,2,5,37
"S00089793",43,3,4,36
"S00089794",36,6,1,29
"S00089795",72,4,5,63
"S00089796",72,2,8,62
"S00089797",63,2,4,57
"S00089798",63,1,3,59
"S00089799",70,9,2,59
"S00089800",65,8,2,55
"S00089801",62,32,0,30
"S00089802",72,19,1,52
"S00089803",40,9,0,31
"S00089804",58,16,0,42
"S00089805",40,14,0,26
"S00089806",50,11,0,39
"S00089807",42,9,0,33
"S00089808",38,6,0,32
"S00089809",53,1,0,52
"S00089810",28,8,0,20
"S00089811",41,4,2,35
"S00089812",42,10,1,31
"S00089813",57,7,0,50
"S00089814",45,34,1,10
"S00089815",40,11,1,28
"S00089816",52,8,0,44
"S00089817",59,10,0,49
"S00089818",38,9,0,29
"S00089819",73,14,1,58
"S00089820",50,3,0,47
"S00089821",51,13,0,38
"S00089822",44,12,0,32
"S00089823",43,15,0,28
"S00089824",72,19,1,52
"S00089825",68,17,0,51
"S00089826",50,6,0,44
"S00089827",46,7,0,39
"S00089828",54,49,0,5
"S00089829",42,11,0,31
"S00089830",51,8,0,43
"S00089831",46,12,0,34
"S00089832",40,11,0,29
"S00089833",65,15,0,50
"S00089834",40,10,0,30
"S00089835",43,14,0,29
"S00089836",72,16,0,56
"S00089837",68,11,1,56
"S00089838",68,17,0,51
"S00089839",35,6,0,29
"S00089840",35,5,0,30
"S00089841",48,9,1,38
"S00089842",40,8,0,32
"S00089843",50,5,0,45
"S00089844",51,8,0,43
"S00089845",55,10,0,45
"S00089846",36,8,0,28
"S00089847",34,4,0,30
"S00089848",46,7,0,39
"S00089849",59,10,0,49
"S00089850",65,4,2,59
"S00089851",40,12,0,28
"S00089852",70,60,0,10
"S00089853",70,8,0,62
"S00089854",68,62,0,6
"S00089855",72,16,0,56
"S00089856",75,20,0,55
"S00089857",57,16,1,40
"S00089858",37,10,0,27
"S00089859",48,4,3,41
"S00089860",48,4,2,42
"S00089861",51,9,0,42
"S00089862",68,14,2,52
"S00089863",64,17,3,44
"S00089864",76,16,1,59
"S00089865",57,13,2,42
"S00089866",49,15,1,33
"S00089867",52,7,0,45
"S00089868",40,12,0,28
"S00089869",67,5,6,56
"S00089870",48,10,1,37
"S00089871",63,34,2,27
"S00089872",59,15,0,44
"S00089873",67,21,0,46
"S00089874",69,7,4,58
"S00089875",68,24,0,44
"S00089876",51,14,0,37
"S00089877",45,13,0,32
"S00089878",51,13,0,38
"S00089879",62,11,4,47
"S00089880",66,24,1,41
"S00089881",74,13,4,57
"S00089882",51,22,1,28
"S00089883",46,22,0,24
"S00089884",36,7,0,29
"S00089885",76,17,1,58
"S00089886",57,33,1,23
"S00089887",49,6,3,40
"S00089888",38,4,3,31
"S00089889",49,14,0,35
"S00089890",65,1,6,58
"S00089891",69,19,2,48
"S00089892",67,0,8,59
"S00089893",73,13,1,59
"S00089894",86,2,7,77
"S00089895",40,2,12,26
"S00089896",45,10,0,35
"S00089897",66,21,2,43
"S00089898",65,9,0,56
"S00089899",51,14,0,37
"S00089900",49,16,0,33
"S00089901",40,10,0,30
"S00089902",74,19,0,55
"S00089903",67,21,0,46
"S00089904",42,10,0,32
"S00089905",52,18,0,34
"S00089906",42,14,0,28
"S00089907",49,22,0,27
"S00089908",43,19,0,24
"S00089909",28,6,0,22
"S00089910",50,11,0,39
"S00089911",64,13,0,51
"S00089912",56,8,0,48
"S00089913",47,20,0,27
"S00089914",40,8,0,32
"S00089915",40,23,0,17
"S00089916",59,17,0,42
"S00089917",43,7,0,36
"S00089918",45,0,0,45
"S00089919",42,12,0,30
"S00089920",52,5,0,47
"S00089921",40,9,0,31
"S00089922",41,8,0,33
"S00089923",41,8,0,33
"S00089924",42,3,0,39
"S00089925",47,12,0,35
"S00089926",49,11,0,38
"S00089927",43,9,0,34
"S00089928",50,10,0,40
"S00089929",54,11,0,43
"S00089930",41,4,0,37
"S00089931",44,11,0,33
"S00089932",50,9,0,41
"S00089933",39,9,0,30
"S00089934",39,1,0,38
"S00089935",58,7,0,51
"S00089936",41,11,0,30
"S00089937",36,8,1,27
"S00089938",58,7,0,51
"S00089939",66,22,0,44
"S00089940",55,7,0,48
"S00089941",49,7,1,41
"S00089942",39,2,0,37
"S00089943",44,13,0,31
"S00089944",47,39,0,8
"S00089945",58,6,0,52
"S00089946",62,4,0,58
"S00089947",40,8,1,31
"S00089948",71,3,1,67
"S00089949",57,18,0,39
"S00089950",53,8,0,45
"S00089951",48,17,0,31
"S00089952",57,12,0,45
