"output_area","total","owned","social","rented","rentfree"
"S00089037",87,35,0,47,5
"S00089038",58,2,2,54,0
"S00089039",80,16,13,51,0
"S00089040",91,5,82,4,0
"S00089041",146,85,52,6,3
"S00089042",68,5,56,7,0
"S00089043",148,8,137,3,0
"S00089044",71,7,59,5,0
"S00089045",73,33,32,7,1
"S00089046",95,78,0,17,0
"S00089047",110,76,7,22,5
"S00089048",91,54,26,5,6
"S00089049",130,89,31,8,2
"S00089050",108,65,33,6,4
"S00089051",146,53,34,59,0
"S00089052",148,93,32,19,4
"S00089053",114,29,48,37,0
"S00089054",76,26,1,49,0
"S00089055",86,33,19,33,1
"S00089056",71,27,2,42,0
"S00089057",85,24,36,25,0
"S00089058",96,29,29,37,1
"S00089059",55,27,10,18,0
"S00089060",61,16,15,30,0
"S00089061",75,30,3,42,0
"S00089062",53,13,16,23,1
"S00089063",83,19,5,59,0
"S00089064",84,36,18,30,0
"S00089065",95,21,28,46,0
"S00089066",64,22,11,31,0
"S00089067",108,22,15,71,0
"S00089068",73,25,14,32,2
"S00089069",60,8,19,33,0
"S00089070",127,40,30,57,0
"S00089071",88,24,30,29,5
"S00089072",113,34,29,50,0
"S00089073",94,37,27,26,4
"S00089074",145,61,43,38,3
"S00089075",87,17,12,58,0
"S00089076",113,28,71,12,2
"S00089077",90,31,20,36,3
"S00089078",52,17,32,3,0
"S00089079",61,31,15,15,0
"S00089080",100,17,74,9,0
"S00089081",74,38,34,1,1
"S00089082",82,19,53,4,6
"S00089083",120,31,85,4,0
"S00089084",100,66,33,1,0
"S00089085",121,45,73,3,0
"S00089086",100,46,46,8,0
"S00089087",141,49,86,6,0
"S00089088",93,38,42,13,0
"S00089089",110,70,25,14,1
"S00089090",126,56,66,4,0
"S00089091",150,24,121,5,0
"S00089092",171,32,132,7,0
"S00089093",166,22,123,20,1
"S00089094",90,6,79,5,0
"S00089095",119,22,92,5,0
"S00089096",97,28,66,3,0
"S00089097",83,10,71,2,0
"S00089098",82,1,78,3,0
"S00089099",120,32,72,16,0
"S00089100",101,81,12,7,1
"S00089101",75,9,56,10,0
"S00089102",86,13,72,0,1
"S00089103",89,34,8,47,0
"S00089104",67,53,1,12,1
"S00089105",96,68,3,19,6
"S00089106",89,62,5,22,0
"S00089107",82,32,38,12,0
"S00089108",92,34,51,4,3
"S00089109",60,35,13,11,1
"S00089110",109,39,66,4,0
"S00089111",147,38,96,13,0
"S00089112",151,9,131,11,0
"S00089113",64,0,64,0,0
"S00089114",117,31,85,1,0
"S00089115",154,37,103,14,0
"S00089116",206,26,175,5,0
"S00089117",125,17,104,4,0
"S00089118",145,131,3,8,3
"S00089119",87,86,0,0,1
"S00089120",75,72,0,3,0
"S00089121",115,45,30,38,2
"S00089122",65,13,50,1,1
"S00089123",151,79,71,1,0
"S00089124",105,51,51,1,2
"S00089125",164,72,83,9,0
"S00089126",116,37,71,6,2
"S00089127",93,52,36,4,1
"S00089128",97,47,46,1,3
"S00089129",197,172,14,9,2
"S00089130",93,74,15,4,0
"S00089131",102,84,13,5,0
"S00089132",87,82,3,2,0
"S00089133",87,66,17,4,0
"S00089134",129,96,28,3,2
"S00089135",144,137,3,3,1
"S00089136",112,108,0,0,4
"S00089137",102,91,0,11,0
"S00089138",55,2,53,0,0
"S00089139",86,58,16,10,2
"S00089140",100,71,18,8,3
"S00089141",120,91,11,11,7
"S00089142",137,94,34,9,0
"S00089143",99,74,16,9,0
"S00089144",91,69,19,3,0
"S00089145",124,92,26,6,0
"S00089146",117,70,41,3,3
"S00089147",96,32,58,6,0
"S00089148",123,28,85,10,0
"S00089149",124,28,85,11,0
"S00089150",151,57,78,13,3
"S00089151",61,26,29,6,0
"S00089152",54,9,43,1,1
"S00089153",63,46,14,1,2
"S00089154",67,29,36,2,0
"S00089155",84,60,20,4,0
"S00089156",105,64,31,10,0
"S00089157",105,80,23,2,0
"S00089158",136,118,12,5,1
"S00089159",90,53,31,4,2
"S00089160",112,76,33,3,0
"S00089161",95,72,21,2,0
"S00089162",77,37,39,1,0
"S00089163",115,78,27,10,0
"S00089164",78,62,16,0,0
"S00089165",105,69,27,8,1
"S00089166",150,91,53,6,0
"S00089167",107,63,33,11,0
"S00089168",64,5,58,1,0
"S00089169",117,55,57,5,0
"S00089170",90,39,49,1,1
"S00089171",74,28,43,1,2
"S00089172",64,30,25,9,0
"S00089173",139,110,27,2,0
"S00089174",161,79,76,5,1
"S00089175",124,56,64,3,1
"S00089176",102,93,5,4,0
"S00089177",129,56,69,4,0
"S00089178",149,114,24,9,2
"S00089179",172,120,39,11,2
"S00089180",132,90,32,6,4
"S00089181",101,72,26,3,0
"S00089182",114,86,18,10,0
"S00089183",98,79,19,0,0
"S00089184",137,121,0,16,0
"S00089185",136,122,1,11,2
"S00089186",114,73,2,39,0
"S00089187",67,37,0,27,3
"S00089188",146,125,2,15,4
"S00089189",152,123,0,24,5
"S00089190",113,74,0,32,7
"S00089191",137,92,3,39,3
"S00089192",111,58,4,47,2
"S00089193",132,74,12,45,1
"S00089194",129,93,3,28,5
"S00089195",135,116,0,14,5
"S00089196",119,99,3,17,0
"S00089197",116,99,5,9,3
"S00089198",83,69,0,14,0
"S00089199",76,69,2,4,1
"S00089200",69,53,0,15,1
"S00089201",98,84,4,10,0
"S00089202",152,122,0,30,0
"S00089203",196,154,1,38,3
"S00089204",149,141,0,8,0
"S00089205",115,90,0,21,4
"S00089206",122,85,3,23,11
"S00089207",100,79,3,18,0
"S00089208",76,25,1,47,3
"S00089209",73,44,0,29,0
"S00089210",76,25,4,45,2
"S00089211",71,33,1,36,1
"S00089212",106,43,0,61,2
"S00089213",68,25,0,40,3
"S00089214",61,33,0,24,4
"S00089215",67,34,4,27,2
"S00089216",97,46,2,49,0
"S00089217",79,18,3,58,0
"S00089218",126,43,20,63,0
"S00089219",84,22,5,56,1
"S00089220",60,31,0,28,1
"S00089221",138,71,5,61,1
"S00089222",89,39,3,45,2
"S00089223",70,33,21,16,0
"S00089224",135,105,3,27,0
"S00089225",58,24,3,31,0
"S00089226",57,28,0,27,2
"S00089227",128,65,6,47,10
"S00089228",95,69,2,23,1
"S00089229",97,69,0,27,1
"S00089230",95,57,10,28,0
"S00089231",87,29,1,57,0
"S00089232",93,56,0,29,8
"S00089233",80,62,0,8,10
"S00089234",97,64,1,32,0
"S00089235",104,46,5,49,4
"S00089236",81,37,9,34,1
"S00089237",117,108,2,7,0
"S00089238",135,115,9,11,0
"S00089239",98,90,0,7,1
"S00089240",179,166,3,9,1
"S00089241",65,58,0,7,0
"S00089242",123,113,0,10,0
"S00089243",115,103,1,10,1
"S00089244",117,107,4,3,3
"S00089245",84,83,1,0,0
"S00089246",95,84,0,9,2
"S00089247",166,134,1,29,2
"S00089248",196,159,2,35,0
"S00089249",105,94,2,7,2
"S00089250",80,65,0,13,2
"S00089251",96,83,0,13,0
"S00089252",118,106,0,12,0
"S00089253",129,106,4,17,2
"S00089254",137,124,1,8,4
"S00089255",119,88,4,27,0
"S00089256",109,93,0,16,0
"S00089257",97,93,0,4,0
"S00089258",100,63,4,33,0
"S00089259",84,66,0,18,0
"S00089260",136,117,1,16,2
"S00089261",158,123,1,33,1
"S00089262",108,53,0,51,4
"S00089263",92,35,22,35,0
"S00089264",137,99,0,33,5
"S00089265",84,31,5,48,0
"S00089266",100,59,0,41,0
"S00089267",79,35,4,40,0
"S00089268",113,52,2,59,0
"S00089269",101,54,0,47,0
"S00089270",120,80,2,36,2
"S00089271",90,76,0,14,0
"S00089272",69,67,0,2,0
"S00089273",101,54,0,43,4
"S00089274",129,90,7,31,1
"S00089275",64,0,64,0,0
"S00089276",59,21,9,29,0
"S00089277",177,160,4,10,3
"S00089278",66,2,64,0,0
"S00089279",67,53,0,14,0
"S00089280",59,43,4,11,1
"S00089281",75,54,3,18,0
"S00089282",69,60,4,5,0
"S00089283",54,36,1,17,0
"S00089284",105,103,2,0,0
"S00089285",128,81,2,44,1
"S00089286",106,34,8,63,1
"S00089287",87,23,61,2,1
"S00089288",98,46,38,10,4
"S00089289",120,61,48,10,1
"S00089290",64,39,22,2,1
"S00089291",99,72,20,5,2
"S00089292",90,58,26,6,0
"S00089293",153,68,43,40,2
"S00089294",148,75,12,61,0
"S00089295",190,82,73,34,1
"S00089296",161,102,46,13,0
"S00089297",93,17,56,19,1
"S00089298",98,53,22,21,2
"S00089299",64,26,37,1,0
"S00089300",99,44,41,14,0
"S00089301",116,72,21,23,0
"S00089302",104,69,29,6,0
"S00089303",167,76,47,43,1
"S00089304",159,88,50,17,4
"S00089305",64,22,40,2,0
"S00089306",141,27,80,33,1
"S00089307",88,21,53,14,0
"S00089308",77,36,23,18,0
"S00089309",148,81,52,15,0
"S00089310",171,48,90,32,1
"S00089311",101,69,17,15,0
"S00089312",164,138,1,20,5
"S00089313",150,135,5,10,0
"S00089314",125,67,2,54,2
"S00089315",108,101,0,7,0
"S00089316",106,92,2,12,0
"S00089317",94,87,2,5,0
"S00089318",107,103,4,0,0
"S00089319",134,125,4,4,1
"S00089320",125,125,0,0,0
"S00089321",85,80,1,4,0
"S00089322",124,113,0,9,2
"S00089323",83,80,0,3,0
"S00089324",94,89,3,2,0
"S00089325",102,97,4,1,0
"S00089326",130,123,0,7,0
"S00089327",108,101,4,3,0
"S00089328",111,107,0,3,1
"S00089329",95,84,2,6,3
"S00089330",151,126,4,21,0
"S00089331",168,158,4,4,2
"S00089332",172,166,0,5,1
"S00089333",176,164,0,10,2
"S00089334",150,139,1,8,2
"S00089335",144,132,4,8,0
"S00089336",93,84,0,9,0
"S00089337",57,45,7,3,2
"S00089338",156,151,1,2,2
"S00089339",150,148,0,2,0
"S00089340",125,85,30,10,0
"S00089341",77,65,2,10,0
"S00089342",75,57,14,1,3
"S00089343",71,40,3,28,0
"S00089344",70,44,15,8,3
"S00089345",98,60,2,32,4
"S00089346",145,140,0,5,0
"S00089347",108,106,0,2,0
"S00089348",92,87,0,4,1
"S00089349",97,93,0,4,0
"S00089350",123,114,0,8,1
"S00089351",175,132,4,39,0
"S00089352",154,136,0,17,1
"S00089353",111,108,0,2,1
"S00089354",89,78,0,7,4
"S00089355",165,159,0,4,2
"S00089356",61,40,12,9,0
"S00089357",118,72,22,23,1
"S00089358",85,43,30,7,5
"S00089359",129,84,31,10,4
"S00089360",113,54,46,13,0
"S00089361",151,91,50,7,3
"S00089362",102,47,5,48,2
"S00089363",60,51,1,6,2
"S00089364",96,31,2,60,3
"S00089365",132,30,1,98,3
"S00089366",105,45,7,53,0
"S00089367",102,55,26,20,1
"S00089368",58,30,0,28,0
"S00089369",120,37,4,73,6
"S00089370",107,29,43,32,3
"S00089371",121,63,32,25,1
"S00089372",63,39,11,12,1
"S00089373",97,52,0,45,0
"S00089374",55,51,2,1,1
"S00089375",137,135,0,2,0
"S00089376",135,128,0,6,1
"S00089377",82,71,4,6,1
"S00089378",103,89,0,11,3
"S00089379",169,162,0,6,1
"S00089380",156,151,0,5,0
"S00089381",108,91,0,9,8
"S00089382",126,115,2,7,2
"S00089383",108,104,0,4,0
"S00089384",106,89,0,17,0
"S00089385",138,107,2,28,1
"S00089386",170,141,0,25,4
"S00089387",158,145,0,13,0
"S00089388",159,152,1,5,1
"S00089389",98,97,1,0,0
"S00089390",93,59,16,16,2
"S00089391",101,40,48,10,3
"S00089392",85,11,74,0,0
"S00089393",86,10,58,18,0
"S00089394",68,15,52,1,0
"S00089395",111,54,55,0,2
"S00089396",72,14,48,9,1
"S00089397",101,74,13,14,0
"S00089398",96,88,3,5,0
"S00089399",51,3,45,2,1
"S00089400",98,80,0,17,1
"S00089401",73,38,28,7,0
"S00089402",84,57,18,9,0
"S00089403",98,84,0,13,1
"S00089404",95,95,0,0,0
"S00089405",112,94,3,15,0
"S00089406",145,137,5,3,0
"S00089407",128,69,34,24,1
"S00089408",104,95,1,5,3
"S00089409",117,95,3,19,0
"S00089410",121,120,0,0,1
"S00089411",98,91,0,7,0
"S00089412",190,181,0,9,0
"S00089413",188,171,0,11,6
"S00089414",63,51,11,1,0
"S00089415",97,72,22,2,1
"S00089416",151,126,8,17,0
"S00089417",133,117,3,13,0
"S00089418",149,124,0,23,2
"S00089419",118,84,9,25,0
"S00089420",142,123,0,19,0
"S00089421",171,157,2,12,0
"S00089422",88,76,0,12,0
"S00089423",163,155,0,8,0
"S00089424",144,118,5,17,4
"S00089425",182,145,0,37,0
"S00089426",189,130,0,59,0
"S00089427",79,75,1,3,0
"S00089428",83,59,3,18,3
"S00089429",135,124,0,11,0
"S00089430",126,118,2,6,0
"S00089431",78,49,1,28,0
"S00089432",61,44,0,12,5
"S00089433",74,50,2,20,2
"S00089434",80,67,0,7,6
"S00089435",120,105,0,15,0
"S00089436",117,115,0,2,0
"S00089437",142,126,0,16,0
"S00089438",154,136,5,10,3
"S00089439",112,107,0,5,0
"S00089440",59,48,0,8,3
"S00089441",83,19,56,7,1
"S00089442",106,96,0,8,2
"S00089443",63,39,3,19,2
"S00089444",132,47,2,79,4
"S00089445",145,44,2,96,3
"S00089446",109,36,7,66,0
"S00089447",92,42,0,45,5
"S00089448",104,35,10,57,2
"S00089449",141,35,32,74,0
"S00089450",94,13,71,10,0
"S00089451",91,21,49,20,1
"S00089452",99,12,79,6,2
"S00089453",110,22,47,37,4
"S00089454",76,32,36,8,0
"S00089455",93,21,60,10,2
"S00089456",128,55,34,35,4
"S00089457",85,30,7,46,2
"S00089458",79,25,10,43,1
"S00089459",61,24,0,33,4
"S00089460",84,4,78,2,0
"S00089461",104,31,29,42,2
"S00089462",87,21,17,49,0
"S00089463",132,42,20,68,2
"S00089464",133,74,4,53,2
"S00089465",84,44,1,36,3
"S00089466",56,20,4,29,3
"S00089467",82,24,22,33,3
"S00089468",68,7,29,32,0
"S00089469",114,39,35,39,1
"S00089470",72,31,3,36,2
"S00089471",73,24,1,48,0
"S00089472",83,20,51,8,4
"S00089473",94,44,23,25,2
"S00089474",129,19,52,58,0
"S00089475",70,30,3,34,3
"S00089476",59,25,12,22,0
"S00089477",104,32,2,70,0
"S00089478",100,26,1,68,5
"S00089479",71,18,3,50,0
"S00089480",68,22,0,46,0
"S00089481",123,32,0,83,8
"S00089482",72,42,4,26,0
"S00089483",87,31,2,54,0
"S00089484",109,21,61,26,1
"S00089485",65,17,6,42,0
"S00089486",101,49,35,13,4
"S00089487",80,37,18,17,8
"S00089488",88,45,22,20,1
"S00089489",131,38,1,90,2
"S00089490",135,39,36,58,2
"S00089491",78,45,4,27,2
"S00089492",71,26,39,6,0
"S00089493",72,22,33,15,2
"S00089494",74,12,55,7,0
"S00089495",69,15,29,25,0
"S00089496",68,15,38,15,0
"S00089497",155,64,3,85,3
"S00089498",124,23,97,4,0
"S00089499",71,13,58,0,0
"S00089500",91,32,35,24,0
"S00089501",146,9,122,13,2
"S00089502",135,24,99,10,2
"S00089503",62,1,61,0,0
"S00089504",59,3,56,0,0
"S00089505",64,0,64,0,0
"S00089506",88,8,72,8,0
"S00089507",93,11,73,7,2
"S00089508",107,28,77,0,2
"S00089509",51,9,35,7,0
"S00089510",128,11,112,5,0
"S00089511",88,13,63,12,0
"S00089512",58,5,50,3,0
"S00089513",126,34,75,17,0
"S00089514",103,5,91,7,0
"S00089515",125,47,32,37,9
"S00089516",107,34,45,21,7
"S00089517",73,11,31,31,0
"S00089518",171,52,111,6,2
"S00089519",116,92,20,0,4
"S00089520",91,86,0,1,4
"S00089521",131,121,0,10,0
"S00089522",116,101,0,14,1
"S00089523",101,56,29,16,0
"S00089524",99,61,17,17,4
"S00089525",78,45,18,15,0
"S00089526",109,9,94,5,1
"S00089527",107,29,78,0,0
"S00089528",91,45,36,10,0
"S00089529",118,51,36,28,3
"S00089530",67,42,13,12,0
"S00089531",82,42,24,15,1
"S00089532",110,64,28,17,1
"S00089533",79,31,31,17,0
"S00089534",120,61,36,23,0
"S00089535",86,32,32,21,1
"S00089536",114,54,50,10,0
"S00089537",76,49,17,10,0
"S00089538",88,45,18,11,14
"S00089539",79,27,45,7,0
"S00089540",97,35,56,6,0
"S00089541",96,46,31,19,0
"S00089542",124,89,2,27,6
"S00089543",80,5,67,8,0
"S00089544",102,18,67,17,0
"S00089545",62,0,62,0,0
"S00089546",107,29,67,11,0
"S00089547",143,78,58,7,0
"S00089548",161,41,84,35,1
"S00089549",98,35,52,7,4
"S00089550",101,48,43,10,0
"S00089551",76,23,44,9,0
"S00089552",77,18,4,54,1
"S00089553",54,36,2,16,0
"S00089554",69,17,37,15,0
"S00089555",141,94,23,24,0
"S00089556",80,72,3,5,0
"S00089557",138,19,79,37,3
"S00089558",125,67,41,17,0
"S00089559",154,80,43,30,1
"S00089560",78,41,13,18,6
"S00089561",89,46,11,31,1
"S00089562",111,53,34,23,1
"S00089563",76,38,20,18,0
"S00089564",98,42,21,35,0
"S00089565",147,82,34,31,0
"S00089566",140,75,24,38,3
"S00089567",174,22,148,2,2
"S00089568",177,41,110,26,0
"S00089569",111,19,83,9,0
"S00089570",137,18,100,19,0
"S00089571",150,83,5,62,0
"S00089572",76,66,0,10,0
"S00089573",103,51,26,26,0
"S00089574",80,28,14,38,0
"S00089575",72,59,0,13,0
"S00089576",126,96,2,28,0
"S00089577",89,7,77,5,0
"S00089578",109,4,95,10,0
"S00089579",88,4,72,12,0
"S00089580",109,0,105,4,0
"S00089581",89,9,76,4,0
"S00089582",120,5,107,8,0
"S00089583",134,28,97,8,1
"S00089584",66,6,54,6,0
"S00089585",131,70,37,24,0
"S00089586",108,12,80,16,0
"S00089587",69,27,25,17,0
"S00089588",88,76,4,8,0
"S00089589",87,85,2,0,0
"S00089590",107,79,9,16,3
"S00089591",120,32,69,19,0
"S00089592",95,5,81,9,0
"S00089593",120,48,67,5,0
"S00089594",82,7,73,2,0
"S00089595",143,60,60,23,0
"S00089596",100,83,4,12,1
"S00089597",128,12,116,0,0
"S00089598",58,1,52,5,0
"S00089599",130,13,105,12,0
"S00089600",53,3,46,4,0
"S00089601",71,22,35,14,0
"S00089602",123,19,97,7,0
"S00089603",91,36,40,15,0
"S00089604",75,19,50,6,0
"S00089605",139,47,83,9,0
"S00089606",125,31,81,13,0
"S00089607",148,15,53,80,0
"S00089608",61,10,50,0,1
"S00089609",105,3,84,18,0
"S00089610",134,25,101,8,0
"S00089611",85,25,58,2,0
"S00089612",93,7,86,0,0
"S00089613",62,35,8,19,0
"S00089614",175,35,138,2,0
"S00089615",122,41,81,0,0
"S00089616",125,11,105,9,0
"S00089617",156,3,149,4,0
"S00089618",118,2,111,5,0
"S00089619",132,9,120,3,0
"S00089620",153,25,128,0,0
"S00089621",51,4,47,0,0
"S00089622",84,46,30,7,1
"S00089623",104,53,44,7,0
"S00089624",75,38,4,31,2
"S00089625",112,62,13,36,1
"S00089626",157,58,1,98,0
"S00089627",70,27,4,38,1
"S00089628",112,38,12,59,3
"S00089629",169,13,117,39,0
"S00089630",107,19,69,19,0
"S00089631",115,7,87,19,2
"S00089632",111,12,80,19,0
"S00089633",174,40,81,52,1
"S00089634",105,66,4,35,0
"S00089635",60,10,7,41,2
"S00089636",124,88,4,30,2
"S00089637",60,17,6,33,4
"S00089638",101,44,6,50,1
"S00089639",94,30,9,53,2
"S00089640",122,57,5,50,10
"S00089641",61,10,16,33,2
"S00089642",68,11,7,50,0
"S00089643",132,28,43,58,3
"S00089644",181,30,121,27,3
"S00089645",160,18,107,34,1
"S00089646",131,51,40,38,2
"S00089647",148,32,0,113,3
"S00089648",66,24,0,42,0
"S00089649",103,37,39,27,0
"S00089650",134,42,12,77,3
"S00089651",135,39,9,83,4
"S00089652",145,44,0,95,6
"S00089653",114,20,12,75,7
"S00089654",103,34,0,68,1
"S00089655",84,19,0,65,0
"S00089656",85,6,2,74,3
"S00089657",73,47,0,22,4
"S00089658",121,44,4,71,2
"S00089659",90,41,1,47,1
"S00089660",117,33,22,62,0
"S00089661",126,20,38,63,5
"S00089662",95,42,15,34,4
"S00089663",117,31,24,62,0
"S00089664",68,22,35,11,0
"S00089665",102,38,0,54,10
"S00089666",90,45,1,42,2
"S00089667",60,21,21,18,0
"S00089668",89,28,37,23,1
"S00089669",134,35,5,88,6
"S00089670",74,9,9,56,0
"S00089671",83,37,9,37,0
"S00089672",116,4,109,3,0
"S00089673",100,7,87,6,0
"S00089674",138,37,27,74,0
"S00089675",136,58,1,74,3
"S00089676",70,20,19,27,4
"S00089677",120,52,0,65,3
"S00089678",69,25,2,42,0
"S00089679",138,45,16,77,0
"S00089680",118,49,24,43,2
"S00089681",145,67,7,71,0
"S00089682",64,23,0,41,0
"S00089683",78,35,4,37,2
"S00089684",77,47,3,27,0
"S00089685",120,46,22,50,2
"S00089686",63,34,3,26,0
"S00089687",80,26,7,47,0
"S00089688",99,44,11,44,0
"S00089689",58,35,15,8,0
"S00089690",151,120,2,28,1
"S00089691",130,75,39,15,1
"S00089692",59,42,0,17,0
"S00089693",65,43,4,17,1
"S00089694",116,69,4,40,3
"S00089695",118,89,3,22,4
"S00089696",138,104,3,27,4
"S00089697",86,64,3,19,0
"S00089698",103,84,0,19,0
"S00089699",74,33,2,36,3
"S00089700",120,83,0,36,1
"S00089701",85,57,1,27,0
"S00089702",73,25,9,39,0
"S00089703",145,132,0,13,0
"S00089704",115,99,0,16,0
"S00089705",112,100,3,6,3
"S00089706",136,114,9,13,0
"S00089707",82,15,65,2,0
"S00089708",57,31,21,5,0
"S00089709",93,91,0,2,0
"S00089710",132,87,27,17,1
"S00089711",139,82,38,18,1
"S00089712",113,106,0,6,1
"S00089713",105,101,0,4,0
"S00089714",154,123,1,25,5
"S00089715",103,90,0,13,0
"S00089716",80,25,46,8,1
"S00089717",128,109,1,16,2
"S00089718",168,153,0,15,0
"S00089719",189,155,0,34,0
"S00089720",167,125,16,26,0
"S00089721",179,103,0,74,2
"S00089722",95,69,1,25,0
"S00089723",58,33,0,25,0
"S00089724",86,68,0,18,0
"S00089725",96,68,0,27,1
"S00089726",121,96,0,23,2
"S00089727",100,70,5,20,5
"S00089728",92,76,2,13,1
"S00089729",148,114,0,34,0
"S00089730",78,38,0,36,4
"S00089731",113,101,0,10,2
"S00089732",158,138,3,13,4
"S00089733",100,56,15,27,2
"S00089734",94,68,18,8,0
"S00089735",75,41,0,32,2
"S00089736",84,47,0,33,4
"S00089737",86,45,2,35,4
"S00089738",71,48,3,16,4
"S00089739",91,79,8,4,0
"S00089740",124,91,1,31,1
"S00089741",109,92,2,15,0
"S00089742",172,134,5,33,0
"S00089743",164,131,0,23,10
"S00089744",81,77,0,4,0
"S00089745",130,104,1,24,1
"S00089746",121,87,5,24,5
"S00089747",100,77,7,16,0
"S00089748",115,102,1,10,2
"S00089749",62,48,1,9,4
"S00089750",103,44,2,56,1
"S00089751",110,69,0,41,0
"S00089752",108,87,0,21,0
"S00089753",136,113,2,20,1
"S00089754",124,88,6,29,1
"S00089755",65,51,0,14,0
"S00089756",77,50,2,23,2
"S00089757",122,58,2,59,3
"S00089758",112,83,0,26,3
"S00089759",164,129,2,31,2
"S00089760",80,39,2,38,1
"S00089761",59,46,0,9,4
"S00089762",119,55,2,62,0
"S00089763",108,79,2,26,1
"S00089764",131,110,5,16,0
"S00089765",141,120,3,16,2
"S00089766",104,51,9,44,0
"S00089767",64,38,6,20,0
"S00089768",62,32,2,28,0
"S00089769",57,23,0,33,1
"S00089770",102,57,0,45,0
"S00089771",94,46,5,42,1
"S00089772",93,36,2,54,1
"S00089773",108,48,15,45,0
"S00089774",82,23,3,54,2
"S00089775",73,39,0,33,1
"S00089776",94,42,4,45,3
"S00089777",91,41,7,43,0
"S00089778",139,41,60,38,0
"S00089779",92,29,36,27,0
"S00089780",70,16,15,38,1
"S00089781",89,47,6,33,3
"S00089782",71,42,3,24,2
"S00089783",79,73,2,3,1
"S00089784",59,26,3,30,0
"S00089785",153,16,112,25,0
"S00089786",102,25,73,4,0
"S00089787",81,38,3,40,0
"S00089788",68,37,0,31,0
"S00089789",115,48,14,53,0
"S00089790",144,79,33,32,0
"S00089791",66,31,26,8,1
"S00089792",73,37,7,28,1
"S00089793",72,41,1,30,0
"S00089794",71,36,7,26,2
"S00089795",143,58,20,60,5
"S00089796",121,45,2,74,0
"S00089797",90,53,2,35,0
"S00089798",97,48,1,48,0
"S00089799",141,114,1,23,3
"S00089800",107,53,2,48,4
"S00089801",83,1,80,2,0
"S00089802",182,82,80,17,3
"S00089803",83,58,21,4,0
"S00089804",124,100,23,1,0
"S00089805",73,55,13,3,2
"S00089806",113,69,43,0,1
"S00089807",81,44,37,0,0
"S00089808",82,62,17,2,1
"S00089809",92,1,82,9,0
"S00089810",66,48,6,12,0
"S00089811",77,29,34,14,0
"S00089812",98,71,20,6,1
"S00089813",149,98,44,7,0
"S00089814",69,20,42,7,0
"S00089815",94,69,21,3,1
"S00089816",124,37,70,17,0
"S00089817",124,62,59,3,0
"S00089818",93,51,32,9,1
"S00089819",174,104,44,26,0
"S00089820",124,59,65,0,0
"S00089821",114,76,38,0,0
"S00089822",105,76,21,6,2
"S00089823",104,45,53,6,0
"S00089824",166,86,76,4,0
"S00089825",147,112,35,0,0
"S00089826",114,80,32,2,0
"S00089827",125,87,38,0,0
