output_area,total,active,inactive
S00101406,48,28,20
S00101407,76,57,19
S00101408,84,61,23
S00101409,90,60,30
S00101410,110,63,47
S00101411,118,89,29
S00101412,168,125,43
S00101413,151,114,37
S00101414,94,66,28
S00101415,143,105,38
S00101416,161,122,39
S00101417,118,91,27
S00101418,107,75,32
S00101419,103,63,40
S00101420,108,79,29
S00101421,77,55,22
S00101422,87,67,20
S00101423,70,46,24
S00101424,69,37,32
S00101425,59,46,13
S00101426,75,45,30
S00101427,124,76,48
S00101428,131,88,43
S00101429,139,84,55
S00101430,81,63,18
S00101431,142,104,38
S00101432,90,63,27
S00101433,102,71,31
S00101434,89,64,25
S00101435,103,74,29
S00101436,117,84,33
S00101437,84,57,27
S00101438,114,83,31
S00101439,40,32,8
S00101440,71,50,21
S00101441,86,52,34
S00101442,77,49,28
S00101443,87,56,31
S00101444,76,47,29
S00101445,62,42,20
S00101446,96,78,18
S00101447,79,56,23
S00101448,59,41,18
S00101449,94,63,31
S00101450,50,34,16
S00101451,112,83,29
S00101452,122,78,44
S00101453,84,67,17
S00101454,136,97,39
S00101455,136,89,47
S00101456,134,100,34
S00101457,75,50,25
S00101458,104,67,37
S00101459,85,45,40
S00101460,137,91,46
S00101461,128,93,35
S00101462,104,72,32
S00101463,142,102,40
S00101464,42,26,16
S00101465,135,86,49
S00101466,130,81,49
S00101467,122,82,40
S00101468,75,54,21
S00101469,31,16,15
S00101470,127,91,36
S00101471,58,36,22
S00101472,126,104,22
S00101473,125,96,29
S00101474,114,73,41
S00101475,94,63,31
S00101476,129,88,41
S00101477,89,69,20
S00101478,141,103,38
S00101479,93,77,16
S00101480,116,87,29
S00101481,90,69,21
S00101482,127,90,37
S00101483,127,90,37
S00101484,60,49,11
S00101485,128,96,32
S00101486,141,111,30
S00101487,120,80,40
S00101488,96,76,20
S00101489,108,73,35
S00101490,74,51,23
S00101491,131,78,53
S00101492,98,64,34
S00101493,63,37,26
S00101494,85,60,25
S00101495,71,54,17
S00101496,108,92,16
S00101497,90,72,18
S00101498,93,74,19
S00101499,94,71,23
S00101500,80,51,29
S00101501,80,57,23
S00101502,95,54,41
S00101503,56,33,23
S00101504,47,33,14
S00101505,66,49,17
S00101506,166,144,22
S00101507,142,85,57
S00101508,67,56,11
S00101509,92,63,29
S00101510,70,32,38
S00101511,200,145,55
S00101512,109,88,21
S00101513,115,78,37
S00101514,113,75,38
S00101515,55,27,28
S00101516,108,65,43
S00101517,111,85,26
S00101518,86,54,32
S00101519,81,54,27
S00101520,47,21,26
S00101521,105,65,40
S00101522,94,56,38
S00101523,71,44,27
S00101524,72,60,12
S00101525,87,68,19
S00101526,89,69,20
S00101527,129,88,41
S00101528,49,28,21
S00101529,105,79,26
S00101530,108,67,41
S00101531,69,45,24
S00101532,125,89,36
S00101533,150,122,28
S00101534,125,96,29
S00101535,75,54,21
S00101536,78,48,30
S00101537,95,68,27
S00101538,50,30,20
S00101539,86,58,28
S00101540,96,65,31
S00101541,89,57,32
S00101542,124,90,34
S00101543,41,9,32
S00101544,40,23,17
S00101545,148,91,57
S00101546,125,77,48
S00101547,112,85,27
S00101548,64,50,14
S00101549,121,92,29
S00101550,102,82,20
S00101551,174,147,27
S00101552,115,92,23
S00101553,80,54,26
S00101554,48,34,14
S00101555,90,64,26
S00101556,62,42,20
S00101557,85,46,39
S00101558,76,45,31
S00101559,109,68,41
S00101560,41,27,14
S00101561,51,41,10
S00101562,78,65,13
S00101563,49,39,10
S00101564,49,24,25
S00101565,89,57,32
S00101566,147,117,30
S00101567,93,71,22
S00101568,71,47,24
S00101569,49,17,32
S00101570,77,50,27
S00101571,70,51,19
S00101572,55,44,11
S00101573,21,2,19
S00101574,42,29,13
S00101575,65,44,21
S00101576,49,32,17
S00101577,105,76,29
S00101578,89,64,25
S00101579,94,61,33
S00101580,148,105,43
S00101581,47,35,12
S00101582,67,43,24
S00101583,80,56,24
S00101584,100,72,28
S00101585,64,46,18
S00101586,81,79,2
S00101587,94,69,25
S00101588,61,42,19
S00101589,81,51,30
S00101590,45,32,13
S00101591,94,64,30
S00101592,122,93,29
S00101593,59,39,20
S00101594,140,110,30
S00101595,73,59,14
S00101596,55,39,16
S00101597,88,53,35
S00101598,43,31,12
S00101599,57,39,18
S00101600,59,39,20
S00101601,77,46,31
S00101602,53,36,17
S00101603,81,60,21
S00101604,104,67,37
S00101605,75,50,25
S00101606,99,75,24
S00101607,102,67,35
S00101608,69,45,24
S00101609,74,41,33
S00101610,77,47,30
S00101611,65,50,15
S00101612,88,64,24
S00101613,57,32,25
S00101614,49,38,11
S00101615,69,54,15
S00101616,60,35,25
S00101617,81,65,16
S00101618,73,50,23
S00101619,56,34,22
S00101620,39,22,17
S00101621,40,23,17
S00101622,48,30,18
S00101623,37,23,14
S00101624,92,55,37
S00101625,60,41,19
S00101626,89,77,12
S00101627,136,78,58
S00101628,64,41,23
S00101629,110,65,45
S00101630,55,43,12
S00101631,58,43,15
S00101632,112,90,22
S00101633,164,119,45
S00101634,115,78,37
S00101635,55,41,14
S00101636,94,69,25
S00101637,103,60,43
S00101638,72,54,18
S00101639,73,50,23
S00101640,76,52,24
S00101641,125,88,37
S00101642,76,41,35
S00101643,52,37,15
S00101644,44,28,16
S00101645,85,58,27
S00101646,104,78,26
S00101647,68,56,12
S00101648,40,32,8
S00101649,100,70,30
S00101650,99,66,33
S00101651,94,68,26
S00101652,46,35,11
S00101653,105,78,27
S00101654,181,147,34
S00101655,120,92,28
S00101656,58,50,8
S00101657,122,82,40
S00101658,60,48,12
S00101659,147,109,38
S00101660,178,130,48
S00101661,122,83,39
S00101662,80,61,19
S00101663,112,77,35
S00101664,56,47,9
S00101665,44,36,8
S00101666,48,33,15
S00101667,63,46,17
S00101668,112,95,17
S00101669,42,22,20
S00101670,59,46,13
S00101671,61,36,25
S00101672,105,82,23
S00101673,175,146,29
S00101674,102,77,25
S00101675,80,64,16
S00101676,61,54,7
S00101677,130,85,45
S00101678,84,53,31
S00101679,63,39,24
S00101680,26,13,13
S00101681,75,59,16
S00101682,90,58,32
S00101683,192,141,51
S00101684,162,126,36
S00101685,48,35,13
S00101686,196,157,39
S00101687,64,53,11
S00101688,111,90,21
S00101689,131,107,24
S00101690,157,124,33
S00101691,50,36,14
S00101692,33,15,18
S00101693,57,42,15
S00101694,88,64,24
S00101695,62,41,21
S00101696,60,49,11
S00101697,64,40,24
S00101698,100,78,22
S00101699,59,42,17
S00101700,111,58,53
S00101701,37,21,16
S00101702,82,61,21
S00101703,58,43,15
S00101704,55,32,23
S00101705,83,43,40
S00101706,37,15,22
S00101707,74,55,19
S00101708,128,85,43
S00101709,62,44,18
S00101710,107,74,33
S00101711,45,30,15
S00101712,83,62,21
S00101713,64,49,15
S00101714,53,32,21
S00101715,82,51,31
S00101716,106,78,28
S00101717,101,75,26
S00101718,76,63,13
S00101719,87,69,18
S00101720,53,37,16
S00101721,64,35,29
S00101722,117,81,36
S00101723,76,67,9
S00101724,89,60,29
S00101725,76,49,27
S00101726,98,74,24
S00101727,88,64,24
S00101728,49,41,8
S00101729,120,106,14
S00101730,69,51,18
S00101731,115,93,22
S00101732,35,24,11
S00101733,122,105,17
S00101734,48,42,6
S00101735,86,66,20
S00101736,108,92,16
S00101737,77,59,18
S00101738,91,57,34
S00101739,47,32,15
S00101740,133,115,18
S00101741,151,132,19
S00101742,97,73,24
S00101743,164,138,26
S00101744,59,47,12
S00101745,45,43,2
S00101746,126,102,24
S00101747,42,23,19
S00101748,45,34,11
S00101749,111,86,25
S00101750,85,77,8
S00101751,147,117,30
S00101752,100,74,26
S00101753,134,123,11
S00101754,90,78,12
S00101755,91,80,11
S00101756,172,154,18
S00101757,120,100,20
S00101758,124,101,23
S00101759,201,176,25
S00101760,50,41,9
S00101761,121,89,32
S00101762,44,27,17
S00101763,56,43,13
S00101764,70,57,13
S00101765,97,66,31
S00101766,96,70,26
S00101767,103,80,23
S00101768,109,80,29
S00101769,59,49,10
S00101770,94,65,29
S00101771,103,69,34
S00101772,74,58,16
S00101773,104,70,34
S00101774,126,93,33
S00101775,156,114,42
S00101776,65,43,22
S00101777,77,51,26
S00101778,96,53,43
S00101779,131,100,31
S00101780,52,36,16
S00101781,82,64,18
S00101782,61,50,11
S00101783,78,59,19
S00101784,77,55,22
S00101785,83,58,25
S00101786,95,74,21
S00101787,83,68,15
S00101788,74,51,23
S00101789,55,40,15
S00101790,73,55,18
S00101791,94,67,27
S00101792,58,52,6
S00101793,130,96,34
S00101794,100,67,33
S00101795,46,34,12
S00101796,118,93,25
S00101797,55,18,37
S00101798,104,86,18
S00101799,89,61,28
S00101800,146,110,36
S00101801,116,74,42
S00101802,97,79,18
S00101803,57,48,9
S00101804,89,72,17
S00101805,44,29,15
S00101806,79,59,20
S00101807,60,42,18
S00101808,132,99,33
S00101809,107,82,25
S00101810,46,36,10
S00101811,82,60,22
S00101812,84,61,23
S00101813,86,62,24
S00101814,67,47,20
S00101815,55,48,7
S00101816,63,51,12
S00101817,164,134,30
S00101818,85,68,17
S00101819,47,33,14
S00101820,86,57,29
S00101821,149,103,46
S00101822,57,48,9
S00101823,69,52,17
S00101824,79,46,33
S00101825,92,69,23
S00101826,88,69,19
S00101827,93,56,37
S00101828,104,67,37
S00101829,79,47,32
S00101830,90,65,25
S00101831,78,63,15
S00101832,107,72,35
S00101833,99,75,24
S00101834,74,51,23
S00101835,62,44,18
S00101836,53,37,16
S00101837,82,57,25
S00101838,90,63,27
S00101839,97,77,20
S00101840,59,44,15
S00101841,77,42,35
S00101842,142,105,37
S00101843,99,84,15
S00101844,108,87,21
S00101845,99,74,25
S00101846,102,88,14
S00101847,87,70,17
S00101848,135,112,23
S00101849,59,42,17
S00101850,69,48,21
S00101851,154,117,37
S00101852,89,60,29
S00101853,65,48,17
S00101854,77,63,14
S00101855,52,30,22
S00101856,65,47,18
S00101857,97,64,33
S00101858,105,80,25
S00101859,105,63,42
S00101860,127,82,45
S00101861,72,48,24
S00101862,44,19,25
S00101863,65,36,29
S00101864,65,43,22
S00101865,57,48,9
S00101866,104,75,29
S00101867,61,37,24
S00101868,73,47,26
S00101869,94,65,29
S00101870,118,87,31
S00101871,78,64,14
S00101872,69,61,8
S00101873,88,62,26
S00101874,53,46,7
S00101875,57,44,13
S00101876,52,38,14
S00101877,138,117,21
S00101878,68,41,27
S00101879,88,75,13
S00101880,68,45,23
S00101881,95,67,28
S00101882,83,64,19
S00101883,83,74,9
S00101884,70,58,12
S00101885,67,46,21
S00101886,62,46,16
S00101887,54,36,18
S00101888,88,63,25
S00101889,64,54,10
S00101890,77,53,24
S00101891,34,24,10
S00101892,55,33,22
S00101893,118,89,29
S00101894,108,76,32
S00101895,68,57,11
S00101896,71,58,13
S00101897,100,69,31
S00101898,31,12,19
S00101899,85,58,27
S00101900,51,43,8
S00101901,77,52,25
S00101902,78,49,29
S00101903,110,81,29
S00101904,75,58,17
S00101905,67,59,8
S00101906,81,52,29
S00101907,70,52,18
S00101908,95,67,28
S00101909,107,74,33
S00101910,62,38,24
S00101911,72,57,15
S00101912,78,60,18
S00101913,64,45,19
S00101914,57,46,11
S00101915,113,80,33
S00101916,110,69,41
S00101917,107,66,41
S00101918,137,106,31
S00101919,75,51,24
S00101920,88,51,37
S00101921,85,49,36
S00101922,71,53,18
S00101923,56,38,18
S00101924,123,83,40
S00101925,157,117,40
S00101926,102,72,30
S00101927,111,90,21
S00101928,70,46,24
S00101929,70,55,15
S00101930,97,65,32
S00101931,116,80,36
S00101932,114,93,21
S00101933,61,54,7
S00101934,89,57,32
S00101935,78,54,24
S00101936,71,49,22
S00101937,86,66,20
S00101938,64,46,18
S00101939,122,98,24
S00101940,55,45,10
S00101941,83,56,27
S00101942,92,67,25
S00101943,86,64,22
S00101944,124,92,32
S00101945,80,60,20
S00101946,68,50,18
S00101947,83,65,18
S00101948,99,76,23
S00101949,67,49,18
S00101950,76,53,23
S00101951,122,85,37
S00101952,124,85,39
S00101953,108,81,27
S00101954,77,51,26
S00101955,70,56,14
S00101956,97,78,19
S00101957,85,57,28
S00101958,70,52,18
S00101959,145,119,26
S00101960,108,82,26
S00101961,72,46,26
S00101962,56,30,26
S00101963,100,80,20
S00101964,92,57,35
S00101965,87,63,24
S00101966,68,52,16
S00101967,89,64,25
S00101968,87,56,31
S00101969,71,56,15
S00101970,114,95,19
S00101971,82,57,25
S00101972,116,82,34
S00101973,63,37,26
S00101974,71,47,24
S00101975,106,79,27
S00101976,176,140,36
S00101977,109,76,33
S00101978,75,45,30
S00101979,88,70,18
S00101980,104,74,30
S00101981,118,82,36
S00101982,77,48,29
S00101983,136,92,44
S00101984,100,71,29
S00101985,96,67,29
S00101986,100,74,26
S00101987,123,93,30
S00101988,95,61,34
S00101989,72,55,17
S00101990,116,58,58
S00101991,65,35,30
S00101992,61,42,19
S00101993,107,67,40
S00101994,92,69,23
S00101995,120,74,46
S00101996,63,46,17
S00101997,113,66,47
S00101998,105,75,30
S00101999,84,59,25
S00102000,109,76,33
S00102001,83,51,32
S00102002,71,47,24
S00102003,71,37,34
S00102004,100,73,27
S00102005,57,31,26
S00102006,107,81,26
S00102007,123,97,26
S00102008,102,90,12
S00102009,113,84,29
S00102010,114,84,30
S00102011,98,83,15
S00102012,118,92,26
S00102013,94,76,18
S00102014,40,29,11
S00102015,109,79,30
S00102016,105,67,38
S00102017,127,86,41
S00102018,99,66,33
S00102019,115,91,24
S00102020,99,72,27
S00102021,62,39,23
S00102022,56,33,23
S00102023,90,66,24
S00102024,95,74,21
S00102025,87,66,21
S00102026,168,147,21
S00102027,95,74,21
S00102028,64,49,15
S00102029,78,54,24
S00102030,79,50,29
S00102031,72,39,33
S00102032,81,52,29
S00102033,126,77,49
S00102034,94,52,42
S00102035,67,43,24
S00102036,89,60,29
S00102037,58,32,26
S00102038,70,45,25
S00102039,100,75,25
S00102040,64,39,25
S00102041,64,46,18
S00102042,83,53,30
S00102043,53,37,16
S00102044,93,74,19
S00102045,64,47,17
S00102046,96,73,23
S00102047,115,75,40
S00102048,84,48,36
S00102049,59,42,17
S00102050,54,32,22
S00102051,82,54,28
S00102052,88,59,29
S00102053,101,66,35
S00102054,142,122,20
S00102055,107,73,34
S00102056,85,64,21
S00102057,102,87,15
S00102058,80,54,26
S00102059,98,56,42
S00102060,105,76,29
S00102061,107,93,14
S00102062,85,65,20
S00102063,89,72,17
S00102064,83,36,47
S00102065,85,81,4
S00102066,89,65,24
S00102067,85,55,30
S00102068,79,57,22
S00102069,104,72,32
S00102070,69,51,18
S00102071,124,89,35
S00102072,70,50,20
S00102073,49,28,21
S00102074,68,56,12
S00102075,82,55,27
S00102076,94,50,44
S00102077,49,34,15
S00102078,87,57,30
S00102079,53,20,33
S00102080,76,60,16
S00102081,139,79,60
S00102082,77,54,23
S00102083,115,83,32
S00102084,104,71,33
S00102085,126,89,37
S00102086,97,56,41
S00102087,81,50,31
S00102088,89,59,30
S00102089,76,45,31
S00102090,106,75,31
S00102091,77,52,25
S00102092,85,62,23
S00102093,78,58,20
S00102094,85,50,35
S00102095,91,56,35
S00102096,97,69,28
S00102097,68,40,28
S00102098,61,42,19
S00102099,100,65,35
S00102100,58,29,29
S00102101,45,10,35
S00102102,45,28,17
S00102103,77,61,16
S00102104,68,45,23
S00102105,78,59,19
S00102106,55,16,39
S00102107,81,54,27
S00102108,96,75,21
S00102109,77,47,30
S00102110,78,54,24
S00102111,69,49,20
S00102112,111,86,25
S00102113,65,45,20
S00102114,82,57,25
S00102115,107,80,27
S00102116,76,45,31
S00102117,73,47,26
S00102118,102,80,22
S00102119,84,60,24
S00102120,71,51,20
S00102121,89,79,10
S00102122,88,76,12
S00102123,84,56,28
S00102124,154,127,27
S00102125,95,84,11
S00102126,52,45,7
S00102127,71,49,22
S00102128,74,42,32
S00102129,71,40,31
S00102130,59,32,27
S00102131,88,57,31
S00102132,84,60,24
S00102133,96,65,31
S00102134,91,60,31
S00102135,75,52,23
S00102136,56,36,20
S00102137,75,52,23
S00102138,92,67,25
S00102139,65,52,13
S00102140,104,67,37
S00102141,78,53,25
S00102142,83,56,27
S00102143,53,31,22
S00102144,106,81,25
S00102145,76,52,24
S00102146,79,46,33
S00102147,64,38,26
S00102148,79,57,22
S00102149,83,59,24
S00102150,78,59,19
S00102151,19,2,17
S00102152,40,30,10
S00102153,53,37,16
S00102154,74,56,18
S00102155,93,66,27
S00102156,69,48,21
S00102157,105,76,29
S00102158,80,54,26
S00102159,133,100,33
S00102160,103,74,29
S00102161,78,62,16
S00102162,92,70,22
S00102163,58,35,23
S00102164,63,37,26
S00102165,115,83,32
S00102166,158,116,42
S00102167,138,102,36
S00102168,62,45,17
S00102169,141,107,34
S00102170,72,50,22
S00102171,106,72,34
S00102172,90,70,20
S00102173,93,75,18
S00102174,94,82,12
S00102175,61,35,26
S00102176,56,44,12
S00102177,101,68,33
S00102178,63,40,23
S00102179,38,29,9
S00102180,84,49,35
S00102181,96,65,31
S00102182,78,52,26
S00102183,115,69,46
S00102184,120,84,36
S00102185,117,95,22
S00102186,97,72,25
S00102187,106,67,39
S00102188,83,46,37
S00102189,108,87,21
S00102190,73,50,23
S00102191,71,51,20
S00102192,125,95,30
S00102193,117,82,35
S00102194,100,78,22
S00102195,126,84,42
S00102196,61,38,23
S00102197,80,65,15
S00102198,47,33,14
S00102199,55,36,19
S00102200,54,34,20
S00102201,25,12,13
S00102202,89,70,19
S00102203,125,94,31
S00102204,53,43,10
S00102205,102,77,25
S00102206,75,49,26
S00102207,105,63,42
S00102208,91,68,23
S00102209,78,60,18
S00102210,105,76,29
S00102211,73,45,28
S00102212,98,65,33
S00102213,113,76,37
S00102214,74,48,26
S00102215,70,55,15
S00102216,70,53,17
S00102217,82,67,15
S00102218,85,65,20
S00102219,145,113,32
S00102220,99,74,25
S00102221,57,32,25
S00102222,68,44,24
S00102223,126,94,32
S00102224,87,63,24
S00102225,72,49,23
S00102226,95,54,41
S00102227,100,70,30
S00102228,91,48,43
S00102229,126,77,49
S00102230,115,77,38
S00102231,78,49,29
S00102232,65,48,17
S00102233,66,36,30
S00102234,85,52,33
S00102235,55,31,24
S00102236,65,37,28
S00102237,116,87,29
S00102238,127,80,47
S00102239,50,28,22
S00102240,91,53,38
S00102241,119,80,39
S00102242,88,54,34
S00102243,49,34,15
S00102244,59,44,15
S00102245,80,62,18
S00102246,89,64,25
S00102247,73,38,35
S00102248,48,27,21
S00102249,68,52,16
S00102250,87,59,28
S00102251,75,44,31
S00102252,81,56,25
S00102253,80,43,37
S00102254,88,59,29
S00102255,100,75,25
S00102256,115,81,34
S00102257,42,30,12
S00102258,79,55,24
S00102259,86,53,33
S00102260,46,25,21
S00102261,82,55,27
S00102262,106,79,27
S00102263,139,99,40
S00102264,88,67,21
S00102265,50,34,16
S00102266,107,67,40
S00102267,71,48,23
S00102268,75,54,21
S00102269,90,67,23
S00102270,104,66,38
S00102271,91,49,42
S00102272,75,47,28
S00102273,99,60,39
S00102274,54,37,17
S00102275,22,6,16
S00102276,78,39,39
S00102277,63,47,16
S00102278,79,55,24
S00102279,58,37,21
S00102280,71,40,31
S00102281,74,52,22
S00102282,54,36,18
S00102283,84,66,18
S00102284,84,66,18
S00102285,90,69,21
S00102286,64,46,18
S00102287,45,31,14
S00102288,121,92,29
S00102289,71,55,16
S00102290,105,68,37
S00102291,103,75,28
S00102292,60,44,16
S00102293,60,34,26
S00102294,73,53,20
S00102295,63,35,28
S00102296,88,62,26
S00102297,61,46,15
S00102298,78,54,24
S00102299,106,64,42
S00102300,54,38,16
S00102301,74,42,32
S00102302,65,47,18
S00102303,99,66,33
S00102304,89,54,35
S00102305,44,33,11
S00102306,52,25,27
S00102307,74,40,34
S00102308,50,29,21
S00102309,78,57,21
S00102310,118,74,44
S00102311,96,65,31
S00102312,89,65,24
S00102313,61,28,33
S00102314,61,29,32
S00102315,40,23,17
S00102316,73,47,26
S00102317,96,63,33
S00102318,49,30,19
S00102319,108,76,32
S00102320,93,58,35
S00102321,66,40,26
S00102322,57,32,25
S00102323,34,19,15
S00102324,56,21,35
S00102325,60,37,23
S00102326,70,53,17
S00102327,102,75,27
S00102328,58,35,23
S00102329,111,80,31
S00102330,97,56,41
S00102331,73,47,26
S00102332,69,35,34
S00102333,86,54,32
S00102334,59,29,30
S00102335,121,81,40
S00102336,139,101,38
S00102337,85,58,27
S00102338,87,57,30
S00102339,77,46,31
S00102340,43,25,18
S00102341,101,70,31
S00102342,48,23,25
S00102343,34,21,13
S00102344,77,58,19
S00102345,55,43,12
S00102346,42,21,21
S00102347,89,58,31
S00102348,112,95,17
S00102349,58,30,28
S00102350,74,48,26
S00102351,115,85,30
S00102352,51,30,21
S00102353,95,55,40
S00102354,63,37,26
S00102355,74,47,27
S00102356,58,36,22
S00102357,79,52,27
S00102358,62,42,20
S00102359,80,60,20
S00102360,80,55,25
S00102361,112,70,42
S00102362,87,61,26
S00102363,64,42,22
S00102364,89,47,42
S00102365,76,52,24
S00102366,118,94,24
S00102367,124,93,31
S00102368,107,77,30
S00102369,78,65,13
S00102370,142,112,30
S00102371,115,101,14
S00102372,160,133,27
S00102373,133,107,26
S00102374,80,52,28
S00102375,78,55,23
S00102376,33,22,11
S00102377,99,63,36
S00102378,51,30,21
S00102379,192,64,128
S00102380,67,54,13
S00102381,65,52,13
S00102382,77,59,18
S00102383,41,25,16
S00102384,48,33,15
S00102385,42,30,12
S00102386,56,47,9
S00102387,69,50,19
S00102388,129,100,29
S00102389,100,74,26
S00102390,79,48,31
S00102391,73,58,15
S00102392,65,42,23
S00102393,91,71,20
S00102394,73,48,25
S00102395,91,54,37
S00102396,140,121,19
S00102397,140,94,46
S00102398,54,35,19
S00102399,53,50,3
S00102400,111,103,8
S00102401,114,95,19
S00102402,75,65,10
S00102403,92,87,5
S00102404,78,73,5
S00102405,51,38,13
S00102406,143,130,13
S00102407,107,79,28
S00102408,108,95,13
S00102409,158,140,18
S00102410,104,65,39
S00102411,84,50,34
S00102412,72,39,33
S00102413,88,68,20
S00102414,45,34,11
S00102415,62,44,18
S00102416,71,54,17
S00102417,61,50,11
S00102418,84,66,18
S00102419,105,54,51
S00102420,56,32,24
S00102421,68,53,15
S00102422,79,62,17
S00102423,104,86,18
S00102424,46,33,13
S00102425,89,65,24
S00102426,72,53,19
S00102427,73,53,20
S00102428,80,40,40
S00102429,81,48,33
S00102430,44,29,15
S00102431,63,41,22
S00102432,83,50,33
S00102433,123,86,37
S00102434,893,447,446
S00102435,66,49,17
S00102436,43,27,16
S00102437,65,46,19
S00102438,47,38,9
S00102439,77,51,26
S00102440,74,53,21
S00102441,115,72,43
S00102442,70,50,20
S00102443,90,66,24
S00102444,60,43,17
S00102445,94,55,39
S00102446,68,54,14
S00102447,92,64,28
S00102448,107,71,36
S00102449,49,26,23
S00102450,62,46,16
S00102451,98,69,29
S00102452,55,47,8
S00102453,162,134,28
S00102454,133,111,22
S00102455,97,70,27
S00102456,130,95,35
S00102457,101,83,18
S00102458,123,76,47
S00102459,91,74,17
S00102460,102,86,16
S00102461,79,55,24
S00102462,72,47,25
S00102463,62,43,19
S00102464,59,30,29
S00102465,57,33,24
S00102466,65,57,8
S00102467,94,74,20
S00102468,78,55,23
S00102469,70,49,21
S00102470,73,43,30
S00102471,107,73,34
S00102472,57,40,17
S00102473,76,53,23
S00102474,53,37,16
S00102475,63,38,25
S00102476,72,53,19
S00102477,103,82,21
S00102478,97,78,19
S00102479,93,76,17
S00102480,98,75,23
S00102481,93,75,18
S00102482,81,73,8
S00102483,95,67,28
S00102484,43,32,11
S00102485,88,63,25
S00102486,57,26,31
S00102487,32,23,9
S00102488,102,76,26
S00102489,93,67,26
S00102490,139,108,31
S00102491,52,33,19
S00102492,91,74,17
S00102493,43,31,12
S00102494,57,38,19
S00102495,123,84,39
S00102496,44,23,21
S00102497,104,94,10
S00102498,154,122,32
S00102499,38,22,16
S00102500,103,93,10
S00102501,98,63,35
S00102502,70,37,33
S00102503,78,67,11
S00102504,73,58,15
S00102505,179,146,33
S00102506,94,85,9
S00102507,83,58,25
S00102508,69,33,36
S00102509,57,45,12
S00102510,82,69,13
S00102511,38,10,28
S00102512,67,44,23
S00102513,51,31,20
S00102514,110,90,20
S00102515,127,96,31
S00102516,122,98,24
S00102517,108,78,30
S00102518,117,93,24
S00102519,82,48,34
S00102520,80,53,27
S00102521,51,20,31
S00102522,67,59,8
S00102523,54,47,7
S00102524,105,86,19
S00102525,70,55,15
S00102526,144,109,35
S00102527,95,64,31
S00102528,84,66,18
S00102529,84,44,40
S00102530,72,38,34
S00102531,75,61,14
S00102532,85,72,13
S00102533,110,89,21
S00102534,69,46,23
S00102535,67,42,25
S00102536,61,50,11
S00102537,65,47,18
S00102538,43,27,16
S00102539,97,67,30
S00102540,46,30,16
S00102541,67,45,22
S00102542,63,51,12
S00102543,104,74,30
S00102544,81,61,20
S00102545,88,58,30
S00102546,122,90,32
S00102547,148,125,23
S00102548,181,151,30
S00102549,95,67,28
S00102550,140,114,26
S00102551,116,92,24
S00102552,44,30,14
S00102553,111,65,46
S00102554,92,60,32
S00102555,106,90,16
S00102556,103,60,43
S00102557,97,62,35
S00102558,56,36,20
S00102559,80,59,21
S00102560,49,34,15
S00102561,129,91,38
S00102562,173,123,50
S00102563,100,73,27
S00102564,102,87,15
S00102565,78,61,17
S00102566,82,69,13
S00102567,112,88,24
S00102568,133,107,26
S00102569,106,90,16
S00102570,86,64,22
S00102571,94,74,20
S00102572,162,134,28
S00102573,118,105,13
S00102574,85,71,14
S00102575,87,68,19
S00102576,52,37,15
S00102577,85,69,16
S00102578,75,55,20
S00102579,133,101,32
S00102580,104,65,39
S00102581,95,53,42
S00102582,73,50,23
S00102583,93,71,22
S00102584,92,73,19
S00102585,118,77,41
S00102586,68,47,21
S00102587,44,22,22
S00102588,37,18,19
S00102589,62,39,23
S00102590,58,44,14
S00102591,40,31,9
S00102592,86,69,17
S00102593,80,62,18
S00102594,114,87,27
S00102595,122,87,35
S00102596,100,74,26
S00102597,117,90,27
S00102598,97,68,29
S00102599,121,75,46
S00102600,128,106,22
S00102601,83,51,32
S00102602,142,82,60
S00102603,54,30,24
S00102604,49,34,15
S00102605,69,43,26
S00102606,104,70,34
S00102607,76,55,21
S00102608,52,33,19
S00102609,82,68,14
S00102610,93,46,47
S00102611,58,32,26
S00102612,92,49,43
S00102613,48,36,12
S00102614,64,40,24
S00102615,81,44,37
S00102616,89,49,40
S00102617,107,54,53
S00102618,110,69,41
S00102619,101,60,41
S00102620,75,32,43
S00102621,110,88,22
S00102622,100,64,36
S00102623,71,42,29
S00102624,55,40,15
S00102625,124,76,48
S00102626,75,52,23
S00102627,56,33,23
S00102628,63,39,24
S00102629,104,67,37
S00102630,100,54,46
S00102631,61,27,34
S00102632,64,31,33
S00102633,65,29,36
S00102634,87,62,25
S00102635,85,61,24
S00102636,75,56,19
S00102637,70,49,21
S00102638,50,40,10
S00102639,121,98,23
S00102640,69,38,31
S00102641,68,52,16
S00102642,62,50,12
S00102643,80,43,37
S00102644,93,55,38
S00102645,74,40,34
S00102646,93,59,34
S00102647,97,49,48
S00102648,143,106,37
S00102649,67,46,21
S00102650,42,26,16
S00102651,52,29,23
S00102652,86,59,27
S00102653,44,25,19
S00102654,106,68,38
S00102655,98,73,25
S00102656,114,86,28
S00102657,133,85,48
S00102658,99,52,47
S00102659,82,51,31
S00102660,70,51,19
S00102661,94,61,33
S00102662,90,61,29
S00102663,74,44,30
S00102664,42,24,18
S00102665,147,91,56
S00102666,88,57,31
S00102667,59,41,18
S00102668,63,38,25
S00102669,62,40,22
S00102670,53,32,21
S00102671,37,26,11
S00102672,39,27,12
S00102673,67,48,19
S00102674,60,33,27
S00102675,83,59,24
S00102676,96,64,32
