output_area,total,scotland,ruk,elsewhere
60QA000372,103,95,7,1
60QA000373,101,84,9,8
60QA000374,119,102,11,6
60QA000375,88,67,8,13
60QA000376,152,139,5,8
60QA000377,122,94,20,8
60QA000378,92,77,7,8
60QA000379,165,130,20,15
60QA000380,70,66,3,1
60QA000381,112,109,1,2
60QA000382,101,91,7,3
60QA000383,144,136,8,0
60QA000384,112,104,4,4
60QA000385,159,145,9,5
60QA000386,162,132,20,10
60QA000387,80,66,10,4
60QA000388,95,66,15,14
60QA000389,90,71,12,7
60QA000390,104,99,1,4
60QA000391,139,107,19,13
60QA000392,117,105,10,2
60QA000393,124,103,14,7
60QA000394,68,57,1,10
60QA000395,187,147,17,23
60QA000396,136,121,6,9
60QA000397,143,134,6,3
60QA000398,82,67,10,5
60QA000399,104,92,8,4
60QA000400,194,169,13,12
60QA000401,164,138,14,12
60QA000402,103,82,18,3
60QA000403,133,123,10,0
60QA000404,127,93,17,17
60QA000405,166,115,16,35
60QA000406,124,107,8,9
60QA000407,228,180,21,27
60QA000408,176,142,14,20
60QA000409,182,153,20,9
60QA000410,102,88,11,3
60QA000411,85,80,3,2
60QA000412,101,92,7,2
60QA000413,79,75,2,2
60QA000414,75,60,5,10
60QA000415,70,64,3,3
60QA000416,128,122,2,4
60QA000417,65,56,5,4
60QA000418,93,79,8,6
60QA000419,111,93,11,7
60QA000420,64,60,3,1
60QA000421,98,64,7,27
60QA000422,81,78,3,0
60QA000423,91,77,10,4
60QA000424,114,79,23,12
60QA000425,93,62,25,6
60QA000426,115,82,21,12
60QA000427,160,79,43,38
60QA000428,118,99,7,12
60QA000429,113,90,12,11
60QA000430,112,97,9,6
60QA000431,143,94,28,21
60QA000432,98,57,23,18
60QA000433,209,159,27,23
60QA000434,181,105,47,29
60QA000435,72,66,6,0
60QA000436,104,93,11,0
60QA000437,161,98,40,23
60QA000438,143,109,20,14
60QA000439,148,110,28,10
60QA000440,106,80,16,10
60QA000441,140,122,13,5
60QA000442,160,121,24,15
60QA000443,102,71,21,10
60QA000444,169,134,26,9
