dz_2001,total,house,nonhouse
S01000677,877,571,306
S01000678,898,731,167
S01000679,779,282,497
S01000680,967,494,473
S01000681,990,278,712
S01000682,702,241,461
S01000683,546,366,180
S01000684,726,237,489
S01000685,873,556,317
S01000686,770,372,398
S01000687,827,734,93
S01000688,694,549,145
S01000689,648,636,12
S01000690,992,903,89
S01000691,808,681,127
S01000692,742,400,342
S01000693,1015,581,434
S01000694,701,593,108
S01000695,788,569,219
S01000696,774,341,433
S01000697,954,887,67
S01000698,619,449,170
S01000699,613,530,83
S01000700,806,782,24
S01000701,969,907,62
S01000702,514,444,70
S01000703,739,624,115
S01000704,885,852,33
S01000705,1131,1069,62
S01000706,859,852,7
S01000707,618,605,13
S01000708,558,542,16
S01000709,992,919,73
S01000710,1106,1076,30
S01000711,505,484,21
S01000712,610,450,160
S01000713,752,727,25
S01000714,986,963,23
S01000715,654,309,345
S01000716,500,106,394
S01000717,915,449,466
S01000718,810,561,249
S01000719,616,447,169
S01000720,766,734,32
S01000721,702,686,16
S01000722,846,757,89
S01000723,457,434,23
S01000724,763,685,78
S01000725,586,559,27
S01000726,755,737,18
S01000727,600,416,184
S01000728,649,576,73
S01000729,491,327,164
S01000730,457,272,185
S01000731,595,229,366
S01000732,533,120,413
S01000733,663,154,509
S01000734,797,534,263
S01000735,438,134,304
S01000736,730,304,426
S01000737,470,211,259
S01000738,448,285,163
S01000739,730,455,275
S01000740,650,504,146
S01000741,786,476,310
S01000742,642,583,59
S01000743,814,619,195
S01000744,738,333,405
S01000745,716,461,255
S01000746,786,490,296
S01000747,556,302,254
S01000748,465,283,182
S01000749,541,482,59
S01000750,679,548,131
S01000751,722,635,87
S01000752,977,659,318
S01000753,596,361,235
S01000754,729,411,318
S01000755,701,674,27
S01000756,983,632,351
S01000757,719,598,121
S01000758,1268,1114,154
S01000759,985,797,188
S01000760,531,416,115
S01000761,605,502,103
S01000762,610,602,8
S01000763,743,731,12
S01000764,676,523,153
S01000765,825,804,21
S01000766,699,417,282
S01000767,642,189,453
S01000768,783,110,673
S01000769,785,83,702
S01000770,703,426,277
S01000771,937,523,414
S01000772,640,352,288
S01000773,826,609,217
S01000774,831,812,19
S01000775,653,468,185
S01000776,572,563,9
S01000777,325,314,11
S01000778,450,343,107
S01000779,793,623,170
S01000780,844,726,118
S01000781,806,691,115
S01000782,680,669,11
S01000783,464,363,101
S01000784,778,713,65
S01000785,714,624,90
S01000786,749,556,193
S01000787,488,448,40
S01000788,650,519,131
S01000789,725,500,225
S01000790,470,415,55
S01000791,607,532,75
S01000792,664,583,81
S01000793,639,572,67
S01000794,861,580,281
S01000795,937,845,92
S01000796,426,402,24
S01000797,449,438,11
S01000798,484,441,43
S01000799,680,588,92
S01000800,916,845,71
S01000801,635,623,12
S01000802,770,718,52
S01000803,965,893,72
S01000804,843,752,91
S01000805,793,740,53
S01000806,808,781,27
S01000807,734,606,128
S01000808,713,673,40
S01000809,562,501,61
S01000810,731,659,72
S01000811,792,708,84
S01000812,1300,921,379
S01000813,771,677,94
S01000814,786,300,486
S01000815,520,150,370
S01000816,544,82,462
S01000817,865,354,511
S01000818,880,482,398
S01000819,825,789,36
S01000820,534,509,25
S01000821,785,411,374
S01000822,532,356,176
S01000823,464,266,198
S01000824,756,712,44
S01000825,723,689,34
S01000826,625,595,30
S01000827,736,716,20
S01000828,868,797,71
S01000829,684,661,23
S01000830,833,797,36
S01000831,841,815,26
S01000832,939,742,197
S01000833,1158,1112,46
S01000834,980,723,257
S01000835,774,686,88
S01000836,785,649,136
S01000837,984,355,629
S01000838,623,576,47
S01000839,1355,958,397
S01000840,686,597,89
S01000841,988,890,98
S01000842,867,835,32
S01000843,901,556,345
S01000844,774,496,278
S01000845,540,416,124
S01000846,680,305,375
S01000847,974,560,414
S01000848,651,618,33
S01000849,479,456,23
S01000850,699,300,399
S01000851,714,642,72
S01000852,717,569,148
S01000853,554,518,36
