dz_2001,total,religious,nonreligious
S01000700,879,568,311
S01000701,920,754,166
S01000702,522,421,101
S01000703,741,615,126
S01000704,880,637,243
S01000705,1146,851,295
S01000706,823,637,186
S01000707,537,367,170
S01000708,562,409,153
S01000709,888,663,225
S01000710,1083,802,281
S01000711,620,528,92
S01000712,595,522,73
S01000713,832,705,127
S01000714,832,687,145
S01000715,671,574,97
S01000716,541,417,124
S01000717,870,698,172
S01000718,952,824,128
S01000719,660,534,126
S01000720,858,696,162
S01000721,658,558,100
S01000722,819,637,182
S01000723,527,432,95
S01000724,862,693,169
S01000725,633,495,138
S01000726,687,504,183
S01000727,706,534,172
S01000728,768,608,160
S01000729,542,452,90
S01000730,407,309,98
S01000731,547,409,138
S01000732,536,431,105
S01000733,732,555,177
S01000734,851,673,178
S01000735,445,339,106
S01000736,720,585,135
S01000737,511,427,84
S01000738,579,474,105
S01000739,759,620,139
S01000740,673,497,176
S01000741,806,577,229
S01000742,541,388,153
S01000743,726,576,150
S01000744,733,548,185
S01000745,681,477,204
S01000746,738,547,191
S01000747,568,431,137
S01000748,514,429,85
S01000749,559,426,133
S01000750,694,532,162
S01000751,713,565,148
S01000752,992,698,294
S01000753,646,522,124
S01000754,650,466,184
S01000755,730,548,182
S01000756,1104,828,276
S01000757,694,551,143
S01000758,992,746,246
S01000759,861,638,223
S01000760,565,420,145
S01000761,492,350,142
S01000762,670,515,155
S01000763,861,607,254
S01000764,707,508,199
S01000765,671,489,182
S01000766,758,598,160
S01000767,596,441,155
S01000768,826,591,235
S01000769,956,673,283
S01000770,595,488,107
S01000771,983,727,256
S01000772,652,510,142
S01000773,962,792,170
S01000774,598,392,206
S01000775,704,514,190
S01000776,620,501,119
S01000777,555,390,165
S01000778,464,365,99
S01000779,793,569,224
S01000780,931,695,236
S01000781,877,657,220
S01000782,712,501,211
S01000783,506,347,159
S01000784,871,637,234
S01000785,734,558,176
S01000786,784,610,174
S01000787,526,373,153
S01000788,705,492,213
S01000789,653,513,140
S01000790,514,405,109
S01000791,630,457,173
S01000792,690,499,191
S01000793,812,603,209
S01000794,842,630,212
S01000795,771,615,156
S01000796,485,381,104
S01000797,476,325,151
S01000798,535,412,123
S01000799,2813,2321,492
S01000800,1004,718,286
S01000801,639,444,195
S01000802,754,570,184
S01000803,875,605,270
S01000804,985,697,288
S01000805,822,658,164
S01000806,838,534,304
S01000807,769,598,171
S01000808,725,493,232
S01000809,553,417,136
S01000810,630,486,144
S01000811,834,638,196
S01000812,662,562,100
S01000813,758,634,124
S01000814,919,709,210
S01000815,544,413,131
S01000816,584,438,146
S01000817,918,755,163
S01000818,696,546,150
S01000819,812,652,160
S01000820,573,405,168
S01000821,883,707,176
S01000822,554,483,71
S01000823,591,468,123
S01000824,554,421,133
S01000825,698,558,140
S01000826,730,608,122
S01000827,703,555,148
S01000828,879,601,278
S01000829,577,415,162
S01000830,715,530,185
S01000831,882,688,194
S01000832,926,651,275
S01000833,572,375,197
S01000834,911,661,250
S01000835,702,463,239
S01000836,847,485,362
S01000837,763,456,307
S01000838,723,517,206
S01000839,963,626,337
S01000840,773,456,317
S01000841,970,564,406
S01000842,834,612,222
S01000843,773,501,272
S01000844,689,426,263
S01000845,573,384,189
S01000846,739,467,272
S01000847,995,674,321
S01000848,699,486,213
S01000849,539,385,154
S01000850,657,441,216
S01000851,686,485,201
S01000852,717,482,235
S01000853,553,337,216
S01000854,933,544,389
S01000855,778,573,205
S01000856,626,432,194
S01000857,614,415,199
S01000858,717,517,200
S01000859,837,579,258
S01000860,873,555,318
S01000861,656,498,158
S01000862,559,423,136
S01000863,485,293,192
S01000864,668,483,185
S01000865,692,450,242
S01000866,944,618,326
S01000867,739,479,260
S01000868,718,449,269
S01000869,566,302,264
S01000870,872,532,340
S01000871,730,479,251
S01000872,650,451,199
S01000873,1341,942,399
S01000874,545,342,203
S01000875,736,512,224
S01000876,744,480,264
S01000877,741,437,304
S01000878,588,430,158
S01000879,876,630,246
S01000880,778,586,192
S01000881,703,445,258
S01000882,939,639,300
S01000883,923,589,334
S01000884,569,422,147
S01000885,524,374,150
S01000886,734,504,230
S01000887,781,518,263
S01000888,724,479,245
S01000889,796,528,268
S01000890,796,563,233
S01000891,925,688,237
S01000892,586,404,182
S01000893,730,507,223
S01000894,523,352,171
S01000895,900,595,305
S01000896,485,327,158
S01000897,685,536,149
S01000898,576,445,131
S01000899,867,707,160
S01000900,657,528,129
S01000901,675,538,137
S01000902,979,761,218
S01000903,968,787,181
S01000904,689,568,121
S01000905,701,506,195
S01000906,565,453,112
S01000907,773,547,226
S01000908,773,602,171
S01000909,934,682,252
S01000910,870,696,174
S01000911,966,706,260
S01000912,754,589,165
S01000913,722,553,169
S01000914,855,708,147
S01000915,960,795,165
S01000916,991,788,203
S01000917,683,499,184
S01000918,643,456,187
S01000919,522,408,114
S01000920,505,350,155
S01000921,738,594,144
S01000922,818,654,164
S01000923,751,599,152
S01000924,841,668,173
S01000925,943,715,228
S01000926,650,494,156
S01000927,1010,822,188
S01000928,979,712,267
S01000929,511,362,149
S01000930,601,413,188
S01000931,708,542,166
S01000932,931,730,201
S01000933,870,701,169
S01000934,931,692,239
S01000935,808,602,206
S01000936,926,761,165
S01000937,586,479,107
S01000938,846,657,189
S01000939,740,582,158
S01000940,838,662,176
S01000941,542,432,110
S01000942,937,699,238
S01000943,845,727,118
S01000944,790,617,173
S01000945,760,618,142
S01000946,756,603,153
S01000947,730,596,134
S01000948,721,574,147
S01000949,613,520,93
S01000950,810,612,198
S01000951,708,531,177
S01000952,807,635,172
S01000953,906,752,154
S01000954,888,681,207
S01000955,527,391,136
S01000956,858,629,229
S01000957,511,377,134
S01000958,827,582,245
S01000959,688,500,188
S01000960,554,424,130
S01000961,853,702,151
S01000962,572,416,156
S01000963,744,523,221
S01000964,877,697,180
S01000965,665,434,231
S01000966,1080,786,294
S01000967,576,447,129
S01000968,956,739,217
S01000969,849,667,182
S01000970,793,619,174
S01000971,685,485,200
S01000972,977,769,208
S01000973,592,432,160
S01000974,848,681,167
S01000975,646,491,155
S01000976,494,375,119
S01000977,769,602,167
S01000978,755,563,192
S01000979,647,466,181
S01000980,752,597,155
S01000981,648,509,139
S01000982,595,504,91
S01000983,559,459,100
S01000984,635,499,136
S01000985,710,508,202
S01000986,525,357,168
S01000987,627,485,142
S01000988,488,392,96
S01000989,833,652,181
S01000990,636,454,182
S01000991,507,379,128
S01000992,908,727,181
S01000993,897,690,207
S01000994,1031,780,251
S01000995,831,597,234
S01000996,1030,811,219
S01000997,992,760,232
S01000998,621,433,188
S01000999,696,503,193
S01001000,531,388,143
S01001001,546,345,201
S01001002,673,451,222
S01001003,929,680,249
S01001004,653,523,130
S01001005,895,685,210
S01001006,771,555,216
S01001007,792,554,238
S01001008,737,468,269
S01001009,614,455,159
S01001010,780,586,194
S01001011,617,483,134
S01001012,845,684,161
S01001013,893,682,211
S01001014,794,519,275
S01001015,613,478,135
S01001016,956,701,255
S01001017,710,481,229
S01001018,783,572,211
S01001019,979,588,391
S01001020,523,375,148
S01001021,855,614,241
S01001022,828,559,269
S01001023,986,740,246
S01001024,881,613,268
S01001025,915,690,225
S01001026,823,671,152
S01001027,851,673,178
S01001028,783,539,244
S01001029,748,498,250
S01001030,741,573,168
S01001031,949,664,285
S01001032,733,489,244
S01001033,716,460,256
S01001034,823,540,283
S01001035,543,366,177
S01001036,538,316,222
S01001037,879,609,270
S01001038,669,504,165
S01001039,549,401,148
S01001040,613,462,151
S01001041,527,382,145
S01001042,865,611,254
S01001043,699,516,183
S01001044,991,726,265
S01001045,567,446,121
S01001046,499,359,140
S01001047,691,592,99
S01001048,624,482,142
S01001049,689,502,187
S01001050,942,697,245
S01001051,694,514,180
S01001052,567,362,205
S01001053,800,620,180
S01001054,666,497,169
S01001055,776,616,160
S01001056,747,621,126
S01001057,667,542,125
S01001058,771,633,138
S01001059,634,411,223
S01001060,766,601,165
S01001061,790,634,156
S01001062,547,404,143
S01001063,787,623,164
S01001064,773,589,184
S01001065,753,565,188
S01001066,732,529,203
S01001067,777,536,241
S01001068,857,612,245
S01001069,871,626,245
S01001070,876,658,218
S01001071,667,531,136
S01001072,761,590,171
S01001073,994,752,242
S01001074,511,394,117
S01001075,847,664,183
