"dz_2001","total","owned","nonowned"
"S01000409",579,529,50
"S01000410",743,577,166
"S01000411",702,566,136
"S01000412",798,608,190
"S01000413",865,737,128
"S01000414",694,589,105
"S01000415",927,707,220
"S01000416",910,746,164
"S01000417",1006,776,230
"S01000418",718,573,145
"S01000419",1517,1188,329
"S01000420",1311,1002,309
"S01000421",786,697,89
"S01000422",906,711,195
"S01000423",1026,923,103
"S01000424",743,618,125
"S01000425",842,631,211
"S01000426",826,706,120
"S01000427",741,614,127
"S01000428",663,602,61
"S01000429",871,793,78
"S01000430",488,417,71
"S01000431",680,401,279
"S01000432",876,796,80
"S01000433",510,304,206
"S01000434",602,402,200
"S01000435",514,393,121
"S01000436",629,604,25
"S01000437",889,732,157
"S01000438",590,559,31
"S01000439",823,534,289
"S01000440",1091,902,189
"S01000441",898,606,292
"S01000442",843,676,167
"S01000443",608,530,78
"S01000444",2528,2245,283
"S01000445",1201,1024,177
"S01000446",951,804,147
"S01000447",782,618,164
"S01000448",859,657,202
"S01000449",708,452,256
"S01000450",553,511,42
"S01000451",855,630,225
"S01000452",559,436,123
"S01000453",560,438,122
"S01000454",443,287,156
"S01000455",846,634,212
"S01000456",1129,793,336
"S01000457",781,584,197
"S01000458",930,790,140
"S01000459",1011,716,295
"S01000460",707,323,384
"S01000461",857,442,415
"S01000462",991,595,396
"S01000463",731,472,259
"S01000464",848,623,225
"S01000465",665,581,84
"S01000466",880,678,202
"S01000467",614,453,161
"S01000468",535,440,95
"S01000469",641,566,75
"S01000470",913,817,96
"S01000471",837,720,117
"S01000472",759,550,209
"S01000473",661,442,219
"S01000474",625,409,216
"S01000475",727,431,296
"S01000476",627,488,139
"S01000477",674,532,142
"S01000478",790,476,314
"S01000479",843,545,298
"S01000480",670,542,128
"S01000481",2120,1624,496
"S01000482",868,324,544
"S01000483",978,601,377
"S01000484",770,453,317
"S01000485",952,859,93
"S01000486",1118,281,837
"S01000487",559,430,129
"S01000488",624,375,249
"S01000489",904,315,589
"S01000490",540,457,83
"S01000491",535,191,344
"S01000492",951,484,467
"S01000493",641,515,126
"S01000494",551,324,227
"S01000495",893,773,120
"S01000496",529,487,42
"S01000497",768,582,186
"S01000498",520,452,68
"S01000499",1020,771,249
"S01000500",604,336,268
"S01000501",576,410,166
"S01000502",614,516,98
"S01000503",494,446,48
"S01000504",768,513,255
"S01000505",722,575,147
"S01000506",996,825,171
"S01000507",986,628,358
"S01000508",879,748,131
"S01000509",1001,762,239
"S01000510",665,449,216
"S01000511",573,481,92
"S01000512",990,815,175
"S01000513",881,521,360
"S01000514",941,719,222
"S01000515",551,481,70
"S01000516",883,775,108
"S01000517",737,558,179
"S01000518",957,693,264
"S01000519",515,445,70
"S01000520",1129,916,213
"S01000521",945,590,355
"S01000522",665,592,73
"S01000523",800,424,376
"S01000524",697,567,130
"S01000525",1014,769,245
"S01000526",964,712,252
"S01000527",685,627,58
"S01000528",904,704,200
"S01000529",799,689,110
"S01000530",486,397,89
"S01000531",574,494,80
"S01000532",775,485,290
"S01000533",713,578,135
"S01000534",760,441,319
"S01000535",1020,668,352
"S01000536",494,301,193
"S01000537",1056,887,169
"S01000538",740,471,269
"S01000539",966,559,407
"S01000540",713,518,195
"S01000541",592,386,206
"S01000542",647,402,245
