"output_area","All people aged 16 to 74","Economically active","Economically active: Employee: Part-time","Economically active: Employee: Full-time","Economically active: Self-employed with employees: Part-time","Economically active: Self-employed with employees: Full-time","Economically active: Self-employed without employees: Part-time","Economically active: Self-employed without employees: Full-time","Economically active: Unemployed","Economically active: Full-time student","Economically inactive","Economically inactive: Retired","Economically inactive: Student","Economically inactive: Looking after home or family","Economically inactive: Long-term sick or disabled","Economically inactive: Other"
"S00089087",113,83,17,46,0,0,2,1,9,8,30,14,1,4,9,2
"S00089088",71,45,7,30,0,0,0,0,5,3,26,11,3,6,3,3
"S00089089",89,68,14,43,0,0,3,0,5,3,21,10,5,1,1,4
"S00089090",95,63,7,40,0,1,0,2,6,7,32,11,2,6,9,4
"S00089091",94,63,18,29,0,0,0,0,7,9,31,7,5,6,9,4
"S00089092",102,73,17,48,0,0,1,0,6,1,29,2,5,12,7,3
"S00089093",121,85,23,49,1,0,0,3,6,3,36,8,6,6,12,4
"S00089094",65,37,11,20,0,0,0,0,4,2,28,7,4,4,7,6
"S00089095",85,61,13,36,0,1,2,1,5,3,24,6,2,7,6,3
"S00089096",68,52,15,27,0,1,0,1,5,3,16,2,1,4,6,3
"S00089097",68,48,4,32,0,0,0,1,6,5,20,4,3,5,5,3
"S00089098",59,42,10,22,0,0,2,2,4,2,17,2,3,5,4,3
"S00089099",85,68,13,39,1,0,1,3,6,5,17,0,3,3,7,4
"S00089100",63,44,14,21,0,0,1,3,3,2,19,13,1,1,3,1
"S00089101",61,50,9,34,0,2,0,1,3,1,11,3,0,0,5,3
"S00089102",59,46,6,27,0,0,0,0,5,8,13,1,0,4,5,3
"S00089103",77,66,6,48,0,1,4,2,2,3,11,4,4,0,0,3
"S00089104",63,54,7,38,0,0,0,4,1,4,9,3,2,0,3,1
"S00089105",87,75,7,56,0,0,2,3,4,3,12,6,1,1,2,2
"S00089106",79,63,7,46,2,2,0,3,2,1,16,6,2,2,5,1
"S00089107",65,50,11,29,0,0,2,2,3,3,15,10,1,1,1,2
"S00089108",71,59,16,39,0,0,0,1,3,0,12,4,2,0,3,3
"S00089109",47,39,7,25,0,1,0,2,2,2,8,3,1,1,2,1
"S00089110",99,69,14,45,1,0,0,0,5,4,30,17,2,2,7,2
"S00089111",115,92,17,64,0,0,0,1,9,1,23,6,3,6,5,3
"S00089112",118,88,15,58,0,0,0,3,9,3,30,10,0,3,10,7
"S00089113",36,5,1,4,0,0,0,0,0,0,31,24,0,0,5,2
"S00089114",79,52,20,25,0,0,0,2,4,1,27,10,0,8,8,1
"S00089115",121,86,12,55,0,0,0,4,9,6,35,17,2,1,9,6
"S00089116",130,106,24,51,0,0,2,2,14,13,24,0,4,9,5,6
"S00089117",92,54,14,29,0,0,1,2,8,0,38,7,3,9,9,10
"S00089118",119,87,15,46,1,3,2,12,3,5,32,23,2,3,2,2
"S00089119",72,46,14,26,0,0,2,3,0,1,26,24,1,1,0,0
"S00089120",63,46,5,31,0,1,2,3,4,0,17,12,3,1,1,0
"S00089121",109,71,12,40,0,3,1,5,5,5,38,21,5,0,10,2
"S00089122",45,26,6,14,0,1,0,2,2,1,19,4,1,6,8,0
"S00089123",112,76,18,44,0,0,2,3,6,3,36,15,2,5,11,3
"S00089124",73,44,12,24,0,0,1,4,3,0,29,8,3,4,9,5
"S00089125",122,82,21,51,0,0,0,4,2,4,40,16,4,7,8,5
"S00089126",82,56,20,25,0,0,1,0,9,1,26,9,3,4,8,2
"S00089127",73,51,6,41,0,0,0,0,2,2,22,13,1,2,5,1
"S00089128",74,56,17,27,0,2,3,0,4,3,18,5,4,3,4,2
"S00089129",160,132,26,84,0,3,4,7,1,7,28,8,11,6,2,1
"S00089130",70,56,10,37,0,0,0,3,2,4,14,9,0,1,2,2
"S00089131",79,61,16,33,0,0,0,1,7,4,18,11,4,1,2,0
"S00089132",73,61,8,46,1,0,0,1,4,1,12,7,1,0,2,2
"S00089133",60,43,11,25,1,0,2,3,0,1,17,12,0,1,2,2
"S00089134",100,70,16,37,0,3,1,3,4,6,30,22,0,2,4,2
"S00089135",108,68,11,42,0,2,5,4,2,2,40,31,2,6,0,1
"S00089136",89,61,9,32,0,4,2,8,3,3,28,25,1,1,1,0
"S00089137",91,53,10,28,1,6,0,0,0,8,38,28,3,2,4,1
"S00089138",12,4,1,1,1,1,0,0,0,0,8,8,0,0,0,0
"S00089139",64,44,6,31,0,0,0,4,0,3,20,8,2,5,4,1
"S00089140",77,61,9,45,0,0,0,4,2,1,16,9,5,0,2,0
"S00089141",100,81,16,51,0,2,0,3,4,5,19,10,6,0,3,0
"S00089142",115,83,18,41,1,2,1,5,4,11,32,9,5,7,8,3
"S00089143",77,50,12,31,0,0,0,2,2,3,27,10,4,1,9,3
"S00089144",76,52,10,31,0,2,1,0,5,3,24,14,2,2,3,3
"S00089145",106,74,16,44,0,1,0,3,2,8,32,22,1,4,5,0
"S00089146",82,64,12,40,0,0,2,3,2,5,18,8,4,3,3,0
"S00089147",66,49,11,26,0,0,0,2,8,2,17,6,0,9,2,0
"S00089148",85,53,8,36,0,1,1,0,3,4,32,14,3,10,3,2
"S00089149",90,76,13,43,0,1,2,2,9,6,14,2,2,7,3,0
"S00089150",103,67,17,32,0,1,1,6,5,5,36,12,1,2,14,7
"S00089151",43,30,7,22,0,0,0,0,1,0,13,7,0,2,3,1
"S00089152",48,28,7,13,0,0,2,1,5,0,20,10,0,0,8,2
"S00089153",45,28,4,19,0,1,0,1,2,1,17,13,0,1,3,0
"S00089154",56,42,10,29,0,0,0,1,1,1,14,5,0,2,7,0
"S00089155",66,44,7,29,0,1,1,2,1,3,22,16,1,1,2,2
"S00089156",100,49,6,34,0,0,0,1,5,3,51,24,1,4,19,3
"S00089157",80,52,11,31,0,0,1,3,3,3,28,19,1,5,2,1
"S00089158",98,76,21,45,0,1,1,1,2,5,22,13,2,2,4,1
"S00089159",63,48,6,36,0,0,2,1,3,0,15,4,5,0,4,2
"S00089160",79,58,8,36,0,0,2,4,6,2,21,11,4,2,3,1
"S00089161",77,53,10,38,0,0,0,1,1,3,24,14,2,3,5,0
"S00089162",56,43,7,25,0,0,1,1,7,2,13,10,1,1,1,0
"S00089163",84,62,11,42,0,0,1,2,4,2,22,9,5,4,4,0
"S00089164",53,39,12,22,1,0,0,1,0,3,14,9,0,0,5,0
"S00089165",73,56,17,33,0,1,1,3,0,1,17,8,3,4,2,0
"S00089166",98,77,20,42,3,1,0,0,4,7,21,11,1,4,2,3
"S00089167",85,66,7,49,0,0,2,3,2,3,19,10,1,0,4,4
"S00089168",13,1,0,0,0,0,0,0,1,0,12,10,0,0,2,0
"S00089169",85,61,18,32,0,2,0,3,3,3,24,13,4,3,1,3
"S00089170",58,44,6,32,0,1,0,1,3,1,14,7,0,4,2,1
"S00089171",52,35,7,24,0,0,0,1,3,0,17,12,2,0,2,1
"S00089172",45,32,2,23,0,1,2,1,3,0,13,7,0,2,4,0
"S00089173",105,86,16,56,0,0,0,4,5,5,19,9,2,4,2,2
"S00089174",117,77,14,51,0,1,0,3,5,3,40,21,1,4,9,5
"S00089175",96,67,17,37,0,0,0,2,6,5,29,12,5,3,7,2
"S00089176",83,67,16,46,0,1,0,0,2,2,16,5,3,4,2,2
"S00089177",92,72,13,51,1,0,2,3,1,1,20,7,1,2,9,1
"S00089178",101,75,13,52,1,2,0,4,1,2,26,18,2,1,5,0
"S00089179",125,94,18,61,1,1,3,3,4,3,31,19,2,7,2,1
"S00089180",111,84,16,52,0,0,1,8,5,2,27,18,3,2,1,3
"S00089181",71,50,6,43,0,0,0,0,0,1,21,13,2,4,1,1
"S00089182",90,73,14,47,0,1,0,3,5,3,17,7,4,2,1,3
"S00089183",77,52,11,30,0,1,0,3,4,3,25,11,6,3,4,1
"S00089184",96,73,12,38,0,5,0,7,0,11,23,8,8,6,0,1
"S00089185",100,68,13,40,0,5,1,2,4,3,32,19,6,4,0,3
"S00089186",85,71,11,42,0,14,0,1,2,1,14,3,7,3,0,1
"S00089187",55,47,6,29,0,3,1,3,5,0,8,1,1,3,0,3
"S00089188",117,85,14,54,0,1,3,8,3,2,32,18,8,4,0,2
"S00089189",112,86,10,58,0,2,2,7,3,4,26,16,2,4,0,4
"S00089190",97,79,6,56,0,3,0,9,1,4,18,7,5,5,0,1
"S00089191",117,98,10,72,1,8,0,4,0,3,19,7,8,3,1,0
"S00089192",96,85,5,64,1,1,1,8,3,2,11,2,5,4,0,0
"S00089193",120,100,7,80,0,3,3,4,1,2,20,5,8,7,0,0
"S00089194",103,67,13,41,0,3,1,4,2,3,36,17,8,7,3,1
"S00089195",101,64,12,36,0,6,2,2,4,2,37,15,7,11,1,3
"S00089196",89,63,7,39,0,6,2,6,2,1,26,14,5,7,0,0
"S00089197",90,64,12,36,0,2,5,5,1,3,26,16,3,5,0,2
