"output_area","ALL PEOPLE","Number Church of Scotland","Number Roman Catholic","Number Other Christian","Number Buddhist","Number Hindu","Number Jewish","Number Muslim","Number Sikh","Number Another Religion","Number None","Number Not Answered"
"60QA000342",99,63,7,2,0,1,0,0,0,0,25,1
"60QA000343",106,48,5,7,0,1,0,0,1,3,39,2
"60QA000344",151,81,9,6,0,4,0,0,0,0,46,5
"60QA000345",113,61,7,8,0,0,0,4,0,4,27,2
"60QA000346",86,37,9,18,0,0,0,0,0,0,20,2
"60QA000347",117,74,0,13,0,0,0,0,0,0,27,3
"60QA000348",80,44,5,6,0,0,0,0,0,0,21,4
"60QA000349",89,48,7,11,0,0,0,0,0,0,23,0
"60QA000350",102,53,6,7,0,0,0,0,0,1,33,2
"60QA000351",121,65,1,3,0,0,0,7,0,2,34,9
"60QA000352",108,57,8,13,0,0,0,0,0,0,28,2
"60QA000353",114,69,4,3,0,0,0,1,0,1,34,2
"60QA000354",105,61,1,10,0,0,0,0,0,3,26,4
"60QA000355",100,55,10,9,0,0,0,0,0,0,22,4
"60QA000356",164,87,2,16,0,0,0,0,0,0,57,2
"60QA000357",185,108,12,11,0,0,0,0,0,0,53,1
"60QA000358",166,89,15,13,0,0,0,0,0,1,43,5
"60QA000359",159,76,1,7,0,0,0,3,0,1,67,4
"60QA000360",109,64,3,7,0,0,0,0,0,0,26,9
"60QA000361",84,40,3,2,0,0,0,0,0,0,35,4
"60QA000362",100,43,4,4,0,2,0,0,0,0,40,7
"60QA000363",171,104,10,14,0,0,0,0,0,0,40,3
"60QA000364",155,86,5,6,0,0,0,1,0,0,53,4
"60QA000365",140,84,9,12,0,0,0,0,0,1,33,1
"60QA000366",67,42,1,3,1,3,0,0,0,0,13,4
"60QA000367",77,37,6,5,0,0,0,0,0,0,28,1
"60QA000368",57,34,5,2,0,0,0,0,0,0,13,3
"60QA000369",92,42,5,11,0,1,0,0,0,0,31,2
"60QA000370",158,92,4,8,0,0,0,0,0,0,46,8
"60QA000371",111,70,3,9,0,0,0,0,1,1,22,5
"60QA000372",103,62,8,9,0,0,0,0,0,0,24,0
"60QA000373",101,58,8,9,0,0,0,5,0,1,18,2
"60QA000374",119,63,5,6,0,0,0,0,0,0,38,7
"60QA000375",88,43,4,8,0,0,0,0,0,0,33,0
"60QA000376",152,90,0,9,5,0,0,0,0,0,39,9
"60QA000377",122,77,5,11,0,0,0,0,0,0,26,3
"60QA000378",92,49,5,8,0,0,0,0,0,0,24,6
"60QA000379",165,69,8,28,1,0,0,5,0,0,49,5
"60QA000380",70,35,1,3,0,0,0,0,0,6,23,2
"60QA000381",112,40,4,3,0,0,0,0,0,0,62,3
"60QA000382",101,53,2,5,0,0,0,0,0,0,34,7
"60QA000383",144,60,7,13,0,0,0,0,0,0,59,5
"60QA000384",112,53,8,7,0,3,0,0,0,0,39,2
"60QA000385",159,84,8,9,0,0,0,0,0,1,55,2
"60QA000386",162,78,6,11,0,2,0,2,0,1,58,4
"60QA000387",80,32,6,5,1,0,2,0,0,0,28,6
"60QA000388",95,21,11,11,0,0,0,1,0,4,44,3
"60QA000389",90,22,9,3,0,0,0,5,0,2,43,6
"60QA000390",104,44,3,8,0,0,0,0,0,1,37,11
"60QA000391",139,45,7,10,0,0,0,0,0,3,67,7
"60QA000392",117,74,8,6,0,0,0,0,0,0,22,7
"60QA000393",124,52,9,12,0,0,0,0,0,5,43,3
"60QA000394",68,35,7,6,0,0,0,0,0,0,19,1
"60QA000395",187,87,18,14,0,1,0,4,0,1,57,5
"60QA000396",136,83,4,8,2,2,0,0,0,0,33,4
"60QA000397",143,82,5,17,0,0,0,1,0,0,32,6
"60QA000398",82,46,4,15,0,0,0,0,0,0,16,1
"60QA000399",104,65,4,5,0,0,0,0,0,1,22,7
"60QA000400",194,111,8,12,0,3,0,5,0,0,50,5
"60QA000401",164,94,4,7,0,1,0,0,0,0,52,6
"60QA000402",103,52,1,17,0,0,0,0,0,0,27,6
"60QA000403",133,77,6,12,0,0,0,0,0,0,34,4
"60QA000404",127,72,6,22,0,0,0,0,0,0,24,3
"60QA000405",166,66,14,20,5,2,0,8,0,1,49,1
"60QA000406",124,68,11,13,0,0,0,0,0,0,29,3
"60QA000407",228,123,10,31,4,0,0,0,0,0,48,12
"60QA000408",176,112,7,16,0,0,0,1,0,0,38,2
"60QA000409",182,77,6,20,0,0,0,5,0,2,60,12
"60QA000410",102,56,3,8,0,0,0,0,0,0,27,8
"60QA000411",85,46,4,6,0,0,0,0,0,0,28,1
"60QA000412",101,48,4,5,0,0,0,0,0,2,37,5
"60QA000413",79,48,2,1,0,0,0,0,0,0,22,6
"60QA000414",75,35,2,5,0,0,0,4,1,0,25,3
"60QA000415",70,36,4,5,0,0,0,0,0,0,24,1
"60QA000416",128,56,6,14,0,1,0,0,0,0,43,8
"60QA000417",65,25,7,4,0,0,0,0,0,1,20,8
"60QA000418",93,43,4,9,0,0,0,2,0,1,31,3
"60QA000419",111,57,7,9,1,0,0,0,1,1,30,5
"60QA000420",64,40,6,6,0,0,0,0,0,1,9,2
"60QA000421",98,31,11,18,0,2,0,8,0,0,25,3
"60QA000422",81,47,3,2,1,0,0,0,0,0,24,4
"60QA000423",91,49,1,4,0,0,0,0,0,0,34,3
"60QA000424",114,50,4,25,0,0,0,0,0,0,35,0
"60QA000425",93,39,1,22,0,0,0,0,0,2,27,2
"60QA000426",115,60,3,19,3,0,0,0,0,0,29,1
"60QA000427",160,36,13,29,0,0,0,15,0,0,60,7
"60QA000428",118,72,9,6,0,0,0,0,0,2,24,5
"60QA000429",113,46,7,9,0,0,0,0,0,1,40,10
"60QA000430",112,57,3,8,0,0,0,0,0,0,44,0
"60QA000431",143,47,12,30,1,0,0,3,0,0,48,2
"60QA000432",98,26,15,16,0,0,0,0,0,0,34,7
"60QA000433",209,96,12,37,0,0,0,0,0,0,59,5
"60QA000434",181,56,16,29,0,4,0,1,2,0,66,7
"60QA000435",72,44,4,2,3,0,0,0,0,0,18,1
"60QA000436",104,52,5,9,0,0,0,0,0,0,34,4
"60QA000437",161,48,12,15,0,0,0,9,0,0,70,7
"60QA000438",143,65,9,18,0,0,0,0,0,0,48,3
"60QA000439",148,72,7,25,0,0,0,0,0,0,43,1
"60QA000440",106,47,2,9,0,0,0,0,0,0,40,8
"60QA000441",140,75,0,5,0,0,0,0,0,0,55,5
