"output_area","All households","Number of households comprising: One person Pensioner","Number of households comprising: One person Other","Number of households comprising: One family and no others All pensioners","Number of households comprising: One family and no others Married couple households No children","Number of households comprising: One family and no others Married couple households With dependent children","Number of households comprising: One family and no others Married couple households All children non-dependent ","Number of households comprising: One family and no others Cohabiting couple households No children","Number of households comprising: One family and no others Cohabiting couple households With dependent children","Number of households comprising: One family and no others Cohabiting couple households All children non-dependent","Number of households comprising: One family and no others Lone parent housheolds With dependent children","Number of households comprising: One family and no others Lone parent households All children non-dependent","Number of households comprising: Other households With dependent children","Number of households comprising: Other households All student","Number of households comprising: Other households All pensioner","Number of households comprising: Other households Other"
"60QS003758",37,7,13,2,2,3,1,0,2,0,5,1,1,0,0,0
"60QS003759",46,5,9,0,3,9,1,0,2,0,12,1,1,0,0,3
"60QS003760",51,6,10,0,3,8,0,1,2,0,14,3,3,0,0,1
"60QS003761",50,10,11,1,1,6,6,0,0,0,10,3,1,0,0,1
"60QS003762",49,3,13,0,2,4,1,0,1,0,16,2,5,0,0,2
"60QS003763",40,6,8,0,5,8,2,3,0,0,8,0,0,0,0,0
"60QS003764",23,1,4,0,0,1,0,3,2,0,10,1,1,0,0,0
"60QS003765",21,0,1,0,3,4,1,0,2,0,6,3,0,0,0,1
"60QS003766",39,6,9,1,0,2,0,1,3,0,9,5,1,0,0,2
"60QS003767",36,2,11,0,1,0,1,1,3,0,12,3,1,0,0,1
"60QS003768",55,2,16,0,0,5,1,0,3,0,21,2,5,0,0,0
"60QS003769",50,11,9,3,6,3,4,2,2,1,5,2,0,0,0,2
"60QS003770",35,2,12,0,2,2,0,5,0,0,2,0,0,0,0,10
"60QS003771",26,1,7,1,3,1,0,4,0,0,3,0,1,4,0,1
"60QS003772",60,20,10,15,4,1,3,3,0,0,1,1,1,0,0,1
"60QS003773",59,21,6,4,4,4,7,1,0,0,4,5,1,0,1,1
"60QS003774",53,7,28,1,2,1,1,1,0,0,9,2,0,0,0,1
"60QS003775",39,7,5,0,2,1,0,1,3,0,14,4,0,0,0,2
"60QS003776",66,23,21,4,0,2,0,0,0,0,5,4,3,0,2,2
"60QS003777",49,4,17,0,1,6,1,1,2,0,10,3,2,0,0,2
"60QS003778",40,7,10,0,1,7,1,1,0,0,8,2,2,0,1,0
"60QS003779",42,2,18,0,1,1,4,0,0,0,11,3,1,0,0,1
"60QS003780",70,24,22,5,2,0,1,1,0,0,9,2,2,0,0,2
"60QS003781",56,5,9,2,7,5,7,3,1,1,9,5,1,0,0,1
"60QS003782",46,16,4,2,1,0,4,0,3,0,7,4,2,0,0,3
"60QS003783",36,10,7,0,2,1,2,0,0,0,6,5,1,0,0,2
"60QS003784",50,6,6,0,0,6,2,0,3,1,16,6,3,0,0,1
"60QS003785",48,9,16,0,6,1,0,1,1,0,4,5,3,0,1,1
"60QS003786",39,10,15,2,1,1,1,1,0,0,5,1,1,1,0,0
"60QS003787",46,2,14,2,6,6,3,2,2,1,2,3,1,0,0,2
"60QS003788",74,2,19,0,0,20,2,3,5,0,5,5,8,0,1,4
"60QS003789",42,3,17,0,5,0,1,3,0,0,1,0,1,1,0,10
"60QS003790",37,3,15,0,4,2,0,4,0,0,2,0,0,0,0,7
"60QS003791",28,1,7,0,3,2,2,4,0,1,2,2,0,0,0,4
"60QS003792",32,2,12,0,2,0,1,8,2,0,2,0,0,0,0,3
"60QS003793",40,1,11,4,7,12,1,1,0,0,0,0,0,0,0,3
"60QS003794",35,5,17,0,3,2,0,3,0,0,1,1,0,0,0,3
"60QS003795",34,2,20,0,1,2,0,3,0,0,1,1,0,0,0,4
"60QS003796",73,16,27,4,1,3,1,2,4,0,6,5,1,0,2,1
"60QS003797",38,1,23,0,4,1,0,3,0,0,1,0,0,1,0,4
"60QS003798",34,7,4,3,5,6,2,4,1,0,0,1,1,0,0,0
"60QS003799",45,17,19,1,1,3,0,0,0,0,0,1,0,0,0,3
"60QS003800",42,10,7,3,5,1,2,2,0,0,6,3,3,0,0,0
"60QS003801",35,10,9,3,2,1,2,0,2,0,1,3,1,0,0,1
"60QS003802",31,5,7,2,2,0,2,0,1,0,6,3,2,0,0,1
"60QS003803",36,2,10,3,1,1,1,0,4,0,7,5,1,0,1,0
"60QS003804",62,7,23,3,9,3,0,1,3,0,4,2,4,0,0,3
"60QS003805",66,0,21,2,12,14,1,4,2,1,3,0,2,0,0,4
"60QS003806",46,5,9,2,12,2,3,1,0,0,5,2,4,0,1,0
"60QS003807",39,10,19,0,1,2,2,1,0,0,2,2,0,0,0,0
"60QS003808",34,7,14,0,3,3,2,2,1,0,1,1,0,0,0,0
"60QS003809",22,0,8,1,3,5,0,0,0,0,0,3,2,0,0,0
"60QS003810",49,5,17,0,2,4,1,2,0,0,2,8,0,6,1,1
"60QS003811",66,12,37,3,2,0,3,2,0,0,2,4,0,0,0,1
"60QS003812",75,10,15,10,5,3,3,7,3,1,1,4,1,4,1,7
"60QS003813",53,10,12,5,2,2,6,0,2,0,5,5,0,0,0,4
"60QS003814",58,4,12,2,3,7,2,4,2,0,8,3,2,0,0,9
"60QS003815",37,4,21,0,2,3,0,2,0,0,3,1,0,1,0,0
"60QS003816",61,13,30,0,1,1,0,1,1,0,9,2,2,0,0,1
"60QS003817",49,1,20,1,3,4,0,11,0,0,6,2,0,0,0,1
"60QS003818",33,3,12,3,1,6,2,1,0,0,2,0,1,0,0,2
"60QS003819",47,1,19,1,4,4,1,3,2,0,5,1,1,0,0,5
"60QS003820",50,3,19,0,5,5,0,5,1,0,5,0,4,2,0,1
"60QS003821",50,22,10,8,1,0,2,0,0,1,0,4,0,0,1,1
"60QS003822",35,1,1,4,3,8,2,0,0,1,11,1,3,0,0,0
"60QS003823",34,2,1,3,1,3,3,0,4,1,12,1,3,0,0,0
"60QS003824",21,0,4,0,7,7,0,0,0,0,1,0,1,0,0,1
"60QS003825",43,6,10,2,1,1,0,0,4,0,17,2,0,0,0,0
"60QS003826",80,27,11,7,6,6,1,3,0,2,3,4,5,1,2,2
"60QS003827",24,2,5,1,3,5,3,4,0,0,0,1,0,0,0,0
"60QS003828",20,0,0,3,2,8,3,1,0,0,1,1,0,0,0,1
"60QS003829",35,7,8,1,7,4,0,6,0,0,0,0,0,1,1,0
"60QS003830",50,9,34,0,2,0,1,4,0,0,0,0,0,0,0,0
"60QS003831",46,3,18,0,2,3,1,2,1,0,15,1,0,0,0,0
"60QS003832",50,8,4,1,4,16,5,0,3,0,2,2,2,0,0,3
"60QS003833",30,5,10,1,3,3,0,4,1,0,1,0,0,0,0,2
"60QS003834",49,34,2,7,2,0,1,0,0,0,0,1,1,0,1,0
"60QS003835",56,9,15,1,4,4,4,1,0,0,10,5,1,0,0,2
"60QS003836",48,6,4,1,5,6,0,0,2,0,19,2,1,0,0,2
"60QS003837",40,6,6,7,4,3,4,0,1,0,7,2,0,0,0,0
"60QS003838",36,5,18,0,2,0,0,0,1,0,1,0,1,1,0,7
"60QS003839",40,10,7,4,1,0,2,1,0,0,7,4,0,0,0,4
"60QS003840",65,31,4,3,7,5,3,1,2,1,7,1,0,0,0,0
"60QS003841",28,2,11,2,0,0,0,0,0,0,9,1,1,0,0,2
"60QS003842",34,0,9,1,2,1,1,1,1,0,11,4,1,0,1,1
"60QS003843",41,2,12,0,2,4,2,0,3,1,7,3,4,0,0,1
"60QS003844",39,21,7,5,1,0,1,0,0,0,2,1,0,0,0,1
"60QS003845",22,1,1,0,2,7,3,0,3,1,2,1,0,0,0,1
"60QS003846",45,3,7,1,0,2,2,0,1,0,18,7,1,0,0,3
"60QS003847",44,7,3,1,2,4,1,0,4,0,11,4,4,0,0,3
"60QS003848",34,1,8,1,3,1,4,2,0,1,6,6,0,0,0,1
"60QS003849",31,8,3,3,5,0,4,1,0,0,2,3,1,0,0,1
"60QS003850",50,6,9,3,2,1,1,0,2,0,15,2,4,0,2,3
"60QS003851",66,4,21,10,0,6,2,0,0,1,12,7,2,0,0,1
"60QS003852",35,3,23,0,2,2,0,0,0,0,4,0,1,0,0,0
"60QS003853",39,0,18,1,1,1,0,4,0,0,12,0,0,0,0,2
"60QS003854",57,2,13,0,4,10,5,5,3,2,9,1,2,0,1,0
"60QS003855",42,6,6,1,2,2,2,0,1,0,18,2,0,0,0,2
"60QS003856",41,2,10,0,2,2,0,0,1,0,19,2,1,0,0,2
"60QS003857",24,0,2,0,3,7,2,3,1,0,5,1,0,0,0,0
"60QS003858",43,3,8,0,5,4,2,3,1,0,14,2,0,0,0,1
"60QS003859",44,7,2,1,6,2,3,0,0,1,18,2,2,0,0,0
"60QS003860",77,7,11,1,9,22,6,6,2,1,6,2,3,0,0,1
"60QS003861",30,1,7,3,5,9,1,1,0,0,2,0,0,0,0,1
"60QS003862",28,3,3,0,5,8,5,0,2,0,2,0,0,0,0,0
"60QS003863",21,3,0,0,3,4,3,0,2,0,5,1,0,0,0,0
"60QS003864",44,2,22,1,2,2,0,1,2,0,8,2,1,0,0,1
"60QS003865",46,34,5,3,0,3,0,0,0,0,0,0,0,0,1,0
"60QS003866",70,5,37,2,11,1,1,7,0,0,0,1,0,1,0,4
"60QS003867",81,3,50,0,3,4,0,5,0,0,8,0,2,0,1,5
"60QS003868",72,17,17,2,2,4,0,3,1,0,18,1,2,1,0,4
"60QS003869",30,3,8,2,4,2,0,2,2,0,3,1,0,1,0,2
"60QS003870",54,5,22,0,2,4,1,1,3,0,7,3,3,1,0,2
"60QS003871",65,4,24,1,6,6,1,4,1,0,12,1,1,1,0,3
"60QS003872",30,1,3,0,0,1,1,0,1,0,17,2,3,0,0,1
"60QS003873",75,24,23,5,2,3,1,2,0,0,0,7,3,0,1,4
"60QS003874",48,10,11,0,1,4,2,3,1,0,10,3,2,0,0,1
"60QS003875",32,0,14,0,1,1,0,3,0,0,11,1,1,0,0,0
"60QS003876",37,6,12,0,2,3,0,2,1,0,8,1,1,0,0,1
"60QS003877",70,5,35,2,3,1,1,6,2,0,10,1,3,0,0,1
"60QS003878",40,11,7,4,3,5,2,0,1,0,1,3,0,0,3,0
"60QS003879",24,1,6,2,1,1,1,0,0,0,7,4,1,0,0,0
"60QS003880",33,5,13,0,1,1,0,0,3,0,9,0,0,0,0,1
"60QS003881",50,8,8,8,5,8,4,3,0,0,3,1,1,0,0,1
"60QS003882",27,1,4,0,0,3,0,0,1,0,15,1,2,0,0,0
"60QS003883",30,1,13,0,1,3,0,2,2,0,8,0,0,0,0,0
"60QS003884",55,10,15,2,3,4,0,0,0,0,17,2,2,0,0,0
"60QS003885",39,9,1,6,3,7,1,0,0,1,1,5,0,0,2,3
"60QS003886",22,6,1,3,1,4,3,0,0,0,3,0,1,0,0,0
"60QS003887",43,19,9,8,1,2,0,0,0,0,0,4,0,0,0,0
"60QS003888",54,10,22,1,0,2,1,1,1,0,5,4,0,0,0,7
"60QS003889",25,5,5,2,3,5,1,0,0,2,0,1,0,0,0,1
"60QS003890",73,23,14,9,3,5,6,2,2,0,2,3,1,1,0,2
"60QS003891",35,0,20,0,6,1,0,2,1,0,0,0,0,1,0,4
"60QS003892",40,5,4,0,5,9,3,2,2,0,7,1,1,0,0,1
"60QS003893",62,29,27,2,0,0,0,0,0,0,1,1,1,0,1,0
"60QS003894",31,1,15,0,3,1,2,6,0,0,1,1,0,0,0,1
"60QS003895",31,3,4,0,3,4,1,0,1,0,3,1,0,2,0,9
"60QS003896",35,2,5,2,1,6,4,0,1,0,8,3,1,0,0,2
"60QS003897",37,3,8,1,2,3,7,1,0,0,6,1,1,0,0,4
"60QS003898",36,0,4,1,6,2,2,6,2,0,0,5,1,3,0,4
"60QS003899",23,2,5,0,0,3,2,0,1,0,8,2,0,0,0,0
"60QS003900",55,34,0,4,1,2,2,1,3,0,5,1,1,0,0,1
"60QS003901",41,13,9,6,3,2,3,0,0,0,0,2,2,0,0,1
"60QS003902",37,2,4,1,6,4,5,0,0,0,2,7,5,0,0,1
"60QS003903",37,10,7,1,3,3,3,0,0,0,9,0,0,0,0,1
"60QS003904",43,5,8,4,4,7,1,0,3,0,7,2,2,0,0,0
"60QS003905",28,4,4,3,1,1,2,1,1,0,5,5,0,0,0,1
"60QS003906",50,4,9,2,5,3,5,1,2,0,10,2,5,0,0,2
"60QS003907",51,4,9,5,4,3,2,0,1,2,7,7,2,0,0,5
"60QS003908",29,0,4,1,3,5,3,1,0,0,8,2,2,0,0,0
"60QS003909",59,3,5,5,5,8,13,1,3,0,8,3,3,0,0,2
"60QS003910",27,3,11,0,1,1,0,0,1,1,5,1,3,0,0,0
"60QS003911",39,1,24,0,2,0,0,6,1,0,0,2,1,0,0,2
"60QS003912",36,0,3,0,4,14,1,5,3,1,3,0,1,0,0,1
"60QS003913",46,0,5,0,8,23,6,0,2,0,2,0,0,0,0,0
"60QS003914",55,4,17,1,4,11,0,3,3,0,7,3,1,0,0,1
"60QS003915",56,3,9,3,8,10,5,2,3,2,5,4,0,0,1,1
"60QS003916",48,3,7,0,8,14,5,4,3,1,1,0,1,0,0,1
"60QS003917",45,1,14,2,3,7,2,5,4,1,4,0,1,0,0,1
"60QS003918",67,12,22,2,3,2,5,0,1,0,15,4,1,0,0,0
"60QS003919",58,6,21,3,4,5,1,1,1,0,12,2,1,0,0,1
"60QS003920",48,9,8,3,4,2,1,0,5,0,10,3,1,0,0,2
"60QS003921",55,11,10,8,9,7,4,2,0,0,1,2,0,0,0,1
"60QS003922",37,2,3,4,6,6,7,1,1,1,5,0,1,0,0,0
"60QS003923",58,4,22,2,8,10,0,5,1,0,4,2,0,0,0,0
"60QS003924",45,0,8,0,10,10,4,4,4,1,3,0,0,0,0,1
"60QS003925",50,4,15,1,7,7,2,2,2,0,3,5,1,0,0,1
"60QS003926",68,1,12,2,9,18,6,6,3,0,7,0,2,1,0,1
"60QS003927",64,5,15,2,17,9,6,5,1,0,0,1,1,0,2,0
"60QS003928",61,23,5,9,7,9,2,0,0,0,2,4,0,0,0,0
"60QS003929",23,1,2,1,2,9,5,0,0,2,1,0,0,0,0,0
"60QS003930",74,1,21,4,14,12,4,6,4,0,1,3,4,0,0,0
"60QS003931",39,0,1,1,9,18,1,2,1,0,3,0,2,0,0,1
"60QS003932",43,1,6,2,7,18,2,0,2,0,0,1,2,0,1,1
"60QS003933",33,6,3,4,3,8,4,1,0,0,1,1,0,0,0,2
"60QS003934",60,4,2,4,6,19,4,8,2,0,4,1,1,0,1,4
"60QS003935",48,7,2,6,5,17,4,2,1,0,0,3,1,0,0,0
"60QS003936",29,5,3,3,4,5,4,0,0,0,2,0,1,0,1,1
"60QS003937",47,16,11,6,2,0,2,0,0,0,4,5,0,0,0,1
"60QS003938",45,5,7,0,7,10,5,3,0,0,4,2,0,0,0,2
"60QS003939",33,4,5,3,10,6,1,1,2,0,1,0,0,0,0,0
"60QS003940",56,5,4,6,5,14,14,1,0,1,1,1,1,0,1,2
"60QS003941",57,18,8,4,8,9,4,0,1,0,3,1,0,0,1,0
"60QS003942",35,6,6,4,3,4,3,0,3,0,2,1,1,0,0,2
"60QS003943",25,1,8,0,1,1,0,3,1,0,0,0,1,3,0,6
"60QS003944",62,3,30,0,2,4,0,7,0,0,2,0,0,8,1,5
"60QS003945",45,11,23,4,1,0,0,1,1,0,2,1,0,0,1,0
"60QS003946",65,1,4,0,0,1,0,0,1,0,0,0,0,51,0,7
"60QS003947",33,4,4,1,0,2,0,1,1,0,0,0,3,6,0,11
"60QS003948",30,11,7,0,0,0,1,3,0,0,1,1,0,2,1,3
"60QS003949",35,2,12,0,2,2,0,3,1,0,0,0,1,6,0,6
"60QS003950",43,7,19,4,4,3,0,0,0,0,0,0,0,3,0,3
"60QS003951",30,1,17,0,2,4,0,4,0,0,0,0,1,0,0,1
"60QS003952",25,1,3,1,4,6,2,2,1,0,2,0,0,1,0,2
"60QS003953",49,17,7,12,5,0,1,1,0,0,3,2,0,1,0,0
"60QS003954",26,2,2,7,2,3,3,0,0,0,3,3,0,0,0,1
"60QS003955",45,3,11,4,8,9,1,2,0,0,3,0,0,1,0,3
"60QS003956",36,13,7,3,3,1,4,0,0,0,0,3,0,0,2,0
"60QS003957",30,8,2,3,0,2,2,0,0,0,0,7,1,3,1,1
"60QS003958",34,5,14,0,5,5,0,1,0,0,2,1,0,0,0,1
"60QS003959",42,7,5,1,4,11,2,0,3,0,6,1,1,0,0,1
"60QS003960",51,6,21,7,1,4,0,5,1,0,0,1,1,2,0,2
"60QS003961",54,0,10,0,0,1,0,1,0,0,0,0,3,22,0,17
"60QS003962",41,0,11,0,1,0,0,0,0,0,0,0,0,21,0,8
"60QS003963",42,3,8,2,3,4,2,1,3,0,9,4,1,0,0,2
"60QS003964",58,0,26,0,8,0,1,6,1,0,3,0,0,6,0,7
"60QS003965",35,7,5,3,2,7,1,1,1,0,0,5,1,0,1,1
"60QS003966",95,0,40,2,8,0,0,11,0,0,1,1,0,18,0,14
"60QS003967",46,0,23,0,3,2,0,4,0,0,1,0,0,9,0,4
"60QS003968",46,3,12,0,3,11,0,2,0,0,1,4,0,2,2,6
"60QS003969",66,6,18,2,2,10,1,3,4,0,12,1,0,1,0,6
"60QS003970",55,0,22,0,2,0,0,4,0,0,0,0,0,15,0,12
"60QS003971",61,0,34,1,2,2,0,6,0,0,0,1,1,8,0,6
"60QS003972",62,15,11,2,1,1,0,2,0,0,25,2,0,2,0,1
"60QS003973",61,12,18,1,3,6,0,0,0,1,16,2,0,0,1,1
"60QS003974",64,4,34,0,5,0,0,4,0,0,9,2,0,0,1,5
"60QS003975",47,6,21,1,4,0,2,0,1,0,5,3,0,0,0,4
"60QS003976",72,14,27,3,3,1,2,3,0,0,13,3,0,0,1,2
"60QS003977",66,15,30,2,1,2,2,2,0,1,8,1,2,0,0,0
"60QS003978",72,16,39,1,0,2,1,0,2,0,5,3,0,0,3,0
"60QS003979",66,8,35,0,2,3,2,5,2,0,5,1,0,0,0,3
"60QS003980",68,13,32,1,1,2,0,6,1,0,8,2,0,0,0,2
"60QS003981",59,9,27,2,0,1,0,1,2,0,8,4,1,0,0,4
"60QS003982",61,8,32,2,0,3,2,1,1,0,10,1,0,0,0,1
"60QS003983",63,10,21,1,4,2,2,2,0,0,11,3,0,0,4,3
"60QS003984",52,4,19,1,1,4,2,2,2,0,2,1,0,4,0,10
"60QS003985",33,2,7,1,3,3,3,3,0,0,2,2,0,3,0,4
"60QS003986",53,6,27,0,3,4,1,5,0,0,4,1,0,0,0,2
"60QS003987",39,5,26,0,0,2,1,1,0,0,4,0,0,0,0,0
"60QS003988",52,17,12,8,0,0,2,2,0,0,7,0,0,0,3,1
"60QS003989",47,16,12,8,1,1,1,1,1,0,4,2,0,0,0,0
"60QS003990",39,5,22,0,2,1,0,7,0,0,0,0,0,0,0,2
"60QS003991",60,2,35,1,3,1,0,12,1,0,2,1,0,0,0,2
"60QS003992",49,9,18,1,4,2,1,1,1,0,3,1,0,3,0,5
"60QS003993",47,8,19,1,3,2,0,2,2,0,4,0,0,2,0,4
"60QS003994",48,10,16,2,1,2,1,2,0,0,9,2,1,0,0,2
"60QS003995",42,4,20,1,1,0,0,2,0,0,4,1,0,0,0,9
"60QS003996",39,11,7,1,1,1,2,0,1,0,10,2,1,0,1,1
"60QS003997",53,10,20,3,2,2,0,1,0,0,6,2,1,0,1,5
"60QS003998",42,18,10,3,1,0,2,0,1,0,4,2,0,0,1,0
"60QS003999",41,19,7,3,2,1,0,0,0,0,7,2,0,0,0,0
"60QS004000",63,17,29,3,1,0,1,1,1,0,7,3,0,0,0,0
"60QS004001",60,8,33,1,2,1,0,1,2,0,3,5,2,0,0,2
"60QS004002",34,3,18,0,0,1,1,1,1,0,6,1,0,0,0,2
"60QS004003",53,4,23,0,4,6,0,5,0,0,4,3,1,1,0,2
"60QS004004",29,3,10,0,1,2,1,3,1,0,3,0,0,1,0,4
"60QS004005",95,1,39,0,10,4,1,6,2,0,1,3,2,10,0,16
"60QS004006",47,2,15,1,3,2,2,0,1,0,13,5,2,0,0,1
"60QS004007",56,9,5,0,1,4,1,0,5,1,18,6,3,1,0,2
"60QS004008",50,2,18,1,2,3,2,3,0,1,6,7,0,0,1,4
"60QS004009",44,7,8,2,3,6,3,0,0,0,0,10,3,0,0,2
"60QS004010",50,10,13,10,4,2,1,2,0,0,2,2,3,0,1,0
"60QS004011",32,4,6,4,2,4,2,1,0,0,2,4,1,0,0,2
"60QS004012",56,20,4,3,3,1,3,0,4,0,12,4,0,0,1,1
"60QS004013",50,11,10,7,6,3,2,0,1,0,7,3,0,0,0,0
"60QS004014",46,3,22,1,2,0,0,2,1,0,13,1,0,0,0,1
"60QS004015",59,6,30,1,5,1,0,1,0,0,13,1,0,0,0,1
"60QS004016",59,14,20,2,2,1,0,3,0,0,11,5,0,0,1,0
"60QS004017",60,7,20,1,4,0,1,4,2,0,20,0,0,0,0,1
"60QS004018",40,0,12,0,3,9,0,4,1,0,5,0,0,1,0,5
"60QS004019",43,4,20,0,2,4,1,2,3,0,1,0,0,2,0,4
"60QS004020",60,5,26,0,5,4,0,1,2,0,13,2,0,1,0,1
"60QS004021",52,11,21,0,4,3,3,2,2,0,1,2,1,0,0,2
"60QS004022",57,8,22,1,1,3,0,0,1,0,14,2,1,0,2,2
"60QS004023",51,11,16,1,3,6,0,3,1,0,7,1,1,0,0,1
"60QS004024",58,7,14,1,2,10,1,2,3,0,7,5,3,0,0,3
"60QS004025",49,5,21,1,4,6,0,2,0,0,6,1,0,0,0,3
"60QS004026",56,7,12,0,3,11,1,0,2,0,12,2,2,1,0,3
"60QS004027",52,5,20,3,3,7,0,1,2,0,6,2,1,0,1,1
"60QS004028",57,7,18,0,4,4,1,0,2,2,10,6,2,0,0,1
"60QS004029",51,3,23,1,3,6,0,0,0,0,10,1,2,1,0,1
"60QS004030",59,10,16,3,3,3,0,0,1,0,13,3,5,1,0,1
"60QS004031",52,2,21,0,5,9,0,1,0,0,13,0,0,1,0,0
"60QS004032",57,7,16,1,2,13,0,0,1,0,6,6,1,0,0,4
"60QS004033",49,5,19,0,3,5,1,2,3,0,5,1,3,0,0,2
"60QS004034",55,6,28,0,4,3,0,3,2,0,4,1,3,0,0,1
"60QS004035",34,8,12,0,1,3,0,0,0,0,3,1,1,0,0,5
"60QS004036",32,4,4,2,2,2,4,1,2,0,11,0,0,0,0,0
"60QS004037",56,5,4,0,2,8,6,0,3,1,17,5,2,0,2,1
"60QS004038",46,6,12,3,5,3,1,1,2,0,8,1,2,0,0,2
"60QS004039",39,13,13,2,2,2,0,1,1,0,1,2,0,0,1,1
"60QS004040",53,6,12,2,2,2,1,3,3,0,12,5,0,1,0,4
"60QS004041",58,9,23,0,3,3,0,1,2,0,6,2,2,1,0,6
"60QS004042",58,7,30,1,2,3,0,0,1,0,9,3,1,0,0,1
"60QS004043",70,13,37,0,1,3,1,0,2,0,7,1,0,0,0,5
"60QS004044",54,2,21,0,0,4,0,0,1,0,20,0,2,0,0,4
"60QS004045",45,2,25,0,1,0,0,0,2,0,12,0,1,0,0,2
"60QS004046",58,12,18,4,4,0,1,2,1,0,9,2,3,0,0,2
"60QS004047",57,11,21,3,2,2,1,2,0,0,11,2,2,0,0,0
"60QS004048",47,15,13,2,1,2,0,1,1,0,9,3,0,0,0,0
"60QS004049",47,14,18,5,4,1,3,0,0,0,0,1,0,0,0,1
"60QS004050",45,13,14,8,1,0,0,0,0,0,3,3,1,0,1,1
"60QS004051",45,19,9,2,2,0,1,0,1,0,5,5,0,0,1,0
"60QS004052",52,25,9,0,1,1,3,0,2,0,6,2,1,0,0,2
"60QS004053",48,7,15,6,0,0,1,1,2,0,14,1,0,0,0,1
"60QS004054",51,15,22,1,0,0,1,0,2,0,9,0,0,0,0,1
"60QS004055",46,12,15,3,0,0,0,1,0,0,10,3,0,0,0,2
"60QS004056",86,1,77,0,1,1,0,2,0,0,3,0,0,1,0,0
"60QS004057",61,0,59,0,0,1,0,1,0,0,0,0,0,0,0,0
"60QS004058",43,2,29,0,1,1,0,0,1,0,7,1,0,0,0,1
"60QS004059",42,3,24,0,1,5,0,1,0,0,6,1,0,0,0,1
"60QS004060",56,7,29,1,2,4,0,1,1,0,6,1,1,0,0,3
"60QS004061",59,11,30,1,1,1,1,0,0,0,8,1,3,0,0,2
"60QS004062",58,3,42,0,0,1,0,2,1,0,8,0,1,0,0,0
"60QS004063",58,12,23,2,1,1,0,1,6,0,7,1,0,0,1,3
"60QS004064",49,3,30,1,0,0,0,0,2,0,9,0,3,0,0,1
"60QS004065",54,7,27,3,5,2,1,0,0,0,6,1,1,0,0,1
"60QS004066",48,4,33,0,0,1,0,4,1,0,4,0,0,0,0,1
"60QS004067",51,4,47,0,0,0,0,0,0,0,0,0,0,0,0,0
"60QS004068",60,3,26,2,3,6,0,4,1,0,12,1,2,0,0,0
"60QS004069",47,8,12,1,6,4,1,2,0,0,8,3,1,0,0,1
"60QS004070",52,16,6,10,5,0,3,0,0,0,1,8,1,0,0,2
"60QS004071",31,7,5,4,3,1,3,1,0,0,0,2,3,0,0,2
"60QS004072",36,14,1,3,2,1,3,1,0,0,3,2,1,0,2,3
"60QS004073",55,7,6,2,1,8,3,0,0,0,8,12,3,0,1,4
"60QS004074",48,6,14,0,1,3,0,0,1,0,19,1,2,0,0,1
"60QS004075",48,8,29,1,3,0,0,2,0,0,3,2,0,0,0,0
"60QS004076",49,10,20,2,5,0,2,0,2,0,4,3,1,0,0,0
"60QS004077",48,9,9,1,3,5,1,1,5,0,9,3,1,0,1,0
"60QS004078",47,10,14,1,1,3,1,2,4,0,10,1,0,0,0,0
"60QS004079",47,5,22,2,6,0,1,2,1,0,5,1,1,0,0,1
"60QS004080",45,9,21,1,3,1,0,4,0,0,3,1,0,0,0,2
"60QS004081",45,9,15,1,2,3,1,1,1,0,11,1,0,0,0,0
"60QS004082",38,3,5,5,4,9,6,0,0,1,1,3,0,0,0,1
"60QS004083",44,7,6,5,8,2,7,1,1,1,2,1,0,0,0,3
"60QS004084",54,5,33,1,0,1,0,4,2,0,3,1,1,0,0,3
"60QS004085",49,6,29,1,0,0,0,2,0,0,5,2,1,0,0,3
"60QS004086",54,2,18,1,2,7,1,5,1,0,5,0,0,2,0,10
"60QS004087",39,1,12,1,1,5,1,4,2,0,3,4,0,0,0,5
"60QS004088",63,19,15,4,2,5,4,4,1,0,2,3,0,3,0,1
"60QS004089",72,5,28,2,7,6,3,3,1,0,0,2,0,2,0,13
"60QS004090",36,3,3,0,4,1,1,0,3,1,6,6,5,0,0,3
"60QS004091",49,13,20,3,2,0,1,0,0,0,6,3,0,0,1,0
"60QS004092",42,17,7,1,4,0,1,0,0,0,8,1,0,0,1,2
"60QS004093",42,18,9,2,1,3,0,0,0,0,5,3,0,0,0,1
"60QS004094",39,6,3,2,7,3,1,1,1,0,6,6,3,0,0,0
"60QS004095",50,6,12,5,3,1,2,2,0,0,6,6,2,0,0,5
"60QS004096",62,21,17,5,3,5,2,1,1,0,1,1,1,0,0,4
"60QS004097",30,5,6,2,1,0,1,0,1,0,9,4,1,0,0,0
"60QS004098",64,17,38,0,4,0,0,0,0,0,1,3,0,0,1,0
"60QS004099",65,19,35,5,3,0,1,0,0,1,1,0,0,0,0,0
"60QS004100",64,19,38,1,1,0,0,0,0,0,0,3,1,0,1,0
"60QS004101",64,15,41,3,1,0,0,0,0,0,1,1,1,0,0,1
"60QS004102",64,17,32,3,1,0,1,0,1,0,7,1,0,0,1,0
"60QS004103",66,17,37,0,1,2,0,1,4,0,4,0,0,0,0,0
"60QS004104",37,0,6,1,9,8,5,1,1,1,2,3,0,0,0,0
"60QS004105",53,2,9,2,6,19,5,2,2,1,3,1,1,0,0,0
"60QS004106",44,0,9,3,4,18,3,2,0,0,1,2,1,0,0,1
"60QS004107",56,1,7,2,12,17,4,1,1,0,4,4,1,0,0,2
