"output_area","ALL PEOPLE","No qualifications or qualifications outwith these groups","Group 1","Group 2","Group 3","Group 4"
"60QP001557",82,5,6,15,1,55
"60QP001558",84,10,14,18,4,38
"60QP001559",74,5,5,16,5,43
"60QP001560",101,13,21,18,9,40
"60QP001561",72,10,12,10,5,35
"60QP001562",68,7,7,14,5,35
"60QP001563",94,11,21,17,9,36
"60QP001564",105,14,19,26,11,35
"60QP001565",89,7,18,13,5,46
"60QP001566",125,10,37,13,9,56
"60QP001567",125,25,22,27,13,38
"60QP001568",104,13,31,22,13,25
"60QP001569",81,7,23,22,8,21
"60QP001570",144,19,32,27,10,56
"60QP001571",105,8,18,22,9,48
"60QP001572",101,10,18,21,6,46
"60QP001573",105,12,28,16,11,38
"60QP001574",85,12,19,16,3,35
"60QP001575",97,20,27,13,8,29
"60QP001576",89,13,21,19,9,27
"60QP001577",105,11,19,30,6,39
"60QP001578",102,27,19,12,8,36
"60QP001579",112,21,23,15,6,47
"60QP001580",118,15,28,25,8,42
"60QP001581",75,15,15,13,1,31
"60QP001582",96,8,18,21,9,40
"60QP001583",78,17,16,11,9,25
"60QP001584",90,7,12,16,12,43
"60QP001585",92,9,14,11,5,53
"60QP001586",97,12,8,11,3,63
"60QP001587",95,6,11,13,9,56
"60QP001588",94,5,7,13,3,66
"60QP001589",85,10,10,16,3,46
"60QP001590",108,11,11,15,7,64
"60QP001591",69,7,7,12,7,36
"60QP001592",85,7,6,15,2,55
"60QP001593",84,3,6,16,3,56
"60QP001594",101,3,9,16,6,67
"60QP001595",89,4,6,12,7,60
"60QP001596",82,6,5,8,5,58
"60QP001597",131,8,10,23,12,78
"60QP001598",88,7,6,10,4,61
"60QP001599",138,10,17,21,2,88
"60QP001600",87,3,12,22,8,42
"60QP001601",72,2,8,9,0,53
"60QP001602",113,8,9,19,4,73
"60QP001603",79,4,8,14,3,50
"60QP001604",48,6,9,3,2,28
"60QP001605",90,7,7,19,0,57
"60QP001606",101,2,7,9,2,81
"60QP001607",120,17,16,14,9,64
"60QP001608",96,13,15,20,7,41
"60QP001609",71,6,14,10,1,40
"60QP001610",141,23,42,33,7,36
"60QP001611",101,10,19,25,4,43
"60QP001612",89,11,19,17,8,34
"60QP001613",59,7,13,4,6,29
"60QP001614",108,24,30,8,8,38
"60QP001615",130,26,28,26,4,46
"60QP001616",107,18,21,20,10,38
"60QP001617",162,16,37,33,6,70
"60QP001618",103,12,16,19,13,43
"60QP001619",106,5,18,15,9,59
"60QP001620",89,16,21,13,5,34
"60QP001621",90,12,14,15,7,42
"60QP001622",90,7,21,17,3,42
"60QP001623",96,13,12,15,5,51
"60QP001624",94,9,11,14,3,57
"60QP001625",74,16,13,10,5,30
"60QP001626",74,7,11,13,7,36
"60QP001627",59,3,8,4,2,42
"60QP001628",77,5,12,13,2,45
"60QP001629",114,17,20,10,8,59
"60QP001630",118,9,18,17,9,65
"60QP001631",83,23,16,14,7,23
"60QP001632",94,12,20,13,6,43
"60QP001633",74,12,17,14,4,27
"60QP001634",64,7,9,7,4,37
"60QP001635",78,5,6,26,7,34
"60QP001636",39,9,6,5,1,18
"60QP001637",58,8,7,7,1,35
"60QP001638",80,5,10,16,11,38
"60QP001639",65,9,10,12,3,31
"60QP001640",75,8,8,16,8,35
"60QP001641",116,12,6,25,14,59
"60QP001642",67,12,10,8,6,31
"60QP001643",119,13,22,13,14,57
"60QP001644",131,14,22,17,12,66
"60QP001645",98,11,10,11,8,58
"60QP001646",58,4,10,9,4,31
"60QP001647",75,14,11,11,9,30
"60QP001648",131,17,21,25,12,56
"60QP001649",91,14,20,12,6,39
"60QP001650",127,4,13,27,8,75
"60QP001651",100,9,19,32,4,36
"60QP001652",91,7,9,18,13,44
"60QP001653",90,19,19,17,9,26
"60QP001654",113,10,23,13,13,54
"60QP001655",54,2,14,17,2,19
"60QP001656",98,14,24,20,7,33
"60QP001657",52,11,9,13,4,15
"60QP001658",63,8,10,14,5,26
"60QP001659",136,24,14,32,7,59
"60QP001660",77,6,12,15,8,36
"60QP001661",76,14,10,16,5,31
"60QP001662",57,7,15,8,3,24
"60QP001663",56,6,17,11,5,17
"60QP001664",57,12,12,13,7,13
"60QP001665",54,3,9,17,3,22
"60QP001666",70,13,9,15,13,20
"60QP001667",101,21,17,21,6,36
"60QP001668",69,4,10,15,14,26
"60QP001669",80,14,17,14,8,27
"60QP001670",89,30,21,13,5,20
"60QP001671",96,9,15,19,9,44
"60QP001672",85,12,10,14,3,46
"60QP001673",81,13,7,6,3,52
"60QP001674",131,14,14,20,9,74
"60QP001675",66,6,4,15,6,35
"60QP001676",109,9,15,18,9,58
"60QP001677",81,4,11,15,4,47
"60QP001678",153,9,14,38,7,85
"60QP001679",66,3,6,12,9,36
"60QP001680",90,8,18,19,5,40
"60QP001681",75,11,14,17,4,29
"60QP001682",56,9,13,8,8,18
"60QP001683",48,7,6,10,3,22
"60QP001684",66,13,2,11,6,34
"60QP001685",70,3,7,10,5,45
"60QP001686",56,13,4,11,5,23
"60QP001687",113,12,12,16,4,69
"60QP001688",87,6,14,19,5,43
"60QP001689",92,13,9,24,6,40
"60QP001690",106,9,11,25,12,49
"60QP001691",123,17,11,16,15,64
"60QP001692",64,5,11,16,5,27
"60QP001693",111,13,16,23,8,51
"60QP001694",108,3,14,19,12,60
"60QP001695",93,12,9,14,10,48
"60QP001696",84,18,8,15,8,35
"60QP001697",144,11,23,26,13,71
"60QP001698",124,31,15,32,12,34
"60QP001699",147,16,10,45,23,53
"60QP001700",72,9,6,21,10,26
"60QP001701",102,9,11,24,10,48
"60QP001702",113,7,8,48,13,37
"60QP001703",110,9,16,18,13,54
"60QP001704",109,4,4,22,14,65
"60QP001705",66,8,10,9,6,33
"60QP001706",57,7,12,9,6,23
"60QP001707",84,7,11,16,6,44
"60QP001708",98,24,22,17,7,28
"60QP001709",71,18,20,11,6,16
"60QP001710",49,16,9,15,3,6
"60QP001711",62,21,14,10,3,14
"60QP001712",107,22,16,18,10,41
"60QP001713",70,18,9,13,6,24
"60QP001714",86,4,6,16,11,49
"60QP001715",94,7,4,30,7,46
"60QP001716",94,41,18,10,7,18
"60QP001717",67,10,17,11,3,26
"60QP001718",80,11,19,17,7,26
"60QP001719",61,22,19,9,5,6
"60QP001720",96,31,38,17,6,4
"60QP001721",66,20,22,13,4,7
"60QP001722",44,19,11,5,6,3
"60QP001723",110,31,18,34,5,22
"60QP001724",62,10,5,18,7,22
"60QP001725",62,7,9,12,4,30
"60QP001726",53,2,14,9,8,20
"60QP001727",55,13,12,4,6,20
"60QP001728",64,9,13,12,10,20
"60QP001729",49,12,13,5,9,10
"60QP001730",99,18,18,21,13,29
"60QP001731",59,9,7,8,6,29
"60QP001732",46,4,10,15,4,13
"60QP001733",59,22,14,6,1,16
"60QP001734",51,7,16,8,5,15
"60QP001735",61,10,10,11,3,27
"60QP001736",112,26,21,29,6,30
"60QP001737",75,8,11,13,9,34
"60QP001738",55,10,13,11,7,14
"60QP001739",66,7,9,15,9,26
"60QP001740",48,14,8,8,8,10
"60QP001741",87,23,15,24,6,19
"60QP001742",64,8,20,13,5,18
"60QP001743",64,7,10,15,7,25
"60QP001744",72,10,7,22,4,29
"60QP001745",87,15,8,24,6,34
"60QP001746",80,5,13,17,4,41
"60QP001747",48,8,3,12,4,21
"60QP001748",93,9,20,24,5,35
"60QP001749",85,13,5,28,5,34
"60QP001750",106,11,15,25,4,51
"60QP001751",58,3,10,9,5,31
"60QP001752",42,8,2,11,5,16
"60QP001753",49,5,13,9,6,16
"60QP001754",86,13,12,12,9,40
"60QP001755",117,14,15,26,14,48
"60QP001756",83,5,8,20,7,43
"60QP001757",110,13,19,23,14,41
"60QP001758",104,16,3,22,12,51
"60QP001759",116,18,21,23,15,39
"60QP001760",61,15,7,14,7,18
"60QP001761",111,31,21,17,6,36
"60QP001762",121,21,16,34,6,44
"60QP001763",92,21,11,18,9,33
"60QP001764",85,23,12,14,3,33
"60QP001765",114,10,9,29,8,58
"60QP001766",93,14,8,23,12,36
"60QP001767",74,16,10,18,7,23
"60QP001768",119,3,13,28,18,57
"60QP001769",52,18,10,6,3,15
"60QP001770",83,16,13,27,2,25
"60QP001771",133,23,20,26,10,54
"60QP001772",70,7,9,15,5,34
"60QP001773",70,22,15,6,7,20
"60QP001774",76,26,14,11,3,22
"60QP001775",107,21,15,16,14,41
"60QP001776",112,22,8,14,8,60
"60QP001777",101,15,13,21,10,42
"60QP001778",59,11,5,4,5,34
"60QP001779",88,46,24,8,7,3
"60QP001780",86,31,29,15,4,7
"60QP001781",94,45,27,10,3,9
"60QP001782",74,44,16,9,0,5
"60QP001783",83,51,22,4,4,2
"60QP001784",109,66,22,13,3,5
"60QP001785",106,61,28,12,2,3
"60QP001786",74,48,20,3,2,1
"60QP001787",78,44,21,9,1,3
"60QP001788",61,32,20,3,3,3
"60QP001789",101,53,27,12,1,8
"60QP001790",82,41,26,5,4,6
"60QP001791",107,44,43,11,3,6
"60QP001792",62,31,17,9,1,4
"60QP001793",74,35,27,4,1,7
"60QP001794",98,40,41,6,6,5
"60QP001795",77,40,20,7,1,9
"60QP001796",71,34,26,2,2,7
"60QP001797",63,35,17,8,2,1
"60QP001798",66,34,22,5,3,2
"60QP001799",85,42,29,4,4,6
"60QP001800",85,44,20,15,1,5
"60QP001801",108,48,33,11,6,10
"60QP001802",113,38,42,14,5,14
"60QP001803",97,51,25,11,6,4
"60QP001804",81,42,24,8,4,3
"60QP001805",99,40,43,11,1,4
"60QP001806",94,26,31,11,6,20
"60QP001807",91,37,37,10,2,5
"60QP001808",92,43,34,7,4,4
"60QP001809",68,23,26,8,4,7
"60QP001810",62,31,16,4,1,10
"60QP001811",55,27,13,8,3,4
"60QP001812",60,33,18,4,2,3
"60QP001813",100,42,29,13,3,13
"60QP001814",83,47,25,3,4,4
"60QP001815",63,37,11,7,2,6
"60QP001816",53,19,18,5,3,8
"60QP001817",76,42,23,7,0,4
"60QP001818",51,21,15,6,2,7
"60QP001819",67,24,21,8,6,8
"60QP001820",63,33,22,7,0,1
"60QP001821",69,30,22,11,3,3
"60QP001822",89,49,20,14,1,5
"60QP001823",60,29,16,5,2,8
"60QP001824",89,42,28,6,4,9
"60QP001825",47,25,12,6,2,2
"60QP001826",63,23,15,13,6,6
"60QP001827",423,180,122,69,26,26
"60QP001828",96,34,29,19,4,10
"60QP001829",74,44,16,7,3,4
"60QP001830",86,42,25,9,2,8
"60QP001831",53,25,18,6,0,4
"60QP001832",66,30,19,5,4,8
"60QP001833",63,30,15,5,2,11
"60QP001834",76,42,22,3,3,6
"60QP001835",56,22,16,8,2,8
"60QP001836",47,24,8,9,0,6
"60QP001837",89,35,29,7,6,12
"60QP001838",60,23,12,14,2,9
"60QP001839",63,27,22,4,0,10
"60QP001840",53,22,14,6,5,6
"60QP001841",85,41,31,4,5,4
"60QP001842",52,31,9,3,0,9
"60QP001843",55,35,13,1,3,3
"60QP001844",86,38,22,9,4,13
"60QP001845",60,30,16,6,1,7
"60QP001846",71,33,18,6,2,12
"60QP001847",116,60,26,14,2,14
"60QP001848",88,34,22,14,6,12
"60QP001849",123,57,39,11,6,10
"60QP001850",90,49,22,9,4,6
"60QP001851",109,45,37,14,8,5
"60QP001852",77,34,22,10,4,7
"60QP001853",111,56,29,17,3,6
"60QP001854",134,56,49,17,6,6
"60QP001855",88,48,23,6,3,8
"60QP001856",59,32,19,3,1,4
"60QP001857",97,32,34,14,3,14
"60QP001858",51,20,22,7,1,1
"60QP001859",70,33,22,11,2,2
"60QP001860",82,36,26,11,4,5
"60QP001861",64,32,21,6,4,1
"60QP001862",64,30,23,5,3,3
"60QP001863",74,44,15,8,2,5
"60QP001864",39,20,13,3,2,1
"60QP001865",103,38,39,12,4,10
"60QP001866",73,31,24,6,3,9
"60QP001867",155,41,59,25,9,21
"60QP001868",103,32,34,19,9,9
"60QP001869",52,23,17,5,3,4
"60QP001870",83,22,35,8,4,14
"60QP001871",88,35,36,7,3,7
"60QP001872",87,39,34,7,2,5
"60QP001873",87,34,32,8,1,12
"60QP001874",110,32,52,9,4,13
"60QP001875",110,38,36,17,13,6
"60QP001876",102,50,32,10,4,6
"60QP001877",95,44,30,13,3,5
"60QP001878",103,41,42,11,5,4
"60QP001879",115,45,34,13,7,16
"60QP001880",96,35,30,17,5,9
"60QP001881",86,36,36,7,2,5
"60QP001882",75,19,31,16,3,6
"60QP001883",86,27,39,12,4,4
"60QP001884",88,24,26,22,5,11
"60QP001885",93,23,41,18,7,4
"60QP001886",72,24,27,11,4,6
"60QP001887",85,30,26,14,8,7
"60QP001888",79,26,30,11,3,9
"60QP001889",83,22,32,9,10,10
"60QP001890",78,19,36,11,4,8
"60QP001891",95,31,30,25,3,6
"60QP001892",67,26,22,8,4,7
"60QP001893",127,41,49,20,5,12
"60QP001894",124,44,40,22,7,11
"60QP001895",129,46,50,19,6,8
"60QP001896",38,15,8,4,1,10
"60QP001897",106,30,18,26,7,25
"60QP001898",55,23,9,6,5,12
"60QP001899",62,19,18,11,4,10
"60QP001900",66,6,17,25,7,11
"60QP001901",78,27,19,15,3,14
"60QP001902",81,7,17,8,2,47
"60QP001903",69,12,14,18,7,18
"60QP001904",45,27,8,2,1,7
"60QP001905",88,26,11,11,6,34
"60QP001906",66,1,9,8,4,44
"60QP001907",55,5,7,14,4,25
"60QP001908",55,18,10,16,4,7
"60QP001909",55,18,4,7,1,25
"60QP001910",98,13,20,19,7,39
"60QP001911",69,8,5,14,11,31
"60QP001912",58,27,17,2,3,9
"60QP001913",44,20,12,2,1,9
"60QP001914",51,24,13,7,3,4
"60QP001915",111,26,28,22,10,25
"60QP001916",75,21,19,11,8,16
"60QP001917",72,31,19,8,3,11
"60QP001918",78,24,18,22,3,11
"60QP001919",118,31,30,21,8,28
"60QP001920",110,33,29,12,9,27
"60QP001921",98,25,11,21,5,36
"60QP001922",39,7,10,6,2,14
"60QP001923",80,3,6,9,6,56
"60QP001924",121,17,12,24,12,56
"60QP001925",111,19,16,15,9,52
"60QP001926",84,9,10,16,7,42
"60QP001927",57,6,12,8,4,27
"60QP001928",71,24,17,9,2,19
"60QP001929",82,4,8,15,1,54
"60QP001930",53,7,5,5,3,33
"60QP001931",59,18,5,9,2,25
"60QP001932",69,10,10,12,5,32
"60QP001933",129,8,11,16,7,87
"60QP001934",81,4,7,9,3,58
"60QP001935",99,7,6,16,3,67
"60QP001936",69,6,3,4,4,52
"60QP001937",100,4,11,17,5,63
"60QP001938",85,13,9,8,7,48
"60QP001939",77,14,12,14,5,32
"60QP001940",72,7,6,12,12,35
"60QP001941",77,4,8,14,2,49
"60QP001942",85,5,13,16,1,50
"60QP001943",59,5,6,10,2,36
"60QP001944",119,12,16,21,9,61
"60QP001945",126,12,11,34,9,60
"60QP001946",83,7,13,12,2,49
"60QP001947",76,12,11,17,8,28
"60QP001948",96,8,16,18,10,44
"60QP001949",96,2,9,17,8,60
"60QP001950",93,8,16,11,1,57
"60QP001951",72,6,8,11,4,43
"60QP001952",150,8,27,20,8,87
"60QP001953",117,7,21,28,4,57
"60QP001954",116,22,22,19,7,46
"60QP001955",143,20,29,28,8,58
"60QP001956",116,21,23,14,11,47
"60QP001957",101,7,14,21,10,49
"60QP001958",71,6,20,22,4,19
"60QP001959",97,16,23,15,4,39
"60QP001960",112,37,23,13,6,33
"60QP001961",93,10,17,16,7,43
"60QP001962",73,6,13,15,4,35
"60QP001963",44,2,7,4,2,29
"60QP001964",99,12,30,16,9,32
"60QP001965",97,3,6,13,2,73
"60QP001966",75,7,5,7,1,55
"60QP001967",155,3,13,25,8,106
"60QP001968",134,8,10,19,4,93
"60QP001969",48,4,7,7,1,29
"60QP001970",67,6,14,9,2,36
"60QP001971",72,6,7,7,3,49
"60QP001972",66,2,8,9,1,46
"60QP001973",94,3,14,15,2,60
"60QP001974",76,4,9,5,3,55
"60QP001975",113,4,8,15,5,81
"60QP001976",112,10,9,11,6,76
"60QP001977",60,5,5,9,6,35
"60QP001978",117,12,7,22,8,68
"60QP001979",78,1,12,12,4,49
"60QP001980",96,3,7,14,12,60
"60QP001981",76,8,9,11,3,45
"60QP001982",72,8,8,7,8,41
"60QP001983",111,30,40,17,7,17
"60QP001984",129,37,45,27,6,14
"60QP001985",100,17,44,15,9,15
"60QP001986",65,23,16,16,3,7
"60QP001987",52,14,21,6,2,9
"60QP001988",95,24,27,22,5,17
"60QP001989",74,20,21,15,3,15
"60QP001990",65,17,20,11,5,12
"60QP001991",108,27,43,19,4,15
"60QP001992",122,40,42,19,8,13
"60QP001993",90,19,31,18,7,15
"60QP001994",70,22,28,14,2,4
"60QP001995",110,20,29,22,9,30
"60QP001996",74,19,18,19,4,14
"60QP001997",75,18,13,19,2,23
"60QP001998",85,24,25,18,3,15
"60QP001999",101,20,31,22,8,20
"60QP002000",71,13,19,6,5,28
"60QP002001",136,21,35,30,8,42
"60QP002002",73,11,24,8,8,22
"60QP002003",77,11,25,16,3,22
"60QP002004",51,13,12,5,5,16
"60QP002005",80,18,23,12,3,24
"60QP002006",48,10,12,14,4,8
"60QP002007",89,13,23,26,9,18
"60QP002008",73,7,14,17,6,29
"60QP002009",66,7,10,17,6,26
"60QP002010",111,14,35,18,10,34
"60QP002011",114,20,28,22,6,38
"60QP002012",71,15,12,11,6,27
"60QP002013",76,13,12,18,6,27
"60QP002014",77,8,8,19,5,37
"60QP002015",95,27,17,15,6,30
"60QP002016",36,18,9,3,1,5
"60QP002017",38,10,8,4,6,10
"60QP002018",59,5,16,10,2,26
"60QP002019",136,26,34,22,8,46
"60QP002020",115,24,21,33,8,29
"60QP002021",84,29,25,15,1,14
"60QP002022",103,38,31,16,6,12
"60QP002023",90,37,27,11,6,9
"60QP002024",55,24,13,5,3,10
"60QP002025",126,33,37,28,11,17
"60QP002026",130,32,43,30,9,16
"60QP002027",77,18,24,23,5,7
"60QP002028",144,28,50,29,10,27
"60QP002029",97,28,28,27,4,10
"60QP002030",91,34,26,16,3,12
"60QP002031",85,23,36,17,2,7
"60QP002032",100,21,36,25,3,15
"60QP002033",90,39,24,9,4,14
"60QP002034",18,12,0,2,0,4
"60QP002035",110,27,46,25,7,5
"60QP002036",77,10,27,24,5,11
"60QP002037",92,22,37,13,6,14
"60QP002038",68,10,28,12,3,15
"60QP002039",116,30,37,20,4,25
"60QP002040",99,14,46,19,10,10
"60QP002041",100,19,34,25,8,14
"60QP002042",90,22,36,19,3,10
"60QP002043",76,18,28,13,3,14
"60QP002044",85,14,36,13,7,15
"60QP002045",85,27,28,16,3,11
"60QP002046",109,9,27,23,7,43
"60QP002047",59,22,22,8,2,5
"60QP002048",86,15,13,19,8,31
"60QP002049",90,10,22,15,6,37
"60QP002050",105,16,46,15,9,19
"60QP002051",88,25,22,18,1,22
"60QP002052",58,13,17,10,8,10
"60QP002053",78,27,15,14,3,19
"60QP002054",53,15,11,10,2,15
"60QP002055",86,17,23,12,7,27
"60QP002056",100,20,26,14,12,28
"60QP002057",85,16,23,13,4,29
"60QP002058",72,15,18,17,5,17
"60QP002059",88,18,17,16,11,26
"60QP002060",67,21,11,15,5,15
"60QP002061",95,16,13,23,8,35
"60QP002062",110,27,20,28,8,27
"60QP002063",94,26,31,18,5,14
"60QP002064",73,7,21,13,6,26
"60QP002065",126,20,29,19,17,41
"60QP002066",80,19,19,12,9,21
"60QP002067",76,9,10,18,10,29
"60QP002068",126,26,37,18,7,38
"60QP002069",89,27,14,16,4,28
"60QP002070",101,13,22,15,8,43
"60QP002071",96,10,21,24,6,35
"60QP002072",85,10,16,15,4,40
"60QP002073",66,10,17,12,3,24
"60QP002074",85,10,17,19,8,31
"60QP002075",84,17,17,17,4,29
"60QP002076",126,24,38,28,9,27
"60QP002077",161,35,36,28,13,49
"60QP002078",84,18,16,21,8,21
"60QP002079",84,14,29,12,5,24
"60QP002080",95,27,21,20,7,20
"60QP002081",85,13,20,13,7,32
"60QP002082",117,24,32,20,13,28
"60QP002083",72,7,28,11,1,25
"60QP002084",160,21,54,39,16,30
"60QP002085",137,33,32,27,13,32
"60QP002086",119,58,24,12,6,19
"60QP002087",97,39,39,10,4,5
"60QP002088",96,15,33,24,7,17
"60QP002089",80,14,25,15,6,20
"60QP002090",159,61,48,22,7,21
"60QP002091",95,31,26,17,6,15
"60QP002092",91,21,37,12,10,11
"60QP002093",125,27,33,29,9,27
"60QP002094",159,40,49,30,8,32
"60QP002095",133,25,37,32,8,31
"60QP002096",79,16,19,19,9,16
"60QP002097",80,29,36,7,5,3
"60QP002098",79,20,20,9,4,26
"60QP002099",76,32,14,11,4,15
"60QP002100",128,36,25,19,9,39
"60QP002101",88,15,30,15,6,22
"60QP002102",70,13,14,14,8,21
"60QP002103",57,13,20,7,5,12
"60QP002104",67,18,17,15,4,13
"60QP002105",88,19,16,28,7,18
"60QP002106",96,24,23,18,7,24
"60QP002107",84,18,13,11,5,37
"60QP002108",72,16,20,15,1,20
"60QP002109",90,8,19,18,4,41
"60QP002110",80,18,14,16,10,22
"60QP002111",80,15,10,12,4,39
"60QP002112",89,13,19,14,5,38
"60QP002113",62,8,9,18,3,24
"60QP002114",71,9,6,13,8,35
"60QP002115",75,12,12,11,4,36
"60QP002116",99,10,14,22,2,51
"60QP002117",92,8,12,23,5,44
"60QP002118",99,7,12,14,9,57
"60QP002119",89,10,11,13,12,43
"60QP002120",71,18,16,12,7,18
"60QP002121",98,7,17,22,4,48
"60QP002122",89,8,13,16,5,47
"60QP002123",69,5,8,7,2,47
"60QP002124",136,31,23,22,8,52
"60QP002125",115,29,17,22,5,42
"60QP002126",104,14,30,26,6,28
"60QP002127",361,23,23,220,28,67
"60QP002128",113,18,36,27,7,25
"60QP002129",94,11,27,16,8,32
"60QP002130",103,23,22,22,10,26
"60QP002131",80,13,15,19,7,26
"60QP002132",58,1,12,14,9,22
"60QP002133",59,18,17,9,2,13
"60QP002134",79,8,11,10,4,46
"60QP002135",55,6,15,14,5,15
"60QP002136",103,17,24,24,10,28
"60QP002137",138,15,41,34,14,34
"60QP002138",86,8,28,23,10,17
"60QP002139",70,7,21,16,3,23
"60QP002140",116,18,36,24,14,24
"60QP002141",103,13,33,26,15,16
"60QP002142",66,14,27,13,6,6
"60QP002143",74,13,36,11,6,8
"60QP002144",87,11,38,16,8,14
"60QP002145",77,16,26,20,7,8
"60QP002146",66,11,23,15,2,15
"60QP002147",87,14,32,15,10,16
"60QP002148",69,9,27,20,3,10
"60QP002149",76,20,25,15,12,4
"60QP002150",69,9,21,27,5,7
"60QP002151",105,27,36,19,14,9
"60QP002152",106,31,35,21,6,13
"60QP002153",94,8,21,9,6,50
"60QP002154",46,11,12,12,3,8
"60QP002155",53,5,13,9,0,26
"60QP002156",92,26,28,11,7,20
"60QP002157",111,23,40,27,6,15
"60QP002158",75,40,14,12,3,6
"60QP002159",86,31,28,16,3,8
"60QP002160",84,35,15,15,9,10
"60QP002161",71,33,22,9,2,5
"60QP002162",89,35,28,13,5,8
"60QP002163",78,16,41,7,4,10
"60QP002164",84,39,19,11,4,11
"60QP002165",99,36,26,12,8,17
"60QP002166",81,28,31,12,5,5
"60QP002167",123,53,37,14,10,9
"60QP002168",69,34,21,5,4,5
"60QP002169",111,37,42,22,2,8
"60QP002170",105,50,30,10,5,10
"60QP002171",118,54,31,22,7,4
"60QP002172",103,48,29,10,2,14
"60QP002173",71,31,15,6,5,14
"60QP002174",85,32,32,11,2,8
"60QP002175",66,22,22,9,1,12
"60QP002176",81,36,31,5,4,5
"60QP002177",64,27,24,9,3,1
"60QP002178",39,13,13,7,2,4
"60QP002179",43,18,13,2,1,9
"60QP002180",30,16,11,0,1,2
"60QP002181",63,25,13,12,3,10
"60QP002182",66,32,13,8,3,10
"60QP002183",50,25,12,8,2,3
"60QP002184",59,26,22,3,1,7
"60QP002185",84,40,21,10,5,8
"60QP002186",92,29,38,14,5,6
"60QP002187",102,41,35,11,4,11
"60QP002188",49,18,22,4,0,5
"60QP002189",56,41,8,3,1,3
"60QP002190",58,30,16,2,1,9
"60QP002191",108,32,37,13,4,22
"60QP002192",62,11,24,12,1,14
"60QP002193",59,14,15,12,4,14
"60QP002194",72,19,28,8,4,13
"60QP002195",82,14,25,14,6,23
"60QP002196",85,15,28,18,9,15
"60QP002197",83,28,26,7,5,17
"60QP002198",91,20,31,19,2,19
"60QP002199",82,24,23,16,4,15
"60QP002200",94,13,39,19,6,17
"60QP002201",77,28,29,10,3,7
"60QP002202",62,19,20,9,5,9
"60QP002203",57,16,16,11,4,10
"60QP002204",99,20,33,19,8,19
"60QP002205",124,41,42,19,7,15
"60QP002206",77,25,22,15,4,11
"60QP002207",78,38,24,10,1,5
"60QP002208",54,26,15,6,1,6
"60QP002209",83,15,19,19,6,24
"60QP002210",54,16,21,9,4,4
"60QP002211",65,20,18,11,5,11
"60QP002212",100,14,17,20,7,42
"60QP002213",70,14,11,14,2,29
"60QP002214",101,17,25,22,5,32
"60QP002215",87,10,13,13,3,48
"60QP002216",154,11,28,29,10,76
"60QP002217",89,7,12,10,5,55
"60QP002218",109,5,18,16,3,67
"60QP002219",87,13,14,5,6,49
"60QP002220",80,12,19,10,0,39
"60QP002221",152,32,28,23,12,57
"60QP002222",98,9,25,18,5,41
"60QP002223",65,4,16,17,2,26
"60QP002224",74,13,12,15,3,31
"60QP002225",112,18,15,17,7,55
"60QP002226",92,11,11,4,4,62
"60QP002227",261,31,98,31,11,90
"60QP002228",62,9,4,7,6,36
"60QP002229",107,16,26,14,9,42
"60QP002230",44,18,6,7,0,13
"60QP002231",104,30,24,14,5,31
"60QP002232",78,10,13,8,3,44
"60QP002233",98,8,17,23,10,40
"60QP002234",77,10,16,15,2,34
"60QP002235",67,15,16,5,7,24
"60QP002236",93,10,26,9,10,38
"60QP002237",109,10,14,23,11,51
"60QP002238",113,12,12,14,1,74
"60QP002239",119,4,14,20,9,72
"60QP002240",74,3,14,8,1,48
"60QP002241",124,9,11,19,4,81
"60QP002242",66,3,9,13,5,36
"60QP002243",89,7,13,17,4,48
"60QP002244",65,5,8,15,8,29
"60QP002245",78,2,7,15,5,49
"60QP002246",113,10,17,21,13,52
"60QP002247",47,5,8,7,5,22
"60QP002248",74,0,10,12,9,43
"60QP002249",76,4,10,13,3,46
"60QP002250",72,3,10,6,4,49
"60QP002251",90,5,15,7,5,58
"60QP002252",67,14,6,11,3,33
"60QP002253",82,7,9,10,1,55
"60QP002254",67,11,10,10,5,31
"60QP002255",88,9,17,15,4,43
"60QP002256",92,7,13,13,9,50
"60QP002257",71,7,12,9,6,37
"60QP002258",75,5,8,14,7,41
"60QP002259",86,7,8,16,8,47
"60QP002260",85,9,14,9,4,49
"60QP002261",58,13,12,10,1,22
"60QP002262",104,17,18,19,6,44
"60QP002263",106,10,27,18,9,42
"60QP002264",96,19,15,13,8,41
"60QP002265",96,20,11,13,8,44
"60QP002266",101,11,15,21,3,51
"60QP002267",114,6,18,22,8,60
"60QP002268",93,6,9,16,4,58
"60QP002269",90,10,8,23,1,48
"60QP002270",83,7,9,11,6,50
"60QP002271",74,11,6,11,5,41
"60QP002272",65,6,14,18,6,21
"60QP002273",91,9,11,17,5,49
"60QP002274",38,4,4,5,3,22
"60QP002275",96,22,16,19,5,34
"60QP002276",60,9,7,14,4,26
"60QP002277",105,26,31,15,13,20
"60QP002278",64,24,13,15,1,11
"60QP002279",89,17,21,16,7,28
"60QP002280",75,17,24,12,4,18
"60QP002281",84,23,12,18,4,27
"60QP002282",74,14,10,11,7,32
"60QP002283",91,31,26,11,6,17
"60QP002284",99,38,23,14,6,18
"60QP002285",82,30,16,18,2,16
"60QP002286",72,19,21,22,2,8
"60QP002287",95,32,22,13,10,18
"60QP002288",58,13,14,9,11,11
"60QP002289",81,26,31,8,4,12
"60QP002290",86,37,13,11,9,16
