"dz_2011","la_name","year","total","nonretired","employed","unemployed","student","sick_disabled"
"S01006813","Aberdeenshire",2001,480,409,317,12,29,17
"S01006814","Aberdeenshire",2001,660,610,477,14,34,17
"S01006815","Aberdeenshire",2001,373,307,228,13,13,27
"S01006816","Aberdeenshire",2001,463,418,328,12,23,11
"S01006817","Aberdeenshire",2001,437,390,299,22,24,8
"S01006818","Aberdeenshire",2001,648,584,463,11,51,11
"S01006819","Aberdeenshire",2001,571,533,418,11,43,6
"S01006820","Aberdeenshire",2001,616,524,428,10,28,6
"S01006821","Aberdeenshire",2001,454,398,307,15,25,12
"S01006822","Aberdeenshire",2001,674,626,472,19,43,12
"S01006823","Aberdeenshire",2001,511,449,340,4,42,17
"S01006824","Aberdeenshire",2001,705,636,465,26,37,39
"S01006825","Aberdeenshire",2001,668,604,497,9,48,9
"S01006826","Aberdeenshire",2001,884,783,572,25,67,38
"S01006827","Aberdeenshire",2001,760,618,469,30,35,29
"S01006828","Aberdeenshire",2001,672,558,456,16,26,18
"S01006829","Aberdeenshire",2001,333,318,264,9,9,3
"S01006830","Aberdeenshire",2001,539,482,376,11,33,18
"S01006831","Aberdeenshire",2001,489,429,310,11,55,13
"S01006832","Aberdeenshire",2001,778,681,505,9,69,36
"S01006833","Aberdeenshire",2001,343,278,196,5,29,9
"S01006834","Aberdeenshire",2001,229,227,167,8,12,10
"S01006835","Aberdeenshire",2001,607,478,374,25,21,23
"S01006836","Aberdeenshire",2001,160,124,92,0,0,16
"S01006837","Aberdeenshire",2001,353,307,234,6,20,13
"S01006838","Aberdeenshire",2001,476,448,358,6,31,21
"S01006839","Aberdeenshire",2001,1054,933,712,26,76,38
"S01006840","Aberdeenshire",2001,715,645,502,14,52,12
"S01006841","Aberdeenshire",2001,683,656,540,9,40,11
"S01006842","Aberdeenshire",2001,680,611,486,10,53,21
"S01006843","Aberdeenshire",2001,619,589,515,12,18,11
"S01006844","Aberdeenshire",2001,561,517,432,11,27,15
"S01006845","Aberdeenshire",2001,669,624,530,7,41,8
"S01006846","Aberdeenshire",2001,437,404,332,4,21,18
"S01006847","Aberdeenshire",2001,606,573,461,11,40,12
"S01006848","Aberdeenshire",2001,730,660,503,12,35,41
"S01006849","Aberdeenshire",2001,750,678,534,12,40,32
"S01006850","Aberdeenshire",2001,952,920,709,22,72,43
"S01006851","Aberdeenshire",2001,710,655,500,17,49,38
"S01006852","Aberdeenshire",2001,564,524,426,12,35,8
"S01006853","Aberdeenshire",2001,838,757,573,15,58,13
"S01006854","Aberdeenshire",2001,603,501,373,9,30,33
"S01006855","Aberdeenshire",2001,575,519,399,14,35,7
"S01006856","Aberdeenshire",2001,452,399,317,8,21,5
"S01006857","Aberdeenshire",2001,675,610,490,9,42,17
"S01006858","Aberdeenshire",2001,636,586,462,10,32,14
"S01006859","Aberdeenshire",2001,823,718,516,11,81,8
"S01006860","Aberdeenshire",2001,397,323,240,14,19,15
"S01006861","Aberdeenshire",2001,340,296,212,12,32,8
"S01006862","Aberdeenshire",2001,513,453,371,5,24,19
"S01006863","Aberdeenshire",2001,443,360,275,9,21,18
"S01006864","Aberdeenshire",2001,219,183,144,0,9,3
"S01006865","Aberdeenshire",2001,890,786,608,27,56,20
"S01006866","Aberdeenshire",2001,417,346,258,8,33,5
"S01006867","Aberdeenshire",2001,532,452,304,15,43,27
"S01006868","Aberdeenshire",2001,637,543,396,12,35,25
"S01006869","Aberdeenshire",2001,354,310,241,5,13,15
"S01006870","Aberdeenshire",2001,300,243,185,7,16,13
"S01006871","Aberdeenshire",2001,452,376,294,11,14,13
"S01006872","Aberdeenshire",2001,525,441,352,11,29,3
"S01006873","Aberdeenshire",2001,650,549,NA,7,33,11
"S01006874","Aberdeenshire",2001,432,385,313,5,15,8
"S01006875","Aberdeenshire",2001,478,391,294,15,17,23
"S01006876","Aberdeenshire",2001,754,651,497,11,39,32
"S01006877","Aberdeenshire",2001,801,733,589,10,48,23
"S01006878","Aberdeenshire",2001,542,475,356,14,20,31
"S01006879","Aberdeenshire",2001,637,566,430,12,23,22
"S01006880","Aberdeenshire",2001,396,364,297,4,26,5
"S01006881","Aberdeenshire",2001,571,520,424,10,29,14
"S01006882","Aberdeenshire",2001,287,230,177,8,12,12
"S01006883","Aberdeenshire",2001,285,248,199,7,15,9
"S01006884","Aberdeenshire",2001,602,490,385,13,25,17
"S01006885","Aberdeenshire",2001,355,293,218,7,10,16
"S01006886","Aberdeenshire",2001,545,488,375,15,26,10
"S01006887","Aberdeenshire",2001,472,412,356,8,20,0
"S01006888","Aberdeenshire",2001,520,460,362,11,26,18
"S01006889","Aberdeenshire",2001,848,783,594,33,47,42
"S01006890","Aberdeenshire",2001,509,462,376,7,29,6
"S01006891","Aberdeenshire",2001,1001,902,711,17,63,27
"S01006892","Aberdeenshire",2001,477,419,316,19,24,23
"S01006893","Aberdeenshire",2001,403,374,281,10,33,9
"S01006894","Aberdeenshire",2001,862,723,575,10,35,45
"S01006895","Aberdeenshire",2001,459,413,321,14,17,19
"S01006896","Aberdeenshire",2001,715,601,499,8,45,14
"S01006897","Aberdeenshire",2001,560,512,410,5,39,18
"S01006898","Aberdeenshire",2001,758,669,530,15,39,34
"S01006899","Aberdeenshire",2001,660,611,509,15,29,13
"S01006900","Aberdeenshire",2001,463,424,356,5,28,8
"S01006901","Aberdeenshire",2001,454,392,306,21,11,15
"S01006902","Aberdeenshire",2001,498,455,352,10,35,14
"S01006903","Aberdeenshire",2001,764,634,480,11,27,43
"S01006904","Aberdeenshire",2001,492,414,323,9,27,16
"S01006905","Aberdeenshire",2001,744,586,449,15,37,47
"S01006906","Aberdeenshire",2001,698,549,413,32,16,51
"S01006907","Aberdeenshire",2001,457,393,308,9,23,23
"S01006908","Aberdeenshire",2001,684,573,442,9,31,30
"S01006909","Aberdeenshire",2001,650,624,468,6,62,2
"S01006910","Aberdeenshire",2001,789,718,562,12,53,19
"S01006911","Aberdeenshire",2001,428,416,308,4,36,0
"S01006912","Aberdeenshire",2001,451,408,309,12,34,7
"S01006913","Aberdeenshire",2001,321,312,231,3,27,0
"S01006914","Aberdeenshire",2001,485,447,354,8,34,8
"S01006915","Aberdeenshire",2001,562,520,406,10,28,16
"S01006916","Aberdeenshire",2001,240,209,164,0,15,8
"S01006917","Aberdeenshire",2001,534,486,378,0,42,24
"S01006918","Aberdeenshire",2001,352,310,251,2,22,9
"S01006919","Aberdeenshire",2001,380,315,247,6,25,8
"S01006920","Aberdeenshire",2001,355,288,228,2,20,14
"S01006921","Aberdeenshire",2001,519,465,380,13,34,6
"S01006922","Aberdeenshire",2001,465,408,326,3,37,12
"S01006923","Aberdeenshire",2001,628,541,432,17,49,8
"S01006924","Aberdeenshire",2001,417,384,302,8,29,11
"S01006925","Aberdeenshire",2001,425,392,316,6,27,8
"S01006926","Aberdeenshire",2001,345,303,242,6,22,2
"S01006927","Aberdeenshire",2001,294,234,180,6,18,0
"S01006928","Aberdeenshire",2001,916,825,645,15,56,30
"S01006929","Aberdeenshire",2001,575,544,403,10,60,2
"S01006930","Aberdeenshire",2001,970,879,668,18,106,12
"S01006931","Aberdeenshire",2001,235,199,153,3,10,8
"S01006932","Aberdeenshire",2001,308,288,180,0,40,4
"S01006933","Aberdeenshire",2001,485,469,399,6,40,3
"S01006934","Aberdeenshire",2001,410,363,262,6,27,32
"S01006935","Aberdeenshire",2001,597,527,417,12,52,10
"S01006936","Aberdeenshire",2001,532,475,403,3,29,9
"S01006937","Aberdeenshire",2001,627,558,459,8,50,12
"S01006938","Aberdeenshire",2001,428,389,312,13,34,5
"S01006939","Aberdeenshire",2001,522,477,368,8,60,10
"S01006940","Aberdeenshire",2001,764,703,531,11,85,13
"S01006941","Aberdeenshire",2001,475,423,323,8,33,24
"S01006942","Aberdeenshire",2001,692,647,526,11,44,15
"S01006943","Aberdeenshire",2001,244,213,164,0,20,0
"S01006944","Aberdeenshire",2001,299,258,199,0,22,0
"S01006945","Aberdeenshire",2001,498,457,363,5,40,5
"S01006946","Aberdeenshire",2001,677,622,514,8,42,8
"S01006947","Aberdeenshire",2001,478,461,390,10,21,3
"S01006948","Aberdeenshire",2001,809,709,558,5,78,15
